セクション,項目,奥迪A6L 2026款 40 TFSI 豪华动感型,奥迪A6L 2026款 45 TFSI 臻选动感型,奥迪A6L 2026款 45 TFSI quattro 臻选动感型,奥迪A6L 2026款 45 TFSI quattro 臻选动感型+尊享包,奥迪A6L 2026款 55 TFSI quattro 尊享动感型,奥迪A6L 2025款 改款 40 TFSI 豪华动感型,奥迪A6L 2025款 改款 45 TFSI 臻选动感型,奥迪A6L 2025款 45 TFSI 臻选动感型+通风舒享包,奥迪A6L 2025款 改款 45 TFSI quattro 臻选动感型,奥迪A6L 2025款 45 TFSI quattro 臻选动感型+尊享包,奥迪A6L 2025款 改款 55 TFSI quattro 尊享动感型,奥迪A6L 2025款 改款 55 TFSI quattro 旗舰动感型,奥迪A6L 2027款 基本型
底盘转向,四驱形式,-,-,●,●,●,-,-,-,●,●,●,●,●
底盘转向,中央差速器结构,-,-,●,●,●,-,-,-,●,●,●,●,●
底盘转向,前悬架类型,●,●,●,●,●,●,●,●,●,●,●,●,●
底盘转向,后悬架类型,●,●,●,●,●,●,●,●,●,●,●,●,●
底盘转向,助力类型,●,●,●,●,●,●,●,●,●,●,●,●,●
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,●,●,●,●,●,●,●,●,●,●,●,●,●
车轮制动,后制动器类型,●,●,●,●,●,●,●,●,●,●,●,●,●
车轮制动,驻车制动类型,●,●,●,●,●,●,●,●,●,●,●,●,●
车轮制动,前轮胎规格,"●
○",●,●,●,●,"●
○",●,●,●,●,●,●,●
车轮制动,后轮胎规格,"●
○",●,●,●,●,"●
○",●,●,●,●,●,●,●
车轮制动,备胎规格,●,●,●,●,●,●,●,●,●,●,●,●,●
车轮制动,备胎放置方式,●,●,●,●,●,●,●,●,●,●,●,●,●
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,-
被动安全,前/后排侧气囊,前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后 ○ (2000元),前 ● / 后-,-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-
被动安全,被动行人保护,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,胎压监测功能,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,安全带未系提醒,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,驾驶模式切换,"●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●",-
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,可变悬架功能,-,-,-,-,"○
○",-,-,-,-,-,"○
○","○
○",-
驾驶操控,空气悬架,-,-,-,-,○ (2.90万元),-,-,-,-,-,○ (2.90万元),○ (2.90万元),-
驾驶操控,可变转向比,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-
驾驶硬件,驾驶辅助影像,"●
○",●,●,●,●,"●
○",●,●,●,●,●,●,-
驾驶硬件,前方感知摄像头,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶硬件,摄像头数量,"●
○",●,●,●,●,"●
○",●,●,●,●,●,●,-
驾驶硬件,超声波雷达数量,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶硬件,毫米波雷达数量,"●
○","●
○","●
○","●
○","●
○","●
○","●
○","●
○","●
○","●
○","●
○",●,-
驾驶功能,巡航系统,"●
○","●
○","●
○","●
○","●
○","●
○","●
○","●
○","●
○","●
○","●
○","●
○",-
驾驶功能,辅助驾驶等级,○,○,○,○,○,○,○,○,○,○,○,○,-
驾驶功能,倒车车侧预警系统,○,○,○,○,○,○,○,○,○,○,○,●,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,并线辅助,○,○,○,○,○,○,○,○,○,○,○,●,-
驾驶功能,车道保持辅助系统,○,○,○,○,○,○,○,○,○,○,○,○,-
驾驶功能,车道居中保持,○,○,○,○,○,○,○,○,○,○,○,○,-
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,夜视系统,○ (1.91万元),○ (1.91万元),○ (1.91万元),○ (1.91万元),○ (1.91万元),○ (1.91万元),○ (1.91万元),○ (1.91万元),○ (1.91万元),○ (1.91万元),○ (1.91万元),○ (1.91万元),-
驾驶功能,辅助泊车入位,○ (4000元),-,-,-,-,○ (4000元),-,-,-,-,-,-,-
外观/防盗,外观套件,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,轮圈材质,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,电动后备厢,○ (7000元),●,●,●,●,○ (7000元),●,●,●,●,●,●,-
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,钥匙类型,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,无钥匙进入功能,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,近光灯光源,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,远光灯光源,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,灯光特色功能,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,大灯清洗装置,○,○,○,○,○,○,○,○,○,○,○,○,-
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,天窗类型,●,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-
天窗/玻璃,车窗一键升降功能,●,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,侧窗多层隔音玻璃,○,○,○,○,●,○,○,○,○,○,●,●,-
天窗/玻璃,后风挡遮阳帘,○ (2000元),○ (2000元),○ (2000元),●,-,○ (2000元),○ (2000元),○ (2000元),○ (2000元),●,●,-,-
天窗/玻璃,后排侧隐私玻璃,○ (2000元),○ (2000元),○ (2000元),○ (2000元),●,○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元),●,●,-
天窗/玻璃,车内化妆镜,"●
●","●
●","●
●","●
●","●
●","●
●","●
●","●
●","●
●","●
●","●
●","●
●",-
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,●,●,●,●,●,●,●,●,●,●,●,●,-
外后视镜,外后视镜功能,"●
●
○
●
●
●
○","●
●
○
●
●
●
○","●
●
●
●
●
●
●","●
●
●
●
●
●
●","●
●
●
●
●
●
●","●
●
○
●
●
●
○","●
●
○
●
●
●
○","●
●
○
●
●
●
○","●
●
●
●
●
●
●","●
●
●
●
●
●
●","●
●
●
●
●
●
●","●
●
●
●
●
●
●",-
屏幕/系统,中控彩色屏幕,●,●,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,中控屏幕尺寸,●,●,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,中控下屏幕尺寸,●,●,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,手机互联/映射,●,●,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,语音识别控制系统,"●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●",-
屏幕/系统,车载智能系统,●,●,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,后排液晶屏幕,-,○,○,○,○,-,○,○,○,○,○,●,-
屏幕/系统,后排控制多媒体,-,○,○,○,○,-,○,○,○,○,○,●,-
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,-
智能化配置,4G/5G网络,●,●,●,●,●,●,●,●,●,●,●,●,-
智能化配置,OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,手机APP远程功能,"●
●
●","●
●
●","●
●
●","●
●
●","●
●
●","●
●
●","●
●
●","●
●
●","●
●
●","●
●
●","●
●
●","●
●
●",-
方向盘/内后视镜,方向盘材质,●,●,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,方向盘位置调节,"●
○","●
○",●,●,●,"●
○","●
○","●
○",●,●,●,●,-
方向盘/内后视镜,换挡形式,●,●,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,方向盘加热,○ (1000元),○ (1000元),○ (1000元),○,○,○ (1000元),○ (1000元),○ (1000元),○ (1000元),○,○,○ (1000元),-
方向盘/内后视镜,方向盘记忆,○,○,●,●,●,○,○,○,●,●,●,●,-
方向盘/内后视镜,行车电脑显示屏幕,●,●,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,液晶仪表尺寸,●,●,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,HUD抬头数字显示,○ (1.87万元),○ (1.87万元),○ (1.87万元),○ (1.87万元),○ (1.87万元),○ (1.87万元),○ (1.87万元),○ (1.87万元),○ (1.87万元),○ (1.87万元),○ (1.87万元),●,-
方向盘/内后视镜,内后视镜功能,●,●,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,ETC装置,○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),-
车内充电,多媒体/充电接口,●,●,●,●,●,●,●,●,●,●,●,●,-
车内充电,USB/Type-C接口数量,●,●,●,●,●,●,●,●,●,●,●,●,-
车内充电,手机无线充电功能,○,○,○,○,○,○,○,○,○,○,○,○,-
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,-
座椅配置,座椅材质,"○
●","○
●","○
●","○
●","○
●","○
●","○
●","○
●","○
●","○
●","○
●",●,-
座椅配置,运动风格座椅,●,●,●,●,●,●,●,-,●,●,●,-,-
座椅配置,主座椅调节方式,"●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●",-
座椅配置,副座椅调节方式,"●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●","●
●
●
●",-
座椅配置,主/副驾驶座电动调节,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,-
座椅配置,前排座椅功能,"○
○","●
○
○","●
○
○","●
○
○","●
○
○","○
○","●
○
○","●
●
○","●
○
○","●
○
○","●
○
○","●
●
●",-
座椅配置,电动座椅记忆功能,○,○,●,●,●,○,○,○,●,●,●,●,-
座椅配置,副驾驶位后排可调节按钮,○ (1700元),○ (1700元),○ (1700元),●,●,○ (1700元),○ (1700元),○ (1700元),○ (1700元),○ (1700元),○ (1700元),●,-
座椅配置,第二排座椅调节,-,"○
○","○
○","●
●","●
●",-,"○
○","●
○","○
○","○
○","○
○","●
●",-
座椅配置,第二排座椅电动调节,-,○ (4500元),○ (4500元),●,●,-,○ (4500元),●,○ (4500元),○ (4500元),○ (4500元),●,-
座椅配置,第二排座椅功能,○,"○
○
○","○
○
○","●
○
○","●
○
○",○,"○
○
○","○
○
○","○
○
○","●
○
○","●
○
○","●
●
●",-
座椅配置,后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,-
音响/车内灯光,扬声器品牌名称,○,○,○,●,●,○,○,○,○,●,●,●,-
音响/车内灯光,扬声器数量,"●
○","●
○","●
○",●,●,"●
○","●
○","●
○","●
○",●,●,●,-
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,-
音响/车内灯光,车内环境氛围灯,●,●,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,空调温度控制方式,●,●,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,后排独立空调,○ (5000元),●,●,●,●,○ (5000元),●,●,●,●,●,●,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,车载空气净化器,○,○,○,○,○,○,○,○,○,○,○,○,-
空调/冰箱,车内PM2.5过滤装置,○,○,○,○,○,○,○,○,○,○,○,○,-
空调/冰箱,负离子发生器,○,○,○,○,○,○,○,○,○,○,○,○,-
空调/冰箱,车内香氛装置,○,○,○,○,○,○,○,○,○,○,○,○,-
空调/冰箱,空气质量监测,-,-,-,-,-,-,-,-,-,-,-,●,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–,-
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–,-
选装包,深色玻璃包,-,-,-,-,-,○,○,○,○,○,-,-,-
选装包,驾驶员侧座椅带记忆功能,-,-,-,-,-,○,○,-,-,-,-,-,-
选装包,奥迪手机盒子,-,-,-,-,-,○,○,○,○,○,○,○,-
选装包,360度影像系统,-,-,-,-,-,○,-,-,-,-,-,-,-
选装包,奥迪侧向辅助及奥迪预安全后部版,-,-,-,-,-,○,○,-,○,-,○,-,-
选装包,奥迪高清矩阵LED大灯,-,-,-,-,-,○,○,○,○,○,○,-,-
选装包,城市行车辅助包,-,-,-,-,-,○,○,○,○,○,○,-,-
选装包,旅行驾驶辅助包,-,-,-,-,-,○,○,○,○,○,○,○,-
选装包,前排舒适型座椅,-,-,-,-,-,-,○,-,○,○,○,-,-
