セクション,項目,风云A9L 2025款 260超长续航豪华版,风云A9L 2025款 260超长续航尊贵版,风云A9L 2025款 260伯牙奢享版,风云A9L 2025款 四驱高能巅峰版,风云A9L 2025款 公务尊享版,风云A9L 2025款 公务致享版
电池/充电,电池特有技术,方刀电池,方刀电池,方刀电池,方刀电池,方刀电池,方刀电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),193,193,193,151,193,193
电池/充电,CLTC纯电续航里程(km),260,260,260,200,260,260
电池/充电,电池能量(kWh),33.68,33.68,33.68,33.68,-,-
电池/充电,百公里耗电量(kWh/100km),17,17,17,20.6,-,-
电池/充电,电池组质保,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 八年或15万公里,● 八年或15万公里
电池/充电,快充功能,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),90,90,90,90,90,90
电池/充电,电池快充时间(小时),0.25,0.25,0.25,0.25,0.24,0.24
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
变速箱,挡位个数,1,1,1,1,1,1
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置前驱
底盘转向,四驱形式,-,-,-,● 电动四驱,-,-
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 245/50 R19,● 245/50 R19,245/50 R19 245/45 R20 (8000元),● 245/45 R20,● 245/50 R19,245/50 R19 245/45 R20
车轮制动,后轮胎规格,● 245/50 R19,● 245/50 R19,245/50 R19 245/45 R20,● 245/45 R20,● 245/50 R19,245/50 R19 245/45 R20
车轮制动,备胎规格,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前排中间气囊,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,●,-,-
主动安全,DOW开门预警,-,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 雪地 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化
驾驶操控,发动机启停技术,●,●,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,● 悬架软硬调节,● 悬架软硬调节,-,● 悬架软硬调节
驾驶操控,电磁感应悬架,-,-,-,-,-,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,-,● 高通SA 8620,● 高通SA 8620,● 高通SA 8620,● 高通SA 8620,● 高通SA 8620
驾驶硬件,芯片总算力,-,● 128 TOPS,● 128 TOPS,● 128 TOPS,● 128 TOPS,● 128 TOPS
驾驶硬件,前方感知摄像头,● 单目,● 双目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 6个,● 7个,● 7个,● 7个,● 7个,● 7个
驾驶硬件,车内摄像头数量,-,-,-,● 1个,-,-
驾驶硬件,超声波雷达数量,● 8个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,-,● 3个,● 3个,● 3个,● 3个,● 3个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● 猎鹰智驾,● 猎鹰智驾,● 猎鹰智驾,● 猎鹰智驾,● 猎鹰智驾,● 猎鹰智驾
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,●,●,●,●,●
驾驶功能,遥控泊车,-,●,●,●,●,●
驾驶功能,记忆泊车,-,●,●,●,●,●
驾驶功能,辅助变道,-,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,●,●,●,●,●
驾驶功能,信号灯识别,-,●,●,●,●,●
驾驶功能,方向盘离手检测,-,●,●,●,●,●
驾驶功能,起步提醒,-,●,●,●,●,●
驾驶功能,辅助驾驶路段,-,● 高速路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段
外观/防盗,电动扰流板,-,-,-,●,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 全车,● 前排,● 前排
外观/防盗,主动闭合式进气格栅,-,-,-,-,-,●
外观/防盗,远程启动功能,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●
车外灯光,自适应远近光,-,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排 后排,● 前排 后排,● 前排,● 前排 后排
天窗/玻璃,后排侧窗遮阳帘,-,-,-,-,● 电动,● 电动
天窗/玻璃,后排侧隐私玻璃,-,-,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
屏幕/系统,中控屏幕类型,● LED,● LED,● LED,● LED,● LED,● LED
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink
屏幕/系统,语音识别控制系统,●,●,●,●,●,●
屏幕/系统,语音助手唤醒词,● 嗨，小奇,● 嗨，小奇,● 嗨，小奇,● 嗨，小奇,● 嗨，小奇,● 嗨，小奇
屏幕/系统,语音免唤醒词,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●
屏幕/系统,面部识别,-,-,-,●,-,-
屏幕/系统,应用商店,●,●,●,●,●,●
屏幕/系统,车载智能系统,● Lion,● Lion,● Lion,● Lion,● Lion,● Lion
屏幕/系统,车机智能芯片,● 高通8255,● 高通8255,● 高通8255,● 高通8255,● 高通8255,● 高通8255
智能化配置,车联网,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修
智能化配置,主动降噪,-,●,●,●,●,●
智能化配置,车载KTV,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,●,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C,● USB SD Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,前后调节 靠背调节 高低调节(2向) 腿托调节,前后调节 靠背调节 高低调节(2向) 腿托调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,● 加热,● 加热 通风 按摩(仅驾驶位),加热 通风 按摩 按摩(仅驾驶位),● 加热 通风 按摩,● 加热 通风 按摩(仅驾驶位),● 加热 通风 按摩(仅驾驶位)
座椅配置,电动座椅记忆功能,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-
座椅配置,第二排座椅功能,-,-,● 加热,● 加热,● 加热 通风,● 加热 通风
座椅配置,零重力座椅,-,-,○ 副驾驶 (10000元),○ 副驾驶 (10000元),-,-
座椅配置,后排座椅放倒形式,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 8喇叭,● 12喇叭,● 23喇叭,● 23喇叭,● 12喇叭,● 23喇叭
音响/车内灯光,车内环境氛围灯,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色
音响/车内灯光,主动式环境氛围灯,●,●,●,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,●,●,●,●,●
空调/冰箱,车内香氛装置,-,●,●,●,●,●
空调/冰箱,空气质量监测,-,●,●,●,●,●
颜色,外观颜色,极光绿 车厘子红 ￥6000 墨石黑 云烟紫 星瀚银 ￥6000 玄武灰 ￥6000,极光绿 车厘子红 ￥6000 墨石黑 云烟紫 星瀚银 ￥6000 玄武灰 ￥6000,极光绿 车厘子红 ￥6000 墨石黑 云烟紫 星瀚银 ￥6000 玄武灰 ￥6000,极光绿 车厘子红 ￥6000 墨石黑 云烟紫 星瀚银 ￥6000 玄武灰 ￥6000,墨石黑,墨石黑
颜色,内饰颜色,棕色/白色（暮秋暖阳） 黑色/橙色（晨光柑橘）,棕色/白色（暮秋暖阳） 黑色/橙色（晨光柑橘）,棕色/白色（暮秋暖阳） 黑色/橙色（晨光柑橘）,红色/黑色（夜色丹枫） 棕色/白色（暮秋暖阳） 黑色/橙色（晨光柑橘）,黑色,黑色
