セクション,項目,天籁 2025款 2.0L XL-TLS 悦享版,天籁 2025款 2.0L SV 黑金版,天籁 2025款 2.0T XV 尊享版,天籁 2024款 2.0L XE 真心版,天籁 2024款 2.0L SV 黑金版,天籁 2022款 2.0L XL-Upr 优享版,天籁 2022款 2.0L XL-TLS 悦享版,天籁 2022款 2.0T XL 进享版,天籁 2022款 2.0T XV 尊享版
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),56,56,56,56,56,56,56,56,56
车身,后备厢容积(L),586,586,586,586,586,586,586,586,586
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
发动机,发动机型号,MR20,MR20,KR20,MR20,MR20,MR20,MR20,KR20,KR20
发动机,排量(mL),1997,1997,1997,1997,1997,1997,1997,1997,1997
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4
发动机,压缩比,11.7,11.7,14,11.7,11.7,11.7,11.7,14,14
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),156,156,243,156,156,156,156,243,243
发动机,最大功率(kW),115,115,179,115,115,115,115,179,179
发动机,最大功率转速(rpm),6000,6000,5400,6000,6000,6000,6000,5400,5400
发动机,最大扭矩(N·m),197,197,371,197,197,197,197,371,371
发动机,最大扭矩转速(rpm),4400,4400,4400,4400,4400,4400,4400,4400,4400
发动机,最大净功率(kW),106,106,179,106,106,106,106,179,179
发动机,发动机特有技术,双C-VTC连续可变气门正时,双C-VTC连续可变气门正时,可变压缩比/双C-VTC连续可变气门正时,双C-VTC连续可变气门正时,双C-VTC连续可变气门正时,双C-VTC连续可变气门正时,双C-VTC连续可变气门正时,可变压缩比/双C-VTC连续可变气门正时,可变压缩比/双C-VTC连续可变气门正时
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,95号,92号,92号,92号,92号,95号,95号
发动机,供油方式,直喷,直喷,混合喷射,直喷,直喷,直喷,直喷,混合喷射,混合喷射
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,CVT无级变速,CVT无级变速,CVT无级变速(模拟8挡),CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速(模拟8挡)
变速箱,挡位个数,无级变速,无级变速,8,无级变速,无级变速,无级变速,无级变速,无级变速,8
变速箱,变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 梯形连杆式独立悬架,● 梯形连杆式独立悬架,● 梯形连杆式独立悬架,● 梯形连杆式独立悬架,● 梯形连杆式独立悬架,● 梯形连杆式独立悬架,● 梯形连杆式独立悬架,● 梯形连杆式独立悬架,● 梯形连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/55 R17,● 215/55 R17,● 235/40 R19,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 235/40 R19,● 235/40 R19
车轮制动,后轮胎规格,● 215/55 R17,● 215/55 R17,● 235/40 R19,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 235/40 R19,● 235/40 R19
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,●,-,-,●,-,●,●
主动安全,主动刹车/主动安全系统,-,-,●,-,-,●,-,●,●
主动安全,疲劳驾驶提示,-,-,●,-,●,●,-,●,●
主动安全,前方碰撞预警,-,-,●,-,-,●,-,●,●
主动安全,内置行车记录仪,●,●,●,-,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前- / 后,● 前- / 后,● 前 / 后,● 前- / 后,● 前- / 后,● 前 / 后,● 前- / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,-,-,● 单目,-,-,● 单目,-,● 单目,● 单目
驾驶硬件,摄像头数量,● 1个,● 1个,● 5个,● 1个,● 1个,● 5个,● 1个,● 5个,● 5个
驾驶硬件,超声波雷达数量,● 4个,● 4个,● 8个,● 4个,● 4个,● 8个,● 4个,● 8个,● 8个
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,-,● ProPILOT,-,-,● ProPILOT,-,● ProPILOT,● ProPILOT
驾驶功能,辅助驾驶等级,-,-,● L2,-,-,● L2,-,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,●,-,-,●,-,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,AR实景导航,●,●,●,-,●,●,●,●,●
驾驶功能,并线辅助,-,-,●,-,-,●,-,●,●
驾驶功能,车道保持辅助系统,-,-,●,-,-,●,-,●,●
驾驶功能,车道居中保持,-,-,●,-,-,●,-,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,●
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,●,-,-,●,-,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 前排,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热,● 电动调节 电动折叠 后视镜加热,● 电动调节 电动折叠 后视镜记忆 后视镜加热 锁车自动折叠,● 电动调节,● 电动调节 电动折叠 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热,● 电动调节 电动折叠 后视镜加热,● 电动调节 电动折叠 后视镜记忆 后视镜加热 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,-,-,-,-,-,-,-,-,-
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,声纹识别,●,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联
智能化配置,车联网,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 车灯控制 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 车灯控制 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车灯控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 车灯控制 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 车灯控制 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 车灯控制 空调控制 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 车灯控制 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车
智能化配置,主动降噪,-,-,●,-,-,-,-,●,●
智能化配置,车载KTV,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 皮质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,●,-,-,-,-,-,●
方向盘/内后视镜,方向盘加热,-,-,●,-,-,-,-,-,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,● 前排,-,-,● 前排,-,-,● 前排
座椅配置,座椅材质,● 真皮,● 真皮,● 真皮,● 仿皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,○ 加热 通风,● 加热 通风,● 加热 通风 按摩,-,● 加热 通风,● 加热 通风,-,● 通风,● 加热 通风 按摩
座椅配置,电动座椅记忆功能,-,-,● 驾驶位,-,-,-,-,-,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,-,-,-,-,-,-,-,-,-
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,● BOSE,-,-,-,-,-,● BOSE
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 9喇叭,● 4喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 9喇叭
音响/车内灯光,车内环境氛围灯,-,-,● 64色,-,-,● 64色,-,● 64色,● 64色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 手动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,-,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
颜色,外观颜色,曜石黑 极光蓝 珠玉白 ￥2000 晨曦银 ￥2000,曜石黑,曜石黑 极光蓝 珠玉白 ￥2000 晨曦银 ￥2000 曜石黑/晨曦银 ￥3500,曜石黑 珠玉白 ￥2000 晨曦银 ￥2000,曜石黑,曜石黑 极光蓝 珠玉白 ￥2000 晨曦银 ￥2000 曜石黑/晨曦银 ￥3500,曜石黑 极光蓝 珠玉白 ￥2000 晨曦银 ￥2000,曜石黑 极光蓝 珠玉白 ￥2000 晨曦银 ￥2000 曜石黑/晨曦银 ￥3500,曜石黑 极光蓝 珠玉白 ￥2000 晨曦银 ￥2000 曜石黑/晨曦银 ￥3500
颜色,内饰颜色,黑色 黑色/棕色,黑色,黑色 黑色/棕色,黑色 黑色/棕色,黑色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/棕色
选装包,座椅暖心包,○ 包含：前席座椅通风、前席座椅加热 选配 (2400元),-,-,-,-,-,-,-,-
