セクション,項目,迈腾 2026款 3000万辆甄选款 280TSI DSG舒适型,迈腾 2026款 3000万辆甄选款 280TSI DSG豪华型,迈腾 2026款 3000万辆甄选款 380TSI DSG豪华型,迈腾 2025款 改款二 众享款 280TSI DSG豪华型,迈腾 2025款 众享款 280TSI DSG舒适型,迈腾 2025款 改款 众享款 280TSI DSG豪华型,迈腾 2025款 众享款 280TSI DSG豪华型,迈腾 2025款 改款二 众享款 330TSI DSG豪华型,迈腾 2025款 改款 众享款 330TSI DSG豪华型,迈腾 2025款 众享款 330TSI DSG豪华型,迈腾 2024款 300TSI DSG尊享版,迈腾 2024款 300TSI DSG尊享版显眼包,迈腾 2024款 380TSI DSG尊贵版,迈腾 2024款 380TSI DSG尊贵版大迈包,迈腾 2024款 380TSI DSG至尊版
发动机,最大功率转速(rpm),5000-6000,5000-6000,4900-6700,5000-6000,5000-6000,5000-6000,5000-6000,4150-6000,4150-6000,4150-6000,5500,5500,4900-6700,4900-6700,4900-6700
发动机,最大扭矩(N·m),250,250,350,250,250,250,250,320,320,320,250,250,350,350,350
发动机,最大扭矩转速(rpm),1750-3000,1750-3000,1600-4300,1750-3000,1750-3000,1750-3000,1750-3000,1600-4050,1600-4050,1600-4050,1750-4000,1750-4000,1600-4300,1600-4300,1600-4300
发动机,最大净功率(kW),110,110,162,110,110,110,110,137,137,137,118,118,162,162,162
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铸铁,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铝合金,铝合金,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
变速箱,变速箱类型,干式双离合变速箱(DCT),干式双离合变速箱(DCT),湿式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/55 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 215/55 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 225/55 R17,225/55 R17 245/45 R18 (2000元),225/55 R17 245/45 R18 (2000元),245/45 R18 245/40 R19 (2000元),● 245/40 R19
车轮制动,后轮胎规格,● 215/55 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 215/55 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 225/55 R17,225/55 R17 245/45 R18,225/55 R17 245/45 R18,245/45 R18 245/40 R19,● 245/40 R19
车轮制动,备胎规格,○ 非全尺寸,○ 非全尺寸,○ 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,○ 非全尺寸 (500元),○ 非全尺寸 (500元),○ 非全尺寸 (500元),○ 非全尺寸 (500元),○ 非全尺寸 (500元)
车轮制动,备胎放置方式,○ 后备厢内,○ 后备厢内,○ 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,膝部气囊,-,-,-,-,-,-,-,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,-,-,-,-,-
被动安全,前排中间气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
被动安全,被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,胎压报警 胎压显示,● 胎压报警,胎压报警 胎压显示,● 胎压报警,胎压报警 胎压显示,胎压报警 胎压显示,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压报警,胎压报警 胎压显示,胎压报警 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,○,●,○,-,○,○,●,●,●,-,●,●,●,●
主动安全,主动刹车/主动安全系统,○,○,●,○,○,○,○,●,●,●,-,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,-,-,-,●,●
主动安全,DOW开门预警,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
主动安全,前方碰撞预警,○,○,●,○,○,○,○,●,●,●,-,●,●,●,●
主动安全,后方碰撞预警,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
主动安全,内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
主动安全,道路救援呼叫,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动,● 运动,● 运动,● 运动,● 运动,● 运动,● 运动,● 运动,● 运动,● 运动,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,倒车影像 360度全景影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,倒车影像 360度全景影像 (3500元),倒车影像 360度全景影像 (3500元),倒车影像 360度全景影像 (3500元),● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,前方感知摄像头,-,○ 单目,● 单目,○ 单目,-,○ 单目,○ 单目,● 单目,● 单目,● 单目,-,● 单目,● 单目,单目 双目,● 单目 双目
驾驶硬件,摄像头数量,● 1个,1个 2个,2个 5个,1个 2个,● 1个,1个 2个,1个 2个,● 2个,● 2个,● 2个,● 1个,2个 5个,2个 5个,2个 7个,● 7个
驾驶硬件,车内摄像头数量,-,-,-,-,-,-,-,-,-,-,-,-,-,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 12个,● 12个
驾驶功能,巡航系统,定速巡航 全速自适应巡航,定速巡航 全速自适应巡航,● 全速自适应巡航,定速巡航 全速自适应巡航,定速巡航 全速自适应巡航,定速巡航 全速自适应巡航,定速巡航 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,○ IQ. Drive,● IQ. Drive,○ IQ. Drive,-,○ IQ. Drive,○ Travel Assist,● IQ. Drive,● IQ. Drive,● Travel Assist,-,● IQ. Drive,● IQ. Drive,IQ. Drive IQ. Pilot,● IQ. Pilot
驾驶功能,辅助驾驶等级,-,○ L2,● L2,○ L2,-,○ L2,○ L2,● L2,● L2,● L2,-,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,○,●,○,-,○,○,●,●,●,-,●,●,●,●
驾驶功能,卫星导航系统,○,○,●,○,○,○,○,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,○,○,●,○,○,○,○,●,●,●,●,●,●,●,●
驾驶功能,AR实景导航,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
驾驶功能,并线辅助,-,○,○,○,-,○,○,○ (1200元),○ (1200元),○ (1200元),-,●,●,●,●
驾驶功能,车道保持辅助系统,-,○,●,○,-,○,○,●,●,●,-,●,●,●,●
驾驶功能,车道居中保持,-,○,●,○,-,○,○,●,●,●,-,●,●,●,●
驾驶功能,道路交通标识识别,-,-,-,-,-,-,○,-,-,●,-,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
驾驶功能,辅助变道,-,-,-,-,-,-,-,-,-,-,-,-,-,○,●
驾驶功能,方向盘离手检测,-,○,●,○,-,○,○,●,●,●,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,-,○,-,-,-,-,-,-,-,-,○ (2000元),○ (2000元),●,●
外观/防盗,感应后备厢,-,-,○,-,-,-,-,-,-,-,-,-,-,-,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,● 前排,● 前排,● 前排,-,● 前排,● 全车,● 前排,● 前排,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,-,○ 矩阵式,-,-,-,-,○ 矩阵式,○ 矩阵式,○ 矩阵式,-,-,-,● 矩阵式,● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,○,-,-,-,-,○,○,○,-,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,转向头灯,-,-,○,-,-,-,-,○,○,○,-,-,-,●,●
车外灯光,车前雾灯,-,-,-,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-,-,-,-
车外灯光,前大灯雨雾模式,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,○ 可开启全景天窗 (8000元),● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,8英寸 9.2英寸 (3500元),8英寸 9.2英寸 (3500元),● 9.2英寸,8英寸 9.2英寸 (3500元),8英寸 9.2英寸 (3500元),8英寸 9.2英寸 (3500元),8英寸 9.2英寸 (3500元),● 9.2英寸,● 9.2英寸,● 9.2英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 15英寸,● 15英寸
屏幕/系统,中控屏幕分辨率,-,-,-,-,-,-,-,-,-,-,● 2K,● 2K,● 2K,● 2K,● 2K
屏幕/系统,副驾娱乐屏尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,● 11.6英寸,● 11.6英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
