セクション,項目,哈弗大狗 2026款 1.5T DCT拉布拉多版,哈弗大狗 2026款 1.5T DCT边牧版,哈弗大狗 2026款 2.0T DCT中华田园犬版,哈弗大狗 2024款 1.5T DCT拉布拉多版,哈弗大狗 2024款 1.5T DCT边牧版,哈弗大狗 2024款 2.0T DCT中华田园犬版
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾位 副驾驶,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾位 副驾驶,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 原厂互联/映射 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 原厂互联/映射 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 原厂互联/映射 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗
屏幕/系统,语音免唤醒词,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,多指飞屏操控,●,●,●,●,●,●
智能化配置,车联网,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车窗控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 车灯控制 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 车灯控制 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 车辆定位/寻车,● 车门控制 车辆启动 空调控制 车辆定位/寻车,● 车门控制 车辆启动 空调控制 车辆定位/寻车
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,-,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,HUD抬头数字显示,-,●,●,-,●,●
方向盘/内后视镜,内后视镜功能,● 手动防眩目,手动防眩目 自动防眩目,手动防眩目 自动防眩目,● 手动防眩目,手动防眩目 自动防眩目,手动防眩目 自动防眩目
方向盘/内后视镜,ETC装置,○ (500元),○ (500元),○ (500元),○,○,○ (500元)
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,-,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,-,-,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,● 主 / 副-,● 主 / 副,● 主 / 副,● 主 / 副-,主 / 副,● 主 / 副-
座椅配置,前排座椅功能,-,● 加热 通风,● 加热 通风,○ 加热,● 加热,● 加热
座椅配置,电动座椅记忆功能,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 10喇叭,● 10喇叭,● 6喇叭,● 6喇叭,● 8喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,●,●,-,●,●
空调/冰箱,车载空气净化器,-,●,●,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,●,●,-,-,-
空调/冰箱,空气质量监测,-,●,●,-,-,-
颜色,外观颜色,揽月白 玄夜黑 陨石灰 ￥4000 苔岩绿 雾隐蓝,揽月白 玄夜黑 陨石灰 ￥4000 苔岩绿 雾隐蓝,揽月白 玄夜黑 陨石灰 ￥4000 苔岩绿 雾隐蓝,白狗 黑狗 灰狗 橙狗 棕狗,白狗 黑狗 灰狗 橙狗 棕狗,白狗 黑狗 灰狗 橙狗 棕狗
颜色,内饰颜色,玄武黑 黑色/雾凇灰 灰色/沙丘米,玄武黑 黑色/雾凇灰 灰色/沙丘米,玄武黑 黑色/雾凇灰 灰色/沙丘米,黑色 黑色/橙色,黑色 黑色/橙色,黑色 黑色/橙色
选装包,娱乐包,-,○ 包含：爱情之音10扬声器、独立功放、备胎（T155/85 R18）、A柱拉手 选配 (2000元),-,-,-,-
选装包,科技包,-,○ 包含：盲区监测、并线辅助、紧急车道保持、倒车侧向警告、倒车侧向制动、后碰撞预警、开门预警、融合泊车辅助、遥控泊车、前6雷达/后6雷达 选配 (3500元),○ 包含：盲区监测、并线辅助、紧急车道保持、倒车侧向警告、倒车侧向制动、后碰撞预警、开门预警、融合泊车辅助、遥控泊车、前6雷达/后6雷达 选配 (3500元),-,-,-
选装包,AT胎,-,-,○ 包含：五辐铠甲式轮毂、二号轮胎（AT胎） 选配 (1500元),-,-,-
选装包,娱乐包2,-,-,○ 包含：爱情之音10扬声器、独立功放、备胎（T155/85 R18） 选配 (2000元),-,-,-
选装包,舒享包,-,-,-,○ 包含：ETC不停车电子收费系统、前排座椅加热 选配 (1000元),-,-
选装包,舒享包2,-,-,-,-,○ 包含：ETC不停车电子收费系统、副驾电动调节 选配 (1000元),-
选装包,自动泊车科技包,-,-,-,-,○ 包含：全自动融合泊车、遥控泊车、倒车循迹、前雷达（前向低速紧急制动）绑定选装 选配 (2000元),-
选装包,HWA高速智驾辅助包,-,-,-,-,○ 包含：HWA高速公路智能驾驶辅助、开门预警、紧急转向辅助、前向横穿预警系统、前向横穿制动系统、紧急车道保持、并线辅助、后碰撞预警、智慧躲闪、倒车侧向警告、倒车侧向制动、电子防眩目后视镜 选配 (3500元),○ 包含：HWA高速公路智能驾驶辅助、开门预警、紧急转向辅助、前向横穿预警系统、前向横穿制动系统、紧急车道保持、并线辅助、后碰撞预警、智慧躲闪、倒车侧向警告、倒车侧向制动、电子防眩目后视镜 选配 (3500元)
选装包,四号中网,-,-,-,-,-,○ 包含：绑定对应前后杠、轮眉样式 选配 (暂无价格)
选装包,轮胎包,-,-,-,-,-,○ 包含：AT胎 选配 (1500元)
