セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 200尊享版 6人乗り,2026年モデル 増程 280レーザーレーダー版 6人乗り,2026年モデル 増程 280レーザーレーダー智尊版 6人乗り,2026年モデル 増程 280レーザーレーダー智尊版 5人乗り,2026年モデル 纯电 580尊享版 6人乗り,2026年モデル 纯电 630レーザーレーダー版 6人乗り,2026年モデル 纯电 630レーザーレーダー智尊版 6人乗り,2026年モデル 纯电 630レーザーレーダー智尊版 5人乗り,2024年モデル 増程 200智享版,2024年モデル 増程 200尊享版,2024年モデル 増程 200レーザーレーダー版,2024年モデル 纯电 520智享版,2024年モデル 纯电 520尊享版,2024年モデル 纯电 520レーザーレーダー版,2024年モデル 纯电 580尊享版,2024年モデル 纯电 580レーザーレーダー版
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),2065,2145,2145,2145,2125,2195,2195,2195,2065,2065,2065,2095,2095,2095,2125,2125
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2515,2595,2595,2595,2575,2645,2645,2645,2515,2515,2515,2545,2545,2545,2575,2575
车身,車体,长度(mm),全長(mm),4915,4915,4915,4915,4915,4915,4915,4915,4915,4915,4915,4915,4915,4915,4915,4915
车身,車体,宽度(mm),全幅(mm),1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905
车身,車体,高度(mm),全高(mm),1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770
车身,車体,轴距(mm),ホイールベース(mm),2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825
车身,車体,前轮距(mm),前トレッド(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
车身,車体,后轮距(mm),後トレッド(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
车身,車体,空载最小离地间隙(mm),無負荷最低地上高(mm),205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205
车身,車体,接近角(°),アプローチアングル(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア（観音開きではない）,ヒンジドア（観音開きではない）,ヒンジドア（観音開きではない）,ヒンジドア（観音開きではない）,ヒンジドア（観音開きではない）,ヒンジドア（観音開きではない）,ヒンジドア（観音開きではない）,ヒンジドア（観音開きではない）,ヒンジドア（観音開きではない）,ヒンジドア（観音開きではない）,ヒンジドア（観音開きではない）,ヒンジドア（観音開きではない）,ヒンジドア（観音開きではない）,ヒンジドア（観音開きではない）,ヒンジドア（観音開きではない）,ヒンジドア（観音開きではない）
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,座位数(个),乗車定員(名),● 6（人乗り）,● 6（人乗り）,● 6（人乗り）,● 5（人乗り）,● 6（人乗り）,● 6（人乗り）,● 6（人乗り）,● 5（人乗り）,● 6（人乗り）,● 6（人乗り）,● 6（人乗り）,● 6（人乗り）,● 6（人乗り）,● 6（人乗り）,● 6（人乗り）,● 6（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),50,50,50,50,-,-,-,-,50,50,50,-,-,-,-,-
车身,車体,后备厢容积(L),トランク容量(L),209-1022,209-1022,209-1022,687-1663,209-1022,209-1022,209-1022,687-1663,209-1022,209-1022,209-1022,209-1022,209-1022,209-1022,209-1022,209-1022
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,H15R（型式）,H15R（型式）,H15R（型式）,H15R（型式）,-,-,-,-,H15R（型式）,H15R（型式）,H15R（型式）,-,-,-,-,-
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1499,1499,-,-,-,-,1499,1499,1499,-,-,-,-,-
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,-,-,-,-,1.5,1.5,1.5,-,-,-,-,-
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,-,-,-,-,自然吸気,自然吸気,自然吸気,-,-,-,-,-
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,-,-,-,-,横置きエンジン,横置きエンジン,横置きエンジン,-,-,-,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,-,-,-,-,L,L,L,-,-,-,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,-,-,-,-,4,4,4,-,-,-,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,-,-,-,-,4,4,4,-,-,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,-,-,-,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,-,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),95,95,95,95,-,-,-,-,95,95,95,-,-,-,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),70,70,70,70,-,-,-,-,70,70,70,-,-,-,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),68,68,68,68,-,-,-,-,68,68,68,-,-,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,-,-,-,-,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,-,-,-,-,-
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,-,-,-,-,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,-,-,-,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,-,-,-,-,国6排ガス規制,国6排ガス規制,国6排ガス規制,-,-,-,-,-
电动机,モーター,后电动机品牌,後モーターブランド,-,-,-,-,-,-,-,-,-,-,-,金華凌昇（メーカー名）,金華凌昇（メーカー名）,金華凌昇（メーカー名）,金華凌昇（メーカー名）,金華凌昇（メーカー名）
电动机,モーター,后电动机型号,後モーター型式,-,-,-,-,-,-,-,-,-,-,-,TZ220XY008（型式認証番号）,TZ220XY008（型式認証番号）,TZ220XY008（型式認証番号）,TZ220XY008（型式認証番号）,TZ220XY008（型式認証番号）
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),170,170,170,170,215,220,220,220,170,170,170,215,215,215,215,215
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),231,231,231,231,292,299,299,299,231,231,231,292,292,292,292,292
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),320,320,320,320,360,360,360,360,320,320,320,360,360,360,360,360
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),170,170,170,170,215,220,220,220,170,170,170,215,215,215,215,215
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),320,320,320,320,360,360,360,360,320,320,320,360,360,360,360,360
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 国軒高科（バッテリーメーカー）,● CATL（寧徳時代）、CALB（中創新航）、国軒高科,● CATL（寧徳時代）、CALB（中創新航）、国軒高科,● CATL（寧徳時代）、CALB（中創新航）、国軒高科,● CALB（中創新航）、江蘇正力,● 国軒高科、EVEエナジー（億緯動力）、江蘇正力,● 国軒高科、EVEエナジー（億緯動力）、江蘇正力,● 国軒高科、EVEエナジー（億緯動力）、江蘇正力,● CALB（中創新航）,● CALB（中創新航）,● CALB（中創新航）,● 江蘇正力,● 江蘇正力,● 江蘇正力,● 江蘇正力,● 江蘇正力
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),134,182,182,182,-,-,-,-,134,134,134,-,-,-,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),200,280,280,280,580,630,630,630,200,200,200,520,520,520,580,580
电池/充电,バッテリー/充電,WLTC综合续航(km),WLTC総合航続距離(km),910,970,970,970,-,-,-,-,910,910,910,-,-,-,-,-
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1095,1150,1150,1150,-,-,-,-,1095,1095,1095,-,-,-,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),28.4,38.7,38.7,38.7,74.9,81.9,81.9,81.9,28.4,28.4,28.4,67.7,67.7,67.7,74.9,74.9
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),18.5,20.2,20.2,20.2,14.5,14.6,14.6,14.6,18.5,18.5,18.5,14.8,14.8,14.8,14.5,14.5
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,180
电池/充电,バッテリー/充電,高压快充,高圧急速充電,-,-,-,-,対応,対応,対応,対応,-,-,-,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,-,-,-,-,800,800,800,800,-,-,-,800,800,800,800,800
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.32,0.32,0.32,0.27,0.3,0.3,0.3,0.5,0.5,0.5,0.25,0.25,0.25,0.27,0.27
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),3,3.5,3.5,3.5,7,7.5,7.5,7.5,3,3,3,6,6,6,7,7
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,トランスミッション,简称,略称,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
