セクション,項目,星越L 2026款 东方曜 2.0TD 自动霄汉版,星越L 2026款 东方曜 2.0TD 自动揽星版,星越L 2026款 东方曜 2.0TD 自动望月版,星越L 2025款 2.0TD 自动行云版,星越L 2025款 东方曜 2.0TD 自动今朝版,星越L 2025款 东方曜 2.0TD 自动揽星版,星越L 2025款 东方曜 2.0TD 自动四驱望月版,星越L 2024款 油混 1.5T 星云版,星越L 2024款 油混 1.5T 星河版,星越L 2024款 油混 1.5T 天宫版,星越L 2024款 2.0TD DCT EVO两驱长风版,星越L 2024款 2.0TD 高功自动两驱云起版,星越L 2024款 2.0TD 高功自动两驱天际版
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0T 272马力 L4,2.0T 272马力 L4,2.0T 272马力 L4,2.0T 238马力 L4,2.0T 238马力 L4,2.0T 238马力 L4,2.0T 238马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,2.0T 218马力 L4,2.0T 238马力 L4,2.0T 238马力 L4
基本参数,电动机(Ps),-,-,-,-,-,-,-,136,136,136,-,-,-
基本参数,长*宽*高(mm),4795*1895*1689,4795*1895*1689,4795*1895*1689,4770*1895*1689,4770*1895*1689,4770*1895*1689,4770*1895*1689,4795*1895*1689,4795*1895*1689,4795*1895*1689,4770*1895*1689,4770*1895*1689,4770*1895*1689
基本参数,官方0-100km/h加速(s),7.3,7.3,7.5,7.5,7.5,7.5,7.7,7.9,7.9,7.9,7.9,7.5,7.5
基本参数,最高车速(km/h),225,225,225,215,215,215,215,190,190,190,215,215,215
基本参数,NEDC综合油耗(L/100km),-,-,-,-,-,-,-,4.3,4.3,4.3,6.8,6.9,6.9
基本参数,WLTC综合油耗(L/100km),7.79,7.79,8.59,7.79,7.79,7.79,8.59,4.79,4.79,4.79,7.5,7.70,7.70
基本参数,整车质保,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里
基本参数,整备质量(kg),1675,1675,1760,1675,1675,1675,1760,1775,1775,1775,1675,1695,1695
基本参数,最大满载质量(kg),2096,2096,2189,2096,2096,2096,2189,2199,2199,2199,2130,2160,2160
车身,长度(mm),4795,4795,4795,4770,4770,4770,4770,4795,4795,4795,4770,4770,4770
车身,宽度(mm),1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
车身,高度(mm),1689,1689,1689,1689,1689,1689,1689,1689,1689,1689,1689,1689,1689
车身,轴距(mm),2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845
车身,前轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
车身,后轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
车身,接近角(°),19,19,19,19,19,19,19,19,19,19,19,19,19
车身,离去角(°),19,19,19,19,19,19,19,19,19,19,19,19,19
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),55,55,62,55,55,55,62,55,55,55,55,55,55
车身,后备厢容积(L),562,562,562,562,562,562,562,-,-,-,562,562,562
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,JLH-4G20TDH,JLH-4G20TDH,JLH-4G20TDH,JLH-4G20TDB,JLH-4G20TDB,JLH-4G20TDB,JLH-4G20TDB,BHE15-BFZ,BHE15-BFZ,BHE15-BFZ,JLH-4G20TDJ,JLH-4G20TDB,JLH-4G20TDB
发动机,排量(mL),1969,1969,1969,1969,1969,1969,1969,1499,1499,1499,1969,1969,1969
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),272,272,272,238,238,238,238,163,163,163,218,238,238
发动机,最大功率(kW),200,200,200,175,175,175,175,120,120,120,160,175,175
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),400,400,400,350,350,350,350,255,255,255,325,350,350
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),195,195,195,175,175,175,175,115,115,115,160,175,175
发动机,发动机特有技术,-,-,-,-,-,-,-,米勒循环,米勒循环,米勒循环,-,-,-
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,92号,92号,92号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,-,-,-,-,-,-,-,交流/同步,交流/同步,交流/同步,-,-,-
电动机,电动机总功率(kW),-,-,-,-,-,-,-,100,100,100,-,-,-
电动机,电动机总马力(Ps),-,-,-,-,-,-,-,136,136,136,-,-,-
电动机,电动机总扭矩(N·m),-,-,-,-,-,-,-,320,320,320,-,-,-
电动机,前电动机最大功率(kW),-,-,-,-,-,-,-,100,100,100,-,-,-
电动机,前电动机最大扭矩(N·m),-,-,-,-,-,-,-,320,320,320,-,-,-
电动机,驱动电机数,-,-,-,-,-,-,-,单电机,单电机,单电机,-,-,-
电动机,电机布局,-,-,-,-,-,-,-,前置,前置,前置,-,-,-
电池/充电,电池类型,-,-,-,-,-,-,-,● 三元锂电池,● 三元锂电池,● 三元锂电池,-,-,-
电池/充电,电芯品牌,-,-,-,-,-,-,-,● 欣旺达,● 欣旺达,● 欣旺达,-,-,-
电池/充电,NEDC综合续航(km),-,-,-,-,-,-,-,1279,1279,1279,-,-,-
变速箱,简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,3挡DHT,3挡DHT,3挡DHT,7挡湿式双离合,8挡手自一体,8挡手自一体
变速箱,挡位个数,8,8,8,8,8,8,8,3,3,3,7,8,8
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),湿式双离合变速箱(DCT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,四驱形式,-,-,● 适时四驱,-,-,-,● 适时四驱,-,-,-,-,-,-
底盘转向,中央差速器结构,-,-,● 多片离合器,-,-,-,● 多片离合器,-,-,-,-,-,-
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 245/45 R20,● 245/45 R20,● 245/45 R20,● 235/50 R19,● 245/45 R20,● 245/45 R20,● 245/45 R20,● 235/50 R19,● 245/45 R20,● 245/45 R20,● 235/50 R19,● 235/50 R19,● 245/45 R20
车轮制动,后轮胎规格,● 245/45 R20,● 245/45 R20,● 245/45 R20,● 235/50 R19,● 245/45 R20,● 245/45 R20,● 245/45 R20,● 235/50 R19,● 245/45 R20,● 245/45 R20,● 235/50 R19,● 235/50 R19,● 245/45 R20
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前排中间气囊,●,●,●,-,-,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 全车,● 全车,● 全车,● 前排,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,○,●,-,-,-,-,-,●,●,-,-,-
主动安全,DOW开门预警,●,●,●,●,●,●,●,-,●,●,-,-,-
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,-,●,●,-,-,-
主动安全,低速行车警告,-,-,-,-,-,-,-,●,●,●,-,-,-
主动安全,内置行车记录仪,●,●,●,●,●,●,●,○,○,○,-,-,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 雪地 自定义/个性化,● 运动 经济 标准/舒适 雪地 自定义/个性化,● 运动 经济 标准/舒适 雪地 自定义/个性化,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地
驾驶操控,发动机启停技术,-,-,-,-,-,-,-,-,-,-,●,●,●
驾驶操控,能量回收系统,-,-,-,-,-,-,-,●,●,●,-,-,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,● 悬架软硬调节,● 悬架软硬调节,-,-,● 悬架软硬调节,● 悬架软硬调节,-,-,-,-,-,-
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,-,○ 地平线征程6M,● 地平线征程6M,-,-,-,-,-,-,-,-,-,-
驾驶硬件,芯片总算力,-,○ 128 TOPS,● 128 TOPS,-,-,-,-,-,-,-,-,-,-
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 双目,● 单目,● 单目,● 单目,● 单目,-,-,-,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 5个,● 5个,● 11个,● 5个,● 5个,● 5个,● 5个,● 6个,● 6个,● 6个,● 5个,● 5个,● 5个
驾驶硬件,车内摄像头数量,-,-,● 1个,-,-,-,-,-,● 1个,● 1个,-,-,-
驾驶硬件,超声波雷达数量,● 8个,● 8个,● 12个,● 8个,● 8个,● 8个,● 8个,● 8个,● 12个,● 12个,● 8个,● 8个,● 8个
驾驶硬件,毫米波雷达数量,● 2个,● 2个,● 3个,● 2个,● 2个,● 2个,● 2个,● 1个,● 5个,● 5个,-,-,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,○ 千里浩瀚H3,● 千里浩瀚H3,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,-,●,●,-,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,高精地图,-,-,-,-,-,-,-,-,○,○,-,-,-
驾驶功能,并线辅助,●,●,●,●,●,●,●,-,●,●,-,-,-
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,○,●,-,-,-,-,-,●,●,-,-,-
驾驶功能,遥控泊车,-,○,●,-,-,-,-,-,-,●,-,-,-
驾驶功能,辅助变道,-,○,●,-,-,-,-,-,●,●,-,-,-
驾驶功能,辅助匝道自动驶出(入),-,○,●,-,-,-,-,-,○,○,-,-,-
驾驶功能,辅助驾驶路段,-,○ 高速路段,● 高速路段,-,-,-,-,-,○ 高速路段,○ 高速路段,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,感应后备厢,-,-,-,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,-,-,-,● 矩阵式,● 矩阵式,● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,辅助驾驶灯,-,○,●,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,后排侧隐私玻璃,●,●,●,-,-,●,●,-,-,●,-,-,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
屏幕/系统,中控屏幕分辨率,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720
屏幕/系统,中控屏幕像素密度,-,-,-,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI
屏幕/系统,副驾娱乐屏尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
屏幕/系统,副驾屏幕分辨率,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720,● 1920x720
屏幕/系统,副驾屏幕像素密度,-,-,-,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI
