セクション,セクション_ja,項目,項目_ja,2025年モデル 栄誉 2.0L 2WD 真心版,2025年モデル 栄誉 2.0L 2WD 先進版,2023年モデル e-POWER 超ハイブリッドデュアルモーター 4WD ブラックゴールド版,2023年モデル e-POWER 超ハイブリッドデュアルモーター 4WD 豪華版,2023年モデル e-POWER 超ハイブリッドデュアルモーター 4WD 最上位版,2023年モデル クラシック 2.0L 2WD インテリジェント快適版,2023年モデル クラシック 2.0L 2WD インテリジェントプレミアム版,2022年モデル VCターボ 300 CVT 2WD 星月限定版,2021年モデル VCターボ 300 CVT 2WD ファッショナブル版,2021年モデル VCターボ 300 CVT 2WD 快適版,2021年モデル VCターボ 300 CVT 2WD 豪華版,2021年モデル VCターボ 300 CVT 2WD 豪華版 7人乗り,2021年モデル VCターボ 300 CVT 4WD 豪華版,2021年モデル VCターボ 300 CVT 4WD プレミアム版,2021年モデル VCターボ 300 CVT 4WD プレミアム版 7人乗り,2021年モデル VCターボ 300 CVT 4WD 最上位版
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0L 151馬力 L4,2.0L 151馬力 L4,1.5T 144馬力 L3,1.5T 144馬力 L3,1.5T 144馬力 L3,2.0L 151馬力 L4,2.0L 151馬力 L4,1.5T 204馬力 L3,1.5T 204馬力 L3,1.5T 204馬力 L3,1.5T 204馬力 L3,1.5T 204馬力 L3,1.5T 204馬力 L3,1.5T 204馬力 L3,1.5T 204馬力 L3,1.5T 204馬力 L3
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),-,-,340,340,340,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4675×1820×1722,4675×1820×1722,4681×1840×1730,4681×1840×1730,4681×1840×1730,4675×1820×1722,4675×1820×1722,4681×1840×1730,4681×1840×1730,4681×1840×1730,4681×1840×1730,4681×1840×1730,4681×1840×1730,4681×1840×1730,4681×1840×1725,4681×1840×1730
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),12.7,12.7,-,-,-,12.7,12.7,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),183,183,180,180,180,183,183,200,200,200,200,200,200,200,200,200
基本参数,基本仕様,NEDC综合油耗(L/100km),NEDC総合燃費(L/100km),-,-,-,-,-,-,-,5.8,5.8,5.8,5.8,6.1,6.3,6.3,6.4,6.3
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.26,7.26,6.36,6.36,6.43,7.05,7.05,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,实测0-100km/h加速(s),実測0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,8.68,-,-,-,-,8.44
基本参数,基本仕様,实测100-0km/h制动(m),実測100-0km/h制動距離(m),-,-,-,-,-,-,-,-,-,-,41.26,-,-,-,-,40.13
基本参数,基本仕様,实测油耗(L/100km),実測燃費(L/100km),-,-,-,-,-,-,-,-,-,-,6.8,-,-,-,-,7.9
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1494,1494,1851,1851,1865,1494,1494,1615,1590,1615,1624,1682,1690,1696,1753,1705
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1930,1930,2280,2280,2280,1930,1930,2040,2040,2040,2040,2250,2120,2120,2290,2120
车身,車体,长度(mm),全長(mm),4675,4675,4681,4681,4681,4675,4675,4681,4681,4681,4681,4681,4681,4681,4681,4681
车身,車体,宽度(mm),全幅(mm),1820,1820,1840,1840,1840,1820,1820,1840,1840,1840,1840,1840,1840,1840,1840,1840
车身,車体,高度(mm),全高(mm),1722,1722,1730,1730,1730,1722,1722,1730,1730,1730,1730,1730,1730,1730,1725,1730
车身,車体,轴距(mm),ホイールベース(mm),2706,2706,2706,2706,2706,2706,2706,2706,2706,2706,2706,2706,2706,2706,2706,2706
车身,車体,前轮距(mm),前トレッド(mm),1575,1575,1584,1584,1584,1575,1575,1585,1585,1585,1585,1585,1585,1585,1585,1585
车身,車体,后轮距(mm),後トレッド(mm),1570,1570,1589,1589,1589,1570,1570,1599,1599,1599,1599,1599,1599,1599,1599,1599
车身,車体,空载最小离地间隙(mm),無負荷時最低地上高(mm),208,208,190,190,190,208,208,211,212,211,210,211,210,211,210,212
车身,車体,接近角(°),アプローチアングル(°),16,16,18,18,18,16,16,18,18,18,18,19,18,18,19,18
车身,車体,离去角(°),デパーチャーアングル(°),19,19,19,19,19,19,19,19,19,19,19,17,19,19,17,19
车身,車体,最小转弯半径(m),最小回転半径(m),5.6,5.6,5.4,5.4,5.4,5.6,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 5人乗り,● 7人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),57,57,-,-,-,57,57,55,55,55,55,55,55,55,55,55
车身,車体,后备厢容积(L),トランク容量(L),700,700,-,-,-,700,700,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,MR20,MR20,KR15,KR15,KR15,MR20,MR20,KR15,KR15,KR15,KR15,KR15,KR15,KR15,KR15,KR15
发动机,エンジン,排量(mL),排気量(mL),1997,1997,1497,1497,1497,1997,1997,1497,1497,1497,1497,1497,1497,1497,1497,1497
发动机,エンジン,排量(L),排気量(L),2.0,2.0,1.5,1.5,1.5,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,ターボチャージャー,ターボチャージャー,ターボチャージャー,自然吸気,自然吸気,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,11.7,11.7,8-14,8-14,8-14,11.7,11.7,-,-,-,-,-,-,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),151,151,144,144,144,151,151,204,204,204,204,204,204,204,204,204
发动机,エンジン,最大功率(kW),最大出力(kW),111,111,106,106,106,111,111,150,150,150,150,150,150,150,150,150
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,-,-,-,6000,6000,5600,5600,5600,5600,5600,5600,5600,5600,5600
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),194,194,-,-,-,194,194,300,300,300,300,300,300,300,300,300
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4400,4400,-,-,-,4400,4400,2800-4400,2800-4400,2800-4400,2800-4400,2800-4400,2800-4400,2800-4400,2800-4400,2800-4400
发动机,エンジン,最大净功率(kW),最大出力(kW),103,103,106,106,106,103,103,142,142,142,142,142,142,142,142,142
发动机,エンジン,发动机特有技术,エンジン独自技術,-,-,可変圧縮比,可変圧縮比,可変圧縮比,-,-,可変圧縮比,可変圧縮比,可変圧縮比,可変圧縮比,可変圧縮比,可変圧縮比,可変圧縮比,可変圧縮比,可変圧縮比
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン電動駆動,ガソリン電動駆動,ガソリン電動駆動,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6
电动机,モーター,电机类型,モーター種類,-,-,永久磁石同期,永久磁石同期,永久磁石同期,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,电动机总功率(kW),モーター総出力(kW),-,-,250,250,250,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),-,-,340,340,340,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),-,-,525,525,525,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,150,150,150,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,330,330,330,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),-,-,195,195,195,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,系统综合功率(kW),システム総合出力(kW),-,-,250,250,250,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),-,-,340,340,340,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),-,-,525,525,525,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,驱动电机数,駆動モーター数,-,-,デュアルモーター,デュアルモーター,デュアルモーター,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,电机布局,モーター配置,-,-,前置＋後置,前置＋後置,前置＋後置,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,-,-,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,-,-,● 欣旺達（シンワンダ）,● 欣旺達（シンワンダ）,● 欣旺達（シンワンダ）,-,-,-,-,-,-,-,-,-,-,-
变速箱,トランスミッション,简称,略称,CVT無段変速（7速マニュアルモード）,CVT無段変速（7速マニュアルモード）,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,CVT無段変速（7速マニュアルモード）,CVT無段変速（7速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）
变速箱,トランスミッション,挡位个数,段数,7,7,1,1,1,7,7,8,8,8,8,8,8,8,8,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,無段変速機（CVT）,無段変速機（CVT）,固定歯比変速機,固定歯比変速機,固定歯比変速機,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置4WD,● 前置4WD,● 前置4WD,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置4WD,● 前置4WD,● 前置4WD,● 前置4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,● 電動4WD,● 電動4WD,● 電動4WD,-,-,-,-,-,-,-,● 走行状況連動4WD,● 走行状況連動4WD,● 走行状況連動4WD,● 走行状況連動4WD
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,● -,● -,● -,-,-,-,-,-,-,-,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/65 R17,● 225/65 R17,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 225/65 R17,● 225/65 R17,● 235/65 R17,● 235/65 R17,● 235/65 R17,● 235/65 R17,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/55 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/65 R17,● 225/65 R17,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 225/65 R17,● 225/65 R17,● 235/65 R17,● 235/65 R17,● 235/65 R17,● 235/65 R17,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/55 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● パンク修理キット,● パンク修理キット,● パンク修理キット,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内,● トランク内,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前● / 後なし,前● / 後なし,前● / 後なし,前● / 後なし,前● / 後なし,前● / 後なし,前● / 後なし,前● / 後なし,前● / 後なし,前● / 後なし,前● / 後なし,前● / 後なし,前● / 後なし,前● / 後なし,前● / 後なし,前● / 後なし
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,前● / 後●,前● / 後●,前● / 後●,-,-,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 全車,● 全車,● 全車,● 前席,● 前席,● 全車,● 全車,● 全車,● 全車,"● 前席
● 第二列席",● 全車,● 全車,"● 前席
● 第二列席",● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,移动物体预警系统,移動物体警告システム,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-
