セクション,項目,宝马X3 2025款 改款 xDrive25L 豪华套装,宝马X3 2025款 xDrive30L 领先型 M运动曜夜套装,宝马X3 2025款 xDrive30L 尊享型 M运动曜夜套装,宝马X3 2025款 xDrive25L 豪华套装,宝马X3 2025款 xDrive30L 领先型 M运动套装,宝马X3 2025款 xDrive30L 尊享型 M运动套装
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化
驾驶操控,发动机启停技术,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,单目 双目,单目 双目,● 双目,单目 双目,单目 双目,● 双目
驾驶硬件,摄像头数量,5个 6个,5个 6个,● 6个,5个 6个,5个 6个,● 6个
驾驶硬件,车内摄像头数量,○ 1个 (2100元),○ 1个 (2100元),● 1个,○ 1个 (2100元),○ 1个 (2100元),● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶功能,巡航系统,自适应巡航 全速自适应巡航,自适应巡航 全速自适应巡航,● 全速自适应巡航,自适应巡航 全速自适应巡航,自适应巡航 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●
驾驶功能,地图品牌,● 腾讯,● 腾讯,● 腾讯,● 腾讯,● 腾讯,● 腾讯
驾驶功能,并线辅助,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●
驾驶功能,车道居中保持,○,○,●,○,○,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●
驾驶功能,记忆泊车,●,●,●,●,●,●
驾驶功能,循迹倒车,●,●,●,●,●,●
驾驶功能,辅助变道,○,○,●,○,○,●
驾驶功能,辅助匝道自动驶出(入),○,○,●,○,○,●
驾驶功能,方向盘离手检测,●,●,●,●,●,●
驾驶功能,起步提醒,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,○ 高速路段,○ 高速路段,● 高速路段,○ 高速路段,○ 高速路段,● 高速路段
外观/防盗,外观套件,● 豪华风格,● 运动风格,● 运动风格,● 豪华风格,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●
外观/防盗,感应后备厢,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●
车外灯光,自适应远近光,○ (5800元),○ (5800元),●,○ (5800元),○ (5800元),●
车外灯光,自动头灯,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,星空天窗,○ (6800元),○ (6800元),●,○ (6800元),○ (6800元),●
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目 (2600元),● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目 (2600元),● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 车窗 座椅加热,● 多媒体系统 导航 电话 空调 车窗 座椅加热,● 多媒体系统 导航 电话 空调 车窗 座椅加热,● 多媒体系统 导航 电话 空调 车窗 座椅加热,● 多媒体系统 导航 电话 空调 车窗 座椅加热,● 多媒体系统 导航 电话 空调 车窗 座椅加热
屏幕/系统,语音助手唤醒词,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马
屏幕/系统,语音免唤醒词,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●,●
屏幕/系统,应用商店,●,●,●,●,●,●
屏幕/系统,车载智能系统,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive
智能化配置,车联网,●,●,●,●,●,●
智能化配置,4G/5G网络,4G 5G (3100元),4G 5G (3100元),4G 5G (3100元),4G 5G (3100元),4G 5G (3100元),4G 5G (3100元)
智能化配置,OTA升级,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修
方向盘/内后视镜,方向盘材质,● 皮质,● 真皮,● 真皮,● 皮质,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,○ (2400元),○ (2400元),○ (2400元),○ (2400元),○ (2400元),○ (2400元)
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,○,○,●,○,○,●
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,●,●,●,●,●,●
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排
车内充电,行李厢12V电源接口,-,-,-,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (1400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (1400元),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (1400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (1400元),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,○ Harman/Kardon哈曼卡顿 (5300元),● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,○ Harman/Kardon哈曼卡顿 (5300元),● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿
音响/车内灯光,扬声器数量,6喇叭 12喇叭,● 12喇叭,● 12喇叭,6喇叭 12喇叭,● 12喇叭,● 12喇叭
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色
音响/车内灯光,主动式环境氛围灯,●,●,●,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●
颜色,外观颜色,矿石白 碳黑色 摩天灰 磨砂纯灰 ￥8000 布鲁克林灰 极速蓝,矿石白 碳黑色 摩天灰 磨砂纯灰 ￥8000 布鲁克林灰 极速蓝,矿石白 碳黑色 摩天灰 磨砂纯灰 ￥8000 布鲁克林灰 极速蓝,矿石白 碳黑色 摩天灰 磨砂纯灰 ￥8000 布鲁克林灰 极速蓝,矿石白 碳黑色 摩天灰 布鲁克林灰 极速蓝,矿石白 碳黑色 摩天灰 布鲁克林灰 极速蓝
颜色,内饰颜色,摩卡色 星辰蓝 赤焰红,摩卡色 星辰蓝 赤焰红,摩卡色 星辰蓝 赤焰红,摩卡色 星辰蓝 赤焰红,摩卡色 星辰蓝 赤焰红,摩卡色 星辰蓝 赤焰红
选装包,创新套装,○ 包含：智能互联驾驶座舱（含全彩平视显示系统）、自动驾驶辅助系统Pro 选配 (28400元),○ 包含：智能互联驾驶座舱（含全彩平视显示系统）、自动驾驶辅助系统Pro 选配 (28400元),-,○ 包含：智能互联驾驶座舱（含全彩平视显示系统）、自动驾驶辅助系统Pro 选配 (28400元),○ 包含：智能互联驾驶座舱（含全彩平视显示系统）、自动驾驶辅助系统Pro 选配 (28400元),-
