セクション,項目,探险者 2025款 2.3T EcoBoost 四驱穿越版 5座,探险者 2024款 2.3T EcoBoost 后驱风尚版 6座,探险者 2024款 2.3T EcoBoost 后驱风尚版 7座,探险者 2024款 2.3T EcoBoost 四驱风尚plus版 6座,探险者 2024款 2.3T EcoBoost 四驱风尚plus版 7座,探险者 2024款 2.3T EcoBoost 四驱钛金版 6座,探险者 2024款 2.3T EcoBoost 四驱钛金版 7座,探险者 2024款 2.3T EcoBoost 四驱ST-LINE 6座,探险者 2024款 2.3T EcoBoost 四驱ST-LINE 7座,探险者 2024款 2.3T EcoBoost 赤金版 6座,探险者 2024款 2.3T EcoBoost 昆仑巅峰版 6座,探险者 2024款 2.3T EcoBoost 昆仑巅峰版 7座,探险者 2025款 2.3T EcoBoost 昆仑穿越版 5座
基本参数,WLTC综合油耗(L/100km),9.57,8.86,8.86,9.57,9.57,9.57,9.57,9.94,9.94,9.94,10.6,10.6,10.6
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2054,2009,2009,2054,2054,2092,2092,2106,2106,2103,2146,2146,2103
基本参数,最大满载质量(kg),2630,2566,2566,2630,2630,2680,2680,2638,2668,2680,2755,2755,2530
基本参数,准拖挂车总质量(kg),-,-,-,-,-,-,-,-,-,-,2100,2100,2100
车身,长度(mm),5063,5063,5063,5063,5063,5063,5063,5063,5063,5063,5066,5066,5066
车身,宽度(mm),2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004
车身,高度(mm),1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1797,1797,1797
车身,轴距(mm),3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025
车身,前轮距(mm),1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1700,1700,1700
车身,后轮距(mm),1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1700,1700,1700
车身,满载最小离地间隙(mm),201,189,189,201,201,201,201,219,219,201,219,219,-
车身,接近角(°),20,19,19,20,20,20,20,20,20,20,23,23,23
车身,离去角(°),21,21,21,21,21,21,21,21,21,21,24,24,24
车身,最小转弯半径(m),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 6,● 7,● 6,● 7,● 6,● 7,● 6,● 7,● 6,● 6,● 7,● 5
车身,油箱容积(L),81,81,81,81,81,81,81,81,81,81,81,81,81
车身,后备厢容积(L),1505-2487,515-2487,515-2487,515-2487,515-2487,515-2487,515-2487,515-2487,515-2487,515-2487,515-2487,515-2487,1505-2487
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,CAF484WQMA,CAF484WQMA,CAF484WQMA,CAF484WQMA,CAF484WQMA,CAF484WQMA,CAF484WQMA,CAF484WQMA,CAF484WQMA,CAF484WQMA,CAF484WQMA,CAF484WQMA,CAF484WQMA
发动机,排量(mL),2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261
发动机,排量(L),2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),289,289,289,289,289,289,289,289,289,289,289,289,289
发动机,最大功率(kW),213,213,213,213,213,213,213,213,213,213,213,213,213
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),445,445,445,445,445,445,445,445,445,445,445,445,445
发动机,最大扭矩转速(rpm),2500-4500,2500-4500,2500-4500,2500-4500,2500-4500,2500-4500,2500-4500,2500-4500,2500-4500,2500-4500,2500-4500,2500-4500,2500-4500
发动机,最大净功率(kW),211,211,211,211,211,211,211,211,211,211,211,211,211
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,10挡自动,10挡自动,10挡自动,10挡自动,10挡自动,10挡自动,10挡自动,10挡手自一体,10挡手自一体,10挡自动,10挡手自一体,10挡手自一体,10挡手自一体
变速箱,挡位个数,10,10,10,10,10,10,10,10,10,10,10,10,10
变速箱,变速箱类型,自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),自动变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置四驱,● 前置后驱,● 前置后驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 适时四驱,-,-,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱
底盘转向,中央差速器结构,● 多片离合器,-,-,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 255/55 R20,● 255/55 R20,● 255/55 R20,● 255/55 R20,● 255/55 R20,● 255/55 R20,● 255/55 R20,● 275/45 R21,● 275/45 R21,● 275/45 R21,● 265/65 R18,● 265/65 R18,● 265/65 R18
车轮制动,后轮胎规格,● 255/55 R20,● 255/55 R20,● 255/55 R20,● 255/55 R20,● 255/55 R20,● 255/55 R20,● 255/55 R20,● 275/45 R21,● 275/45 R21,● 275/45 R21,● 265/65 R18,● 265/65 R18,● 265/65 R18
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 越野 雪地
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,拖挂模式,-,-,-,-,-,-,-,-,-,-,●,●,●
四驱/越野,限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,● 后桥限滑差速器,● 后桥限滑差速器,● 后桥限滑差速器
四驱/越野,拖挂钩,-,-,-,-,-,-,-,-,-,-,○ 手动,○ 手动,○ 手动
四驱/越野,拖车取电口,-,-,-,-,-,-,-,-,-,-,●,●,●
驾驶硬件,前/后驻车雷达,● 前- / 后,● 前- / 后,● 前- / 后,● 前- / 后,● 前- / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前- / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 2个,● 2个,● 2个,● 2个,● 2个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,车内摄像头数量,-,-,-,-,-,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 4个,● 4个,● 4个,● 4个,● 4个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 4个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 3个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● BlueCruise驾驶辅助,● BlueCruise驾驶辅助,● BlueCruise驾驶辅助,● BlueCruise驾驶辅助,● BlueCruise驾驶辅助,● BlueCruise驾驶辅助,● BlueCruise驾驶辅助,● Co-Pilot360
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度
驾驶功能,并线辅助,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助变道,-,-,-,-,-,●,●,●,●,●,●,●,-
外观/防盗,外观套件,-,-,-,-,-,-,-,● 运动风格,● 运动风格,-,● 越野风格,● 越野风格,● 越野风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,● 手动,● 手动,● 手动,-
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 27英寸,● 27英寸,● 27英寸,● 27英寸,● 27英寸,● 27英寸,● 27英寸,● 27英寸,● 27英寸,● 27英寸,● 27英寸,● 27英寸,● 27英寸
屏幕/系统,中控屏幕分辨率,● 4032x756,● 4032x756,● 4032x756,● 4032x756,● 4032x756,● 4032x756,● 4032x756,● 4032x756,● 4032x756,● 4032x756,● 4032x756,● 4032x756,● 4032x756
屏幕/系统,中控屏幕像素密度,● 152PPI,● 152PPI,● 152PPI,● 152PPI,● 152PPI,● 152PPI,● 152PPI,● 152PPI,● 152PPI,● 152PPI,● 152PPI,● 152PPI,● 152PPI
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 座椅加热 座椅通风
屏幕/系统,语音助手唤醒词,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特,● 你好，福特
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●
