セクション,項目,思域 2025款 180TURBO CVT 智趣,思域 2025款 2.0L e:HEV 混动,思域 2025款 2.0L e:HEV 混动Plus,思域 2025款 2.0L e:HEV 混动Pro,思域 2025款 2.0L e:HEV 混动Max,思域 2025款 240TURBO CVT 智趣Plus,思域 2025款 240TURBO CVT 智趣Pro,思域 2025款 240TURBO CVT 智趣Max,思域 2023款 HATCHBACK 240TURBO CVT极跃版,思域 2023款 HATCHBACK 240TURBO CVT极锐版,思域 2023款 HATCHBACK 240TURBO 手动极劲版,思域 2023款 240TURBO CVT劲势版,思域 2023款 240TURBO CVT劲动·C位客特别版,思域 2023款 240TURBO CVT劲控·C位客特别版,思域 2023款 HATCHBACK 240TURBO CVT极锋版,思域 2023款 HATCHBACK 2.0L e:HEV 极曜版,思域 2023款 HATCHBACK 2.0L e:HEV 极控版,思域 2023款 2.0L e:HEV 先锋版,思域 2023款 2.0L e:HEV 锐力版,思域 2023款 2.0L e:HEV 劲速版,思域 2022款 180TURBO CVT尚动版,思域 2022款 180TURBO CVT尚擎版,思域 2022款 240TURBO CVT劲骋版,思域 2022款 240TURBO CVT劲动版,思域 2022款 240TURBO CVT燃动版,思域 2022款 240TURBO CVT劲控版,思域 2022款 240TURBO CVT燃擎版
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5T 129马力 L4,2.0L 143马力 L4,2.0L 143马力 L4,2.0L 143马力 L4,2.0L 143马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,2.0L 143马力 L4,2.0L 143马力 L4,2.0L 143马力 L4,2.0L 143马力 L4,2.0L 143马力 L4,1.5T 129马力 L4,1.5T 129马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4
基本参数,电动机(Ps),-,184,184,184,184,-,-,-,-,-,-,-,-,-,-,184,184,184,184,184,-,-,-,-,-,-,-
基本参数,长*宽*高(mm),4685*1802*1415,4685*1802*1415,4685*1802*1415,4685*1802*1415,4685*1802*1420,4685*1802*1415,4685*1802*1415,4685*1802*1420,4548*1802*1415,4548*1802*1415,4548*1802*1420,4674*1802*1415,4674*1802*1415,4674*1802*1415,4548*1802*1420,4548*1802*1415,4548*1802*1420,4674*1802*1415,4674*1802*1415,4674*1802*1420,4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1415
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),200,180,180,180,180,200,200,200,200,200,208,200,200,200,200,180,180,180,180,180,200,200,200,200,200,200,200
基本参数,NEDC综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.5,5.7,5.8,5.8,5.9,5.9,5.9
基本参数,WLTC综合油耗(L/100km),5.79,4.39,4.39,4.47,4.51,6.01,6.28,6.36,6.12,6.12,5.91,6.01,6.01,6.28,6.28,4.61,4.67,4.39,4.47,4.51,5.79,5.79,6.01,6.01,6.28,6.28,6.28
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1315,1451,1467,1468,1501,1356,1370,1403,1381,1394,1373,1353,1353,1397,1425,1473,1478,1467,1468,1501,1315,1323,1353,1353,1370,1397,1398
基本参数,最大满载质量(kg),1740,1935,1935,1935,1935,1800,1800,1800,1840,1840,1840,1800,1800,1800,1840,1935,1935,1935,1935,1935,1740,1740,1800,1800,1800,1800,1800
车身,长度(mm),4685,4685,4685,4685,4685,4685,4685,4685,4548,4548,4548,4674,4674,4674,4548,4548,4548,4674,4674,4674,4674,4674,4674,4674,4674,4674,4674
车身,宽度(mm),1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802
车身,高度(mm),1415,1415,1415,1415,1420,1415,1415,1420,1415,1415,1420,1415,1415,1415,1420,1415,1420,1415,1415,1420,1415,1415,1415,1415,1415,1415,1415
车身,轴距(mm),2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735
车身,前轮距(mm),1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547
车身,后轮距(mm),1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
车身,接近角(°),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
车身,离去角(°),18,19,19,19,19,18,18,18,19,19,19,18,18,18,19,19,19,19,19,19,18,18,18,18,18,18,18
车身,最小转弯半径(m),5.35,5.35,5.35,5.35,5.65,5.35,5.35,5.65,5.35,5.35,5.65,5.35,5.35,5.35,5.65,5.35,5.65,5.35,5.35,5.65,5.35,5.35,5.35,5.35,5.35,5.35,5.35
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,两厢车,两厢车,两厢车,三厢车,三厢车,三厢车,两厢车,两厢车,两厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 5,● 5,● 5,● 4,● 4,● 4,● 5,● 5,● 5,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),47,40,40,40,40,47,47,47,47,47,47,47,47,47,47,40,40,40,40,40,47,47,47,47,47,47,47
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,L15C7,LFB15,LFB15,LFB15,LFB15,L15C8,L15C8,L15C8,L15C8,L15C8,L15C8,L15C8,L15C8,L15C8,L15C8,LFB15,LFB15,LFB15,LFB15,LFB15,L15C7,L15C7,L15C8,L15C8,L15C8,L15C8,L15C8
发动机,排量(mL),1498,1993,1993,1993,1993,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1993,1993,1993,1993,1993,1498,1498,1498,1498,1498,1498,1498
发动机,排量(L),1.5,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,10.3,13.9,13.9,13.9,13.9,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,13.9,13.9,13.9,13.9,13.9,10.3,10.3,10.3,10.3,10.3,10.3,10.3
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,缸径(mm),73,-,-,-,-,73,73,73,73,73,73,73,73,73,73,-,-,-,-,-,73,73,73,73,73,73,73
发动机,行程(mm),89.5,-,-,-,-,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,-,-,-,-,-,89.5,89.5,89.5,89.5,89.5,89.5,89.5
发动机,最大马力(Ps),129,143,143,143,143,182,182,182,182,182,182,182,182,182,182,143,143,143,143,143,129,129,182,182,182,182,182
发动机,最大功率(kW),95,105,105,105,105,134,134,134,134,134,134,134,134,134,134,105,105,105,105,105,95,95,134,134,134,134,134
发动机,最大功率转速(rpm),5500-6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5500-6000,5500-6000,6000,6000,6000,6000,6000
发动机,最大扭矩(N·m),180,182,182,182,182,240,240,240,240,240,240,240,240,240,240,182,182,182,182,182,180,180,240,240,240,240,240
发动机,最大扭矩转速(rpm),1700-4500,4500,4500,4500,4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,4500,4500,4500,4500,4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500
发动机,最大净功率(kW),95,105,105,105,105,134,134,134,134,134,134,134,134,134,134,105,105,105,105,105,95,95,134,134,134,134,134
发动机,发动机特有技术,VTEC TURBO,阿特金森循环,阿特金森循环,阿特金森循环,阿特金森循环,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,阿特金森循环,阿特金森循环,阿特金森循环,阿特金森循环,阿特金森循环,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO
发动机,能源类型,汽油,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,-,永磁/同步,永磁/同步,永磁/同步,永磁/同步,-,-,-,-,-,-,-,-,-,-,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,-,-,-,-,-,-,-
电动机,电动机总功率(kW),-,135,135,135,135,-,-,-,-,-,-,-,-,-,-,135,135,135,135,135,-,-,-,-,-,-,-
电动机,电动机总马力(Ps),-,184,184,184,184,-,-,-,-,-,-,-,-,-,-,184,184,184,184,184,-,-,-,-,-,-,-
电动机,电动机总扭矩(N·m),-,315,315,315,315,-,-,-,-,-,-,-,-,-,-,315,315,315,315,315,-,-,-,-,-,-,-
电动机,前电动机最大功率(kW),-,135,135,135,135,-,-,-,-,-,-,-,-,-,-,135,135,135,135,135,-,-,-,-,-,-,-
电动机,前电动机最大扭矩(N·m),-,315,315,315,315,-,-,-,-,-,-,-,-,-,-,315,315,315,315,315,-,-,-,-,-,-,-
电动机,系统综合功率(kW),-,149,149,149,149,-,-,-,-,-,-,-,-,-,-,149,149,149,149,149,-,-,-,-,-,-,-
电动机,系统综合功率(Ps),-,203,203,203,203,-,-,-,-,-,-,-,-,-,-,203,203,203,203,203,-,-,-,-,-,-,-
电动机,驱动电机数,-,单电机,单电机,单电机,单电机,-,-,-,-,-,-,-,-,-,-,单电机,单电机,单电机,单电机,单电机,-,-,-,-,-,-,-
电动机,电机布局,-,前置,前置,前置,前置,-,-,-,-,-,-,-,-,-,-,前置,前置,前置,前置,前置,-,-,-,-,-,-,-
电池/充电,电池类型,-,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,-,-,-,-,-,-,-,-,-,-,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,-,-,-,-,-,-,-
变速箱,简称,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,6挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,6,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/55 R16,● 215/55 R16,● 215/50 R17,● 215/50 R17,● 225/45 R18,● 215/55 R16,● 215/50 R17,● 225/45 R18,● 215/55 R16,● 215/50 R17,● 225/45 R18,● 215/55 R16,● 215/55 R16,● 215/50 R17,● 225/45 R18,● 215/50 R17,● 225/45 R18,● 215/50 R17,● 215/50 R17,● 225/45 R18,● 215/55 R16,● 215/55 R16,● 215/55 R16,● 215/55 R16,● 215/50 R17,● 215/50 R17,● 215/50 R17
车轮制动,后轮胎规格,● 215/55 R16,● 215/55 R16,● 215/50 R17,● 215/50 R17,● 225/45 R18,● 215/55 R16,● 215/50 R17,● 225/45 R18,● 215/55 R16,● 215/50 R17,● 225/45 R18,● 215/55 R16,● 215/55 R16,● 215/50 R17,● 225/45 R18,● 215/50 R17,● 225/45 R18,● 215/50 R17,● 215/50 R17,● 225/45 R18,● 215/55 R16,● 215/55 R16,● 215/55 R16,● 215/55 R16,● 215/50 R17,● 215/50 R17,● 215/50 R17
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 无,● 无,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
