セクション,項目,腾势D9 2025款 DM-i 两驱行政版,腾势D9 2025款 EV 智驾版 600 四驱尊贵型,腾势D9 2025款 EV 智驾版 600 四驱旗舰型,腾势D9 2025款 DM-i 两驱尊航型,腾势D9 2025款 DM-i 四驱尊航型,腾势D9 2025款 DM-i 智驾版 1020 四驱尊贵型,腾势D9 2025款 DM-i 智驾版 1020 四驱尊荣型,腾势D9 2025款 DM-i 智驾版 1020 四驱旗舰型,腾势D9 2025款 DM-i 四驱至尊型,腾势D9 2025款 DM-i 智驾版 1100 豪华型,腾势D9 2025款 DM-i 智驾版 1020 四驱尊享型,腾势D9 2025款 EV 两驱尊航型,腾势D9 2025款 EV 智驾版 620 豪华型,腾势D9 2024款 EV 620 尊享型,腾势D9 2024款 DM-i 970 豪华型,腾势D9 2024款 DM-i 980 四驱尊贵型,腾势D9 2024款 PIONEER 四座创领版,腾势D9 2024款 DM-i 980 四驱尊荣型
发动机,最大扭矩(N·m),231,-,-,225,225,225,225,225,225,225,225,-,-,-,231,231,231,231
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),96,-,-,110,110,110,110,110,110,110,110,-,-,-,96,96,96,96
发动机,发动机特有技术,VVT,-,-,-,-,-,-,-,-,-,-,-,-,-,VVT,VVT,VVT,VVT
发动机,能源类型,插电式混合动力,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,-,-,92号,92号,92号,92号,92号,92号,92号,92号,-,-,-,92号,92号,92号,92号
发动机,供油方式,直喷,-,-,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,-,-,-,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,-,-,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,国VI,国VI,国VI,国VI
电动机,前电动机品牌,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
电动机,后电动机品牌,-,比亚迪,比亚迪,-,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,-,比亚迪,-,-,-,-,比亚迪,比亚迪,比亚迪
电动机,前电动机型号,TZ220XYT,TZ200XYD,TZ200XYD,TZ210XYD,TZ210XYD,TZ210XYD,TZ210XYD,TZ210XYD,TZ210XYD,TZ210XYD,TZ210XYD,TZ200XYD,TZ200XYD,TZ200XYD,TZ220XYT,TZ220XYT,TZ220XYT,TZ220XYT
电动机,后电动机型号,-,TZ180XSN,TZ180XSN,-,TZ180XSN,TZ180XSN,TZ180XSN,TZ180XSN,TZ180XSN,-,TZ180XSN,-,-,-,-,TZ180XSN,TZ180XSN,TZ180XSN
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),170,275,275,200,245,245,245,245,245,200,245,230,230,230,170,215,215,215
电动机,电动机总马力(Ps),231,374,374,272,333,333,333,333,333,272,333,313,313,313,231,292,292,292
电动机,电动机总扭矩(N·m),340,470,470,315,425,425,425,425,425,315,425,360,360,360,340,450,450,450
电动机,前电动机最大功率(kW),170,230,230,200,200,200,200,200,200,200,200,230,230,230,170,170,170,170
电动机,前电动机最大扭矩(N·m),340,360,360,315,315,315,315,315,315,315,315,360,360,360,340,340,340,340
电动机,后电动机最大功率(kW),-,45,45,-,45,45,45,45,45,-,45,-,-,-,-,45,45,45
电动机,后电动机最大扭矩(N·m),-,110,110,-,110,110,110,110,110,-,110,-,-,-,-,110,110,110
电动机,系统综合功率(kW),221,-,-,-,-,-,-,-,-,-,-,-,-,-,221,299,299,299
电动机,系统综合功率(Ps),301,-,-,-,-,-,-,-,-,-,-,-,-,-,301,407,407,407
电动机,系统综合扭矩(N·m),571,-,-,-,-,-,-,-,-,-,-,-,-,-,571,681,681,681
电动机,驱动电机数,单电机,双电机,双电机,单电机,双电机,双电机,双电机,双电机,双电机,单电机,双电机,单电机,单电机,单电机,单电机,双电机,双电机,双电机
电动机,电机布局,前置,前置+后置,前置+后置,前置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置,前置+后置,前置,前置,前置,前置,前置+后置,前置+后置,前置+后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,WLTC纯电续航里程(km),75,-,-,155,145,145,145,145,145,155,145,-,-,-,75,145,140,145
电池/充电,CLTC纯电续航里程(km),103,600,600,200,190,190,190,190,190,200,190,620,620,620,103,190,185,190
电池/充电,NEDC综合续航(km),970,-,-,1100,1020,1020,1020,1020,1020,1100,1020,-,-,-,970,980,960,980
电池/充电,电池能量(kWh),20,103,103,40,40,40,40,40,40,40,40,103,103,103.36,20.39,40,40,40
电池/充电,电池能量密度(Wh/kg),-,-,-,-,-,-,-,-,-,-,-,-,-,150,-,-,-,-
电池/充电,百公里耗电量(kWh/100km),18.9,18.4,18.4,21.9,23,23,23,23,23,21.9,23,17.9,17.9,17.9,18.9,23,23.3,23
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),45,200,200,80,80,80,80,80,80,80,80,200,200,166,45,80,80,80
电池/充电,电池快充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.42,-,0.42
电池/充电,电池快充电量范围(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,6
变速箱,简称,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,无级变速,1,1,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,1,1,1,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,电子无级变速箱(E-CVT),固定齿比变速箱,固定齿比变速箱,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置前驱,● 双电机四驱,● 双电机四驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,-,● 电动四驱,● 电动四驱,-,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,-,● 电动四驱,-,-,-,-,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18
车轮制动,后轮胎规格,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18
车轮制动,备胎规格,● 无,-,-,-,-,-,-,-,-,-,-,-,-,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排 第二排,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,●,●,-,-,●,●,●,●,-,-,-,-,-,-,-,●,-
主动安全,DOW开门预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
