セクション,セクション_ja,項目,項目_ja,2025年モデル DM i 2WD 行政版,2025年モデル EV インテリジェントドライブ版 600 4WD 尊貴型,2025年モデル EV インテリジェントドライブ版 600 4WD フラッグシップ型,2025年モデル DM i 2WD 尊航型,2025年モデル DM i 4WD 尊航型,2025年モデル DM i インテリジェントドライブ版 1020 4WD 尊貴型,2025年モデル DM i インテリジェントドライブ版 1020 4WD 尊栄型,2025年モデル DM i インテリジェントドライブ版 1020 4WD フラッグシップ型,2025年モデル DM i 4WD 至尊型,2025年モデル DM i インテリジェントドライブ版 1100 豪華型,2025年モデル DM i インテリジェントドライブ版 1020 4WD 尊享型,2025年モデル EV 2WD 尊航型,2025年モデル EV インテリジェントドライブ版 620 豪華型,2024年モデル EV 620 尊享型,2024年モデル DM i 970 豪華型,2024年モデル DM i 980 4WD 尊貴型,2024年モデル PIONEER 4人乗り 創領版,2024年モデル DM i 980 4WD 尊栄型
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),9.5,6.9,6.9,8.6,7.3,7.3,7.3,7.3,7.3,8.6,7.3,8.6,8.6,9.5,9.5,7.9,7.9,7.9
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,190,190,190,190,190,190,190,190,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),2.13,-,-,0.99,1.04,1.04,1.04,1.04,1.04,0.99,1.04,-,-,-,2.13,1.06,1.08,1.06
基本参数,基本仕様,最低荷电状态油耗(L/100km),最低充電状態燃費(L/100km),6.1,-,-,-,-,-,-,-,-,-,-,-,-,-,6.1,6.7,6.8,6.7
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,6.7,-,-,6.65,7.15,7.15,7.15,7.15,7.15,6.65,7.15,-,-,-,6.7,7.3,7.45,7.3
基本参数,基本仕様,最低荷电状态油耗(L/100km)CLTC,最低充電状態燃費(L/100km)CLTC,-,-,-,5.85,6.35,6.35,6.35,6.35,6.35,5.85,6.35,-,-,-,-,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),2.14,2.14,2.14,-,-,-,-,-,-,-,-,2.08,2.08,2.02,2.14,2.6,2.64,2.6
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ガソリン・電力複合燃料消費量(L/100km),-,-,-,3.53,3.71,3.71,3.71,3.71,3.71,3.53,3.71,-,-,-,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2470,2870,2870,2695,2795,2795,2795,2795,2795,2695,2795,2775,2775,2690,2470,2665,2750,2665
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2995,3415,3415,3240,3340,3340,3340,3340,3340,3240,3340,3320,3320,3215,2995,3190,3190,3190
车身,車体,长度(mm),全長(mm),5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250
车身,車体,宽度(mm),全幅(mm),1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960
车身,車体,高度(mm),全高(mm),1920,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1920,1920,1920,1900,1920
车身,車体,轴距(mm),ホイールベース(mm),3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110
车身,車体,前轮距(mm),前トレッド(mm),1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675
车身,車体,后轮距(mm),後トレッド(mm),1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675
车身,車体,满载最小离地间隙(mm),満載時最低地上高(mm),140,-,-,-,-,-,-,-,-,-,-,-,-,140,140,140,-,140
车身,車体,接近角(°),アプローチアングル(°),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15
车身,車体,离去角(°),デパーチャーアングル(°),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15
车身,車体,最小转弯半径(m),最小回転半径(m),5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95
车身,車体,车身结构,ボディ構造,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,車体,车门开启方式,ドア開閉方式,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア,観音開きドア＋スライドドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 4人乗り,● 7人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),53,-,-,53,53,53,53,53,53,53,53,-,-,-,53,53,53,53
车身,車体,后备厢容积(L),トランク容量(L),410-2310,390-2310,390-2310,390-2310,390-2310,390-2310,390-2310,390-2310,390-2310,390-2310,390-2310,390-2310,390-2310,410-2310,410-2310,410-2310,650,410-2310
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,BYD476ZQC,-,-,BYD472ZQB,BYD472ZQB,BYD472ZQB,BYD472ZQB,BYD472ZQB,BYD472ZQB,BYD472ZQB,BYD472ZQB,-,-,-,BYD476ZQC,BYD476ZQC,BYD476ZQC,BYD476ZQC
发动机,エンジン,排量(mL),排気量(mL),1497,-,-,1498,1498,1498,1498,1498,1498,1498,1498,-,-,-,1497,1497,1497,1497
发动机,エンジン,排量(L),排気量(L),1.5,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,-,-,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,-,-,-,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置き,-,-,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,-,-,-,横置き,横置き,横置き,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,-,-,L,L,L,L,L,L,L,L,-,-,-,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,-,-,4,4,4,4,4,4,4,4,-,-,-,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,-,-,4,4,4,4,4,4,4,4,-,-,-,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),139,-,-,156,156,156,156,156,156,156,156,-,-,-,139,139,139,139
发动机,エンジン,最大功率(kW),最大出力(kW),102,-,-,115,115,115,115,115,115,115,115,-,-,-,102,102,102,102
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),231,-,-,225,225,225,225,225,225,225,225,-,-,-,231,231,231,231
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),96,-,-,110,110,110,110,110,110,110,110,-,-,-,96,96,96,96
发动机,エンジン,发动机特有技术,エンジン独自技術,VVT,-,-,-,-,-,-,-,-,-,-,-,-,-,VVT,VVT,VVT,VVT
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,純電動,純電動,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,純電動,純電動,純電動,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,-,-,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,-,-,-,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,直噴,-,-,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,-,-,-,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI（排ガス規制）,-,-,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
电动机,モーター,前电动机品牌,前モーターブランド,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD
电动机,モーター,后电动机品牌,後モーターブランド,-,BYD,BYD,-,BYD,BYD,BYD,BYD,BYD,-,BYD,-,-,-,-,BYD,BYD,BYD
电动机,モーター,前电动机型号,前モーター型式,TZ220XYT,TZ200XYD,TZ200XYD,TZ210XYD,TZ210XYD,TZ210XYD,TZ210XYD,TZ210XYD,TZ210XYD,TZ210XYD,TZ210XYD,TZ200XYD,TZ200XYD,TZ200XYD,TZ220XYT,TZ220XYT,TZ220XYT,TZ220XYT
电动机,モーター,后电动机型号,後モーター型式,-,TZ180XSN,TZ180XSN,-,TZ180XSN,TZ180XSN,TZ180XSN,TZ180XSN,TZ180XSN,-,TZ180XSN,-,-,-,-,TZ180XSN,TZ180XSN,TZ180XSN
电动机,モーター,电机类型,モーター種類,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),170,275,275,200,245,245,245,245,245,200,245,230,230,230,170,215,215,215
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),231,374,374,272,333,333,333,333,333,272,333,313,313,313,231,292,292,292
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),340,470,470,315,425,425,425,425,425,315,425,360,360,360,340,450,450,450
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),170,230,230,200,200,200,200,200,200,200,200,230,230,230,170,170,170,170
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),340,360,360,315,315,315,315,315,315,315,315,360,360,360,340,340,340,340
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,45,45,-,45,45,45,45,45,-,45,-,-,-,-,45,45,45
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),-,110,110,-,110,110,110,110,110,-,110,-,-,-,-,110,110,110
电动机,モーター,系统综合功率(kW),システム総合出力(kW),221,-,-,-,-,-,-,-,-,-,-,-,-,-,221,299,299,299
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),301,-,-,-,-,-,-,-,-,-,-,-,-,-,301,407,407,407
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),571,-,-,-,-,-,-,-,-,-,-,-,-,-,571,681,681,681
电动机,モーター,驱动电机数,駆動モーター数,シングルモーター,デュアルモーター,デュアルモーター,シングルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,シングルモーター,デュアルモーター,シングルモーター,シングルモーター,シングルモーター,シングルモーター,デュアルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前置,前置＋後置,前置＋後置,前置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置,前置＋後置,前置,前置,前置,前置,前置＋後置,前置＋後置,前置＋後置
电动机,モーター,三电首任车主质保政策,三電装初回オーナー保証政策,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),75,-,-,155,145,145,145,145,145,155,145,-,-,-,75,145,140,145
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),103,600,600,200,190,190,190,190,190,200,190,620,620,620,103,190,185,190
电池/充电,バッテリー/充電,NEDC综合续航(km),NEDC総合航続距離(km),970,-,-,1100,1020,1020,1020,1020,1020,1100,1020,-,-,-,970,980,960,980
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),20,103,103,40,40,40,40,40,40,40,40,103,103,103.36,20.39,40,40,40
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),-,-,-,-,-,-,-,-,-,-,-,-,-,150,-,-,-,-
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),18.9,18.4,18.4,21.9,23,23,23,23,23,21.9,23,17.9,17.9,17.9,18.9,23,23.3,23
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),45,200,200,80,80,80,80,80,80,80,80,200,200,166,45,80,80,80
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.42,-,0.42
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,6
变速箱,トランスミッション,简称,略称,E-CVT無段変速,電動車用単速変速機,電動車用単速変速機,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,1,1,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,1,1,1,無段変速,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,固定ギア比変速機,固定ギア比変速機,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,● 電動四輪駆動,● 電動四輪駆動,-,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,-,● 電動四輪駆動,-,-,-,-,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動
