セクション,項目,凯美瑞 2026款 双擎 2.0HE 精英版,凯美瑞 2026款 双擎 2.0HGVP 豪华版,凯美瑞 2026款 双擎 2.0HG 尊贵版,凯美瑞 2026款 双擎 2.0HG 光辉版,凯美瑞 2026款 双擎 2.0HSE 运动Lite版,凯美瑞 2026款 双擎 2.0HS 运动版,凯美瑞 2026款 双擎 2.0HXS 运动Plus版,凯美瑞 2026款 双擎 2.0HXS 光辉版,凯美瑞 2026款 2.0E 精英版,凯美瑞 2026款 2.0GVP 豪华版,凯美瑞 2026款 2.0G 尊贵版,凯美瑞 2026款 2.0S 运动版,凯美瑞 2026款 双擎 2.5HG 尊贵版,凯美瑞 2026款 双擎 2.5HXS 运动Plus版,凯美瑞 2026款 双擎 2.5HQ 旗舰版,凯美瑞 2025款 双擎 2.0HG 光辉版,凯美瑞 2025款 双擎 2.0HXS 光辉版,凯美瑞 2025款 双擎 2.5HG 尊贵智行版,凯美瑞 2025款 双擎 2.5HXS 运动Plus智行版
基本参数,发动机,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 173马力 L4,2.0L 173马力 L4,2.0L 173马力 L4,2.0L 173马力 L4,2.5L 185马力 L4,2.5L 185马力 L4,2.5L 185马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.5L 185马力 L4,2.5L 185马力 L4
基本参数,电动机(Ps),113,113,113,113,113,113,113,113,-,-,-,-,136,136,136,113,113,136,136
基本参数,长*宽*高(mm),4915*1840*1450,4915*1840*1450,4915*1840*1450,4915*1840*1450,4915*1840*1450,4915*1840*1450,4950*1850*1450,4950*1850*1450,4915*1840*1450,4915*1840*1450,4915*1840*1450,4915*1840*1450,4915*1840*1450,4950*1850*1450,4915*1840*1450,4915*1840*1450,4950*1850*1450,4915*1840*1450,4950*1850*1450
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180,205,205,205,205,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),4.2,4.2,4.5,4.5,4.5,4.5,4.5,4.5,5.81,5.81,5.81,6.06,4.55,4.55,4.55,4.2,4.5,4.55,4.55
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1585,1590,1595,1595,1605,1610,1610,1610,1550,1555,1555,1570,1615,1625,1660,1595,1610,1615,1625
基本参数,最大满载质量(kg),2070,2070,2070,2070,2070,2070,2070,2070,2030,2030,2030,2030,2100,2100,2100,2070,2070,2100,2100
车身,长度(mm),4915,4915,4915,4915,4915,4915,4950,4950,4915,4915,4915,4915,4915,4950,4915,4915,4950,4915,4950
车身,宽度(mm),1840,1840,1840,1840,1840,1840,1850,1850,1840,1840,1840,1840,1840,1850,1840,1840,1850,1840,1850
车身,高度(mm),1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
车身,轴距(mm),2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825
车身,前轮距(mm),1590,1590,1580,1580,1580,1580,1580,1580,1590,1590,1590,1580,1580,1580,1580,1590,1580,1580,1580
车身,后轮距(mm),1600,1600,1590,1590,1590,1590,1590,1590,1600,1600,1600,1590,1590,1590,1590,1600,1590,1590,1590
车身,接近角(°),13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
车身,离去角(°),16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
车身,最小转弯半径(m),5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),49,49,49,49,49,49,49,49,60,60,60,60,49,49,49,49,49,49,49
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,M20F,M20F,M20F,M20F,M20F,M20F,M20F,M20F,M20C,M20C,M20C,M20C,A25D,A25D,A25D,M20F,M20F,A25D,A25D
发动机,排量(mL),1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,2487,2487,2487,1987,1987,2487,2487
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.0,2.0,2.5,2.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,14,14,14,14,14,14,14,14,13,13,13,13,14,14,14,14,14,14,14
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),152,152,152,152,152,152,152,152,173,173,173,173,185,185,185,152,152,185,185
发动机,最大功率(kW),112,112,112,112,112,112,112,112,127,127,127,127,136,136,136,112,112,136,136
发动机,最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6600,6600,6600,6600,6000,6000,6000,6000,6000,6000,6000
发动机,最大扭矩(N·m),188,188,188,188,188,188,188,188,206,206,206,206,221,221,221,188,188,221,221
发动机,最大扭矩转速(rpm),4400-5200,4400-5200,4400-5200,4400-5200,4400-5200,4400-5200,4400-5200,4400-5200,4600-5000,4600-5000,4600-5000,4600-5000,3400-5200,3400-5200,3400-5200,4400-5200,4400-5200,3400-5200,3400-5200
发动机,最大净功率(kW),112,112,112,112,112,112,112,112,127,127,127,127,136,136,136,112,112,136,136
发动机,能源类型,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,-,-,-,-,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),83,83,83,83,83,83,83,83,-,-,-,-,100,100,100,83,83,100,100
电动机,电动机总马力(Ps),113,113,113,113,113,113,113,113,-,-,-,-,136,136,136,113,113,136,136
电动机,电动机总扭矩(N·m),206,206,206,206,206,206,206,206,-,-,-,-,208,208,208,206,206,208,208
电动机,前电动机最大功率(kW),83,83,83,83,83,83,83,83,-,-,-,-,100,100,100,-,-,100,100
电动机,前电动机最大扭矩(N·m),206,206,206,206,206,206,206,206,-,-,-,-,208,208,208,-,-,208,208
电动机,系统综合功率(kW),145,145,145,145,145,145,145,145,-,-,-,-,169,169,169,145,145,169,169
电动机,系统综合功率(Ps),197,197,197,197,197,197,197,197,-,-,-,-,230,230,230,197,197,230,230
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,-,-,-,-,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,-,-,-,-,前置,前置,前置,前置,前置,前置,前置
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,-,-,-,-,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 大连泰星,● 大连泰星,● 大连泰星,● 大连泰星,● 大连泰星,● 大连泰星,● 大连泰星,● 大连泰星,-,-,-,-,● 大连泰星,● 大连泰星,● 大连泰星,● 大连泰星,● 大连泰星,● 新中源丰田,● 新中源丰田
电池/充电,电池组质保,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,-,-,-,-,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,10,10,10,10,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/55 R17,● 215/55 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/40 R19,● 235/40 R19,● 235/40 R19,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 235/40 R19,● 235/45 R18,● 235/40 R19,● 235/45 R18,● 215/55 R17,● 235/40 R19,● 235/45 R18,● 235/40 R19
车轮制动,后轮胎规格,● 215/55 R17,● 215/55 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/40 R19,● 235/40 R19,● 235/40 R19,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 235/40 R19,● 235/45 R18,● 235/40 R19,● 235/45 R18,● 215/55 R17,● 235/40 R19,● 235/45 R18,● 235/40 R19
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
被动安全,前排中间气囊,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 前排,● 前排,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,○,○,-,○,○,○,-,-,-,-,○,○,●,-,-,●,●
主动安全,DOW开门预警,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,-,-,-,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化
驾驶操控,发动机启停技术,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,-,-,● 前 / 后,● 前 / 后,-,● 前 / 后,● 前 / 后,● 前 / 后,-,-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,-,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,-,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,-,●,●,-,●,●,●,-,-,-,-,●,●,●,-,-,●,●
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 1个,● 2个,● 5个,● 5个,● 2个,● 5个,● 5个,● 5个,● 1个,● 2个,● 2个,● 2个,● 5个,● 5个,● 5个,● 2个,● 2个,● 5个,● 5个
驾驶硬件,车内摄像头数量,-,-,○ 1个,○ 1个,-,○ 1个,○ 1个,○ 1个,-,-,-,-,○ 1个,○ 1个,● 1个,-,-,● 1个,● 1个
驾驶硬件,超声波雷达数量,-,-,● 8个,● 8个,-,● 8个,● 8个,● 8个,-,-,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个
驾驶硬件,毫米波雷达数量,● 1个,● 1个,3个 5个,3个 5个,● 1个,3个 5个,3个 5个,3个 5个,● 1个,● 1个,● 3个,● 3个,3个 5个,3个 5个,● 5个,● 3个,● 3个,● 5个,● 5个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
