セクション,セクション_ja,項目,項目_ja,2026年モデル ハイブリッド 2.0HE エリート版,2026年モデル ハイブリッド 2.0HGVP ラグジュアリー版,2026年モデル ハイブリッド 2.0HG プレミアム版,2026年モデル ハイブリッド 2.0HG グロリアス版,2026年モデル ハイブリッド 2.0HSE スポーツライト版,2026年モデル ハイブリッド 2.0HS スポーツ版,2026年モデル ハイブリッド 2.0HXS スポーツプラス版,2026年モデル ハイブリッド 2.0HXS グロリアス版,2026年モデル 2.0E エリート版,2026年モデル 2.0GVP ラグジュアリー版,2026年モデル 2.0G プレミアム版,2026年モデル 2.0S スポーツ版,2026年モデル ハイブリッド 2.5HG プレミアム版,2026年モデル ハイブリッド 2.5HXS スポーツプラス版,2026年モデル ハイブリッド 2.5HQ フラッグシップ版,2025年モデル ハイブリッド 2.0HG グロリアス版,2025年モデル ハイブリッド 2.0HXS グロリアス版,2025年モデル ハイブリッド 2.5HG プレミアムインテリジェント版,2025年モデル ハイブリッド 2.5HXS スポーツプラスインテリジェント版
车身,車体,宽度(mm),全幅(mm),1840,1840,1840,1840,1840,1840,1850,1850,1840,1840,1840,1840,1840,1850,1840,1840,1850,1840,1850
车身,車体,高度(mm),全高(mm),1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
车身,車体,轴距(mm),ホイールベース(mm),2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825
车身,車体,前轮距(mm),前トレッド(mm),1590,1590,1580,1580,1580,1580,1580,1580,1590,1590,1590,1580,1580,1580,1580,1590,1580,1580,1580
车身,車体,后轮距(mm),後トレッド(mm),1600,1600,1590,1590,1590,1590,1590,1590,1600,1600,1600,1590,1590,1590,1590,1600,1590,1590,1590
车身,車体,接近角(°),アプローチアングル(°),13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
车身,車体,最小转弯半径(m),最小回転半径(m),5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),49,49,49,49,49,49,49,49,60,60,60,60,49,49,49,49,49,49,49
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,M20F,M20F,M20F,M20F,M20F,M20F,M20F,M20F,M20C,M20C,M20C,M20C,A25D,A25D,A25D,M20F,M20F,A25D,A25D
发动机,エンジン,排量(mL),排気量(mL),1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,2487,2487,2487,1987,1987,2487,2487
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.0,2.0,2.5,2.5
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,14,14,14,14,14,14,14,14,13,13,13,13,14,14,14,14,14,14,14
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),152,152,152,152,152,152,152,152,173,173,173,173,185,185,185,152,152,185,185
发动机,エンジン,最大功率(kW),最大出力(kW),112,112,112,112,112,112,112,112,127,127,127,127,136,136,136,112,112,136,136
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6600,6600,6600,6600,6000,6000,6000,6000,6000,6000,6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),188,188,188,188,188,188,188,188,206,206,206,206,221,221,221,188,188,221,221
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4400-5200,4400-5200,4400-5200,4400-5200,4400-5200,4400-5200,4400-5200,4400-5200,4600-5000,4600-5000,4600-5000,4600-5000,3400-5200,3400-5200,3400-5200,4400-5200,4400-5200,3400-5200,3400-5200
发动机,エンジン,最大净功率(kW),最大出力(kW),112,112,112,112,112,112,112,112,127,127,127,127,136,136,136,112,112,136,136
发动机,エンジン,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电机类型,モーター種類,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,-,-,-,-,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),83,83,83,83,83,83,83,83,-,-,-,-,100,100,100,83,83,100,100
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),113,113,113,113,113,113,113,113,-,-,-,-,136,136,136,113,113,136,136
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),206,206,206,206,206,206,206,206,-,-,-,-,208,208,208,206,206,208,208
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),83,83,83,83,83,83,83,83,-,-,-,-,100,100,100,-,-,100,100
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),206,206,206,206,206,206,206,206,-,-,-,-,208,208,208,-,-,208,208
电动机,モーター,系统综合功率(kW),システム総合出力(kW),145,145,145,145,145,145,145,145,-,-,-,-,169,169,169,145,145,169,169
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),197,197,197,197,197,197,197,197,-,-,-,-,230,230,230,197,197,230,230
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,-,-,-,-,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,前置,前置,前置,前置,前置,前置,前置,前置,-,-,-,-,前置,前置,前置,前置,前置,前置,前置
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,-,-,-,-,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 大連タイシン,● 大連タイシン,● 大連タイシン,● 大連タイシン,● 大連タイシン,● 大連タイシン,● 大連タイシン,● 大連タイシン,-,-,-,-,● 大連タイシン,● 大連タイシン,● 大連タイシン,● 大連タイシン,● 大連タイシン,● 新中源トヨタ,● 新中源トヨタ
电池/充电,バッテリー/充電,电池组质保,バッテリー保証期間,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,-,-,-,-,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速（10速擬似）,CVT無段変速（10速擬似）,CVT無段変速（10速擬似）,CVT無段変速（10速擬似）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,10,10,10,10,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動,● 前置エンジン前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 215/55 R17,● 215/55 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/40 R19,● 235/40 R19,● 235/40 R19,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 235/40 R19,● 235/45 R18,● 235/40 R19,● 235/45 R18,● 215/55 R17,● 235/40 R19,● 235/45 R18,● 235/40 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 215/55 R17,● 215/55 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/40 R19,● 235/40 R19,● 235/40 R19,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 235/40 R19,● 235/45 R18,● 235/40 R19,● 235/45 R18,● 215/55 R17,● 235/40 R19,● 235/45 R18,● 235/40 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内
