セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0L インテリジェントハイブリッド 先鋒版,2026年モデル 2.0L インテリジェントハイブリッド エリート版,2026年モデル 2.0L インテリジェントハイブリッド ラグジュアリー版,2026年モデル 2.0L 先鋒版,2026年モデル 2.0L エリート版,2026年モデル 2.0L ラグジュアリー版,2024年モデル 2.0L インテリジェントハイブリッド 先鋒版,2024年モデル 2.0L インテリジェントハイブリッド エリート版,2024年モデル 2.0L インテリジェントハイブリッド ラグジュアリー版,2024年モデル 2.0L インテリジェントハイブリッド フラッグシップ版,2024年モデル 2.0L 先鋒版,2024年モデル 2.0L エリート版,2024年モデル 2.0L ラグジュアリー版,2024年モデル 2.0L フラッグシップ版
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1425,1435,1435,1390,1400,1400,1440,1440,1445,1485,1405,1405,1410,1450
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1945,1945,1945,1910,1910,1910,1960,1960,1960,1960,1910,1910,1910,1910
车身,車体,长度(mm),全長(mm),4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460
车身,車体,宽度(mm),全幅(mm),1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825
车身,車体,高度(mm),全高(mm),1625,1625,1625,1625,1625,1625,1620,1620,1620,1620,1620,1620,1620,1620
车身,車体,轴距(mm),ホイールベース(mm),2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640
车身,車体,前轮距(mm),前トレッド(mm),1565,1565,1565,1565,1565,1565,1565,1565,1565,1555,1565,1565,1565,1555
车身,車体,后轮距(mm),後トレッド(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1570,1580,1580,1580,1570
车身,車体,接近角(°),アプローチアングル(°),13,13,13,13,13,13,13,13,13,13,13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),20,20,20,20,20,20,20,20,20,20,20,20,20,20
车身,車体,最小转弯半径(m),最小回転半径(m),5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),36,36,36,47,47,47,36,36,36,36,47,47,47,47
车身,車体,后备厢容积(L),トランク容量(L),427,427,427,438,438,438,427,427,427,427,438,438,438,438
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,M20G,M20G,M20G,M20E,M20E,M20E,M20G,M20G,M20G,M20G,M20E,M20E,M20E,M20E
发动机,エンジン,排量(mL),排気量(mL),1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,14.0,14.0,14.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,缸径(mm),ボア(mm),80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5
发动机,エンジン,行程(mm),ストローク(mm),97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6
发动机,エンジン,最大马力(Ps),最高出力(Ps),158,158,158,171,171,171,152,152,152,152,171,171,171,171
发动机,エンジン,最大功率(kW),最大出力(kW),116,116,116,126,126,126,112,112,112,112,126,126,126,126
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6600,6600,6600,6000,6000,6000,6000,6600,6600,6600,6600
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),188,188,188,205,205,205,188,188,188,188,205,205,205,205
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4400-5200,4400-5200,4400-5200,4600-5000,4600-5000,4600-5000,4400-5200,4400-5200,4400-5200,4400-5200,4600-5000,4600-5000,4600-5000,4600-5000
发动机,エンジン,最大净功率(kW),最大出力(kW),116,116,116,126,126,126,112,112,112,112,126,126,126,126
发动机,エンジン,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电机类型,モーター種類,永久磁石同期型,永久磁石同期型,永久磁石同期型,-,-,-,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,-,-,-,-
电动机,モーター,电动机总功率(kW),モーター総出力(kW),83,83,83,-,-,-,83,83,83,83,-,-,-,-
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),113,113,113,-,-,-,113,113,113,113,-,-,-,-
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),206,206,206,-,-,-,206,206,206,206,-,-,-,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),83,83,83,-,-,-,83,83,83,83,-,-,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),206,206,206,-,-,-,206,206,206,206,-,-,-,-
电动机,モーター,系统综合功率(kW),システム総合出力(kW),144,144,144,-,-,-,144,144,144,144,-,-,-,-
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),196,196,196,-,-,-,196,196,196,196,-,-,-,-
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,-,-,-,単モーター,単モーター,単モーター,単モーター,-,-,-,-
电动机,モーター,电机布局,モーター配置,前置,前置,前置,-,-,-,前置,前置,前置,前置,-,-,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,-,-,-,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,-,-,-,-
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,-,-,-,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,-,-,-,-
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,10,10,10,無段変速,無段変速,無段変速,無段変速,10,10,10,10
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,膝部气囊,ニーエアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,-,-,-,● スポーツモード,● スポーツモード,● スポーツモード,● スポーツモード,● スポーツモード,● スポーツモード,● スポーツモード,● スポーツモード
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,-,-,-,-,-,-,-,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,● 前席/後席,● 前席/後席,-,● 前席/後席,● 前席/後席,-,-,-,● 前席/後席,-,-,-,● 前席/後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,-,● リアカメラ,● リアカメラ,-,● リアカメラ,● リアカメラ,-,-,-,● 360度パノラマビュー,-,-,-,● 360度パノラマビュー
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 2個,● 2個,● 1個,● 2個,● 2個,● 1個,● 1個,● 1個,● 5個,● 1個,● 1個,● 1個,● 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,-,● 4個,● 4個,-,● 4個,● 4個,-,-,-,● 4個,-,-,-,● 4個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● トヨタ パイロット,● トヨタ パイロット,● トヨタ パイロット,● トヨタ パイロット,● トヨタ パイロット,● トヨタ パイロット,● トヨタ セーフティセンス,● トヨタ セーフティセンス,● トヨタ セーフティセンス,● トヨタ セーフティセンス,● トヨタ セーフティセンス,● トヨタ セーフティセンス,● トヨタ セーフティセンス,● トヨタ セーフティセンス
