セクション,セクション_ja,項目,項目_ja,2026年モデル 525Li ラグジュアリーセット,2026年モデル 525Li Mスポーツセット,2026年モデル 530Li 先進型 ラグジュアリーセット,2026年モデル 530Li 先進型 Mスポーツセット,2026年モデル 530Li xDrive Mスポーツセット,2026年モデル 530Li プレミアム型 ラグジュアリーセット,2026年モデル 530Li プレミアム型 Mスポーツセット,2025年モデル 525Li ラグジュアリーセット,2025年モデル 525Li Mスポーツセット,2025年モデル 530Li 先進型 ラグジュアリーセット,2025年モデル 530Li 先進型 Mスポーツセット,2025年モデル 530Li xDrive ラグジュアリーセット,2025年モデル 530Li xDrive Mスポーツセット,2025年モデル 530Li プレミアム型 ラグジュアリーセット,2025年モデル 530Li プレミアム型 Mスポーツセット
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,2.0T 190馬力 L4,2.0T 190馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 190馬力 L4,2.0T 190馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5175×1900×1520（mm）,5175×1900×1520（mm）,5175×1900×1520（mm）,5175×1900×1520（mm）,5175×1900×1520（mm）,5175×1900×1520（mm）,5175×1900×1520（mm）,5175×1900×1520（mm）,5175×1900×1520（mm）,5175×1900×1520（mm）,5175×1900×1520（mm）,5175×1900×1520（mm）,5175×1900×1520（mm）,5175×1900×1520（mm）,5175×1900×1520（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.2,8.2,6.5,6.5,6.5,6.5,6.5,8.2,8.2,6.5,6.5,6.5,6.5,6.5,6.5
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),225,225,250,250,246,250,250,225,225,250,250,246,246,250,250
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.4,6.3,6.7,6.7,7.0,6.8,6.8,6.4,6.3,6.7,6.7,7.0,7.0,6.8,6.8
基本参数,基本仕様,实测0-100km/h加速(s),実測0-100km/h加速時間(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.18
基本参数,基本仕様,实测100-0km/h制动(m),実測100-0km/h制動距離(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.89
基本参数,基本仕様,实测油耗(L/100km),実測燃費(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.19
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1790,1790,1808,1808,1866,1808,1808,1790,1790,1808,1808,1866,1866,1808,1808
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2390,2390,2410,2410,2450,2410,2410,2390,2390,2410,2410,2450,2450,2410,2410
车身,車体,长度(mm),全長(mm),5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175
车身,車体,宽度(mm),全幅(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
车身,車体,高度(mm),全高(mm),1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520
车身,車体,轴距(mm),ホイールベース(mm),3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105
车身,車体,前轮距(mm),前トレッド(mm),1622,1622,1622,1622,1622,1624,1624,1622,1622,1622,1622,1622,1622,1624,1624
车身,車体,后轮距(mm),後トレッド(mm),1657,1657,1657,1657,1657,1623,1623,1657,1657,1657,1657,1657,1657,1623,1623
车身,車体,接近角(°),アプローチアングル(°),18,16,18,16,16,18,16,18,16,18,16,18,16,18,16
车身,車体,离去角(°),デパーチャーアングル(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,B48B20R,B48B20R,B48B20T,B48B20T,B48B20T,B48B20T,B48B20T,B48B20R,B48B20R,B48B20T,B48B20T,B48B20T,B48B20T,B48B20T,B48B20T
发动机,エンジン,排量(mL),排気量(mL),1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),190,190,258,258,258,258,258,190,190,258,258,258,258,258,258
发动机,エンジン,最大功率(kW),最大出力(kW),140,140,190,190,190,190,190,140,140,190,190,190,190,190,190
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),310,310,400,400,400,400,400,310,310,400,400,400,400,400,400
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1500-4000,1500-4000,1600-4500,1600-4500,1600-4500,1600-4500,1600-4500,1500-4000,1500-4000,1600-4500,1600-4500,1600-4500,1600-4500,1600-4500,1600-4500
发动机,エンジン,最大净功率(kW),最大出力(kW),140,140,190,190,190,190,190,140,140,190,190,190,190,190,190
发动机,エンジン,能源类型,エネルギータイプ,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
变速箱,トランスミッション,简称,略称,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）
变速箱,トランスミッション,挡位个数,段数,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）,AT（オートマチック・マニュアルモード付）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,-,● 走行状況に応じた四輪駆動,-,-,-,-,-,-,● 走行状況に応じた四輪駆動,● 走行状況に応じた四輪駆動,-,-
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,-,-,● 多板クラッチ,-,-,-,-,-,-,● 多板クラッチ,● 多板クラッチ,-,-
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,245/45 R19 / 245/40 R20タイヤ,245/45 R19 / 245/40 R20タイヤ,245/45 R19 / 245/40 R20タイヤ,● 245/40 R20タイヤ,● 245/40 R20タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,245/45 R19 / 245/40 R20タイヤ,245/45 R19 / 245/40 R20タイヤ,245/45 R19 / 245/40 R20タイヤ,245/45 R19 / 245/40 R20タイヤ,● 245/40 R20タイヤ,● 245/40 R20タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,245/45 R19 / 275/35 R20タイヤ,245/45 R19 / 245/40 R20タイヤ,245/45 R19 / 275/35 R20タイヤ,● 275/35 R20タイヤ,● 275/35 R20タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,245/45 R19 / 275/35 R20タイヤ,245/45 R19 / 245/40 R20タイヤ,245/45 R19 / 275/35 R20タイヤ,245/45 R19 / 275/35 R20タイヤ,● 275/35 R20タイヤ,● 275/35 R20タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
被动安全,衝突安全,被动行人保护,歩行者保護(受動),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变转向比,可変ステアレシオ,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
