セクション,項目,宝马5系 2026款 525Li 豪华套装,宝马5系 2026款 525Li M运动套装,宝马5系 2026款 530Li 领先型 豪华套装,宝马5系 2026款 530Li 领先型 M运动套装,宝马5系 2026款 530Li xDrive M运动套装,宝马5系 2026款 530Li 尊享型 豪华套装,宝马5系 2026款 530Li 尊享型 M运动套装,宝马5系 2025款 525Li 豪华套装,宝马5系 2025款 525Li M运动套装,宝马5系 2025款 530Li 领先型 豪华套装,宝马5系 2025款 530Li 领先型 M运动套装,宝马5系 2025款 530Li xDrive 豪华套装,宝马5系 2025款 530Li xDrive M运动套装,宝马5系 2025款 530Li 尊享型 豪华套装,宝马5系 2025款 530Li 尊享型 M运动套装
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4
基本参数,长*宽*高(mm),5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520
基本参数,官方0-100km/h加速(s),8.2,8.2,6.5,6.5,6.5,6.5,6.5,8.2,8.2,6.5,6.5,6.5,6.5,6.5,6.5
基本参数,最高车速(km/h),225,225,250,250,246,250,250,225,225,250,250,246,246,250,250
基本参数,WLTC综合油耗(L/100km),6.4,6.3,6.7,6.7,7.0,6.8,6.8,6.4,6.3,6.7,6.7,7.0,7.0,6.8,6.8
基本参数,实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.18
基本参数,实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.89
基本参数,实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.19
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1790,1790,1808,1808,1866,1808,1808,1790,1790,1808,1808,1866,1866,1808,1808
基本参数,最大满载质量(kg),2390,2390,2410,2410,2450,2410,2410,2390,2390,2410,2410,2450,2450,2410,2410
车身,长度(mm),5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175
车身,宽度(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
车身,高度(mm),1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520
车身,轴距(mm),3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105
车身,前轮距(mm),1622,1622,1622,1622,1622,1624,1624,1622,1622,1622,1622,1622,1622,1624,1624
车身,后轮距(mm),1657,1657,1657,1657,1657,1623,1623,1657,1657,1657,1657,1657,1657,1623,1623
车身,接近角(°),18,16,18,16,16,18,16,18,16,18,16,18,16,18,16
车身,离去角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,B48B20R,B48B20R,B48B20T,B48B20T,B48B20T,B48B20T,B48B20T,B48B20R,B48B20R,B48B20T,B48B20T,B48B20T,B48B20T,B48B20T,B48B20T
发动机,排量(mL),1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),190,190,258,258,258,258,258,190,190,258,258,258,258,258,258
发动机,最大功率(kW),140,140,190,190,190,190,190,140,140,190,190,190,190,190,190
发动机,最大功率转速(rpm),5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
发动机,最大扭矩(N·m),310,310,400,400,400,400,400,310,310,400,400,400,400,400,400
发动机,最大扭矩转速(rpm),1500-4000,1500-4000,1600-4500,1600-4500,1600-4500,1600-4500,1600-4500,1500-4000,1500-4000,1600-4500,1600-4500,1600-4500,1600-4500,1600-4500,1600-4500
发动机,最大净功率(kW),140,140,190,190,190,190,190,140,140,190,190,190,190,190,190
发动机,能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
变速箱,挡位个数,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置四驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置四驱,● 前置四驱,● 前置后驱,● 前置后驱
底盘转向,四驱形式,-,-,-,-,● 适时四驱,-,-,-,-,-,-,● 适时四驱,● 适时四驱,-,-
底盘转向,中央差速器结构,-,-,-,-,● 多片离合器,-,-,-,-,-,-,● 多片离合器,● 多片离合器,-,-
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 245/45 R19,● 245/45 R19,245/45 R19 245/40 R20,245/45 R19 245/40 R20,245/45 R19 245/40 R20,● 245/40 R20,● 245/40 R20,● 245/45 R19,● 245/45 R19,245/45 R19 245/40 R20,245/45 R19 245/40 R20,245/45 R19 245/40 R20,245/45 R19 245/40 R20,● 245/40 R20,● 245/40 R20
车轮制动,后轮胎规格,● 245/45 R19,● 245/45 R19,245/45 R19 275/35 R20,245/45 R19 245/40 R20,245/45 R19 275/35 R20,● 275/35 R20,● 275/35 R20,● 245/45 R19,● 245/45 R19,245/45 R19 275/35 R20,245/45 R19 245/40 R20,245/45 R19 275/35 R20,245/45 R19 275/35 R20,● 275/35 R20,● 275/35 R20
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前排中间气囊,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
被动安全,被动行人保护,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变转向比,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,倒车影像 360度全景影像,倒车影像 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,倒车影像 360度全景影像,倒车影像 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,单目 双目,单目 双目,单目 双目,单目 双目,单目 双目,● 双目,● 双目,单目 双目,单目 双目,单目 双目,单目 双目,单目 双目,单目 双目,● 双目,● 双目
驾驶硬件,摄像头数量,2个 6个,2个 6个,5个 6个,5个 6个,5个 6个,● 6个,● 6个,2个 6个,2个 6个,5个 6个,5个 6个,5个 6个,5个 6个,● 6个,● 6个
驾驶硬件,车内摄像头数量,○ 1个 (2100元),○ 1个 (2100元),○ 1个 (2100元),○ 1个 (2100元),○ 1个 (2100元),1个 2个 (2100元),1个 2个 (2100元),○ 1个 (2100元),○ 1个 (2100元),○ 1个 (2100元),○ 1个 (2100元),○ 1个 (2100元),○ 1个 (2100元),1个 2个 (2100元),1个 2个 (2100元)
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,3个 5个,3个 5个,3个 5个,3个 5个,3个 5个,● 5个,● 5个,3个 5个,3个 5个,3个 5个,3个 5个,3个 5个,3个 5个,● 5个,● 5个
驾驶功能,巡航系统,自适应巡航 全速自适应巡航,自适应巡航 全速自适应巡航,自适应巡航 全速自适应巡航,自适应巡航 全速自适应巡航,自适应巡航 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,自适应巡航 全速自适应巡航,自适应巡航 全速自适应巡航,自适应巡航 全速自适应巡航,自适应巡航 全速自适应巡航,自适应巡航 全速自适应巡航,自适应巡航 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,AR实景导航,-,-,-,-,-,-,-,○,○,○,○,○,○,●,●
驾驶功能,并线辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,遥控泊车,○,○,●,●,●,●,●,-,-,-,-,-,-,-,-
驾驶功能,循迹倒车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助变道,○ (1.55万元),○ (1.55万元),○ (1.55万元),○ (1.55万元),○ (1.55万元),●,●,○ (1.55万元),○ (1.55万元),○ (1.55万元),○ (1.55万元),○ (1.55万元),○ (1.55万元),●,●
驾驶功能,信号灯识别,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●
驾驶功能,方向盘离手检测,○,○,○,○,○,●,●,○,○,○,○,○,○,●,●
外观/防盗,外观套件,-,● 运动风格,-,● 运动风格,● 运动风格,-,● 运动风格,-,● 运动风格,-,● 运动风格,-,● 运动风格,-,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,感应后备厢,●,●,●,●,●,●,●,○,○,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 UWB数字钥匙,● 遥控钥匙 UWB数字钥匙,● 遥控钥匙 UWB数字钥匙,● 遥控钥匙 UWB数字钥匙,● 遥控钥匙 UWB数字钥匙,● 遥控钥匙 UWB数字钥匙,● 遥控钥匙 UWB数字钥匙,● 遥控钥匙 UWB数字钥匙,● 遥控钥匙 UWB数字钥匙,● 遥控钥匙 UWB数字钥匙,● 遥控钥匙 UWB数字钥匙,● 遥控钥匙 UWB数字钥匙,● 遥控钥匙 UWB数字钥匙,● 遥控钥匙 UWB数字钥匙,● 遥控钥匙 UWB数字钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,○ 前排 (7600元),○ 前排 (7600元),● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,远程启动功能,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,转向头灯,○ (6100元),○ (6100元),○ (6100元),○ (6100元),○ (6100元),●,●,○ (6100元),○ (6100元),○ (6100元),○ (6100元),○ (6100元),○ (6100元),●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,星空天窗,○ (7300元),○ (7300元),○ (7300元),○ (7300元),○ (7300元),●,●,○ (7300元),○ (7300元),○ (7300元),○ (7300元),○ (7300元),○ (7300元),●,●
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
