セクション,セクション_ja,項目,項目_ja,2026年モデル DM i 128KM 進取型,2026年モデル DM i 128KM 先進型,2025年モデル EV 545KM 雲輦型,2025年モデル EV 470KM 先進型,2025年モデル EV 545KM 超越型,2025年モデル EV 545KM 卓越型,2025年モデル DM i 智駕版 80KM 先進型,2025年モデル DM i 智駕版 80KM 超越型,2025年モデル DM i 智駕版 120KM 先進型,2025年モデル DM i 智駕版 120KM 超越型,2025年モデル DM i 智駕版 120KM 卓越型,2025年モデル DM i 智駕版 120KM 領航版
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,電気自動車（EV）,電気自動車（EV）,電気自動車（EV）,電気自動車（EV）,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,-,-,-,-,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,-,-,-,-,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,-,-,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,-,-,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,-,-,-,-,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,前电动机品牌,前モーターブランド,BYD,BYD,-,-,-,-,BYD,BYD,BYD,BYD,BYD,BYD
电动机,モーター,后电动机品牌,後モーターブランド,-,-,BYD,BYD,BYD,BYD,-,-,-,-,-,-
电动机,モーター,前电动机型号,前モーター型式,TZ210QYB（型式コード）,TZ210XYC（型式コード）,-,-,-,-,TZ210XYB（型式コード）,TZ210XYB（型式コード）,TZ210XYC（型式コード）,TZ210XYC（型式コード）,TZ210XYC（型式コード）,TZ210XYC（型式コード）
电动机,モーター,后电动机型号,後モーター型式,-,-,TZ200XSBE（型式コード）,TZ180XSR（型式コード）,TZ200XSBE（型式コード）,TZ200XSBE（型式コード）,-,-,-,-,-,-
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),120,160,160,110,160,160,120,120,160,160,160,160
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),163,218,218,150,218,218,163,163,218,218,218,218
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),210,260,330,220,330,330,210,210,260,260,260,260
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),120,160,-,-,-,-,120,120,160,160,160,160
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),210,260,-,-,-,-,210,210,260,260,260,260
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,-,160,110,160,160,-,-,-,-,-,-
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),-,-,330,220,330,330,-,-,-,-,-,-
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,前置エンジン,前置エンジン,後置モーター,後置モーター,後置モーター,後置モーター,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン
电动机,モーター,三电首任车主质保政策,三電装初回オーナー保証政策,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),100,100,-,-,-,-,60,60,90,90,90,90
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),128,128,545,470,545,545,80,80,120,120,120,120
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),15.87,15.87,56.64,46.08,56.64,56.64,10.08,10.08,15.87,15.87,15.87,15.87
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),13.2,13.2,11.5,10.8,11.5,11.5,11.1,11.1,13.6,13.6,13.6,13.6
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,-,-,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),23,23,103,84,103,103,-,-,23,23,23,23
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.42,0.42,0.4,0.4,0.4,0.4,-,-,0.42,0.42,0.42,0.42
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),2.5,2.5,-,-,-,-,3.42,3.42,2.5,2.5,2.5,2.5
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,-,-,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),15-100,15-100,-,-,-,-,15-100,15-100,15-100,15-100,15-100,15-100
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,-,-,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),-,-,6,6,6,6,-,-,-,-,-,-
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,1,1,1,1,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 後置後輪駆動（FR）,● 後置後輪駆動（FR）,● 後置後輪駆動（FR）,● 後置後輪駆動（FR）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● ダブルボールジョイントマクファーソン式独立サスペンション,● ダブルボールジョイントマクファーソン式独立サスペンション,● ダブルボールジョイントマクファーソン式独立サスペンション,● ダブルボールジョイントマクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● 5リンク式独立サスペンション,● 5リンク式独立サスペンション,● 5リンク式独立サスペンション,● 5リンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/60 R16タイヤ,● 225/55 R17タイヤ,● 225/50 R18タイヤ,● 225/55 R17タイヤ,● 225/55 R17タイヤ,● 225/50 R18タイヤ,● 225/60 R16タイヤ,● 225/55 R17タイヤ,● 225/55 R17タイヤ,● 225/55 R17タイヤ,● 225/50 R18タイヤ,● 225/55 R17タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/60 R16タイヤ,● 225/55 R17タイヤ,● 225/50 R18タイヤ,● 225/55 R17タイヤ,● 225/55 R17タイヤ,● 225/50 R18タイヤ,● 225/60 R16タイヤ,● 225/55 R17タイヤ,● 225/55 R17タイヤ,● 225/55 R17タイヤ,● 225/50 R18タイヤ,● 225/55 R17タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,-,●,-,●,●,-,-,-,●,●,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報システム（TPMS）,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧警報システム（TPMS）,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 全車,● 前席,● 全車,● 全車,● 前席,● 前席,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-
