セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 Pro+4WD 6人乗り,2026年モデル 増程 Max4WD 6人乗り,2026年モデル 増程 Ultra4WD 6人乗り,2026年モデル 増程 Pro+4WD 5人乗り,2026年モデル 増程 Max4WD 5人乗り,2026年モデル 増程 Ultra4WD 5人乗り,2026年モデル 純電 Max長距離版 6人乗り,2026年モデル 純電 Max長距離版 5人乗り,2026年モデル 純電 Max4WD 6人乗り,2026年モデル 純電 Ultra4WD 6人乗り,2026年モデル 純電 Max4WD 5人乗り,2026年モデル 純電 Ultra4WD 5人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Pro 5人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Pro 6人乗り,2024年モデル 1.5T インテリドライブ4WD Pro 5人乗り,2024年モデル 1.5T インテリドライブ4WD Pro 6人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Ultra 5人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Ultra 6人乗り,2024年モデル 1.5T インテリドライブ4WD Ultra 5人乗り,2024年モデル 1.5T インテリドライブ4WD Ultra 6人乗り
基本参数,基本仕様,变速箱,トランスミッション,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア6人乗りSUV,5ドア5人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア6人乗りSUV,5ドア5人乗りSUV,5ドア6人乗りSUV,5ドア5人乗りSUV,5ドア6人乗りSUV,5ドア5人乗りSUV,5ドア6人乗りSUV
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力,純電動,純電動,純電動,純電動,純電動,純電動,1.5T 152馬力 L4（直列4気筒）,1.5T 152馬力 L4（直列4気筒）,1.5T 152馬力 L4（直列4気筒）,1.5T 152馬力 L4（直列4気筒）,1.5T 152馬力 L4（直列4気筒）,1.5T 152馬力 L4（直列4気筒）,1.5T 152馬力 L4（直列4気筒）,1.5T 152馬力 L4（直列4気筒）
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),533,533,533,533,533,533,309,309,526,526,526,526,272,272,449,449,272,272,449,449
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5080×1999×1780（mm）,5080×1999×1780（mm）,5080×1999×1780（mm）,5080×1999×1780（mm）,5080×1999×1780（mm）,5080×1999×1780（mm）,5080×1999×1780（mm）,5080×1999×1780（mm）,5080×1999×1780（mm）,5080×1999×1780（mm）,5080×1999×1780（mm）,5080×1999×1780（mm）,5020×1945×1760（mm）,5020×1945×1760（mm）,5020×1945×1760（mm）,5020×1945×1760（mm）,5020×1945×1760（mm）,5020×1945×1760（mm）,5020×1945×1760（mm）,5020×1945×1760（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),5.2,5.1,5.1,5.2,5.1,5.1,7.8,7.8,4.7,4.7,4.7,4.7,8.2,8.2,5.2,5.2,7.8,7.8,4.8,4.8
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.6,3.6,2.2,2.2
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,200,200,200,200,200,200,200,200,190,190,190,190,190,190,190,190
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.80,0.53,0.53,0.80,0.53,0.53,-,-,-,-,-,-,0.85,0.85,1.06,1.06,0.85,0.85,1.06,1.06
基本参数,基本仕様,最低荷电状态油耗(L/100km),最低充電状態燃費(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,6.80,6.80,7.40,7.40,6.8,6.8,7.4,7.4
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,6.50,6.50,6.50,6.50,6.50,6.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,-,-,-,-,1.82,1.82,1.96,2.02,1.96,2.02,-,-,-,-,2.35,2.35,2.42,2.42
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ガソリン・電力複合燃費(L/100km),3.37,3.21,3.21,3.37,3.21,3.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2600,2680,2680,2600,2680,2680,2530,2530,2635,2635,2635,2635,2385,2385,2475,2475,2370,2370,2460,2460
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3115,3130,3130,3115,3130,3130,3025,3025,3130,3130,3130,3130,2835,2835,2925,2925,2820,2820,2910,2910
车身,車体,长度(mm),全長(mm),5080,5080,5080,5080,5080,5080,5080,5080,5080,5080,5080,5080,5020,5020,5020,5020,5020,5020,5020,5020
车身,車体,宽度(mm),全幅(mm),1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1945,1945,1945,1945,1945,1945,1945,1945
车身,車体,高度(mm),全高(mm),1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1760,1760,1760,1760,1760,1760,1760,1760
车身,車体,轴距(mm),ホイールベース(mm),3030,3030,3030,3030,3030,3030,3030,3030,3030,3030,3030,3030,2820,2820,2820,2820,2820,2820,2820,2820
车身,車体,前轮距(mm),前トレッド(mm),1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1635,1635,1635,1635,1635,1635,1635,1635
车身,車体,后轮距(mm),後トレッド(mm),1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1650,1650,1650,1650,1650,1650,1650,1650
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）
车身,車体,座位数(个),乗車定員(名),● 6（座席数）,● 6（座席数）,● 6（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 6（座席数）,● 5（座席数）,● 6（座席数）,● 6（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）,● 6（座席数）,● 5（座席数）,● 6（座席数）,● 5（座席数）,● 6（座席数）,● 5（座席数）,● 6（座席数）
车身,車体,油箱容积(L),燃料タンク容量(L),60,60,60,65,65,65,-,-,-,-,-,-,60,60,60,60,60,60,60,60
车身,車体,前备厢容积(L),フロントトランク容量(L),-,-,-,-,-,-,145,145,145,145,145,145,-,-,-,-,-,-,-,-
车身,車体,后备厢容积(L),リアトランク容量(L),333-1157,333-1157,333-1157,957-2252,957-2252,957-2252,333-1157,957-2252,333-1157,333-1157,957-2252,957-2252,686-1619,188-775,686-1619,188-775,686-1619,188-775,686-1619,188-775
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,HG15T（エンジン型式）,HG15T（エンジン型式）,HG15T（エンジン型式）,HG15T（エンジン型式）,HG15T（エンジン型式）,HG15T（エンジン型式）,-,-,-,-,-,-,H15RT（エンジン型式）,H15RT（エンジン型式）,H15RT（エンジン型式）,H15RT（エンジン型式）,H15RT（エンジン型式）,H15RT（エンジン型式）,H15RT（エンジン型式）,H15RT（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),1496,1496,1496,1496,1496,1496,-,-,-,-,-,-,1499,1499,1499,1499,1499,1499,1499,1499
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,-,-,-,-,-,-,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,-,-,-,-,-,-,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,-,-,-,-,-,-,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,-,-,-,-,-,-,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,-,-,-,-,-,-,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,-,-,-,-,-,-,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,-,-,-,-,-,-,-,-,-,-,-,-,15,15,15,15,15,15,15,15
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,-,-,-,-,-,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,缸径(mm),ボア(mm),-,-,-,-,-,-,-,-,-,-,-,-,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5
发动机,エンジン,行程(mm),ストローク(mm),-,-,-,-,-,-,-,-,-,-,-,-,88.32,88.32,88.32,88.32,88.32,88.32,88.32,88.32
发动机,エンジン,最大马力(Ps),最高出力(Ps),160,160,160,160,160,160,-,-,-,-,-,-,152,152,152,152,152,152,152,152
发动机,エンジン,最大功率(kW),最大出力(kW),118,118,118,118,118,118,-,-,-,-,-,-,112,112,112,112,112,112,112,112
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,5400,5400,5400,5400,5400,5400,5400,5400
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,-,-,-,-,-,216,216,216,216,216,216,216,216
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,4000,4000,4000,4000,4000,4000,4000,4000
发动机,エンジン,最大净功率(kW),最大出力(kW),115,115,115,115,115,115,-,-,-,-,-,-,110,110,110,110,110,110,110,110
发动机,エンジン,发动机特有技术,エンジン独自技術,-,-,-,-,-,-,-,-,-,-,-,-,低圧EGR、吸気VVT、電子式ウォーターポンプ,低圧EGR、吸気VVT、電子式ウォーターポンプ,低圧EGR、吸気VVT、電子式ウォーターポンプ,低圧EGR、吸気VVT、電子式ウォーターポンプ,低圧EGR、吸気VVT、電子式ウォーターポンプ,低圧EGR、吸気VVT、電子式ウォーターポンプ,低圧EGR、吸気VVT、電子式ウォーターポンプ,低圧EGR、吸気VVT、電子式ウォーターポンプ
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン（燃料）,95オクタン（燃料）,95オクタン（燃料）,95オクタン（燃料）,95オクタン（燃料）,95オクタン（燃料）,-,-,-,-,-,-,95オクタン（燃料）,95オクタン（燃料）,95オクタン（燃料）,95オクタン（燃料）,95オクタン（燃料）,95オクタン（燃料）,95オクタン（燃料）,95オクタン（燃料）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,-,-,-,-,-,-,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,-,-,-,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
电动机,モーター,前电动机品牌,前モーターブランド,-,-,-,-,-,-,-,-,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,-,-,-,-,-,-,-,-
电动机,モーター,后电动机品牌,後モーターブランド,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,-,-,-,-,-,-,-,-
电动机,モーター,前电动机型号,前モーター型式,-,-,-,-,-,-,-,-,YS210XYA03（部品番号）,YS210XYA03（部品番号）,YS210XYA03（部品番号）,YS210XYA03（部品番号）,-,-,HFE30A31（部品番号）,HFE30A31（部品番号）,-,-,HFE30A31（部品番号）,HFE30A31（部品番号）
电动机,モーター,后电动机型号,後モーター型式,QT67TZ210D01（部品番号）,QT67TZ210D01（部品番号）,QT67TZ210D01（部品番号）,QT67TZ210D01（部品番号）,QT67TZ210D01（部品番号）,QT67TZ210D01（部品番号）,QT67TZ210D01（部品番号）,QT67TZ210D01（部品番号）,QT67TZ210D01（部品番号）,QT67TZ210D01（部品番号）,QT67TZ210D01（部品番号）,QT67TZ210D01（部品番号）,CTZ196XY0P4（部品番号）,CTZ196XY0P4（部品番号）,CTZ196XY0P4（部品番号）,CTZ196XY0P4（部品番号）,CTZ196XY0P4（部品番号）,CTZ196XY0P4（部品番号）,CTZ196XY0P4（部品番号）,CTZ196XY0P4（部品番号）
电动机,モーター,电机类型,モーター種類,前：交流/非同期モーター 後：永久磁石/同期モーター,前：交流/非同期モーター 後：永久磁石/同期モーター,前：交流/非同期モーター 後：永久磁石/同期モーター,前：交流/非同期モーター 後：永久磁石/同期モーター,前：交流/非同期モーター 後：永久磁石/同期モーター,前：交流/非同期モーター 後：永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,前：交流/非同期モーター 後：永久磁石/同期モーター,前：交流/非同期モーター 後：永久磁石/同期モーター,前：交流/非同期モーター 後：永久磁石/同期モーター,前：交流/非同期モーター 後：永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),392,392,392,392,392,392,227,227,387,387,387,387,200,200,330,330,200,200,330,330
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),533,533,533,533,533,533,309,309,526,526,526,526,272,272,449,449,272,272,449,449
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),563,563,563,563,563,563,320,320,597,597,597,597,360,360,660,660,360,360,660,660
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),165,165,165,165,165,165,-,-,160,160,160,160,-,-,130,130,-,-,130,130
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),243,243,243,243,243,243,-,-,277,277,277,277,-,-,300,300,-,-,300,300
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),227,227,227,227,227,227,227,227,227,227,227,227,200,200,200,200,200,200,200,200
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),320,320,320,320,320,320,320,320,320,320,320,320,360,360,360,360,360,360,360,360
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,シングルモーター,シングルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,シングルモーター,シングルモーター,デュアルモーター,デュアルモーター,シングルモーター,シングルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前後配置,前後配置,前後配置,前後配置,前後配置,前後配置,後置,後置,前後配置,前後配置,前後配置,前後配置,後置,後置,前後配置,前後配置,後置,後置,前後配置,前後配置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウムイオン電池,● 三元系リチウムイオン電池,● 三元系リチウムイオン電池,● リン酸鉄リチウムイオン電池,● 三元系リチウムイオン電池,● 三元系リチウムイオン電池,● 三元系リチウムイオン電池,● 三元系リチウムイオン電池,● 三元系リチウムイオン電池,● 三元系リチウムイオン電池,● 三元系リチウムイオン電池,● 三元系リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● 三元系リチウムイオン電池,● 三元系リチウムイオン電池,● 三元系リチウムイオン電池,● 三元系リチウムイオン電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,"● CATL（寧徳時代）
● CATL（寧徳時代・四川時代）","● CATL（寧徳時代）
● CATL（寧徳時代・四川時代）","● CATL（寧徳時代）
● CATL（寧徳時代・四川時代）","● CATL（寧徳時代）
● CATL（寧徳時代・四川時代）"
