セクション,項目,海豹06新能源 2025款 DM-i 智驾版 80KM豪华型,海豹06新能源 2025款 DM-i 智驾版 80KM尊贵型,海豹06新能源 2025款 DM-i 智驾版 120KM尊荣型,海豹06新能源 2025款 DM-i 智驾版 120KM尊享型,海豹06新能源 2025款 DM-i 智驾版 120KM旗舰型,海豹06新能源 2025款 EV 470KM尊荣型,海豹06新能源 2025款 EV 545KM尊享型,海豹06新能源 2025款 EV 545KM旗舰型
车轮制动,后轮胎规格,● 225/60 R16,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 225/50 R18,● 225/55 R17,● 225/55 R17,● 225/50 R18
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前排中间气囊,-,-,-,●,●,-,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 全车,● 全车,● 全车,● 前排,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-
主动安全,DOW开门预警,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,-,-,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,-,-,-,-,-,● 悬架软硬调节
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,● 英伟达 Orin-N,● 英伟达 Orin-N,● 英伟达 Orin-N,● 英伟达 Orin-N,● 英伟达 Orin-N,● 英伟达 Orin-N,● 英伟达 Orin-N,● 英伟达 Orin-N
驾驶硬件,芯片总算力,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS
驾驶硬件,前方感知摄像头,● 三目,● 三目,● 三目,● 三目,● 三目,● 三目,● 三目,● 三目
驾驶硬件,摄像头数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,前方感知摄像头像素,-,-,-,-,-,● 800万,● 800万,● 800万
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度
驾驶功能,并线辅助,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●,●,●,●
驾驶功能,辅助变道,●,●,●,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,●,●,●
驾驶功能,方向盘离手检测,-,-,-,-,-,●,●,●
驾驶功能,辅助驾驶路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,发动机电子防盗,●,●,●,●,●,-,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 副驾驶,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾位 副驾驶,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,● 雨量感应式,● 雨量感应式,-,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 15.6英寸,● 12.8英寸,● 12.8英寸,● 15.6英寸
屏幕/系统,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,中控液晶屏分屏显示,●,●,●,●,●,●,●,●
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,-,-,-,-,-,-,-,-
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗
屏幕/系统,语音助手唤醒词,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●
屏幕/系统,DeepSeek应用,-,-,-,-,-,● 已接入,● 已接入,● 已接入
屏幕/系统,应用商店,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink
屏幕/系统,车机智能芯片,● 比亚迪D100,● 比亚迪D100,● 比亚迪D100,● 比亚迪D100,● 比亚迪D100,● 比亚迪D100,● 比亚迪D100,● 比亚迪D100
屏幕/系统,车机系统内存(GB),● 12,● 12,● 12,● 12,● 12,● 12,● 12,● 12
屏幕/系统,车机系统存储(GB),● 256,● 256,● 256,● 256,● 256,● 256,● 256,● 256
智能化配置,车联网,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 充电管理 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修
智能化配置,车载KTV,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,-,-,-,●
方向盘/内后视镜,HUD抬头尺寸,-,-,-,-,-,-,-,● 12英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,●,●,●,●,●,●,●,●
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,-,● 前排,● 前排,-,-,● 前排
车内充电,手机无线充电功率,-,-,-,● 15W,● 15W,-,-,● 50W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,运动风格座椅,●,●,●,●,●,-,-,-
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
