セクション,セクション_ja,項目,項目_ja,2026年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 5人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 2WD ラグジュアリー 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD エリート 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD ラグジュアリー 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレミアム 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレステージ 7人乗り,2026年モデル 380T 4WD ラグジュアリー 7人乗り,2026年モデル 380T 4WD プレミアム 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 5人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD ラグジュアリー 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD プレミアム 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD エリート 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD ラグジュアリー 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレミアム 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレステージ 7人乗り,2024年モデル 380T 4WD ラグジュアリー 7人乗り,2024年モデル 380T 4WD プレミアム 7人乗り,2024年モデル 380T 4WD プレステージ 7人乗り
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.0T 248馬力 L4,2.0T 248馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.0T 248馬力 L4,2.0T 248馬力 L4,2.0T 248馬力 L4
基本参数,基本仕様,电动机(Ps),モーター（Ps）,182,182,182,237,237,237,237,-,-,182,182,182,182,237,237,237,237,-,-,-
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）,4965×1930×1750（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),5.82,5.82,5.82,5.97,5.97,5.97,5.97,8.74,8.74,5.82,5.82,5.82,5.82,5.97,5.97,5.97,5.97,8.74,8.74,8.74
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1930,1965,2010,2035,2070,2080,2105,2035,2040,1930,1965,2010,2015,2035,2070,2080,2105,2035,2040,2060
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2500,2620,2620,2700,2700,2700,2700,2650,2650,2500,2620,2620,2620,2700,2700,2700,2700,2650,2650,2650
车身,車体,长度(mm),全長(mm),4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965
车身,車体,宽度(mm),全幅(mm),1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930
车身,車体,高度(mm),全高(mm),1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750
车身,車体,轴距(mm),ホイールベース(mm),2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850
车身,車体,前轮距(mm),前トレッド(mm),1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655
车身,車体,后轮距(mm),後トレッド(mm),1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
车身,車体,离去角(°),デパーチャーアングル(°),22,22,22,22,22,22,22,23,23,22,22,22,22,22,22,22,22,23,23,23
车身,車体,最小转弯半径(m),最小回転半径(m),5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),65,65,65,65,65,65,65,68,68,65,65,65,65,65,65,65,65,68,68,68
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,A25D,A25D,A25D,A25D,A25D,A25D,A25D,S20A,S20A,A25D,A25D,A25D,A25D,A25D,A25D,A25D,A25D,S20A,S20A,S20A
发动机,エンジン,排量(mL),排気量(mL),2487,2487,2487,2487,2487,2487,2487,1997,1997,2487,2487,2487,2487,2487,2487,2487,2487,1997,1997,1997
发动机,エンジン,排量(L),排気量(L),2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,ターボチャージャー,ターボチャージャー,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,14,14,14,14,14,14,14,11,11,14,14,14,14,14,14,14,14,11,11,11
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),189,189,189,189,189,189,189,248,248,189,189,189,189,189,189,189,189,248,248,248
发动机,エンジン,最大功率(kW),最大出力(kW),139,139,139,139,139,139,139,182,182,139,139,139,139,139,139,139,139,182,182,182
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),236,236,236,236,236,236,236,380,380,236,236,236,236,236,236,236,236,380,380,380
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,1800-4000,1800-4000,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,1800-4000,1800-4000,1800-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),139,139,139,139,139,139,139,182,182,139,139,139,139,139,139,139,139,182,182,182
发动机,エンジン,发动机特有技术,エンジン独自技術,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-i,VVT-i,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-i,VVT-i,VVT-i
发动机,エンジン,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,ハイオクガソリン（95）,ハイオクガソリン（95）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）
发动机,エンジン,供油方式,燃料供給方式,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电机类型,モーター種類,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,-,-,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,-,-,-
电动机,モーター,电动机总功率(kW),モーター総出力(kW),134,134,134,174,174,174,174,-,-,134,134,134,134,174,174,174,174,-,-,-
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),182,182,182,237,237,237,237,-,-,182,182,182,182,237,237,237,237,-,-,-
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),270,270,270,391,391,391,391,-,-,270,270,270,270,391,391,391,391,-,-,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),134,134,134,134,134,134,134,-,-,134,134,134,134,134,134,134,134,-,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),270,270,270,270,270,270,270,-,-,270,270,270,270,270,270,270,270,-,-,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,-,-,40,40,40,40,-,-,-,-,-,-,40,40,40,40,-,-,-
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),-,-,-,121,121,121,121,-,-,-,-,-,-,121,121,121,121,-,-,-
电动机,モーター,系统综合功率(kW),システム総合出力(kW),181,181,181,181,181,181,181,-,-,181,181,181,181,181,181,181,181,-,-,-
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),246,246,246,246,246,246,246,-,-,246,246,246,246,246,246,246,246,-,-,-
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,-,-,単モーター,単モーター,単モーター,単モーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,-,-,-
电动机,モーター,电机布局,モーター配置,前置き,前置き,前置き,前後置き,前後置き,前後置き,前後置き,-,-,前置き,前置き,前置き,前置き,前後置き,前後置き,前後置き,前後置き,-,-,-
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,-,-,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,-,-,-
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,● コーリメ PRIMEARTH,● コーリメ PRIMEARTH,● コーリメ PRIMEARTH,● コーリメ PRIMEARTH,● コーリメ PRIMEARTH,● コーリメ PRIMEARTH,● コーリメ PRIMEARTH,-,-,● コーリメ PRIMEARTH,● コーリメ PRIMEARTH,● コーリメ PRIMEARTH,● コーリメ PRIMEARTH,● コーリメ PRIMEARTH,● コーリメ PRIMEARTH,● コーリメ PRIMEARTH,● コーリメ PRIMEARTH,-,-,-
电池/充电,バッテリー／充電,电池组质保,バッテリー保証期間,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,-,-,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,-,-,-
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,8速AT,8速AT,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,8速AT,8速AT,8速AT
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,8,8,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,8,8,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,マニュアルモード付AT,マニュアルモード付AT,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● FF,● FF,● FF,● 4WD（前置）,● 4WD（前置）,● 4WD（前置）,● 4WD（前置）,● 4WD（前置）,● 4WD（前置）,● FF,● FF,● FF,● FF,● 4WD（前置）,● 4WD（前置）,● 4WD（前置）,● 4WD（前置）,● 4WD（前置）,● 4WD（前置）,● 4WD（前置）
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● パートタイム4WD,● パートタイム4WD,-,-,-,-,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,-,-,-,-,-,● 多板クラッチ,● 多板クラッチ,-,-,-,-,-,-,-,-,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
