セクション,項目,汉兰达 2026款 2.5L智能电混双擎两驱精英版 5座,汉兰达 2026款 2.5L智能电混双擎两驱精英版 7座,汉兰达 2026款 2.5L智能电混双擎两驱豪华版 7座,汉兰达 2026款 2.5L智能电混双擎四驱精英版 7座,汉兰达 2026款 2.5L智能电混双擎四驱豪华版 7座,汉兰达 2026款 2.5L智能电混双擎四驱尊贵版 7座,汉兰达 2026款 2.5L智能电混双擎四驱至尊版 7座,汉兰达 2026款 380T 四驱豪华版 7座,汉兰达 2026款 380T 四驱尊贵版 7座,汉兰达 2024款 2.5L智能电混双擎两驱精英版 5座,汉兰达 2024款 2.5L智能电混双擎两驱精英版 7座,汉兰达 2024款 2.5L智能电混双擎两驱豪华版 7座,汉兰达 2024款 2.5L智能电混双擎两驱尊贵版 7座,汉兰达 2024款 2.5L智能电混双擎四驱精英版 7座,汉兰达 2024款 2.5L智能电混双擎四驱豪华版 7座,汉兰达 2024款 2.5L智能电混双擎四驱尊贵版 7座,汉兰达 2024款 2.5L智能电混双擎四驱至尊版 7座,汉兰达 2024款 380T 四驱豪华版 7座,汉兰达 2024款 380T 四驱尊贵版 7座,汉兰达 2024款 380T 四驱至尊型 7座
基本参数,长*宽*高(mm),4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),5.82,5.82,5.82,5.97,5.97,5.97,5.97,8.74,8.74,5.82,5.82,5.82,5.82,5.97,5.97,5.97,5.97,8.74,8.74,8.74
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1930,1965,2010,2035,2070,2080,2105,2035,2040,1930,1965,2010,2015,2035,2070,2080,2105,2035,2040,2060
基本参数,最大满载质量(kg),2500,2620,2620,2700,2700,2700,2700,2650,2650,2500,2620,2620,2620,2700,2700,2700,2700,2650,2650,2650
车身,长度(mm),4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965
车身,宽度(mm),1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930
车身,高度(mm),1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750
车身,轴距(mm),2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850
车身,前轮距(mm),1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655
车身,后轮距(mm),1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660
车身,接近角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
车身,离去角(°),22,22,22,22,22,22,22,23,23,22,22,22,22,22,22,22,22,23,23,23
车身,最小转弯半径(m),5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 5,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7
车身,油箱容积(L),65,65,65,65,65,65,65,68,68,65,65,65,65,65,65,65,65,68,68,68
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,A25D,A25D,A25D,A25D,A25D,A25D,A25D,S20A,S20A,A25D,A25D,A25D,A25D,A25D,A25D,A25D,A25D,S20A,S20A,S20A
发动机,排量(mL),2487,2487,2487,2487,2487,2487,2487,1997,1997,2487,2487,2487,2487,2487,2487,2487,2487,1997,1997,1997
发动机,排量(L),2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,14,14,14,14,14,14,14,11,11,14,14,14,14,14,14,14,14,11,11,11
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),189,189,189,189,189,189,189,248,248,189,189,189,189,189,189,189,189,248,248,248
发动机,最大功率(kW),139,139,139,139,139,139,139,182,182,139,139,139,139,139,139,139,139,182,182,182
发动机,最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
发动机,最大扭矩(N·m),236,236,236,236,236,236,236,380,380,236,236,236,236,236,236,236,236,380,380,380
发动机,最大扭矩转速(rpm),4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,1800-4000,1800-4000,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,1800-4000,1800-4000,1800-4000
发动机,最大净功率(kW),139,139,139,139,139,139,139,182,182,139,139,139,139,139,139,139,139,182,182,182
发动机,发动机特有技术,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-i,VVT-i,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-i,VVT-i,VVT-i
发动机,能源类型,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,95号,95号,92号,92号,92号,92号,92号,92号,92号,92号,95号,95号,95号
发动机,供油方式,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,-,-,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,-,-,-
电动机,电动机总功率(kW),134,134,134,174,174,174,174,-,-,134,134,134,134,174,174,174,174,-,-,-
电动机,电动机总马力(Ps),182,182,182,237,237,237,237,-,-,182,182,182,182,237,237,237,237,-,-,-
电动机,电动机总扭矩(N·m),270,270,270,391,391,391,391,-,-,270,270,270,270,391,391,391,391,-,-,-
电动机,前电动机最大功率(kW),134,134,134,134,134,134,134,-,-,134,134,134,134,134,134,134,134,-,-,-
电动机,前电动机最大扭矩(N·m),270,270,270,270,270,270,270,-,-,270,270,270,270,270,270,270,270,-,-,-
电动机,后电动机最大功率(kW),-,-,-,40,40,40,40,-,-,-,-,-,-,40,40,40,40,-,-,-
电动机,后电动机最大扭矩(N·m),-,-,-,121,121,121,121,-,-,-,-,-,-,121,121,121,121,-,-,-
电动机,系统综合功率(kW),181,181,181,181,181,181,181,-,-,181,181,181,181,181,181,181,181,-,-,-
电动机,系统综合功率(Ps),246,246,246,246,246,246,246,-,-,246,246,246,246,246,246,246,246,-,-,-
电动机,驱动电机数,单电机,单电机,单电机,双电机,双电机,双电机,双电机,-,-,单电机,单电机,单电机,单电机,双电机,双电机,双电机,双电机,-,-,-
电动机,电机布局,前置,前置,前置,前置+后置,前置+后置,前置+后置,前置+后置,-,-,前置,前置,前置,前置,前置+后置,前置+后置,前置+后置,前置+后置,-,-,-
电池/充电,电池类型,● 镍氢电池,● 镍氢电池,● 镍氢电池,● 镍氢电池,● 镍氢电池,● 镍氢电池,● 镍氢电池,-,-,● 镍氢电池,● 镍氢电池,● 镍氢电池,● 镍氢电池,● 镍氢电池,● 镍氢电池,● 镍氢电池,● 镍氢电池,-,-,-
电池/充电,电芯品牌,● 科力美 PRIMEARTH,● 科力美 PRIMEARTH,● 科力美 PRIMEARTH,● 科力美 PRIMEARTH,● 科力美 PRIMEARTH,● 科力美 PRIMEARTH,● 科力美 PRIMEARTH,-,-,● 科力美 PRIMEARTH,● 科力美 PRIMEARTH,● 科力美 PRIMEARTH,● 科力美 PRIMEARTH,● 科力美 PRIMEARTH,● 科力美 PRIMEARTH,● 科力美 PRIMEARTH,● 科力美 PRIMEARTH,-,-,-
电池/充电,电池组质保,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,-,-,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,-,-,-
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,8挡手自一体,8挡手自一体,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,8挡手自一体,8挡手自一体,8挡手自一体
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,8,8,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,8,8,8
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),手自一体变速箱(AT),手自一体变速箱(AT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,-,-,-,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 适时四驱,● 适时四驱,-,-,-,-,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 适时四驱,● 适时四驱,● 适时四驱
底盘转向,中央差速器结构,-,-,-,-,-,-,-,● 多片离合器,● 多片离合器,-,-,-,-,-,-,-,-,● 多片离合器,● 多片离合器,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/65 R18,● 235/65 R18,● 235/55 R20,● 235/65 R18,● 235/55 R20,● 235/55 R20,● 235/55 R20,● 235/55 R20,● 235/55 R20,● 235/65 R18,● 235/65 R18,● 235/55 R20,● 235/55 R20,● 235/65 R18,● 235/55 R20,● 235/55 R20,● 235/55 R20,● 235/55 R20,● 235/55 R20,● 235/55 R20
车轮制动,后轮胎规格,● 235/65 R18,● 235/65 R18,● 235/55 R20,● 235/65 R18,● 235/55 R20,● 235/55 R20,● 235/55 R20,● 235/55 R20,● 235/55 R20,● 235/65 R18,● 235/65 R18,● 235/55 R20,● 235/55 R20,● 235/65 R18,● 235/55 R20,● 235/55 R20,● 235/55 R20,● 235/55 R20,● 235/55 R20,● 235/55 R20
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-,-,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 越野 雪地
驾驶操控,发动机启停技术,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-,-,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,●,●,●
