セクション,項目,奔驰A级 2025款 改款 A 180 L,奔驰A级 2025款 改款 A 200 L 时尚型,奔驰A级 2025款 A 180 L,奔驰A级 2025款 A 200 L 时尚型
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,超声波雷达数量,-,● 12个,-,● 12个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,-,-
驾驶功能,车道保持辅助系统,●,●,●,●
驾驶功能,辅助泊车入位,-,●,-,●
外观/防盗,外观套件,● 运动风格,● 运动风格,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,感应后备厢,-,○,-,○
外观/防盗,发动机电子防盗,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,-,○ 全车 (4800元),-,○ 全车 (4800元)
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,○ 几何多光束 (5400元),-,○ 几何多光束 (5400元)
车外灯光,LED日间行车灯,●,●,●,●
车外灯光,自适应远近光,●,●,●,●
车外灯光,自动头灯,●,●,●,●
车外灯光,转向头灯,-,○,-,○
车外灯光,车前雾灯,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●
天窗/玻璃,天窗类型,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗"
屏幕/系统,语音助手唤醒词,● 你好，奔驰,● 你好，奔驰,● 你好，奔驰,● 你好，奔驰
屏幕/系统,语音连续识别,●,●,●,●
屏幕/系统,应用商店,●,●,●,●
屏幕/系统,车载智能系统,● MBUX,● MBUX,● MBUX,● MBUX
智能化配置,车联网,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●
智能化配置,车内生物监测系统,●,●,●,●
智能化配置,手机APP远程功能,"● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 皮质,● 真皮,● 皮质,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,○ (3000元),○ (3000元),○ (3000元),○ (3000元)
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个
车内充电,手机无线充电功能,-,○ 前排 (2000元),-,○ 前排 (2000元)
座椅配置,座椅材质,● 仿皮,● 皮/翻毛材质混搭,● 仿皮,● 皮/翻毛材质混搭
座椅配置,运动风格座椅,-,●,-,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节"
座椅配置,主/副驾驶座电动调节,-,主 ● / 副 ●,-,主 ● / 副 ●
座椅配置,前排座椅功能,-,● 加热,-,● 加热
座椅配置,电动座椅记忆功能,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-
座椅配置,后排座椅放倒形式,-,-,-,-
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,○ Burmester柏林之声 (8200元),-,○ Burmester柏林之声 (8200元)
音响/车内灯光,扬声器数量,● 7喇叭,"● 7喇叭
○ 12喇叭",● 7喇叭,"● 7喇叭
○ 12喇叭"
音响/车内灯光,车内环境氛围灯,-,● 64色,-,● 64色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-
空调/冰箱,车载空气净化器,-,○ (1500元),-,○ (1500元)
空调/冰箱,车内PM2.5过滤装置,-,○,-,○
空调/冰箱,车内香氛装置,-,○,-,-
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
