セクション,セクション_ja,項目,項目_ja,2025年モデル インテリジェントドライブ 305km アクティブ版,2025年モデル インテリジェントドライブ 305km フリースタイル版,2025年モデル インテリジェントドライブ 405km フリーダム版,2025年モデル インテリジェントドライブ 405km フライング版,2025年モデル 305km アクティブ版,2025年モデル 305km フリースタイル版,2025年モデル 405km フライング版
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),130,130,130,130,130,130,130
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.15,1.15,1.17,1.17,1.12,1.12,1.14
基本参数,基本仕様,实测0-100km/h加速(s),実測0-100km/h加速(秒),-,-,-,-,13.22,-,14.59
基本参数,基本仕様,实测100-0km/h制动(m),実測100-0km/h制動距離(m),-,-,-,-,40.31,-,43.49
基本参数,基本仕様,实测续航里程(km),実測航続距離(km),-,-,-,-,319.6,-,372.9
基本参数,基本仕様,实测快充时间(小时),実測急速充電時間(時間),-,-,-,-,0.98,-,0.62
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1160,1160,1240,1240,1160,1160,1240
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1460,1460,1540,1540,1460,1460,1540
车身,車体,长度(mm),全長(mm),3780,3780,3780,3780,3780,3780,3780
车身,車体,宽度(mm),全幅(mm),1715,1715,1715,1715,1715,1715,1715
车身,車体,高度(mm),全高(mm),1540,1540,1540,1540,1540,1540,1540
车身,車体,轴距(mm),ホイールベース(mm),2500,2500,2500,2500,2500,2500,2500
车身,車体,前轮距(mm),前トレッド(mm),1500,1500,1500,1500,1500,1500,1500
车身,車体,后轮距(mm),後トレッド(mm),1500,1500,1500,1500,1500,1500,1500
车身,車体,接近角(°),アプローチアングル(°),17,17,17,17,17,17,17
车身,車体,离去角(°),デパーチャーアングル(°),27,27,27,27,27,27,27
车身,車体,最小转弯半径(m),最小回転半径(m),4.95,4.95,4.95,4.95,4.95,4.95,4.95
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,后备厢容积(L),トランク容量(L),930,930,930,930,930,930,930
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-
电动机,モーター,前电动机品牌,前モーター ブランド,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー
电动机,モーター,前电动机型号,前モーター 型番,TZ180XSH,TZ180XSH,TZ180XSH,TZ180XSH,TZ180XSH,TZ180XSH,TZ180XSH
电动机,モーター,电机类型,モーター種類,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),55,55,55,55,55,55,55
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),75,75,75,75,75,75,75
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),135,135,135,135,135,135,135
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),55,55,55,55,55,55,55
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),135,135,135,135,135,135,135
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,前置,前置,前置,前置,前置,前置,前置
电动机,モーター,三电系统质保,三電システム保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,空冷,空冷,直冷式,直冷式,空冷,空冷,直冷式
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),305,305,405,405,305,305,405
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),30.08,30.08,38.88,38.88,30.08,30.08,38.88
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),9.9,9.9,10.1,10.1,9.9,9.9,10.1
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),30,30,40,40,30,30,40
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3,2.2,2.2,2.2
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 165/65 R15,● 175/55 R16,● 175/55 R16,● 175/55 R16,● 165/65 R15,● 175/55 R16,● 175/55 R16
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 165/65 R15,● 175/55 R16,● 175/55 R16,● 175/55 R16,● 165/65 R15,● 175/55 R16,● 175/55 R16
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,● 前席 / 後席,● 前席 / 後席,-,-,● 前席 / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,-,●,-,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,●,-,●,-,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,●,-,●,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,●,-,●,-,-,-
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,●,-,●,-,-,-
主动安全,アクティブセーフティ,哨兵模式/千里眼,セキュリティモード/監視機能,-,●,-,●,-,-,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,●,-,●,-,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前- / 後,● 前席 / 後席,● 前- / 後,● 前席 / 後席,● 前- / 後,● 前- / 後,● 前- / 後
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● 360度全方位カメラ,● バックカメラ,● 360度全方位カメラ,● バックカメラ,● バックカメラ,● バックカメラ
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,-,● NVIDIA Orin-N,-,● NVIDIA Orin-N,-,-,-
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,-,● 84 TOPS,-,● 84 TOPS,-,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,● トリプルカメラ,-,● トリプルカメラ,-,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 12個,● 1個,● 12個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 3個,● 12個,● 3個,● 12個,● 3個,● 3個,● 3個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,-,● 5個,-,● 5個,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,● DiPilot 100,-,● DiPilot 100,-,-,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,● レベル2,-,● レベル2,-,-,-
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,●,-,●,-,-,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（ガオデ）,● バイドゥ,● 高徳（ガオデ）,● バイドゥ,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,●,-,●,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,●,-,●,-,-,-
驾驶功能,運転機能,车道居中保持,車線中央維持,-,●,-,●,-,-,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,●,-,●,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援,-,●,-,●,-,-,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,●,-,●,-,-,-
驾驶功能,運転機能,辅助变道,車線変更支援,-,●,-,●,-,-,-
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,●,-,●,-,-,-
驾驶功能,運転機能,方向盘离手检测,ハンドル離脱検知,-,●,-,●,-,-,-
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,● 高速道路区間,-,● 高速道路区間,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼,● アルミ合金,● アルミ合金,● アルミ合金,● 鋼,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● ハロゲン,● LED,● LED,● LED,● ハロゲン,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● ハロゲン,● LED,● LED,● LED,● ハロゲン,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,●,●,●,-,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,●,-,●,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップ機能,-,● 車全体,● 運転席,● 車全体,-,● 運転席,● 運転席
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,-,●,●,●,-,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,感応式ワイパー機能,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 ミラー加熱,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 ミラー加熱,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 ミラー加熱,● 電動調整 ミラー加熱,● 電動調整 ミラー加熱
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.1インチ,● 12.8インチ,● 10.1インチ,● 12.8インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G,● 5G,● 4G,● 5G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● レザー,● レザー,● レザー,● プラスチック,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下調整,● 手動上下調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下調整,● 手動上下調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子シフトノブ,● 電子シフトノブ,● 電子シフトノブ
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,●,-,●,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 8.8インチ,● 7インチ,● 8.8インチ,● 7インチ,● 7インチ,● 7インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,-,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,-,● 前席,-,● 前席,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●,●,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,-,● 運転席 / 助手席,● 運転席 / 助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,● 加熱機能,● 加熱機能,● 加熱機能,-,● 加熱機能,● 加熱機能
