セクション,項目,海鸥 2025款 智驾版 305km 活力版,海鸥 2025款 智驾版 305km 自由版,海鸥 2025款 智驾版 405km 自在版,海鸥 2025款 智驾版 405km 飞翔版,海鸥 2025款 305km 活力版,海鸥 2025款 305km 自由版,海鸥 2025款 405km 飞翔版
基本参数,实测100-0km/h制动(m),-,-,-,-,40.31,-,43.49
基本参数,实测续航里程(km),-,-,-,-,319.6,-,372.9
基本参数,实测快充时间(小时),-,-,-,-,0.98,-,0.62
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1160,1160,1240,1240,1160,1160,1240
基本参数,最大满载质量(kg),1460,1460,1540,1540,1460,1460,1540
车身,长度(mm),3780,3780,3780,3780,3780,3780,3780
车身,宽度(mm),1715,1715,1715,1715,1715,1715,1715
车身,高度(mm),1540,1540,1540,1540,1540,1540,1540
车身,轴距(mm),2500,2500,2500,2500,2500,2500,2500
车身,前轮距(mm),1500,1500,1500,1500,1500,1500,1500
车身,后轮距(mm),1500,1500,1500,1500,1500,1500,1500
车身,接近角(°),17,17,17,17,17,17,17
车身,离去角(°),27,27,27,27,27,27,27
车身,最小转弯半径(m),4.95,4.95,4.95,4.95,4.95,4.95,4.95
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,后备厢容积(L),930,930,930,930,930,930,930
车身,风阻系数(Cd),-,-,-,-,-,-,-
电动机,前电动机品牌,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
电动机,前电动机型号,TZ180XSH,TZ180XSH,TZ180XSH,TZ180XSH,TZ180XSH,TZ180XSH,TZ180XSH
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),55,55,55,55,55,55,55
电动机,电动机总马力(Ps),75,75,75,75,75,75,75
电动机,电动机总扭矩(N·m),135,135,135,135,135,135,135
电动机,前电动机最大功率(kW),55,55,55,55,55,55,55
电动机,前电动机最大扭矩(N·m),135,135,135,135,135,135,135
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置
电动机,三电系统质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池/充电,电池冷却方式,风冷,风冷,直冷,直冷,风冷,风冷,直冷
电池/充电,CLTC纯电续航里程(km),305,305,405,405,305,305,405
电池/充电,电池能量(kWh),30.08,30.08,38.88,38.88,30.08,30.08,38.88
电池/充电,百公里耗电量(kWh/100km),9.9,9.9,10.1,10.1,9.9,9.9,10.1
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),30,30,40,40,30,30,40
电池/充电,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,快充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,2.2,2.2,2.2
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 165/65 R15,● 175/55 R16,● 175/55 R16,● 175/55 R16,● 165/65 R15,● 175/55 R16,● 175/55 R16
车轮制动,后轮胎规格,● 165/65 R15,● 175/55 R16,● 175/55 R16,● 175/55 R16,● 165/65 R15,● 175/55 R16,● 175/55 R16
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,-,-,前 ● / 后-,前 ● / 后-,-,-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压显示,● 胎压报警,● 胎压显示,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,-,●,-,-,-
主动安全,主动刹车/主动安全系统,-,●,-,●,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-
主动安全,DOW开门预警,-,●,-,●,-,-,-
主动安全,前方碰撞预警,-,●,-,●,-,-,-
主动安全,后方碰撞预警,-,●,-,●,-,-,-
主动安全,哨兵模式/千里眼,-,●,-,●,-,-,-
主动安全,低速行车警告,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,●,-,●,-,-,-
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地"
驾驶操控,能量回收系统,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前- / 后 ●,前 ● / 后 ●,前- / 后 ●,前 ● / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,辅助驾驶芯片,-,● 英伟达 Orin-N,-,● 英伟达 Orin-N,-,-,-
驾驶硬件,芯片总算力,-,● 84 TOPS,-,● 84 TOPS,-,-,-
驾驶硬件,前方感知摄像头,-,● 三目,-,● 三目,-,-,-
驾驶硬件,摄像头数量,● 1个,● 12个,● 1个,● 12个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 3个,● 12个,● 3个,● 12个,● 3个,● 3个,● 3个
驾驶硬件,毫米波雷达数量,-,● 5个,-,● 5个,-,-,-
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 定速巡航
驾驶功能,辅助驾驶系统,-,● DiPilot 100,-,● DiPilot 100,-,-,-
驾驶功能,辅助驾驶等级,-,● L2,-,● L2,-,-,-
驾驶功能,倒车车侧预警系统,-,●,-,●,-,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 百度,● 高德,● 百度,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,●,-,●,-,-,-
驾驶功能,车道保持辅助系统,-,●,-,●,-,-,-
驾驶功能,车道居中保持,-,●,-,●,-,-,-
驾驶功能,道路交通标识识别,-,●,-,●,-,-,-
驾驶功能,辅助泊车入位,-,●,-,●,-,-,-
驾驶功能,遥控泊车,-,●,-,●,-,-,-
驾驶功能,辅助变道,-,●,-,●,-,-,-
驾驶功能,辅助匝道自动驶出(入),-,●,-,●,-,-,-
驾驶功能,方向盘离手检测,-,●,-,●,-,-,-
驾驶功能,辅助驾驶路段,-,● 高速路段,-,● 高速路段,-,-,-
外观/防盗,轮圈材质,● 钢,● 铝合金,● 铝合金,● 铝合金,● 钢,● 铝合金,● 铝合金
外观/防盗,车内中控锁,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
外观/防盗,远程启动功能,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●
车外灯光,近光灯光源,● 卤素,● LED,● LED,● LED,● 卤素,● LED,● LED
车外灯光,远光灯光源,● 卤素,● LED,● LED,● LED,● 卤素,● LED,● LED
车外灯光,LED日间行车灯,-,●,●,●,-,●,●
车外灯光,自适应远近光,-,●,-,●,-,-,-
车外灯光,自动头灯,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,-,-,-,-,-,-
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,-,● 全车,● 驾驶位,● 全车,-,● 驾驶位,● 驾驶位
天窗/玻璃,车窗防夹手功能,-,●,●,●,-,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10.1英寸,● 12.8英寸,● 10.1英寸,● 12.8英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,-,-,-,-,-,-,-
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
屏幕/系统,语音助手唤醒词,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域
屏幕/系统,应用商店,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink
智能化配置,车联网,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 5G,● 4G,● 5G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 塑料,● 皮质,● 皮质,● 皮质,● 塑料,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下调节,● 手动上下调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,●,-,●,-,-,-
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 8.8英寸,● 7英寸,● 8.8英寸,● 7英寸,● 7英寸,● 7英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,●,●,●,●,-,-,-
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个
车内充电,USB/Type-C最大充电功率,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,手机无线充电功能,-,● 前排,-,● 前排,-,● 前排,● 前排
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,运动风格座椅,●,●,●,●,●,●,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,主 ● / 副-,主 ● / 副-,主 ● / 副-,-,主 ● / 副-,主 ● / 副-
座椅配置,前排座椅功能,-,● 加热,● 加热,● 加热,-,● 加热,● 加热
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒
座椅配置,前/后中央扶手,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
座椅配置,后排杯架,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,-,-,-,-,-,-
空调/冰箱,温度分区控制,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–
