セクション,セクション_ja,項目,項目_ja,2025年モデル 卓越版 230TCI MT快適仕様 5人乗り,2025年モデル 卓越版 230TCI MT快適仕様 7人乗り,2025年モデル 卓越版 230TCI AT豪華仕様 5人乗り,2025年モデル 卓越版 230TCI AT豪華仕様 7人乗り,2025年モデル 290TGDI AT快適仕様 5人乗り,2024年モデル 230TCI MTトレンド仕様 5人乗り,2024年モデル 230TCI MTトレンド仕様 7人乗り,2024年モデル 230TCI ATトレンド仕様 5人乗り,2024年モデル 230TCI ATトレンド仕様 7人乗り,2024年モデル 230TCI AT新鋭仕様 5人乗り,2024年モデル 230TCI AT新鋭仕様 7人乗り,2026年モデル 虎型 鯤鵬310TGDI AT快適タイプ,2026年モデル 虎型 鯤鵬310TGDI AT豪華タイプ,2026年モデル 虎型 鯤鵬310TGDI AT上級タイプ,2026年モデル 虎型 鯤鵬310TGDI ATフラッグシップタイプ,2026年モデル 豹型 鯤鵬310TGDI AT快適タイプ,2026年モデル 豹型 鯤鵬310TGDI AT豪華タイプ,2026年モデル 豹型 鯤鵬310TGDI AT上級タイプ,2026年モデル 豹型 鯤鵬310TGDI ATフラッグシップタイプ
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.6T 197馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.6T 200馬力 L4,1.6T 200馬力 L4,1.6T 200馬力 L4,1.6T 200馬力 L4,1.6T 200馬力 L4,1.6T 200馬力 L4,1.6T 200馬力 L4,1.6T 200馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4722×1860×1745mm,4722×1860×1745mm,4722×1860×1745mm,4722×1860×1745mm,4700×1860×1746mm,4700×1860×1746mm,4700×1860×1746mm,4700×1860×1746mm,4700×1860×1746mm,4700×1860×1746mm,4700×1860×1746mm,4749×1880×1710mm,4749×1880×1710mm,4749×1880×1710mm,4749×1880×1710mm,4725×1880×1705mm,4725×1880×1705mm,4725×1880×1705mm,4725×1880×1705mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,200,190,190,190,190,190,190,190,190,190,190,190,190,190,190
基本参数,基本仕様,NEDC综合油耗(L/100km),NEDC総合燃費(L/100km),-,-,-,-,6.9,7,7,7.4,7.4,7.4,7.4,-,-,-,-,-,-,-,-
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.49,7.49,7.59,7.59,7.10,-,-,-,-,-,-,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,首任车主质保政策,初代オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）,● 生涯保証／非営業用（免責条項は公式基準）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1488,1521,1519,1554,1544,1509,1541,1541,1556,1541,1556,1540,1540,1540,1540,1540,1540,1540,1540
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,1965,1965,1965,1965,1965,1965,1965,1965
车身,車体,长度(mm),全長(mm),4722,4722,4722,4722,4700,4700,4700,4700,4700,4700,4700,4749,4749,4749,4749,4725,4725,4725,4725
车身,車体,宽度(mm),全幅(mm),1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1880,1880,1880,1880,1880,1880,1880,1880
车身,車体,高度(mm),全高(mm),1745,1745,1745,1745,1746,1746,1746,1746,1746,1746,1746,1710,1710,1710,1710,1705,1705,1705,1705
车身,車体,轴距(mm),ホイールベース(mm),2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2825,2825,2825,2825,2825,2825,2825,2825
车身,車体,前轮距(mm),前トレッド(mm),1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1585,1585,1585,1585,1585,1585,1585,1585
车身,車体,后轮距(mm),後トレッド(mm),1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,1598,1598,1598,1598,1598,1598,1598,1598
车身,車体,接近角(°),アプローチアングル(°),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
车身,車体,离去角(°),デパーチャーアングル(°),17,17,17,17,17,17,17,17,17,17,17,21,21,21,21,21,21,21,21
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),51,51,51,51,-,51,51,51,51,51,51,51,51,51,51,51,51,51,51
车身,車体,后备厢容积(L),トランク容量(L),889-1930,193-1930,889-1930,193-1930,889-1930,889-1930,193-1930,889-1930,193-1930,889-1930,193-1930,546-1453,546-1453,546-1453,546-1453,546-1453,546-1453,546-1453,546-1453
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,SQRE4T15C（エンジン型式）,SQRE4T15C（エンジン型式）,SQRE4T15C（エンジン型式）,SQRE4T15C（エンジン型式）,SQRF4J16（エンジン型式）,SQRE4T15C（エンジン型式）,SQRE4T15C（エンジン型式）,SQRE4T15C（エンジン型式）,SQRE4T15C（エンジン型式）,SQRE4T15C（エンジン型式）,SQRE4T15C（エンジン型式）,SQRF4J16C（エンジン型式）,SQRF4J16C（エンジン型式）,SQRF4J16C（エンジン型式）,SQRF4J16C（エンジン型式）,SQRF4J16C（エンジン型式）,SQRF4J16C（エンジン型式）,SQRF4J16C（エンジン型式）,SQRF4J16C（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498,1598,1498,1498,1498,1498,1498,1498,1598,1598,1598,1598,1598,1598,1598,1598
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」
发动机,エンジン,最大马力(Ps),最高出力(Ps),156,156,156,156,197,156,156,156,156,156,156,200,200,200,200,200,200,200,200
发动机,エンジン,最大功率(kW),最大出力(kW),115,115,115,115,145,115,115,115,115,115,115,147,147,147,147,147,147,147,147
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),230,230,230,230,290,230,230,230,230,230,230,310,310,310,310,310,310,310,310
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1750-4000,1750-4000,1750-4000,1750-4000,2000-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),108,108,108,108,136.5,108,108,108,108,108,108,140,140,140,140,140,140,140,140
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,直噴,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,鋳鉄,鋳鉄,鋳鉄,アルミ合金,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,6速マニュアル,6速マニュアル,6速湿式DCT,6速湿式DCT,7速湿式DCT,6速マニュアル,6速マニュアル,6速湿式DCT,6速湿式DCT,6速湿式DCT,6速湿式DCT,7速湿式DCT,7速湿式DCT,7速湿式DCT,7速湿式DCT,7速湿式DCT,7速湿式DCT,7速湿式DCT,7速湿式DCT
变速箱,トランスミッション,挡位个数,段数,6,6,6,6,7,6,6,6,6,6,6,7,7,7,7,7,7,7,7
变速箱,トランスミッション,变速箱类型,トランスミッション形式,マニュアルトランスミッション（MT）,マニュアルトランスミッション（MT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,マニュアルトランスミッション（MT）,マニュアルトランスミッション（MT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ,● 235/55 R18タイヤ,● 235/55 R18タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ収納方法,● 底部装着式（スペアタイヤ）,● 底部装着式（スペアタイヤ）,● 底部装着式（スペアタイヤ）,● 底部装着式（スペアタイヤ）,● 底部装着式（スペアタイヤ）,● 底部装着式（スペアタイヤ）,● 底部装着式（スペアタイヤ）,● 底部装着式（スペアタイヤ）,● 底部装着式（スペアタイヤ）,-,-,● トランク内装着,● トランク内装着,● トランク内装着,● トランク内装着,● トランク内装着,● トランク内装着,● トランク内装着,● トランク内装着
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
