セクション,項目,瑞虎8 2026款 第五代 虎款 鲲鹏1.6T 自动舒适型,瑞虎8 2026款 第五代 虎款 鲲鹏1.6T 自动豪华型,瑞虎8 2026款 第五代 豹款 鲲鹏1.6T 自动舒适型,瑞虎8 2026款 第五代 虎款 鲲鹏1.6T 自动尊贵型,瑞虎8 2026款 第五代 虎款 鲲鹏1.6T 自动旗舰型,瑞虎8 2026款 第五代 豹款 鲲鹏1.6T 自动豪华型,瑞虎8 2026款 第五代 豹款 鲲鹏1.6T 自动尊贵型,瑞虎8 2026款 第五代 豹款 鲲鹏1.6T 自动旗舰型,瑞虎8 2025款 卓越版 230TCI 手动舒适版 5座,瑞虎8 2025款 卓越版 230TCI 手动舒适版 7座,瑞虎8 2025款 卓越版 230TCI 自动豪华版 5座,瑞虎8 2025款 卓越版 230TCI 自动豪华版 7座
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1540,1540,1540,1540,1540,1540,1540,1540,1488,1521,1519,1554
基本参数,最大满载质量(kg),1965,1965,1965,1965,1965,1965,1965,1965,2143,2143,2143,2143
车身,长度(mm),4749,4749,4725,4749,4749,4725,4725,4725,4722,4722,4722,4722
车身,宽度(mm),1880,1880,1880,1880,1880,1880,1880,1880,1860,1860,1860,1860
车身,高度(mm),1710,1710,1705,1710,1710,1705,1705,1705,1745,1745,1745,1745
车身,轴距(mm),2825,2825,2825,2825,2825,2825,2825,2825,2710,2710,2710,2710
车身,前轮距(mm),1585,1585,1585,1585,1585,1585,1585,1585,1582,1582,1582,1582
车身,后轮距(mm),1598,1598,1598,1598,1598,1598,1598,1598,1604,1604,1604,1604
车身,接近角(°),20,20,20,20,20,20,20,20,20,20,20,20
车身,离去角(°),21,21,21,21,21,21,21,21,17,17,17,17
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 7,● 5,● 7
车身,油箱容积(L),51,51,51,51,51,51,51,51,51,51,51,51
车身,后备厢容积(L),546-1453,546-1453,546-1453,546-1453,546-1453,546-1453,546-1453,546-1453,889-1930,193-1930,889-1930,193-1930
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,SQRF4J16C,SQRF4J16C,SQRF4J16C,SQRF4J16C,SQRF4J16C,SQRF4J16C,SQRF4J16C,SQRF4J16C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C
发动机,排量(mL),1598,1598,1598,1598,1598,1598,1598,1598,1498,1498,1498,1498
发动机,排量(L),1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),200,200,200,200,200,200,200,200,156,156,156,156
发动机,最大功率(kW),147,147,147,147,147,147,147,147,115,115,115,115
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),310,310,310,310,310,310,310,310,230,230,230,230
发动机,最大扭矩转速(rpm),2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,1750-4000,1750-4000,1750-4000,1750-4000
发动机,最大净功率(kW),140,140,140,140,140,140,140,140,108,108,108,108
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,6挡手动,6挡手动,6挡湿式双离合,6挡湿式双离合
变速箱,挡位个数,7,7,7,7,7,7,7,7,6,6,6,6
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/50 R19,● 235/50 R19,● 235/55 R18,● 235/50 R19,● 235/50 R19,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18
车轮制动,后轮胎规格,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/50 R19,● 235/50 R19,● 235/55 R18,● 235/50 R19,● 235/50 R19,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 底挂式,● 底挂式,● 底挂式,● 底挂式
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,膝部气囊,-,-,-,● 主驾膝部气囊,● 主驾膝部气囊,-,● 主驾膝部气囊,● 主驾膝部气囊,-,-,-,-
被动安全,前排中间气囊,-,-,-,●,●,-,●,●,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,●,●,●,●
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,-,●,●,●,●,●,-,-,-,-
主动安全,主动刹车/主动安全系统,-,●,-,●,●,●,●,●,-,-,-,-
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,-,-,-,-,●,-,-,●,-,-,-,-
主动安全,前方碰撞预警,-,●,-,●,●,●,●,●,-,-,-,-
主动安全,后方碰撞预警,-,-,-,-,●,-,-,●,-,-,-,-
主动安全,内置行车记录仪,-,-,-,●,●,-,●,●,-,-,-,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,-,-,-,-
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,-,-,-,-
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适",-,-,"● 运动
● 经济","● 运动
● 经济"
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,-,-,-,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,-,-,-,-
驾驶硬件,前方感知摄像头,-,● 单目,-,● 单目,● 单目,● 单目,● 单目,● 单目,-,-,-,-
驾驶硬件,摄像头数量,● 4个,● 5个,● 4个,● 5个,● 5个,● 5个,● 5个,● 5个,● 4个,● 4个,● 4个,● 4个
驾驶硬件,超声波雷达数量,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 4个,● 4个,● 4个,● 4个
驾驶硬件,毫米波雷达数量,-,-,-,-,● 2个,-,-,● 2个,-,-,-,-
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航
驾驶功能,辅助驾驶等级,-,● L2,-,● L2,● L2,● L2,● L2,● L2,-,-,-,-
驾驶功能,倒车车侧预警系统,-,-,-,-,●,-,-,●,-,-,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,-,-,-,-
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,-,-,-,-
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,●,-,-,●,-,-,-,-
驾驶功能,车道保持辅助系统,-,●,-,●,●,●,●,●,-,-,-,-
驾驶功能,车道居中保持,-,●,-,●,●,●,●,●,-,-,-,-
驾驶功能,道路交通标识识别,-,●,-,●,●,●,●,●,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,●,-,●,●,●,●,●,-,-,●,●
外观/防盗,电动后备厢位置记忆,-,●,-,●,●,●,●,●,-,-,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,●,●,●,●,●,●,●,●,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,-,-,-,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,●,-,●,●,●,●,●,-,-,-,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,-,-,-,● 前排,-,-,● 前排,-,-,-,-
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,-,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 13.2英寸,● 15.6英寸,● 15.6英寸,● 13.2英寸,● 13.2英寸,● 13.2英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife"
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 座椅加热
● 座椅通风
● 座椅按摩",-,-,-,-
屏幕/系统,语音助手唤醒词,● 嗨，小奇,● 嗨，小奇,● 嗨，小奇,● 嗨，小奇,● 嗨，小奇,● 嗨，小奇,● 嗨，小奇,● 嗨，小奇,-,-,-,-
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,-,-,-,-
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 四区域,● 双区域,● 双区域,● 四区域,-,-,-,-
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,-,-,-,-
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●,-,-,-,-
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,-,-,-,-
屏幕/系统,车载智能系统,● 雄狮系统,● 雄狮系统,● 雄狮系统,● 雄狮系统,● 雄狮系统,● 雄狮系统,● 雄狮系统,● 雄狮系统,-,-,-,-
屏幕/系统,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,-,-,-,-
智能化配置,车联网,●,●,●,●,●,●,●,●,-,-,-,-
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-,-,-,-
智能化配置,OTA升级,●,●,●,●,●,●,●,●,-,-,-,-
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,-,-,-,-
智能化配置,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车",-,-,-,-
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
