セクション,セクション_ja,項目,項目_ja,2025年モデル 卓越版 230TCI 手動快適版 5人乗り,2025年モデル 卓越版 230TCI 手動快適版 7人乗り,2025年モデル 卓越版 230TCI 自動豪華版 5人乗り,2025年モデル 卓越版 230TCI 自動豪華版 7人乗り,2025年モデル 290TGDI 自動快適版 5人乗り,2024年モデル 230TCI 手動トレンド版 5人乗り,2024年モデル 230TCI 手動トレンド版 7人乗り,2024年モデル 230TCI 自動トレンド版 5人乗り,2024年モデル 230TCI 自動トレンド版 7人乗り,2024年モデル 230TCI 自動新鋭版 5人乗り,2024年モデル 230TCI 自動新鋭版 7人乗り
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.6T 197馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4722×1860×1745,4722×1860×1745,4722×1860×1745,4722×1860×1745,4700×1860×1746,4700×1860×1746,4700×1860×1746,4700×1860×1746,4700×1860×1746,4700×1860×1746,4700×1860×1746
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,200,190,190,190,190,190,190
基本参数,基本仕様,NEDC综合油耗(L/100km),NEDC総合燃費(L/100km),-,-,-,-,6.9,7,7,7.4,7.4,7.4,7.4
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.49,7.49,7.59,7.59,7.10,-,-,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,首任车主质保政策,初代オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1488,1521,1519,1554,1544,1509,1541,1541,1556,1541,1556
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143
车身,車体,长度(mm),全長(mm),4722,4722,4722,4722,4700,4700,4700,4700,4700,4700,4700
车身,車体,宽度(mm),全幅(mm),1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860
车身,車体,高度(mm),全高(mm),1745,1745,1745,1745,1746,1746,1746,1746,1746,1746,1746
车身,車体,轴距(mm),ホイールベース(mm),2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710
车身,車体,前轮距(mm),前トレッド(mm),1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582
车身,車体,后轮距(mm),後トレッド(mm),1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604
车身,車体,接近角(°),アプローチアングル(°),20,20,20,20,20,20,20,20,20,20,20
车身,車体,离去角(°),デパーチャーアングル(°),17,17,17,17,17,17,17,17,17,17,17
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),51,51,51,51,-,51,51,51,51,51,51
车身,車体,后备厢容积(L),トランク容量(L),889-1930,193-1930,889-1930,193-1930,889-1930,889-1930,193-1930,889-1930,193-1930,889-1930,193-1930
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRF4J16,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498,1598,1498,1498,1498,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.6,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),156,156,156,156,197,156,156,156,156,156,156
发动机,エンジン,最大功率(kW),最大出力(kW),115,115,115,115,145,115,115,115,115,115,115
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),230,230,230,230,290,230,230,230,230,230,230
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1750-4000,1750-4000,1750-4000,1750-4000,2000-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),108,108,108,108,136.5,108,108,108,108,108,108
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,直噴,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,鋳鉄,鋳鉄,鋳鉄,アルミ合金,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄
发动机,エンジン,环保标准,環境基準,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制
变速箱,トランスミッション,简称,略称,6速マニュアル,6速マニュアル,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ,7速湿式デュアルクラッチ,6速マニュアル,6速マニュアル,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,6,6,6,6,7,6,6,6,6,6,6
变速箱,トランスミッション,变速箱类型,トランスミッション形式,マニュアルトランスミッション（MT）,マニュアルトランスミッション（MT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,マニュアルトランスミッション（MT）,マニュアルトランスミッション（MT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/55 R18
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ収納方法,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,-,-,-,-,-,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,-,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,●,●,●,●,●,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,-,●,●,-,-,-,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),-,-,-,-,●,-,-,-,-,-,-
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,-,-,-,-,-,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,-,-,● スポーツ／エコ,● スポーツ／エコ,● スポーツ／エコ／標準／快適,-,-,● スポーツ／エコ,● スポーツ／エコ,● スポーツ／エコ,● スポーツ／エコ
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,-,-,-,-,●,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像,● バックカメラ映像
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 4個,● 4個,● 4個,● 4個,● 4個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,-,-,-,●,-,-,-,-,-,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,-,-,●,-,-,-,-,-,-
驾驶功能,運転機能,地图品牌,地図ブランド,-,-,-,-,● 高徳（Gaode）ナビ,-,-,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,●,●,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー機能,-,-,●,●,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,-,-,-,●,-,-,-,-,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,-,-,-,-,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,● LED,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン機能,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,-,-,● 雨量感応式,● 雨量感応式,● 雨量感応式,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ドアミラー加熱 施錠時自動格納,● 電動調整 電動格納 ドアミラー加熱 施錠時自動格納,● 電動調整 電動格納 ドアミラー加熱 施錠時自動格納,● 電動調整 電動格納 ドアミラー加熱 施錠時自動格納,● 電動調整 電動格納 ドアミラー加熱 施錠時自動格納,● 電動調整,● 電動調整,● 電動調整 電動格納 ドアミラー加熱 施錠時自動格納,● 電動調整 電動格納 ドアミラー加熱 施錠時自動格納,● 電動調整 電動格納 ドアミラー加熱 施錠時自動格納,● 電動調整 電動格納 ドアミラー加熱 施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話機能,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,-,-,-,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,-,-,-,-,● ハイ、小奇（音声アシスタント名）,-,-,-,-,-,-
