セクション,セクション_ja,項目,項目_ja,2026年モデル 215Max 増程版,2026年モデル 520Lite 純電動版,2026年モデル 520Plus 純電動版,2026年モデル 520Max 純電動版,2026年モデル 520Ultra 純電動版,2026年モデル 620Plus 純電動版,2026年モデル 620Max 純電動版,2026年モデル 620Ultra 純電動版,2024年モデル 200Max 増程遠航版,2024年モデル 200Ultra 増程遠航版,2024年モデル 510Plus 純電動版,2024年モデル 510Max 純電動版,2024年モデル 510Ultra 純電動版
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),175,200,200,200,200,200,200,200,160,160,175,175,175
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,-,320,320,320,320,320
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5L 98馬力 L4エンジン,-,-,-,-,-,-,-,1.5L 98馬力 L4エンジン,1.5L 98馬力 L4エンジン,-,-,-
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),238,272,272,272,272,272,272,272,218,218,238,238,238
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),全長4620×全幅1900×全高1600mm,全長4620×全幅1900×全高1600mm,全長4620×全幅1900×全高1600mm,全長4620×全幅1900×全高1600mm,全長4620×全幅1900×全高1600mm,全長4620×全幅1900×全高1600mm,全長4620×全幅1900×全高1600mm,全長4620×全幅1900×全高1600mm,全長4620×全幅1900×全高1600mm,全長4620×全幅1900×全高1600mm,全長4620×全幅1900×全高1600mm,全長4620×全幅1900×全高1600mm,全長4620×全幅1900×全高1600mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.5,6.28,6.28,6.28,6.28,6.48,6.48,6.48,7.9,7.9,7.3,7.3,7.3
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,185,185,185,185,185,185,185,175,175,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.70,-,-,-,-,-,-,-,0.81,0.81,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,4.81,-,-,-,-,-,-,-,5.05,5.05,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)NEDC,最低充電状態燃費(L/100km)NEDC,3.9,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)CLTC,最低充電状態燃費(L/100km)CLTC,-,-,-,-,-,-,-,-,4.35,4.35,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,1.43,1.43,1.43,1.43,1.47,1.47,1.47,-,-,1.45,1.45,1.45
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.56,-,-,-,-,-,-,-,2.74,2.74,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証,● 3年または12万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1830,1770,1770,1770,1770,1856,1856,1856,1835,1835,1770,1770,1770
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2240,2150,2150,2150,2150,2250,2250,2250,2210,2210,2150,2150,2150
车身,車体,长度(mm),全長(mm),4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620
车身,車体,宽度(mm),全幅(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
车身,車体,高度(mm),全高(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
车身,車体,轴距(mm),ホイールベース(mm),2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880
车身,車体,前轮距(mm),前トレッド(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
车身,車体,后轮距(mm),後トレッド(mm),1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18,18,18,18,18,18,18,18,18,18
车身,車体,离去角(°),デパーチャーアングル(°),24,24,24,24,24,24,24,24,24,24,24,24,24
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア
车身,車体,座位数(个),乗車定員(名),● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア,● 5ドア
车身,車体,油箱容积(L),燃料タンク容量(L),45,-,-,-,-,-,-,-,45,45,-,-,-
车身,車体,前备厢容积(L),フロントトランク容量(L),-,159,159,159,159,159,159,159,-,-,159,159,159
车身,車体,后备厢容积(L),リアトランク容量(L),464,492,492,492,492,492,492,492,464,464,492,492,492
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,JL469Q1型式,-,-,-,-,-,-,-,JL469Q1型式,JL469Q1型式,-,-,-
发动机,エンジン,排量(mL),排気量(mL),1497,-,-,-,-,-,-,-,1497,1497,-,-,-
发动机,エンジン,排量(L),排気量(L),1.5,-,-,-,-,-,-,-,1.5,1.5,-,-,-
发动机,エンジン,进气形式,過給形式,自然吸気,-,-,-,-,-,-,-,自然吸気,自然吸気,-,-,-
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,-,-,-,-,-,-,-,横置エンジン,横置エンジン,-,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,-,-,-,-,-,-,-,L,L,-,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,-,-,-,-,-,-,-,4,4,-,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,-,-,-,-,-,-,-,4,4,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,-,-,-,-,-,-,-,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),98,-,-,-,-,-,-,-,98,98,-,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),72,-,-,-,-,-,-,-,72,72,-,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),70,-,-,-,-,-,-,-,70,70,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,-,-,-,-,-,-,-,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,-,-,-
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,-,-,-,-,-,-,-,マルチポイント燃料噴射,マルチポイント燃料噴射,-,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金ホイール,-,-,-,-,-,-,-,アルミ合金ホイール,アルミ合金ホイール,-,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金ホイール,-,-,-,-,-,-,-,アルミ合金ホイール,アルミ合金ホイール,-,-,-
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,-,-,-,-,-,-,-,国VI排ガス基準,国VI排ガス基準,-,-,-
电动机,モーター,后电动机品牌,リアモーター ブランド,-,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車
电动机,モーター,后电动机型号,リアモーター 型番,-,XTDM67型式,XTDM67型式,XTDM67型式,XTDM67型式,XTDM67型式,XTDM67型式,XTDM67型式,XTDM38型式,XTDM38型式,XTDM40型式,XTDM40型式,XTDM40型式
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),175,200,200,200,200,200,200,200,160,160,175,175,175
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),238,272,272,272,272,272,272,272,218,218,238,238,238
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),-,-,-,-,-,-,-,-,320,320,320,320,320
电动机,モーター,后电动机最大功率(kW),リアモーター最大出力(kW),175,200,200,200,200,200,200,200,160,160,175,175,175
电动机,モーター,后电动机最大扭矩(N·m),リアモーター最大トルク(N·m),-,-,-,-,-,-,-,-,320,320,320,320,320
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置
电动机,モーター,三电首任车主质保政策,三電システム初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）,● 生涯保証／非営業用（免責条項は公式発表による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),165,-,-,-,-,-,-,-,155,155,-,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),215,520,520,520,520,620,620,620,200,200,510,510,510
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1310,-,-,-,-,-,-,-,1234,1234,-,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),28.39,56.12,56.12,56.12,56.12,68.82,68.82,68.82,27.28,27.28,56.12,56.12,56.12
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),16.0,12.3,12.3,12.3,12.3,12.7,12.7,12.7,16.6,16.6,12.5,12.5,12.5
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.33,0.33,0.25,0.25,0.25
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6,6,6,6,6,6,6,6
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,225/60 R18、245/45 R20（3499元追加）,● 225/60 R18タイヤ,● 225/60 R18タイヤ,225/60 R18、245/45 R20（3499元追加）,225/60 R18、245/45 R20（3499元追加）,● 225/60 R18タイヤ,225/60 R18、245/45 R20（3499元追加）,225/60 R18、245/45 R20（3499元追加）,225/60 R18、245/45 R20（3499元追加）,225/60 R18、245/45 R20（3499元追加）,225/60 R18、245/45 R20（3499元追加）,225/60 R18、245/45 R20（3499元追加）,225/60 R18、245/45 R20（3499元追加）
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,225/60 R18、245/45 R20タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,225/60 R18、245/45 R20タイヤ,225/60 R18、245/45 R20タイヤ,● 225/60 R18タイヤ,225/60 R18、245/45 R20タイヤ,225/60 R18、245/45 R20タイヤ,225/60 R18、245/45 R20タイヤ,225/60 R18、245/45 R20タイヤ,225/60 R18、245/45 R20タイヤ,225/60 R18、245/45 R20タイヤ,225/60 R18、245/45 R20タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,-,-,-,-,-,-,-,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,-,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,●,-,-,●,-,●,-,-,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セキュリティモード/監視機能,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準／快適・カスタム・パーソナライズドモード,● スポーツ・エコノミー・標準／快適・カスタム・パーソナライズドモード,● スポーツ・エコノミー・標準／快適・カスタム・パーソナライズドモード,● スポーツ・エコノミー・標準／快適・カスタム・パーソナライズドモード,● スポーツ・エコノミー・標準／快適・カスタム・パーソナライズドモード,● スポーツ・エコノミー・標準／快適・カスタム・パーソナライズドモード,● スポーツ・エコノミー・標準／快適・カスタム・パーソナライズドモード,● スポーツ・エコノミー・標準／快適・カスタム・パーソナライズドモード,● スポーツ・エコノミー・標準／快適・カスタム・パーソナライズドモード,● スポーツ・エコノミー・標準／快適・カスタム・パーソナライズドモード,● スポーツ・エコノミー・標準／快適・カスタム・パーソナライズドモード,● スポーツ・エコノミー・標準／快適・カスタム・パーソナライズドモード,● スポーツ・エコノミー・標準／快適・カスタム・パーソナライズドモード
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●,●
