セクション,項目,沃尔沃XC70插电式混动 2026款 两驱长续航Core,沃尔沃XC70插电式混动 2026款 四驱超长续航Core,沃尔沃XC70插电式混动 2026款 四驱超长续航Plus,沃尔沃XC70插电式混动 2026款 四驱超长续航Ultra
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,● 多色,● 多色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,●,●
空调/冰箱,后座出风口,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●
空调/冰箱,车内香氛装置,●,●,●,●
空调/冰箱,空气质量监测,-,-,●,●
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
选装包,冬季选装包,○ 选配 (5000元),○ 选配 (5000元),○ 选配 (5000元),-
