セクション,セクション_ja,項目,項目_ja,2025年モデル 500km 時代交換電池版（車体・電池分離型）,2025年モデル 475km レンタル交換電池版,2025年モデル 500km 時代交換電池版,2025年モデル 500km レンタル版,2025年モデル 500km お出かけ版,2025年モデル 610km PLUS,2024年モデル 560km PLUS,2024年モデル 450km お出かけ版,2024年モデル 500km お出かけ版,2024年モデル 610km PLUS,2021年モデル 交換電池 レンタル版
车身,車体,后备厢容积(L),トランク容量(L),433,433,433,433,433,433,433,433,433,433,433
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,湖南中車時代電駆科技有限公司,湖南中車時代電駆科技有限公司,湖南中車時代電駆科技有限公司,湖南中車時代電駆科技有限公司,湖南中車時代電駆科技有限公司,湖南中車時代電駆科技有限公司,株洲中車時代電気,株洲中車時代電気,株洲中車時代電気,株洲中車時代電気,-
电动机,モーター,前电动机型号,前モーター型式,CAM190PT4,CAM190PT4,CAM190PT4,CAM190PT4,CAM190PT4,CAM190PT4,CAM210PT6,CAM210PT6,CAM210PT6,CAM210PT6,-
电动机,モーター,电机类型,モーター種類,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),110,110,110,110,110,110,100,100,100,100,100
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),150,150,150,150,150,150,136,136,136,136,136
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),205,205,205,205,205,205,260,260,260,260,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),110,110,110,110,110,110,100,100,100,100,100
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),205,205,205,205,205,205,260,260,260,260,-
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,フロント配置,フロント配置,フロント配置,フロント配置,フロント配置,フロント配置,フロント配置,フロント配置,フロント配置,フロント配置,フロント配置
电动机,モーター,三电系统质保,三電システム保証,-,● 8年または12万km,-,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 5年または50万km,● 8年または80万km,● 8年または80万km,● 8年または15万km,● 8年または60万km
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 時代上汽,● フォーディ,● 時代上汽,"● 寧徳時代
● 時代一汽","● 寧徳時代
● 時代一汽","● 寧徳時代（四川時代）
● 時代一汽","● 寧徳時代（四川時代）
● 時代一汽
● 中創新航","● 寧徳時代
● 時代一汽","● 寧徳時代
● 時代一汽","● 寧徳時代（四川時代）
● 時代一汽",● タフィール
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,空冷,空冷,空冷,水冷,水冷,水冷,水冷,水冷,水冷,水冷,-
电池/充电,バッテリー/充電,换电,バッテリー交換,対応,対応,対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,対応
电池/充电,バッテリー/充電,NEDC纯电续航里程(km),NEDC純電航続距離(km),-,-,-,-,-,-,-,-,-,-,431
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),500,475,500,500,500,610,560,450,500,610,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),56,56,56,60,60,72,72,60,60,72,56
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),132.6,144.7,132.6,141.2,141.2,149.59,150,141,141,150,160
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),11.7,12.3,11.7,12.4,12.4,12.6,13.1,12.9,12.7,12.3,13.5
电池/充电,バッテリー/充電,电池组质保,バッテリー保証,● 8年または60万km,-,● 8年または60万km,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,快充功能,急速充電機能,-,-,-,対応,対応,対応,対応,対応,対応,対応,-
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,-,0.43,0.43,0.53,0.53,0.43,0.43,0.53,-
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),-,-,-,20-80,20-80,20-80,20-80,20-80,20-80,20-80,-
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,-,-,-,車両左前側,車両左前側,車両左前側,車両左前側,車両左前側,車両左前側,車両左前側,-
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ベンチレーテッドディスク式,● ベンチレーテッドディスク式,● ベンチレーテッドディスク式,● ベンチレーテッドディスク式,● ベンチレーテッドディスク式
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 235/50 R18,● 235/50 R18,● 235/50 R18,● 235/50 R18,● 215/55 R18
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 235/50 R18,● 235/50 R18,● 235/50 R18,● 235/50 R18,● 215/55 R18
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,-,-,-,-,前席 ● / 後席 ●,-,前席 ● / 後席 ●,前席 ● / 後席 ●,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,●,●,-,-,●,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,-,-,-,●,●,-,-,●,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● エコ
● 標準/コンフォート","● エコ
● 標準/コンフォート","● エコ
● 標準/コンフォート","● エコ
● 標準/コンフォート","● エコ
● 標準/コンフォート","● エコ
● 標準/コンフォート","● エコ
● 標準/コンフォート","● エコ
● 標準/コンフォート","● エコ
● 標準/コンフォート","● エコ
● 標準/コンフォート","● エコ
● 標準/コンフォート"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,-,-,-,前- / 後 ●,-,-,-,-,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,-,● クルーズコントロール,● クルーズコントロール,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,-,●,-,●,●,●,-,●,●,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,-,●,-,●,●,●,-,●,●,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援システム,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼,● アルミ合金,● 鋼,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,-,-,-,-,-,-,-,-,-,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,-,●,●,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,-,● 雨量感知式,● 雨量感知式,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話機能",-,"● マルチメディアシステム
● ナビゲーション
● 電話機能",-,"● マルチメディアシステム
● ナビゲーション
● 電話機能","● マルチメディアシステム
● ナビゲーション
● 電話機能","● マルチメディアシステム
● ナビゲーション
● 電話機能",-,"● マルチメディアシステム
● ナビゲーション
● 電話機能","● マルチメディアシステム
● ナビゲーション
● 電話機能",-
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● ハイ、ホンチー（音声認識）,-,● ハイ、ホンチー（音声認識）,-,● ハイ、ホンチー（音声認識）,● ハイ、ホンチー（音声認識）,● ハイ、ホンチー（音声認識）,-,● ハイ、ホンチー（音声認識）,● ハイ、ホンチー（音声認識）,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,-,● シングルゾーン,-,● シングルゾーン,● シングルゾーン,● シングルゾーン,-,● シングルゾーン,● シングルゾーン,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,-,●,●,●,●,●,●,●,●,-
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エアコンコントロール","● ドアコントロール
● エアコンコントロール","● ドアコントロール
● エアコンコントロール","● ドアコントロール
● エアコンコントロール","● ドアコントロール
● エアコンコントロール","● ドアコントロール
● エアコンコントロール","● エアコンコントロール
● 車両状態確認／診断","● エアコンコントロール
● 車両状態確認／診断","● エアコンコントロール
● 車両状態確認／診断","● エアコンコントロール
● 車両状態確認／診断","● エンジン始動
● 車両状態確認／診断"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● プラスチック,● 本革,● プラスチック,● 本革,● 本革,● 本革,● プラスチック,● 本革,● 本革,● プラスチック
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子シフトノブ,● 電子シフトノブ,● 電子シフトノブ,● 電子シフトノブ,● 電子シフトノブ
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-
