セクション,セクション_ja,項目,項目_ja,2025年モデル 515 ロングレンジ Plus,2025年モデル 502 ロングレンジ Max,2025年モデル 620 ウルトラロングレンジ Plus,2025年モデル 600 ウルトラロングレンジ Max,2024年モデル 515 ロングレンジ,2024年モデル 620 ウルトラロングレンジ
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,●,-,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度全方位カメラ・車側死角カメラ,● 360度全方位カメラ・車側死角カメラ,● 360度全方位カメラ・車側死角カメラ,● 360度全方位カメラ・車側死角カメラ,● 360度全方位カメラ・車側死角カメラ,● 360度全方位カメラ・車側死角カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,-,● NVIDIA Drive Orin 2基搭載,-,● NVIDIA Drive Orin 2基搭載,-,-
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,-,● 508 TOPS,-,● 508 TOPS,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● ステレオカメラ,● 単眼カメラ,● ステレオカメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 7個,● 11個,● 7個,● 11個,● 7個,● 7個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,● 1個,-,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 2個,● 3個,● 2個,● 3個,● 2個,● 2個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● XPILOT,● XNGP,● XPILOT,● XNGP,● XPILOT,● XPILOT
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ
驾驶功能,運転機能,高精定位,高精度測位,-,●,-,●,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,●,-,●,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,●,-,●,-,-
驾驶功能,運転機能,记忆泊车,メモリーパーク,-,●,-,●,-,-
驾驶功能,運転機能,辅助变道,車線変更支援,-,●,-,●,-,-
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動出入支援,-,●,-,●,-,-
驾驶功能,運転機能,信号灯识别,信号認識,-,●,-,●,-,-
驾驶功能,運転機能,方向盘离手检测,ハンドル離し検知,-,●,-,●,-,-
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,● 市街地・高速道路対応,-,● 市街地・高速道路対応,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリ,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● Bluetoothキー・NFC/RFIDキー,● Bluetoothキー・NFC/RFIDキー,● Bluetoothキー・NFC/RFIDキー,● Bluetoothキー・NFC/RFIDキー,● Bluetoothキー・NFC/RFIDキー,● Bluetoothキー・NFC/RFIDキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーなしエントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブクローズ式エアインテークグリル,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可のパノラマサンルーフ,● 開閉不可のパノラマサンルーフ,● 開閉不可のパノラマサンルーフ,● 開閉不可のパノラマサンルーフ,● 開閉不可のパノラマサンルーフ,● 開閉不可のパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップ／ダウン機能,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話機能,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン 窓席ヒーター 窓席ベンチレーション 窓席マッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓席ヒーター 窓席ベンチレーション 窓席マッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓席ヒーター 窓席ベンチレーション 窓席マッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓席ヒーター 窓席ベンチレーション 窓席マッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓 席ヒーター 席ベンチレーション
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小P,● こんにちは、小P,● こんにちは、小P,● こんにちは、小P,● こんにちは、小P,● こんにちは、小P
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識機能,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識機能,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証機能,-,●,-,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● AI 天璣,● AI 天璣,● AI 天璣,● AI 天璣,● AI 天璣,● AI 天璣
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 16,● 16,● 16,● 16,● 16,● 16
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 128,● 128,● 128,● 128,● 128,● 128
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 窓操作 充電管理 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 充電管理 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 充電管理 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 充電管理 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 充電管理 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 充電管理 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式ハンドルシフト,● 電子式ハンドルシフト,● 電子式ハンドルシフト,● 電子式ハンドルシフト,● 電子式ハンドルシフト,● 電子式ハンドルシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,●,-,●,-,-
