セクション,セクション_ja,項目,項目_ja,2026年モデル Hi4 105 Pro,2026年モデル Hi4 150 Pro,2026年モデル Hi4 150 Ultra,2026年モデル Hi4 200 Ultra,2026年モデル Hi4 150 Ultra リーダーエディション,2026年モデル Hi4 200 Ultra リーダーエディション,2024年モデル Hi4 102 Air,2024年モデル Hi4 102 Pro,2024年モデル Hi4 145 Pro,2024年モデル Hi4 145 クロスオーバーエディション
基本参数,基本仕様,发动机,エンジン,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 167馬力 L4,1.5T 167馬力 L4,1.5T 167馬力 L4,1.5T 167馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),299,299,299,299,299,299,299,299,299,299
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4800×1950×1843（mm）,4800×1950×1843（mm）,4800×1950×1843（mm）,4800×1950×1843（mm）,4800×1950×1843（mm）,4800×1950×1843（mm）,4800×1916×1822（mm）,4800×1950×1843（mm）,4800×1950×1843（mm）,4800×1950×1843（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.1,6.2,6.2,5.9,6.2,5.9,6,6,6.2,6.2
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),190,190,190,190,190,190,190,190,190,190
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),1.68,1.13,1.13,0.93,1.13,0.93,1.68,1.68,1.15,1.15
基本参数,基本仕様,最低荷电状态油耗(L/100km),最低充電状態燃費(L/100km),-,-,-,-,-,-,5.98,5.98,6.09,6.09
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,5.88,5.99,5.99,6.09,5.99,6.09,-,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,-,-,-,-,1.97,1.97,2.23,2.23
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),3.57,3.34,3.34,3.21,3.34,3.21,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2055,2135,2135,2135,2135,2135,2055,2055,2135,2135
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2480,2560,2560,2560,2560,2560,2480,2480,2560,2560
车身,車体,长度(mm),全長(mm),4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
车身,車体,宽度(mm),全幅(mm),1950,1950,1950,1950,1950,1950,1916,1950,1950,1950
车身,車体,高度(mm),全高(mm),1843,1843,1843,1843,1843,1843,1822,1843,1843,1843
车身,車体,轴距(mm),ホイールベース(mm),2738,2738,2738,2738,2738,2738,2738,2738,2738,2738
车身,車体,前轮距(mm),前トレッド(mm),1641,1641,1641,1641,1641,1641,1641,1641,1641,1641
车身,車体,后轮距(mm),後トレッド(mm),1640,1640,1640,1640,1640,1640,1640,1640,1640,1640
车身,車体,空载最小离地间隙(mm),無負荷最小最低地上高(mm),221,221,221,221,221,221,200,221,221,221
车身,車体,接近角(°),アプローチアングル(°),25,25,25,25,25,25,24,25,25,25
车身,車体,离去角(°),デパーチャーアングル(°),32,32,32,32,32,32,30,32,32,32
车身,車体,纵向通过角(°),ランプブレークオーバーアングル(°),20.1,20.1,20.1,20.1,20.1,20.1,19,20.1,20.1,20.1
车身,車体,最大爬坡度(%),最大登坂能力(%),-,-,-,-,-,-,60,60,60,60
车身,車体,最大涉水深度(mm),最大渡河深度(mm),-,-,-,-,-,-,560,580,580,580
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,座位数(个),乗車定員(名),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),55,55,55,55,55,55,55,55,55,55
车身,車体,后备厢容积(L),トランク容量(L),586-1404,586-1404,586-1404,586-1404,586-1404,586-1404,586-1404,586-1404,586-1404,586-1404
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,GW4B15M（エンジン型式）,GW4B15M（エンジン型式）,GW4B15M（エンジン型式）,GW4B15M（エンジン型式）,GW4B15M（エンジン型式）,GW4B15M（エンジン型式）,GW4B15E（エンジン型式）,GW4B15E（エンジン型式）,GW4B15E（エンジン型式）,GW4B15E（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1499,1499,1499,1499,1499,1499,1499,1499
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,-,-,-,-,-,-,12.4,12.4,12.4,12.4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),156,156,156,156,156,156,167,167,167,167
发动机,エンジン,最大功率(kW),最大出力(kW),115,115,115,115,115,115,123,123,123,123
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,5500-6000,5500-6000,5500-6000,5500-6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),243,243,243,243,243,243,243,243,243,243
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,1500-4000,1500-4000,1500-4000,1500-4000
发动机,エンジン,最大净功率(kW),最大純出力(kW),112,112,112,112,112,112,120,120,120,120
发动机,エンジン,发动机特有技术,エンジン独自技術,ミラーサイクル、低圧EGR,ミラーサイクル、低圧EGR,ミラーサイクル、低圧EGR,ミラーサイクル、低圧EGR,ミラーサイクル、低圧EGR,ミラーサイクル、低圧EGR,ミラーサイクル、低圧EGR,ミラーサイクル、低圧EGR,ミラーサイクル、低圧EGR,ミラーサイクル、低圧EGR
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
电动机,モーター,前电动机型号,前モーター型式,TZ220XS011（型式指定）,TZ220XS011（型式指定）,TZ220XS011（型式指定）,TZ220XS011（型式指定）,TZ220XS011（型式指定）,TZ220XS011（型式指定）,TZ220XS011（型式指定）,TZ220XS011（型式指定）,TZ220XS011（型式指定）,TZ220XS011（型式指定）
电动机,モーター,后电动机型号,後モーター型式,TZ220XS008（型式指定）,TZ220XS008（型式指定）,TZ220XS008（型式指定）,TZ220XS008（型式指定）,TZ220XS008（型式指定）,TZ220XS008（型式指定）,TZ220XS008（型式指定）,TZ220XS008（型式指定）,TZ220XS008（型式指定）,TZ220XS008（型式指定）
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),220,220,220,220,220,220,220,220,220,220
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),299,299,299,299,299,299,299,299,299,299
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),510,510,510,510,510,510,510,510,510,510
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),70,70,70,70,70,70,70,70,70,70
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),160,160,160,160,160,160,160,160,160,160
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),150,150,150,150,150,150,150,150,150,150
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),350,350,350,350,350,350,350,350,350,350
电动机,モーター,系统综合功率(kW),システム総合出力(kW),268,272,272,330,272,330,278,278,282,282
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),364,370,370,449,370,449,378,378,384,384
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),750,750,750,750,750,750,750,750,750,750
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前後配置,前後配置,前後配置,前後配置,前後配置,前後配置,前後配置,前後配置,前後配置,前後配置
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）、蜂巣エナジー,● CATL（寧徳時代）、蜂巣エナジー,● CATL（寧徳時代）、蜂巣エナジー,● 蜂巣エナジー,● CATL（寧徳時代）、蜂巣エナジー,● 蜂巣エナジー,● CATL（寧徳時代）、蜂巣エナジー,● CATL（寧徳時代）、蜂巣エナジー,● 蜂巣エナジー,● 蜂巣エナジー
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,大禹電池,大禹電池,大禹電池,大禹電池,大禹電池,大禹電池,大禹電池,大禹電池,大禹電池,大禹電池
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,NEDC纯电续航里程(km),NEDC純電航続距離(km),-,-,-,-,-,-,102,102,145,145
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),81,115,115,151,115,151,81,81,115,115
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),105,150,150,200,150,200,-,-,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),18.74,27.54,27.54,35.43,27.54,35.43,18.74,18.74,27.54,27.54
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),16.5,19.0,19.0,19.6,19.0,19.6,17.4,17.4,19.7,19.7
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),-,-,-,-,-,-,33,33,41,41
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,-,-,-,-,0.47,0.47,0.47,0.47
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),-,-,-,-,-,-,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電量範囲(%),-,-,-,-,-,-,15-100,15-100,15-100,15-100
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6,3.3,3.3,3.3,3.3
变速箱,トランスミッション,简称,略称,2速DHT,2速DHT,2速DHT,2速DHT,2速DHT,2速DHT,2速DHT,2速DHT,2速DHT,2速DHT
变速箱,トランスミッション,挡位个数,段数,2,2,2,2,2,2,2,2,2,2
变速箱,トランスミッション,变速箱类型,トランスミッション形式,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,255/60 R19、265/60 R18タイヤサイズ,255/60 R19、265/60 R18タイヤサイズ,255/60 R19、265/60 R18タイヤサイズ,255/60 R19、265/60 R18タイヤサイズ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 245/60 R18タイヤ,255/60 R19、265/60 R18タイヤサイズ,255/60 R19、265/60 R18タイヤサイズ,255/60 R19、265/60 R18タイヤサイズ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,255/60 R19、265/60 R18タイヤサイズ,255/60 R19、265/60 R18タイヤサイズ,255/60 R19、265/60 R18タイヤサイズ,255/60 R19、265/60 R18タイヤサイズ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 245/60 R18タイヤ,255/60 R19、265/60 R18タイヤサイズ,255/60 R19、265/60 R18タイヤサイズ,255/60 R19、265/60 R18タイヤサイズ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,フルサイズスペアタイヤ＋パンク修理キット,フルサイズスペアタイヤ＋パンク修理キット,フルサイズスペアタイヤ＋パンク修理キット,フルサイズスペアタイヤ＋パンク修理キット,● スペアタイヤは小型（テンポラリー）,● スペアタイヤは小型（テンポラリー）,● フルサイズスペアタイヤ,小型スペアタイヤ＋パンク修理キット,小型スペアタイヤ＋パンク修理キット,小型スペアタイヤ＋パンク修理キット
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ収納方法,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ,● 背負式スペアタイヤ
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,-,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 全席エアコン,● 全席エアコン,● 全席エアコン,● 全席エアコン
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,-,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,-,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,-,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,-,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,-,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,●,●,●,●,-,-,-,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●,●,●
