セクション,項目,宝来 2025款 改款 200TSI 手动畅行版,宝来 2025款 改款 200TSI DSG畅行版,宝来 2025款 改款 200TSI DSG悦行导航版,宝来 2025款 改款 200TSI DSG悦行PRO版,宝来 2025款 改款 280TSI DSG舒行版,宝来 2025款 改款 300TSI DSG尊行版,宝来 2025款 200TSI DSG悦行导航版,宝来 2025款 200TSI DSG悦行PRO版,宝来 2025款 280TSI DSG舒行版,宝来 2025款 300TSI DSG尊行版
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,-,-,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,-,-,-,-,-,●,-,-,-,●
车外灯光,车前雾灯,-,-,-,-,-,● LED,-,-,-,● LED
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,○ 电动天窗,○ 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,● 雨量感应式,-,-,-,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 后视镜加热
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 8英寸,● 8英寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 原厂互联/映射,● 支持CarPlay 原厂互联/映射,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife
屏幕/系统,语音识别控制系统,-,-,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话
屏幕/系统,语音分区域唤醒识别,-,-,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,-,-,-,-,-,-,-,-,-,-
智能化配置,手机APP远程功能,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,●,-,●,-,●,-,●
方向盘/内后视镜,液晶仪表尺寸,● 8英寸,● 8英寸,● 8英寸,● 10.25英寸,● 8英寸,● 10.25英寸,● 8英寸,● 10.25英寸,● 8英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,○,○,○,○,○,○,○,○,○,○
车内充电,多媒体/充电接口,● USB,● USB,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,手机无线充电功能,-,-,-,-,-,● 前排,-,-,-,● 前排
座椅配置,座椅材质,● 织物,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,-,-,● 主 / 副-,-,● 主 / 副-,-,● 主 / 副-,-,● 主 / 副-
座椅配置,前排座椅功能,-,-,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后
座椅配置,后排杯架,-,-,-,-,-,●,-,-,-,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭
音响/车内灯光,车内环境氛围灯,-,-,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 自动空调,● 手动空调,● 手动空调,● 手动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,-,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-,●,-,-,-,●
空调/冰箱,车载空气净化器,-,-,-,-,-,●,-,-,-,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●
空调/冰箱,空气质量监测,-,-,-,-,-,●,-,-,-,●
颜色,外观颜色,极地白 闪光银 锰石黑 海贝金,极地白 闪光银 锰石黑 海贝金,极地白 锰石黑 海贝金,极地白 锰石黑 海贝金,极地白 锰石黑 海贝金,极地白 锰石黑 海贝金,极地白 锰石黑 海贝金,极地白 锰石黑 海贝金,极地白 锰石黑 海贝金,极地白 锰石黑 海贝金
颜色,内饰颜色,黑色,黑色,黑色 黑色/灰色,黑色 黑色/灰色,黑色 黑色/灰色,黑色,黑色 黑色/灰色,黑色 黑色/灰色,黑色 黑色/灰色,黑色
