セクション,セクション_ja,項目,項目_ja,2025年モデル 60km EM i 豪華版,2025年モデル 60km EM i 豪華版,2025年モデル 130km EM i 尊享版,2025年モデル 130km EM i 尊貴版,2025年モデル 130km EM i フラッグシップ版,2025年モデル 130km EM P 探索版,2025年モデル 130km EM P 星艦版
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),-,-,-,-,-,0.9,0.9
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,4.18,4.18,4.28,4.28,4.28,4.58,4.58
基本参数,基本仕様,最低荷电状态油耗(L/100km)CLTC,最低荷電状態燃費(L/100km)CLTC,3.36,3.36,3.43,3.43,3.43,3.67,3.67
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),-,-,-,-,-,2.61,2.61
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1760,1760,1860,1860,1860,1908,1908
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2184,2184,2274,2274,2274,2324,2324
车身,車体,长度(mm),全長(mm),5018,5018,5018,5018,5018,5018,5018
车身,車体,宽度(mm),全幅(mm),1918,1918,1918,1918,1918,1918,1918
车身,車体,高度(mm),全高(mm),1480,1480,1480,1480,1480,1480,1480
车身,車体,轴距(mm),ホイールベース(mm),2928,2928,2928,2928,2928,2928,2928
车身,車体,前轮距(mm),前トレッド(mm),1642,1642,1642,1642,1642,1642,1642
车身,車体,后轮距(mm),後トレッド(mm),1650,1650,1650,1650,1650,1650,1650
车身,車体,接近角(°),アプローチアングル(°),13,13,13,13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),15,15,15,15,15,15,15
车身,車体,最小转弯半径(m),最小回転半径(m),5.8,5.8,5.8,5.8,5.8,5.8,5.8
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),55,55,55,55,55,55,55
车身,車体,后备厢容积(L),トランク容量(L),405,405,405,405,405,405,405
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.25,0.25,0.25,0.25,0.25,0.25,0.25
发动机,エンジン,发动机型号,エンジン型式,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFZ,BHE15-BFZ
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1499,1499,1499,1499,1499
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置,横置,横置,横置,横置,横置,横置
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),112,112,112,112,112,163,163
发动机,エンジン,最大功率(kW),最大出力(kW),82,82,82,82,82,120,120
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6000,6000,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),136,136,136,136,136,255,255
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4000-5000,4000-5000,4000-5000,4000-5000,4000-5000,2500-4000,2500-4000
发动机,エンジン,最大净功率(kW),最大正味出力(kW),79,79,79,79,79,115,115
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),175,175,175,175,175,160,160
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),238,238,238,238,238,218,218
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),262,262,262,262,262,350,350
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),175,175,175,175,175,160,160
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),262,262,262,262,262,350,350
电动机,モーター,系统综合功率(kW),システム総合出力(kW),257,257,257,257,257,280,280
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),350,350,350,350,350,381,381
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),398,398,398,398,398,605,605
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,前置,前置,前置,前置,前置,前置,前置
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証/非営業用（免責条項は公式に準ずる）,● 生涯保証/非営業用（免責条項は公式に準ずる）,● 生涯保証/非営業用（免責条項は公式に準ずる）,● 生涯保証/非営業用（免責条項は公式に準ずる）,● 生涯保証/非営業用（免責条項は公式に準ずる）,● 生涯保証/非営業用（免責条項は公式に準ずる）,● 生涯保証/非営業用（免責条項は公式に準ずる）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 中創新航,● 中創新航,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,シールドバッテリー,シールドバッテリー,シールドバッテリー,シールドバッテリー,シールドバッテリー,シールドバッテリー,シールドバッテリー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),-,-,-,-,-,104,104
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),60,60,130,130,130,130,130
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1500,1500,1600,1600,1600,1500,1500
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),8.5,8.5,18.4,18.4,18.4,18.4,18.4
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力量(kWh/100km),-,-,-,-,-,14.7,14.7
电池/充电,バッテリー/充電,快充功能,急速充電機能,非対応,非対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,0.33,0.33,0.33,0.33,0.33
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),-,-,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,-,-,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3,3,6,6,6,6,6
变速箱,トランスミッション,简称,略称,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,3速DHT,3速DHT
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,3,3
变速箱,トランスミッション,变速箱类型,トランスミッション形式,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/50 R18,● 235/50 R18,● 235/50 R18,● 235/50 R18,● 245/45 R19,● 245/45 R19,● 245/45 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/50 R18,● 235/50 R18,● 235/50 R18,● 235/50 R18,● 245/45 R19,● 245/45 R19,● 245/45 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,●,-,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,● サスペンション硬軟調整,● サスペンション硬軟調整,● サスペンション硬軟調整,● サスペンション硬軟調整,● サスペンション硬軟調整,● サスペンション硬軟調整,● サスペンション硬軟調整
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個,● 10個,● 5個,● 10個,● 10個,● 10個,● 10個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,● 1個,-,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 2個,● 5個,● 2個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,激光雷达数量,レーザーレーダー数,-,-,-,-,-,-,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,● 千里浩瀚（モデル名）,-,● 千里浩瀚（モデル名）,● 千里浩瀚（モデル名）,● 千里浩瀚（モデル名）,● 千里浩瀚（モデル名）
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,●,-,●,●,●,●
驾驶功能,運転機能,车载卫星通信,車載衛星通信,-,-,-,-,-,-,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（地図・ナビ名）,● 高徳（地図・ナビ名）,● 高徳（地図・ナビ名）,● 高徳（地図・ナビ名）,● 高徳（地図・ナビ名）,● 高徳（地図・ナビ名）,● 高徳（地図・ナビ名）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,●,-,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,●,-,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,-,●,-,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,●,-,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,-,●,-,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,● 高速道路区間,-,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,-,-,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーなしエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,自動ヘッドライト,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップ／ダウン機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後部側面プライバシーガラス,-,-,-,-,●,-,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー,● 電動調整・電動格納・ミラー加熱・施錠時自動格納ミラー
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ式液晶画面,● タッチ式液晶画面,● タッチ式液晶画面,● タッチ式液晶画面,● タッチ式液晶画面,● タッチ式液晶画面,● タッチ式液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● Flyme link対応,● Flyme link対応,● Flyme link対応,● Flyme link対応,● Flyme link対応,● Flyme link対応,● Flyme link対応
