セクション,項目,长安Lumin 2026款 宝藏版 205km 心爱米 国轩,长安Lumin 2026款 宝藏版 205km 酷爱米 宁德,长安Lumin 2026款 宝藏版 301km 臻爱米 宁德,长安Lumin 2025款 210km 清香款,长安Lumin 2025款 205km 清香款,长安Lumin 2025款 205km 香沁款,长安Lumin 2025款 301km 蜜沁款,长安Lumin 2025款 301km 萌宝版,长安Lumin 2024款 130km 清悦款,长安Lumin 2024款 205km 橙风版,长安Lumin 2024款 205km 启航版,长安Lumin 2024款 301km 橙风版,长安Lumin 2024款 301km 启航版,长安Lumin 2023款 301km 蜜沁款,长安Lumin 2023款 205km 香沁款
基本参数,电能当量燃料消耗量(L/100km),1.11,1.11,1.16,1.13,1.12,1.15,1.24,1.21,1.11,1.12,1.12,1.21,1.21,1.21,1.12
基本参数,整车质保,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里
基本参数,整备质量(kg),855,855,930,840,870,870,930,930,840,870,870,930,930,930,870
基本参数,最大满载质量(kg),1170,1170,1230,1140,1170,1170,1230,1230,1140,1170,1170,1230,1230,1230,1170
车身,长度(mm),3293,3293,3293,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270
车身,宽度(mm),1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
车身,高度(mm),1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545
车身,轴距(mm),1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980
车身,前轮距(mm),1476,1476,1476,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470
车身,后轮距(mm),1480,1480,1480,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476
车身,满载最小离地间隙(mm),125,125,125,-,125,125,125,125,125,125,125,125,125,-,-
车身,空载最小离地间隙(mm),150,150,150,-,150,150,150,150,-,150,150,150,150,150,150
车身,最小离地间隙(mm),-,-,-,125,-,-,-,-,-,-,-,-,-,-,-
车身,接近角(°),20,20,20,21,21,21,21,21,21,21,21,21,21,21,21
车身,离去角(°),28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3
车身,座位数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,后备厢容积(L),104-804,104-804,104-804,104-804,104-804,104-804,104-804,104-804,104-804,104-804,104-804,104-804,104-804,104-804,104-804
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机,前电动机品牌,重庆青山,重庆青山,重庆青山,双林汽车,重庆青山,重庆青山,重庆青山,重庆青山,-,重庆青山,重庆青山,重庆青山,重庆青山,重庆青山,重庆青山
电动机,前电动机型号,YY30TZ155001,YY30TZ155001,YY30TZ155001,XTDM21,XTDM29,XTDM29,XTDM29,XTDM29,XTDM20,XTDM29,XTDM29,XTDM29,XTDM29,XTDM29,XTDM29
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),35,35,35,30,35,35,35,35,30,35,35,35,35,35,35
电动机,电动机总马力(Ps),48,48,48,41,48,48,48,48,41,48,48,48,48,48,48
电动机,电动机总扭矩(N·m),85,85,85,88,83,83,83,-,-,-,-,-,-,-,-
电动机,前电动机最大功率(kW),35,35,35,30,35,35,35,35,30,35,35,35,35,35,35
电动机,前电动机最大扭矩(N·m),85,85,85,88,83,83,83,-,-,-,-,-,-,-,-
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,三电系统质保,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 国轩高科,● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 国轩高科,● 国轩高科,● 国轩高科,"● 宁德时代
● 宁德时代(江苏时代)","● 宁德时代
● 宁德时代(江苏时代)","● 宁德时代(江苏时代)
● 时代长安",● 国轩高科,● 国轩高科,"● 宁德时代
● 宁德时代(江苏时代)","● 宁德时代
● 宁德时代(江苏时代)","● 宁德时代
● 宁德时代(江苏时代)",● 国轩高科
电池/充电,电池冷却方式,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷
电池/充电,CLTC纯电续航里程(km),205,205,301,210,205,205,301,301,130,205,205,301,301,301,205
电池/充电,电池能量(kWh),17.65,17.41,28.08,17.65,17.65,17.65,28.08,28.08,13.41,17.65,17.65,28.08,28.08,28.08,17.65
电池/充电,电池能量密度(Wh/kg),125,125,130,125,125,125,130,130,116,125,125,130,130,-,125
电池/充电,百公里耗电量(kWh/100km),9.6,9.6,10,9.7,9.9,9.9,10.7,10.7,9.8,9.9,9.9,10.7,10.7,10.7,9.9
电池/充电,快充功能,支持,支持,支持,-,支持,支持,支持,支持,-,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.58,0.58,0.58,-,0.5,0.58,0.58,0.58,-,0.58,0.58,0.58,0.58,0.58,0.58
电池/充电,电池慢充时间(小时),6.5,6.5,10,9.8,6.5,4.6,7,7,6,4.6,4.6,7,7,7,4.6
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,-,30-80,30-80,30-80,30-80,-,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充电量范围(%),-,-,-,-,-,30-100,30-100,30-100,-,30-100,30-100,30-100,30-100,30-100,30-100
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧
电池/充电,快充接口位置,车右前侧,车右前侧,车右前侧,-,车右前侧,车右前侧,车右前侧,车右前侧,-,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 拖曳臂式非独立悬架,● 拖曳臂式非独立悬架,● 拖曳臂式非独立悬架,● 拖曳臂式非独立悬架,● 拖曳臂式非独立悬架,● 拖曳臂式非独立悬架,● 拖曳臂式非独立悬架,● 拖曳臂式非独立悬架,● 拖曳臂式非独立悬架,● 拖曳臂式非独立悬架,● 拖曳臂式非独立悬架,● 拖曳臂式非独立悬架,● 拖曳臂式非独立悬架,● 拖曳臂式非独立悬架,● 拖曳臂式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 鼓式,● 鼓式,● 盘式,● 盘式,● 盘式,● 鼓式,"● 盘式
○ 鼓式","● 鼓式
○ 盘式","● 盘式
○ 鼓式","● 鼓式
○ 盘式","● 鼓式
○ 盘式","● 鼓式
○ 盘式"
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹,● 手刹,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹,"● 电子驻车
○ 手刹","● 手刹
○ 电子驻车","● 电子驻车
○ 手刹","● 手刹
○ 电子驻车","● 手刹
○ 电子驻车","● 手刹
○ 电子驻车"
车轮制动,前轮胎规格,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14
车轮制动,后轮胎规格,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14,● 165/70 R14
车轮制动,备胎规格,-,-,-,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副-,主 ● / 副-,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济"
驾驶操控,能量回收系统,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,-,-,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,摄像头数量,● 1个,● 1个,● 1个,-,-,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个
驾驶功能,巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,-,-,-,-,-,○,○,-,○,-,●,-,●,○,○
外观/防盗,无钥匙进入功能,-,-,-,-,-,○,○,-,○,-,●,-,●,○,○
外观/防盗,隐藏电动门把手,-,-,-,-,-,○,○,-,○,-,●,-,●,○,○
外观/防盗,电池预加热,-,-,-,●,●,-,-,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,远光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,LED日间行车灯,-,-,-,-,-,○,○,-,○,-,-,-,-,○,○
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,前/后电动车窗,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
天窗/玻璃,车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,车内化妆镜,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位,● 主驾位
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,-,-,-,-,-,○ 电动调节,○ 电动调节,-,○ 电动调节,-,● 电动调节,-,● 电动调节,○ 电动调节,○ 电动调节
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,-,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,-,-,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
屏幕/系统,蓝牙/车载电话,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,-,-,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射
屏幕/系统,语音识别控制系统,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-
智能化配置,手机APP远程功能,"● 车门控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料
方向盘/内后视镜,方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,换挡形式,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡
方向盘/内后视镜,多功能方向盘,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,● USB,● USB,● USB,-,-,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排3个,● 前排3个,● 前排3个,-,-,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 织物,● 织物,● 皮/织物混搭,● 织物,● 织物,"● 织物
○ 皮/织物混搭",● 皮/织物混搭,● 皮/织物混搭,● 织物,● 皮/织物混搭,● 织物,● 皮/织物混搭,● 织物,● 织物,● 织物
