セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 52 Pro,2026年モデル 増程 52 Max,2026年モデル 増程 52 Max+,2026年モデル 増程 66 Max,2026年モデル 増程 66 Max+,2026年モデル 純電 Pro,2026年モデル 純電 Max,2026年モデル 純電 Max+,2026年モデル 純電 Pro Max,2026年モデル 純電 Ultra
车身,車体,接近角(°),アプローチアングル(°),17,17,17,17,17,17,17,17,17,17
车身,車体,离去角(°),デパーチャーアングル(°),21,21,21,21,21,21,21,21,21,21
车身,車体,最小转弯半径(m),最小回転半径(m),5.75,4.79,4.79,4.79,4.79,5.75,4.79,4.79,4.79,4.49
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,座位数(个),乗車定員(名),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),50,50,50,50,50,-,-,-,-,-
车身,車体,前备厢容积(L),フロントトランク容量(L),-,-,-,-,-,105,105,105,105,105
车身,車体,后备厢容积(L),ラゲッジルーム容量(L),606-1822,606-1822,581-1797,606-1822,581-1797,636-1852,636-1852,617-1833,636-1852,617-1833
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,15FNE（エンジン型式）,15FNE（エンジン型式）,15FNE（エンジン型式）,15FNE（エンジン型式）,15FNE（エンジン型式）,-,-,-,-,-
发动机,エンジン,排量(mL),排気量(mL),1496,1496,1496,1496,1496,-,-,-,-,-
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,-,-,-,-,-
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,-,-,-,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,-,-,-,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,-,-,-,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,-,-,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,-,-,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),155,155,155,155,155,-,-,-,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),114,114,114,114,114,-,-,-,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大純出力(kW),112,112,112,112,112,-,-,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,92オクタンガソリン,92オクタンガソリン,92オクタンガソリン,92オクタンガソリン,92オクタンガソリン,-,-,-,-,-
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,-,-,-,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,-,-,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,-,-,-,-,-,-,-,-,-,聯合電子（メーカー名）
电动机,モーター,后电动机品牌,後モーターブランド,聯合電子（メーカー名）,聯合電子（メーカー名）,聯合電子（メーカー名）,聯合電子（メーカー名）,聯合電子（メーカー名）,聯合電子（メーカー名）,聯合電子（メーカー名）,聯合電子（メーカー名）,華域汽車（メーカー名）,華域汽車（メーカー名）
电动机,モーター,前电动机型号,前モーター型式,-,-,-,-,-,-,-,-,-,TZ180XS0952（部品番号）
电动机,モーター,后电动机型号,後モーター型式,TZ210XS1141（部品番号）,TZ210XS1141（部品番号）,TZ210XS1141（部品番号）,TZ210XS1141（部品番号）,TZ210XS1141（部品番号）,TZ210XS1141（部品番号）,TZ210XS1141（部品番号）,TZ210XS1141（部品番号）,TZ230XY1252（部品番号）,TZ230XY1252（部品番号）
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),230,230,230,230,230,245,245,245,300,500
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),313,313,313,313,313,333,333,333,408,680
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),430,430,430,430,430,430,430,430,500,800
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,-,-,-,-,-,-,200
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,-,-,-,-,-,-,300
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),230,230,230,230,230,245,245,245,300,300
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),430,430,430,430,430,430,430,430,500,500
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置,後置,後置,後置,後置,後置,前後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または24万km保証,● 8年または24万km保証,● 8年または24万km保証,● 8年または24万km保証,● 8年または24万km保証,● 8年または24万km保証,● 8年または24万km保証,● 8年または24万km保証,● 8年または24万km保証,● 8年または24万km保証
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● 三元系リチウムイオン電池,● 三元系リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● 三元系リチウムイオン電池,● 三元系リチウムイオン電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 江蘇正力（メーカー名）,● 江蘇正力（メーカー名）,● 江蘇正力（メーカー名）,● 上汽時代（メーカー名）,● 上汽時代（メーカー名）,● 中創新航（メーカー名）,● 中創新航（メーカー名）,● 寧徳時代（メーカー名）,● 寧徳時代（メーカー名）,● 寧徳時代（メーカー名）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),290,290,290,360,360,-,-,-,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),370,370,370,450,450,650,650,650,802,750
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1400,1400,1400,1502,1502,-,-,-,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),52,52,52,66,66,76,76,76,103,103
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),17.3,17.3,17.3,17.3,17.3,12.7,12.7,12.7,13,15
电池/充电,バッテリー/充電,电池组质保,バッテリー保証,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準に準ずる）
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压快充,高圧急速充電,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,800,800,800,800,800,800,800,800,875,875
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.32,0.32,0.32,0.27,0.27,0.3,0.3,0.2,0.28,0.28
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6,6,6,6,6
变速箱,トランスミッション,简称,略称,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,-,-,-,-,-,-,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 235/50 R20
○ 235/45 R21（タイヤサイズ）","● 235/50 R20
○ 235/45 R21（タイヤサイズ）","● 235/50 R20
○ 235/45 R21（タイヤサイズ）","● 235/50 R20
○ 235/45 R21（タイヤサイズ）","● 235/50 R20
○ 235/45 R21（タイヤサイズ）","● 235/50 R20
○ 235/45 R21（タイヤサイズ）","● 235/50 R20
○ 235/45 R21（タイヤサイズ）","● 235/50 R20
○ 235/45 R21（タイヤサイズ）","● 235/50 R20
○ 235/45 R21（タイヤサイズ）","● 235/50 R20
○ 235/45 R21（タイヤサイズ）"
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 235/50 R20
○ 265/40 R21（タイヤサイズ）","● 235/50 R20
○ 265/40 R21（タイヤサイズ）","● 235/50 R20
○ 265/40 R21（タイヤサイズ）","● 235/50 R20
○ 265/40 R21（タイヤサイズ）","● 235/50 R20
○ 265/40 R21（タイヤサイズ）","● 235/50 R20
○ 265/40 R21（タイヤサイズ）","● 235/50 R20
○ 265/40 R21（タイヤサイズ）","● 235/50 R20
○ 265/40 R21（タイヤサイズ）","● 235/50 R20
○ 265/40 R21（タイヤサイズ）","● 235/50 R20
○ 265/40 R21（タイヤサイズ）"
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,●,●,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● スノー
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,"● サスペンション硬さ調整
● サスペンション高さ調整",-,"● サスペンション硬さ調整
● サスペンション高さ調整",-,-,"● サスペンション硬さ調整
● サスペンション高さ調整",-,"● サスペンション硬さ調整
● サスペンション高さ調整"
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,-,-,●,-,●,-,-,●,-,●
驾驶操控,ドライビングコントロール,整体主动转向系统,統合アクティブステアリングシステム,-,●,●,●,●,-,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ"
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● NVIDIA Drive Orin-X,● NVIDIA Drive Orin-X,"● NVIDIA Drive Orin-X
○ NVIDIA Drive Thor-U",● NVIDIA Drive Orin-X,"● NVIDIA Drive Orin-X
○ NVIDIA Drive Thor-U",● NVIDIA Drive Orin-X,● NVIDIA Drive Orin-X,● NVIDIA Drive Orin-X,● NVIDIA Drive Orin-X,"● NVIDIA Drive Orin-X
○ NVIDIA Drive Thor-U"
