セクション,項目,铂智3X 2025款 430 Air,铂智3X 2025款 430 Air+,铂智3X 2025款 520 Pro,铂智3X 2025款 520 Pro 激光雷达版,铂智3X 2025款 520 Pro+,铂智3X 2025款 520 Pro+ 激光雷达版,铂智3X 2025款 610 Max
驾驶硬件,前/后驻车雷达,● 前- / 后,● 前- / 后,● 前- / 后,● 前 / 后,● 前- / 后,● 前 / 后,前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,-,-,-,● 英伟达 Orin-X,-,● 英伟达 Orin-X,○ 英伟达 Orin-X
驾驶硬件,芯片总算力,-,-,-,● 254 TOPS,-,● 254 TOPS,○ 254 TOPS
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,● 双目,● 单目,● 双目,单目 双目
驾驶硬件,摄像头数量,● 4个,● 5个,● 5个,● 11个,● 5个,● 11个,5个 11个
驾驶硬件,车内摄像头数量,-,-,-,-,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 3个,● 3个,● 3个,● 12个,● 3个,● 12个,3个 12个
驾驶硬件,毫米波雷达数量,-,● 1个,● 1个,● 3个,● 3个,● 3个,● 3个
驾驶硬件,激光雷达数量,-,-,-,● 1个,-,● 1个,○ 1个
驾驶功能,巡航系统,-,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● Toyota Pilot,● Toyota Pilot,● Momenta 5.0,● Toyota Pilot,● Momenta 5.0,Toyota Pilot Momenta 5.0
驾驶功能,辅助驾驶等级,-,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,-,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,-,●,●,●,●
驾驶功能,车道保持辅助系统,-,●,●,●,●,●,●
驾驶功能,车道居中保持,-,●,●,●,●,●,●
驾驶功能,道路交通标识识别,-,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,●,-,●,○
驾驶功能,遥控泊车,-,-,-,●,-,●,○
驾驶功能,记忆泊车,-,-,-,●,-,●,○
驾驶功能,辅助变道,-,-,-,●,-,●,○
驾驶功能,辅助匝道自动驶出(入),-,-,-,●,-,●,○
驾驶功能,方向盘离手检测,-,-,-,●,-,●,○
驾驶功能,辅助驾驶路段,-,-,-,● 城市路段 高速路段,-,● 城市路段 高速路段,○ 城市路段 高速路段
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,-,-,-,●,●,●
外观/防盗,感应后备厢,-,-,-,-,●,●,●
外观/防盗,电动后备厢位置记忆,-,-,-,-,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,隐藏电动门把手,-,●,●,●,●,●,●
外观/防盗,主动闭合式进气格栅,-,-,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●
车外灯光,场景灯语,-,-,-,-,-,-,●
天窗/玻璃,天窗类型,-,-,-,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,-,-,-,● 前排,● 前排,● 前排
天窗/玻璃,后排侧隐私玻璃,-,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节,电动调节 后视镜记忆 倒车自动下翻,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 车窗,多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风,多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风,多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风,多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风,多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风,多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风
屏幕/系统,语音助手唤醒词,● 你好，小熊,● 你好，小熊,● 你好，小熊,● 你好，小熊,● 你好，小熊,● 你好，小熊,● 你好，小熊
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●
屏幕/系统,应用商店,●,●,●,●,●,●,●
屏幕/系统,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
智能化配置,车联网,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●
智能化配置,车内生物监测系统,-,-,-,-,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○ (200元),○ (200元),○ (200元),○ (200元),○ (200元),○ (200元),●
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,-,-,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,座椅材质,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,● 主 / 副-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,○ 加热 通风,○ 加热 通风,○ 加热 通风,○ 加热 通风,○ 加热 通风,○ 加热 通风
座椅配置,电动座椅记忆功能,-,○ 驾驶位 副驾驶位,驾驶位 副驾驶位,驾驶位 副驾驶位,驾驶位 副驾驶位,驾驶位 副驾驶位,驾驶位 副驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,后排小桌板,-,-,-,-,-,-,●
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,-,-,-,-,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,○ YAMAHA雅马哈 (3000元),● YAMAHA雅马哈,○ YAMAHA雅马哈 (3000元),● YAMAHA雅马哈,● YAMAHA雅马哈
音响/车内灯光,扬声器数量,● 9喇叭,● 9喇叭,9喇叭 11喇叭,● 11喇叭,9喇叭 11喇叭,● 11喇叭,● 11喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,-,-,-,-,● 32色,● 32色,● 32色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,●,●,●,●,●,●,●
空调/冰箱,后排独立空调,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●
空调/冰箱,空气质量监测,-,-,-,-,-,-,●
颜色,外观颜色,天际白 粹雪白 ￥2000 浩瀚黑 远山灰 皎月银 赛博金 ￥2000 霞空粉,天际白 粹雪白 ￥2000 浩瀚黑 远山灰 皎月银 赛博金 ￥2000 霞空粉,天际白 粹雪白 ￥2000 浩瀚黑 远山灰 皎月银 赛博金 ￥2000 霞空粉,天际白 粹雪白 ￥2000 浩瀚黑 远山灰 皎月银 赛博金 ￥2000 霞空粉,天际白 粹雪白 ￥2000 浩瀚黑 远山灰 皎月银 赛博金 ￥2000 霞空粉,天际白 粹雪白 ￥2000 浩瀚黑 远山灰 皎月银 赛博金 ￥2000 霞空粉,天际白 粹雪白 ￥2000 浩瀚黑 远山灰 皎月银 黑色/粹雪白 ￥4000 赛博金 ￥2000 黑色/赛博金 ￥4000 霞空粉
颜色,内饰颜色,典雅灰,雅致米 典雅黑,雅致米 典雅黑 活力橙,雅致米 典雅黑 活力橙,雅致米 典雅黑 活力橙,雅致米 典雅黑 活力橙,雅致米 典雅黑 活力橙
选装包,舒享座椅包,-,○ 包含：前排座椅通风/加热(可远程控制)、前排座椅记忆、外后视镜记忆、倒车翻转 选配 (3000元),-,-,-,-,-
选装包,舒享座椅包,-,-,○ 包含：前排座椅通风/加热(可远程控制)、副驾驶座椅记忆 选配 (3000元),○ 包含：前排座椅通风/加热(可远程控制)、副驾驶座椅记忆 选配 (3000元),○ 包含：前排座椅通风/加热(可远程控制)、副驾驶座椅记忆 选配 (3000元),○ 包含：前排座椅通风/加热(可远程控制)、副驾驶座椅记忆 选配 (3000元),○ 包含：前排座椅通风/加热(可远程控制)、副驾驶座椅记忆 选配 (3000元)
选装包,智驾套装,-,-,-,-,-,-,○ 包含：高速领航、城市领航及自动泊车 选配 (20000元)
