セクション,セクション_ja,項目,項目_ja,2024年モデル 517km エリートPRO,2024年モデル 616km ロングレンジPRO,2024年モデル 616km ロングレンジプレミアム
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),○,○,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,○,○,●
主动安全,アクティブセーフティ,移动物体预警系统,移動物体警告システム,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準/快適・スノーモード,● スポーツ・エコノミー・標準/快適・スノーモード,● スポーツ・エコノミー・標準/快適・スノーモード
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,バックカメラ・360度全方位カメラ,バックカメラ・360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,○ 1個,○ 1個,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2自動運転,● レベル2自動運転,● レベル2自動運転
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,○,○,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳ナビゲーション,● 高徳ナビゲーション,● 高徳ナビゲーション
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,○,○,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミホイール,● アルミホイール,● アルミホイール
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席エアコン,● 前席エアコン,● 前席エアコン
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,-,-,○
车外灯光,外部照明,近光灯光源,ロービーム光源,● LEDライト,● LEDライト,● LEDライト
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LEDライト,● LEDライト,● LEDライト
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン機能,● 全席エアコン,● 全席エアコン,● 全席エアコン
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席・助手席パワーシート,● 運転席・助手席パワーシート,● 運転席・助手席パワーシート
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,オートワイパー機能,● 雨量感知ワイパー,● 雨量感知ワイパー,● 雨量感知ワイパー
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整・電動格納・ヒーター付きドアミラー,● 電動調整・電動格納・ヒーター付きドアミラー,● 電動調整・電動格納・ヒーター付きドアミラー
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 12.8インチ,● 12.8インチ,● 12.8インチ
屏幕/系统,ディスプレイ・システム,中控屏幕类型,センターコンソール画面タイプ,● LCDディスプレイ,● LCDディスプレイ,● LCDディスプレイ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ対応）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ対応）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ対応）
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小扉（音声アシスタント）,● こんにちは、小扉（音声アシスタント）,● こんにちは、小扉（音声アシスタント）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,○,○,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドアコントロール、充電管理、エアコン制御、車両状態確認/診断、車両位置特定/車両探索,● ドアコントロール、充電管理、エアコン制御、車両状態確認/診断、車両位置特定/車両探索,● ドアコントロール、充電管理、エアコン制御、車両状態確認/診断、車両位置特定/車両探索
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,プラスチック 本革,プラスチック 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式ロータリーノブシフト,● 電子式ロータリーノブシフト,● 電子式ロータリーノブシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,○,○,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕材质,メーターパネル画面素材,● LCDディスプレイ,● LCDディスプレイ,● LCDディスプレイ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,手動防眩目 自動防眩目,手動防眩目 自動防眩目,● 自動防眩目
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,● 前席エアコン
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整、リクライニング調整、高さ調整（2方向）,● 前後調整、リクライニング調整、高さ調整（2方向）,● 前後調整、リクライニング調整、高さ調整（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席／助手席,運転席／助手席,● 運転席/助手席エアバッグ
座椅配置,シート装備,前排座椅功能,フロントシート機能,○ ヒーター付き,○ ヒーター付き,● ヒーター付き
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,○ ヒーター付き,○ ヒーター付き,● ヒーター付き
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 7スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,○ 31色,○ 31色,● 31色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,●
颜色,カラー,外观颜色,外装色,流光シルバー 墨淵ブラック プラチナホワイト ￥2000 ブラック／プラチナホワイト ￥4000 雲母レッド クリスタルグレー ￥3000 シルクアンバーブラウン ￥2000 ブラック／雲母レッド ￥2000 ブラック／クリスタルグレー ￥5000 ブラック／シルクアンバーブラウン ￥4000 ブラック／流光シルバー ￥2000,流光シルバー 墨淵ブラック プラチナホワイト ￥2000 ブラック／プラチナホワイト ￥4000 雲母レッド クリスタルグレー ￥3000 シルクアンバーブラウン ￥2000 ブラック／雲母レッド ￥2000 ブラック／クリスタルグレー ￥5000 ブラック／シルクアンバーブラウン ￥4000 ブラック／流光シルバー ￥2000,流光シルバー 墨淵ブラック プラチナホワイト ￥2000 ブラック／プラチナホワイト ￥4000 雲母レッド クリスタルグレー ￥3000 シルクアンバーブラウン ￥2000 ブラック／雲母レッド ￥2000 ブラック／クリスタルグレー ￥5000 ブラック／シルクアンバーブラウン ￥4000 ブラック／流光シルバー ￥2000
颜色,カラー,内饰颜色,内装色,曜金グレー 皎月ホワイト 金砂ブラウン,曜金グレー 皎月ホワイト 金砂ブラウン,曜金グレー 皎月ホワイト 金砂ブラウン
选装包,オプションパッケージ,智能安全辅助套装,スマート安全支援パッケージ,○ 含む：PVM全方位監視システム、BSM車線変更盲点検知システム、RCTA後退側方死角警告システム、PKSB駐車支援ブレーキシステム、SEAドア誤開警告システム、FHL後方追突警告システム、自動防眩目室内ミラー　オプション（価格未定）,○ 含む：PVM全方位監視システム、BSM車線変更盲点検知システム、RCTA後退側方死角警告システム、PKSB駐車支援ブレーキシステム、SEAドア誤開警告システム、FHL後方追突警告システム、自動防眩目室内ミラー　オプション（価格未定）,-
选装包,オプションパッケージ,先进智能套装,先進スマートパッケージ,○ 含む：流星型ヘッドライト、貫通式LEDデイライト、多色室内アンビエントライト、DMSドライバーモニタリングシステム、前後席シートヒーター、高級合成皮革（通気性）シート、電動4方向調整可能な前席助手席シート、本革ステアリングヒーター付き　オプション（価格未定）,-,-
选装包,オプションパッケージ,先进舒适套装,先進快適パッケージ,-,○ 含む：多色室内アンビエントライト、DMSドライバーモニタリングシステム、前後席シートヒーター、高級合成皮革（通気性）シート、電動4方向調整可能な前席助手席シート、本革ステアリングヒーター付き　オプション（価格未定）,-
