セクション,項目,丰田bZ3 2024款 517km 精英PRO,丰田bZ3 2024款 616km 长续航PRO,丰田bZ3 2024款 616km 长续航Premium
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡
方向盘/内后视镜,多功能方向盘,●,●,●
方向盘/内后视镜,方向盘加热,○,○,●
方向盘/内后视镜,方向盘记忆,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●
方向盘/内后视镜,液晶仪表尺寸,-,-,-
方向盘/内后视镜,仪表盘屏幕材质,● LCD,● LCD,● LCD
方向盘/内后视镜,内后视镜功能,手动防眩目 自动防眩目,手动防眩目 自动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,手机无线充电功能,-,-,● 前排
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,主 / 副,主 / 副,● 主 / 副
座椅配置,前排座椅功能,○ 加热,○ 加热,● 加热
座椅配置,电动座椅记忆功能,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-
座椅配置,第二排座椅调节,-,-,-
座椅配置,第二排座椅功能,○ 加热,○ 加热,● 加热
座椅配置,后排座椅放倒形式,-,-,-
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后
座椅配置,后排杯架,-,-,●
音响/车内灯光,扬声器品牌名称,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 7喇叭
音响/车内灯光,车内环境氛围灯,○ 31色,○ 31色,● 31色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,●,●,●
空调/冰箱,后排独立空调,-,-,-
空调/冰箱,后座出风口,●,●,●
空调/冰箱,温度分区控制,●,●,●
空调/冰箱,车载空气净化器,-,-,●
空调/冰箱,车内PM2.5过滤装置,●,●,●
空调/冰箱,负离子发生器,-,-,●
空调/冰箱,空气质量监测,-,-,●
颜色,外观颜色,流光银 墨渊黑 铂金白 ￥2000 黑色/铂金白 ￥4000 云母红 晶焠灰 ￥3000 绢珀棕 ￥2000 黑/云母红 ￥2000 黑/晶焠灰 ￥5000 黑/绢珀棕 ￥4000 黑/流光银 ￥2000,流光银 墨渊黑 铂金白 ￥2000 黑色/铂金白 ￥4000 云母红 晶焠灰 ￥3000 绢珀棕 ￥2000 黑/云母红 ￥2000 黑/晶焠灰 ￥5000 黑/绢珀棕 ￥4000 黑/流光银 ￥2000,流光银 墨渊黑 铂金白 ￥2000 黑色/铂金白 ￥4000 云母红 晶焠灰 ￥3000 绢珀棕 ￥2000 黑/云母红 ￥2000 黑/晶焠灰 ￥5000 黑/绢珀棕 ￥4000 黑/流光银 ￥2000
颜色,内饰颜色,曜金灰 皎月白 金砂棕,曜金灰 皎月白 金砂棕,曜金灰 皎月白 金砂棕
选装包,智能安全辅助套装,○ 包含：PVM全景监控系统、BSM并线盲区监测系统、RCTA倒车侧后方盲点警示系统、PKSB泊车辅助制动系统、SEA车门误开预警系统、FHL后车追尾预警系统、自动防眩目车内后视镜 选配 (暂无价格),○ 包含：PVM全景监控系统、BSM并线盲区监测系统、RCTA倒车侧后方盲点警示系统、PKSB泊车辅助制动系统、SEA车门误开预警系统、FHL后车追尾预警系统、自动防眩目车内后视镜 选配 (暂无价格),-
选装包,先进智能套装,○ 包含：流星式前大灯、贯穿式LED日间行车灯、多色室内氛围灯、DMS驾驶员监控系统、前后排座椅加热、高端仿皮（透气）座椅、电动4向可调节前排乘客座椅、真皮方向盘带加热 选配 (暂无价格),-,-
选装包,先进舒适套装,-,○ 包含：多色室内氛围灯、DMS驾驶员监控系统、前后排座椅加热、高端仿皮（透气）座椅、电动4向可调节前排乘客座椅、真皮方向盘带加热 选配 (暂无价格),-
