セクション,項目,捷途X70 2025款 1.5T 手动超越版 5座,捷途X70 2025款 1.5T 手动超越版 7座,捷途X70 2025款 1.5T DCT超越PRO 5座,捷途X70 2025款 1.5T DCT超越PRO 7座,捷途X70 2025款 1.5T DCT臻享版 5座,捷途X70 2025款 1.5T DCT臻享版 7座,捷途X70 2025款 1.5T DCT经典版 5座,捷途X70 2025款 1.5T DCT经典版 7座,捷途X70 2024款 1.5T DCT跃享版 5座,捷途X70 2024款 1.5T DCT跃享版 7座,捷途X70 2024款 1.5T 手动发现版 7座,捷途X70 2024款 1.5T 手动荣耀版 5座,捷途X70 2024款 1.5T 手动荣耀版 7座,捷途X70 2024款 1.5T DCT荣耀PRO 5座,捷途X70 2024款 1.5T DCT荣耀PRO 7座,捷途X70 2023款 1.5T DCT陆冠版 5座,捷途X70 2023款 1.5T DCT陆冠版 7座,捷途X70 2023款 1.5T DCT旗舰版 5座,捷途X70 2023款 1.5T DCT旗舰版 7座
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,6挡手动,6挡手动,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡手动,6挡手动,6挡手动,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合
变速箱,挡位个数,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
变速箱,变速箱类型,手动变速箱(MT),手动变速箱(MT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 机械液压助力,● 机械液压助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/65 R17,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/65 R17,● 235/65 R17,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18
车轮制动,后轮胎规格,● 235/65 R17,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/65 R17,● 235/65 R17,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,-,-,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,-,-,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,-,-,-,-
驾驶操控,驾驶模式切换,-,-,"● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济",-,-,-,"● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济"
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,-,-,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,-,-,-,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,摄像头数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,-,-,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,-,-,-,● 3个,● 3个,● 4个,● 4个,● 4个,● 4个
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航
驾驶功能,卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
外观/防盗,远程启动功能,-,-,●,●,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-
车外灯光,近光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● LED,● LED,● 卤素,● 卤素,"● 卤素
○ LED","● 卤素
○ LED","● 卤素
○ LED","● 卤素
○ LED","● 卤素
○ LED","● 卤素
○ LED","● 卤素
○ LED","● 卤素
○ LED","● 卤素
○ LED",● 卤素,● 卤素
车外灯光,远光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● LED,● LED,● 卤素,● 卤素,"● 卤素
○ LED","● 卤素
○ LED","● 卤素
○ LED","● 卤素
○ LED","● 卤素
○ LED","● 卤素
○ LED","● 卤素
○ LED","● 卤素
○ LED","● 卤素
○ LED",● 卤素,● 卤素
车外灯光,LED日间行车灯,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,-,-
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
