セクション,セクション_ja,項目,項目_ja,2026年モデル 東方曜 1.5TD 驚鴻版,2026年モデル 東方曜 1.5TD 扶搖版,2026年モデル 東方曜 1.5TD 崑崙版,2026年モデル 東方曜 2.0TD 霄漢版,2026年モデル 東方曜 2.0TD 攬星版,2026年モデル 東方曜 2.0TD 望月版,2025年モデル 東方曜 2.0TD 今朝版,2025年モデル 東方曜 2.0TD 攬星版,2025年モデル 東方曜 2.0TD 望月版,2025年モデル 東方曜 1.5TD 驚鴻版+,2025年モデル 東方曜 1.5TD 扶搖版,2025年モデル 東方曜 1.5TD 崑崙版,2025年モデル 東方曜 1.5TD 驚鴻版,2024年モデル ハイブリッド 1.5TD 星雲版,2024年モデル ハイブリッド 1.5TD 星河版,2024年モデル ハイブリッド 1.5TD 天宮版
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.5T 181馬力 L4エンジン,1.5T 181馬力 L4エンジン,1.5T 181馬力 L4エンジン,2.0T 272馬力 L4エンジン,2.0T 272馬力 L4エンジン,2.0T 272馬力 L4エンジン,2.0T 238馬力 L4エンジン,2.0T 238馬力 L4エンジン,2.0T 238馬力 L4エンジン,1.5T 181馬力 L4エンジン,1.5T 181馬力 L4エンジン,1.5T 181馬力 L4エンジン,1.5T 181馬力 L4エンジン,1.5T 163馬力 L4エンジン,1.5T 163馬力 L4エンジン,1.5T 163馬力 L4エンジン
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,136,136,136
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),全長4825×全幅1869×全高1469mm,全長4825×全幅1869×全高1469mm,全長4825×全幅1869×全高1469mm,全長4825×全幅1869×全高1469mm,全長4825×全幅1869×全高1469mm,全長4825×全幅1869×全高1469mm,全長4785×全幅1869×全高1469mm,全長4785×全幅1869×全高1469mm,全長4785×全幅1869×全高1469mm,全長4785×全幅1869×全高1469mm,全長4785×全幅1869×全高1469mm,全長4785×全幅1869×全高1469mm,全長4785×全幅1869×全高1469mm,全長4825×全幅1880×全高1469mm,全長4825×全幅1880×全高1469mm,全長4825×全幅1880×全高1469mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,6.6,6.6,6.6,-,-,-,-,7.5,7.5,7.5
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),195,195,195,215,215,215,215,215,215,195,195,195,195,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.2,6.2,6.2,7.15,7.15,7.15,7.15,7.15,7.15,6.2,6.2,6.2,6.2,4.22,4.22,4.22
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1465,1490,1490,1550,1550,1550,1550,1550,1550,1465,1490,1490,1465,1625,1625,1625
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1905,1905,1905,2050,2050,2050,2050,2050,2050,1905,1905,1905,1905,2066,2066,2066
车身,車体,长度(mm),全長(mm),4825,4825,4825,4825,4825,4825,4785,4785,4785,4785,4785,4785,4785,4825,4825,4825
车身,車体,宽度(mm),全幅(mm),1869,1869,1869,1869,1869,1869,1869,1869,1869,1869,1869,1869,1869,1880,1880,1880
车身,車体,高度(mm),全高(mm),1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469
车身,車体,轴距(mm),ホイールベース(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
车身,車体,前轮距(mm),前トレッド(mm),1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618
车身,車体,后轮距(mm),後トレッド(mm),1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618
车身,車体,接近角(°),アプローチアングル(°),13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15
车身,車体,离去角(°),デパーチャーアングル(°),15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4個（個数）,● 4個（個数）,● 4個（個数）,● 4個（個数）,● 4個（個数）,● 4個（個数）,● 4個（個数）,● 4個（個数）,● 4個（個数）,● 4個（個数）,● 4個（個数）,● 4個（個数）,● 4個（個数）,● 4個（個数）,● 4個（個数）,● 4個（個数）
车身,車体,座位数(个),乗車定員(名),● 5個（個数）,● 5個（個数）,● 5個（個数）,● 5個（個数）,● 5個（個数）,● 5個（個数）,● 5個（個数）,● 5個（個数）,● 5個（個数）,● 5個（個数）,● 5個（個数）,● 5個（個数）,● 5個（個数）,● 5個（個数）,● 5個（個数）,● 5個（個数）
车身,車体,油箱容积(L),燃料タンク容量(L),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,BHE15-EFZ（型式）,BHE15-EFZ（型式）,BHE15-EFZ（型式）,JLH-4G20TDH（型式）,JLH-4G20TDH（型式）,JLH-4G20TDH（型式）,JLH-4G20TDB（型式）,JLH-4G20TDB（型式）,JLH-4G20TDB（型式）,BHE15-EFZ（型式）,BHE15-EFZ（型式）,BHE15-EFZ（型式）,BHE15-EFZ（型式）,BHE15-BFZ（型式）,BHE15-BFZ（型式）,BHE15-BFZ（型式）
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1499,1969,1969,1969,1969,1969,1969,1499,1499,1499,1499,1499,1499,1499
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),181,181,181,272,272,272,238,238,238,181,181,181,181,163,163,163
发动机,エンジン,最大功率(kW),最大出力(kW),133,133,133,200,200,200,175,175,175,133,133,133,133,120,120,120
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,-,-,-,5500,5500,5500,5500,5500,5500,5500,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),290,290,290,400,400,400,350,350,350,290,290,290,290,255,255,255
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2000-3500,2000-3500,2000-3500,-,-,-,1800-4500,1800-4500,1800-4500,2000-3500,2000-3500,2000-3500,2000-3500,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),128,128,128,195,195,195,175,175,175,128,128,128,128,115,115,115
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,ハイオクガソリン（95オクタン）,ハイオクガソリン（95オクタン）,ハイオクガソリン（95オクタン）,ハイオクガソリン（95オクタン）,ハイオクガソリン（95オクタン）,ハイオクガソリン（95オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
电动机,モーター,电机类型,モーター種類,-,-,-,-,-,-,-,-,-,-,-,-,-,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,136,136,136
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,320,320,320
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,320,320,320
电动机,モーター,驱动电机数,駆動モーター数,-,-,-,-,-,-,-,-,-,-,-,-,-,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,-,-,-,-,-,-,-,-,-,-,-,-,-,フロントエンジン,フロントエンジン,フロントエンジン
电池/充电,バッテリー/充電,电池类型,バッテリー種類,-,-,-,-,-,-,-,-,-,-,-,-,-,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,-,-,-,-,-,-,-,-,-,-,-,-,-,● シンワンダ製バッテリー,● シンワンダ製バッテリー,● シンワンダ製バッテリー
变速箱,トランスミッション,简称,略称,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,3速DHT（ハイブリッド専用トランスミッション）,3速DHT（ハイブリッド専用トランスミッション）,3速DHT（ハイブリッド専用トランスミッション）
变速箱,トランスミッション,挡位个数,段数,7,7,7,8,8,8,8,8,8,7,7,7,7,3,3,3
变速箱,トランスミッション,变速箱类型,トランスミッション形式,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,マニュアルモード付オートマチックトランスミッション（AT）,マニュアルモード付オートマチックトランスミッション（AT）,マニュアルモード付オートマチックトランスミッション（AT）,マニュアルモード付オートマチックトランスミッション（AT）,マニュアルモード付オートマチックトランスミッション（AT）,マニュアルモード付オートマチックトランスミッション（AT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 215/55 R17タイヤ,● 215/55 R17タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 215/55 R17タイヤ,● 215/55 R17タイヤ,● 225/45 R18タイヤ,● 215/55 R17タイヤ,● 215/55 R17タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 215/55 R17タイヤ,● 215/55 R17タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ,● 215/55 R17タイヤ,● 215/55 R17タイヤ,● 225/45 R18タイヤ,● 215/55 R17タイヤ,● 215/55 R17タイヤ,● 225/45 R18タイヤ,● 225/45 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席のみ,● 前席のみ,● 前席のみ,● 前席のみ,● 前席のみ,● 前席のみ,● 全席,● 全席,● 全席,● 前席のみ,● 全席,● 全席,● 前席のみ,● 前席のみ,● 全席,● 全席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
