セクション,項目,星瑞 2026款 东方曜 1.5TD 惊鸿版,星瑞 2026款 东方曜 1.5TD 扶摇版,星瑞 2026款 东方曜 1.5TD 昆仑版,星瑞 2026款 东方曜 2.0TD 霄汉版,星瑞 2026款 东方曜 2.0TD 揽星版,星瑞 2026款 东方曜 2.0TD 望月版,星瑞 2025款 东方曜 2.0TD 今朝版,星瑞 2025款 东方曜 2.0TD 揽星版,星瑞 2025款 东方曜 2.0TD 望月版,星瑞 2025款 东方曜 1.5TD 惊鸿版+,星瑞 2025款 东方曜 1.5TD 扶摇版,星瑞 2025款 东方曜 1.5TD 昆仑版,星瑞 2025款 东方曜 1.5TD 惊鸿版,星瑞 2024款 油混 1.5TD 星云版,星瑞 2024款 油混 1.5TD 星河版,星瑞 2024款 油混 1.5TD 天宫版
基本参数,整备质量(kg),1465,1490,1490,1550,1550,1550,1550,1550,1550,1465,1490,1490,1465,1625,1625,1625
基本参数,最大满载质量(kg),1905,1905,1905,2050,2050,2050,2050,2050,2050,1905,1905,1905,1905,2066,2066,2066
车身,长度(mm),4825,4825,4825,4825,4825,4825,4785,4785,4785,4785,4785,4785,4785,4825,4825,4825
车身,宽度(mm),1869,1869,1869,1869,1869,1869,1869,1869,1869,1869,1869,1869,1869,1880,1880,1880
车身,高度(mm),1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469
车身,轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
车身,前轮距(mm),1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618
车身,后轮距(mm),1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618
车身,接近角(°),13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15
车身,离去角(°),15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,BHE15-EFZ,BHE15-EFZ,BHE15-EFZ,JLH-4G20TDH,JLH-4G20TDH,JLH-4G20TDH,JLH-4G20TDB,JLH-4G20TDB,JLH-4G20TDB,BHE15-EFZ,BHE15-EFZ,BHE15-EFZ,BHE15-EFZ,BHE15-BFZ,BHE15-BFZ,BHE15-BFZ
发动机,排量(mL),1499,1499,1499,1969,1969,1969,1969,1969,1969,1499,1499,1499,1499,1499,1499,1499
发动机,排量(L),1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),181,181,181,272,272,272,238,238,238,181,181,181,181,163,163,163
发动机,最大功率(kW),133,133,133,200,200,200,175,175,175,133,133,133,133,120,120,120
发动机,最大功率转速(rpm),5500,5500,5500,-,-,-,5500,5500,5500,5500,5500,5500,5500,-,-,-
发动机,最大扭矩(N·m),290,290,290,400,400,400,350,350,350,290,290,290,290,255,255,255
发动机,最大扭矩转速(rpm),2000-3500,2000-3500,2000-3500,-,-,-,1800-4500,1800-4500,1800-4500,2000-3500,2000-3500,2000-3500,2000-3500,-,-,-
发动机,最大净功率(kW),128,128,128,195,195,195,175,175,175,128,128,128,128,115,115,115
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合
发动机,燃油标号,92号,92号,92号,95号,95号,95号,95号,95号,95号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100
电动机,电动机总马力(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,136,136,136
电动机,电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,320,320,320
电动机,前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100
电动机,前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,320,320,320
电动机,驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,单电机,单电机,单电机
电动机,电机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,前置,前置,前置
电池/充电,电池类型,-,-,-,-,-,-,-,-,-,-,-,-,-,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,● 欣旺达,● 欣旺达,● 欣旺达
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,3挡DHT,3挡DHT,3挡DHT
变速箱,挡位个数,7,7,7,8,8,8,8,8,8,7,7,7,7,3,3,3
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/55 R17,● 215/55 R17,● 225/45 R18,● 225/45 R18,● 225/45 R18,● 225/45 R18,● 225/45 R18,● 225/45 R18,● 225/45 R18,● 215/55 R17,● 215/55 R17,● 225/45 R18,● 215/55 R17,● 215/55 R17,● 225/45 R18,● 225/45 R18
车轮制动,后轮胎规格,● 215/55 R17,● 215/55 R17,● 225/45 R18,● 225/45 R18,● 225/45 R18,● 225/45 R18,● 225/45 R18,● 225/45 R18,● 225/45 R18,● 215/55 R17,● 215/55 R17,● 225/45 R18,● 215/55 R17,● 215/55 R17,● 225/45 R18,● 225/45 R18
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,-,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 全车,● 全车,● 全车,● 前排,● 全车,● 全车,● 前排,● 前排,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
主动安全,疲劳驾驶提示,-,-,○,○,●,●,-,-,-,-,-,-,-,-,-,●
主动安全,DOW开门预警,●,●,●,●,●,●,-,●,●,-,-,-,-,-,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,-,●,●,-,-,-,-,-,●,●
主动安全,低速行车警告,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
主动安全,内置行车记录仪,○ (460元),○ (460元),○ (460元),○ (460元),○ (460元),○ (460元),○ (460元),○ (460元),○ (460元),○ (460元),○ (460元),○ (460元),○ (460元),○,○,○
主动安全,道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适
驾驶操控,能量回收系统,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前- / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前- / 后,● 前 / 后,● 前 / 后,● 前- / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●
驾驶硬件,辅助驾驶芯片,-,-,○ 地平线征程J6M,○ 地平线征程J6M,● 地平线征程J6M,● 地平线征程J6M,-,-,-,-,-,-,-,-,-,-
驾驶硬件,芯片总算力,-,-,○ 128 TOPS,○ 128 TOPS,● 128 TOPS,● 128 TOPS,-,-,-,-,-,-,-,-,-,-
驾驶硬件,前方感知摄像头,● 单目,● 单目,单目 双目,单目 双目,● 双目,● 双目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,-,-,-,-
驾驶硬件,摄像头数量,● 2个,● 5个,5个 11个,5个 11个,● 11个,● 11个,● 5个,● 5个,● 5个,● 2个,● 5个,● 5个,● 1个,● 4个,● 4个,● 4个
驾驶硬件,车内摄像头数量,-,-,○ 1个,○ 1个,● 1个,● 1个,-,-,-,-,-,-,-,-,-,-
驾驶硬件,超声波雷达数量,● 4个,● 8个,8个 12个,8个 12个,● 12个,● 12个,● 8个,● 8个,● 8个,● 4个,● 8个,● 8个,● 4个,● 6个,● 6个,● 6个
驾驶硬件,毫米波雷达数量,● 2个,● 2个,2个 3个,2个 3个,● 3个,● 3个,-,● 2个,● 2个,-,-,-,-,-,-,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,-,○ 千里浩瀚H3,○ 千里浩瀚H3,● 千里浩瀚H3,● 千里浩瀚H3,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,-,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,-,●,●,-,-,-,-,-,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,-,-,-
驾驶功能,并线辅助,●,●,●,●,●,●,-,●,●,-,-,-,-,-,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
驾驶功能,辅助泊车入位,-,-,○,○,●,●,-,-,-,-,-,-,-,-,-,-
驾驶功能,遥控泊车,-,-,○,○,●,●,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助变道,-,-,○,○,●,●,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助匝道自动驶出(入),-,-,○,○,●,●,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助驾驶路段,-,-,○ 高速路段,○ 高速路段,● 高速路段,● 高速路段,-,-,-,-,-,-,-,-,-,-
外观/防盗,外观套件,-,-,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,-,-,● 运动风格,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 前排,● 前排,● 前排,● 驾驶位,● 前排,● 前排,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,辅助驾驶灯,-,-,○,○,●,●,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,○ 可开启全景天窗 (2000元),● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
