セクション,セクション_ja,項目,項目_ja,2025年モデル 1.5T Halo,2025年モデル 1.5T Ultra,2025年モデル 2.0T Ultra,2025年モデル 2.0T エクスプローラー
发动机,エンジン,最大马力(Ps),最高出力(Ps),190,190,254,254
发动机,エンジン,最大功率(kW),最大出力(kW),140,140,187,187
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),300,300,350,350
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2000-3000,2000-3000,1800-4800,1800-4800
发动机,エンジン,最大净功率(kW),最大正味出力(kW),140,140,187,187
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),390,390,353,463
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),530,530,480,630
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),700,700,688,898
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),160,160,123,123
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),350,350,338,338
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),230,230,230,340
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),350,350,350,560
电动机,モーター,系统综合功率(kW),システム総合出力(kW),530,530,540,650
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),721,721,734,884
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),1000,1000,1038,1248
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,トリプルモーター
电动机,モーター,电机布局,モーター配置,前後配置,前後配置,前後配置,前後配置
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 中創新航製,● 中創新航製,● 寧徳時代（江蘇時代）製,● 寧徳時代（江蘇時代）製
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,-,-,シャオヤオ電池,シャオヤオ電池
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),185,185,220,210
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),220,220,280,268
电池/充电,バッテリー/充電,WLTC综合续航(km),WLTC総合航続距離(km),1045,1045,1040,1100
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1355,1355,1350,1443
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),44.85,44.85,52.38,52.38
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力量(kWh/100km),21.9,21.9,22.9,-
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.43,0.43,0.28,0.28
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,20-80,20-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6.6,6.6,6.6,6.6
变速箱,トランスミッション,简称,略称,3速DHT,3速DHT,3速DHT,3速DHT
变速箱,トランスミッション,挡位个数,段数,3,3,3,3
变速箱,トランスミッション,变速箱类型,トランスミッション形式,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 255/50 R20タイヤ,● 275/45 R21タイヤ,● 275/45 R21タイヤ,● 275/45 R21タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 255/50 R20タイヤ,● 275/45 R21タイヤ,● 275/45 R21タイヤ,● 275/45 R21タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,●,●,●,●
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● 標準／コンフォート
● オフロード
● スノー"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,"● サスペンション硬さ調整
○ サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整"
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,"○ （10,000元）",●,●,●
驾驶操控,ドライビングコントロール,魔毯智能悬架,マジックカーペットインテリジェントサスペンション,○,●,●,●
驾驶操控,ドライビングコントロール,整体主动转向系统,全体アクティブステアリングシステム,-,-,-,●
四驱/越野,4WD/オフロード,坦克转弯,タンクターン,-,-,-,●
四驱/越野,4WD/オフロード,拖挂钩,トレーラーフック,-,-,"○ 電動（7,000元）","○ 電動（7,000元）"
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度パノラマビュー
● サイドブラインドビューカメラ","● 360度パノラマビュー
● サイドブラインドビューカメラ","● 360度パノラマビュー
● サイドブラインドビューカメラ","● 360度パノラマビュー
● サイドブラインドビューカメラ"
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● NVIDIA Drive Orin-X,● NVIDIA Drive Orin-X,● NVIDIA Drive AGX Thor,● NVIDIA Drive AGX Thor
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 254 TOPS,● 254 TOPS,● 700 TOPS,● 700 TOPS
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 11個,● 11個,● 11個,● 11個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 2個,● 3個,● 3個,● 3個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,激光雷达品牌,LiDARブランド,● RoboSense速騰聚創,● RoboSense速騰聚創,● RoboSense速騰聚創,● RoboSense速騰聚創
驾驶硬件,運転ハードウェア,激光雷达数量,LiDAR台数,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,激光雷达线数,LiDARライン数,● 126ライン,● 126ライン,● 126ライン,● 126ライン
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速域自動追従クルーズ,● 全速域自動追従クルーズ,● 全速域自動追従クルーズ,● 全速域自動追従クルーズ
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● 千里浩瀚H5,● 千里浩瀚H5,● 千里浩瀚H7,● 千里浩瀚H7
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L2,● L2,● L2,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●
驾驶功能,運転機能,车载卫星通信,車載衛星通信,-,-,-,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況情報表示,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,高精定位,高精度測位,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動出入支援,●,●,●,●
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援区間,"● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間"
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席"
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● NFC/RFIDキー
● UWBデジタルキー","● リモコンキー
● NFC/RFIDキー
● UWBデジタルキー","● リモコンキー
● NFC/RFIDキー
● UWBデジタルキー","● リモコンキー
● NFC/RFIDキー
● UWBデジタルキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,"○ 電動（10,000元）","○ 電動（10,000元）","○ 電動（10,000元）","○ 電動（10,000元）"
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● セクション式開閉不可サンルーフ,● セクション式開閉不可サンルーフ,● セクション式開閉不可サンルーフ,● セクション式開閉不可サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席"
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席側面サンシェード,● 手動,● 手動,● 手動,● 手動
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 30インチ,● 30インチ,● 30インチ,● 30インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 6K,● 6K,● 6K,● 6K
屏幕/系统,ディスプレイ・システム,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,●,●,●,●
屏幕/系统,ディスプレイ・システム,中控液晶屏分屏显示,センター液晶画面分割表示,●,●,●,●
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応"
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● シートヒーター
● シートベンチレーション
● シートマッサージ"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● ハイ、リンク（LYNK）,● ハイ、リンク（LYNK）,● ハイ、リンク（LYNK）,● ハイ、リンク（LYNK）
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,●,●,●,●
屏幕/系统,ディスプレイ・システム,声纹识别,声紋認証,●,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● LYNK Flyme Auto,● LYNK Flyme Auto,● LYNK Flyme Auto,● LYNK Flyme Auto
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8295,● 2基 Qualcomm Snapdragon 8295,● 2基 Qualcomm Snapdragon 8295,● 2基 Qualcomm Snapdragon 8295
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後席液晶画面,-,●,●,●
屏幕/系统,ディスプレイ・システム,后排液晶屏幕尺寸,後席液晶画面サイズ,-,● 30インチ,● 30インチ,● 30インチ
屏幕/系统,ディスプレイ・システム,后排液晶屏幕分辨率,後席液晶画面解像度,-,● 6K,● 6K,● 6K
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後席マルチメディア操作,-,●,●,●
屏幕/系统,ディスプレイ・システム,多指飞屏操控,マルチタッチ画面操作,-,●,●,●
