セクション,セクション_ja,項目,項目_ja,2024年モデル 1.5L 先鋒版,2024年モデル 1.2T 先鋒版,2024年モデル 1.2T 精鋭版,2024年モデル 1.8L インテリジェントハイブリッド 先鋒版,2024年モデル 1.8L インテリジェントハイブリッド 精鋭版,2024年モデル 1.8L インテリジェントハイブリッド 旗艦版,2026年モデル ベーシックタイプ
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,-
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,-
被动安全,衝突安全,膝部气囊,ニーエアバッグ,-,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,-,-,-,-
被动安全,衝突安全,副驾驶座垫式气囊,助手席クッションエアバッグ,-,●,●,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,-
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,-
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,-,-,-,●,●,●,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ,● スポーツ,● スポーツ,● スポーツ エコノミー,● スポーツ エコノミー,● スポーツ エコノミー,-
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ技術,-,●,●,-,-,-,-
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,-,-,-,●,●,●,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,-,● バックカメラ映像,● バックカメラ映像,-,● バックカメラ映像,● バックカメラ映像,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 2個,● 2個,● 1個,● 2個,● 2個,-
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,-
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,-,-,●,-,●,●,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,●,-,●,●,-
驾驶功能,運転機能,地图品牌,地図ブランド,-,-,-,-,● 高徳（地図サービス）,● 高徳（地図サービス）,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,-
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,●,●,●,●,●,●,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,-,-,●,●,●,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー・ブルートゥースキー,-
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,-,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,-,-,-,● 前席,● 前席,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,● 電動サンルーフ,-,● 電動サンルーフ,● 電動サンルーフ,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,-
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ／ダウン,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,雨感知ワイパー機能,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整・ドアミラー加熱機能,● 電動調整・ドアミラー加熱機能,● 電動調整・ドアミラー加熱機能,● 電動調整・ドアミラー加熱機能,● 電動調整・ドアミラー加熱機能,● 電動調整・ドアミラー加熱機能,-
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.25インチ,● 8インチ,● 9インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,-,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・HUAWEI HiCar対応,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,-,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,-,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,-
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,-,-,● こんにちは、トヨタ（音声認識システム）,-,● こんにちは、トヨタ（音声認識システム）,● こんにちは、トヨタ（音声認識システム）,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,-,-,● シングルゾーン,-,● シングルゾーン,● シングルゾーン,-
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,-,-,-,-,●,●,-
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,-,-,-,-,●,●,-
智能化配置,スマート機能装備,车联网,コネクテッドカー,-,-,●,-,●,●,-
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,-,-,● 4G対応,-,● 4G対応,● 4G対応,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,-,●,●,●,●,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作・ライト操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,-,● ドア操作・ライト操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドア操作・ライト操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドア操作・ライト操作・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドア操作・ライト操作・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● 本革,● 本革,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,-
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,●,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 4.2インチ,● 4.2インチ,● 7インチ,● 7インチ,● 12.3インチ,-
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕材质,メーター画面材質,● TFT液晶,● TFT液晶,● TFT液晶,● TFT液晶,● TFT液晶,● TFT液晶,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-Cポート,● USBポート,● USBポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,-
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個／後席2個,● 前席1個／後席2個,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● ファブリック（布地）,● ファブリック（布地）,● ファブリック（布地）,● ファブリック（布地）,● 合成皮革,● 合成皮革,-
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,-
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,-
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,-,-,-,● 運転席 / 助手席,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,-,● シートヒーター,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,-,-,-,-,-,● 分割可倒式シート,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,-
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,●,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 4スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,● 単色,-
