セクション,セクション_ja,項目,項目_ja,2026年モデル 4012WD スーパー スポーツ版,2026年モデル 5502WD スーパー スポーツ版,2026年モデル 5502WD サイバー版,2026年モデル V23S 5014WD ピークパフォーマンス版,2026年モデル 5014WD サイバー版,2025年モデル 4012WD アドバンスド版,2025年モデル 4012WD インテリジェントドライブ版
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4220×1915×1845,4220×1915×1845,4249×1915×1845,4220×1915×1845,4249×1915×1845,4220×1915×1845,4220×1915×1845
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.1,7.4,7.4,4.5,4.5,-,-
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(秒),3.4,3.5,3.5,2.2,2.2,4.8,4.8
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),170,170,170,170,170,140,140
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.86,1.92,1.92,2.03,2.03,1.95,1.95
基本参数,基本仕様,整车质保,車両保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証
基本参数,基本仕様,首任车主质保政策,初回オーナー保証内容,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1735,1870,1870,1960,1960,1710,1710
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2110,2245,2245,2335,2335,2085,2085
车身,車体,长度(mm),全長(mm),4220,4220,4249,4220,4249,4220,4220
车身,車体,宽度(mm),全幅(mm),1915,1915,1915,1915,1915,1915,1915
车身,車体,高度(mm),全高(mm),1845,1845,1845,1845,1845,1845,1845
车身,車体,轴距(mm),ホイールベース(mm),2735,2735,2735,2735,2735,2735,2735
车身,車体,前轮距(mm),前トレッド(mm),1613,1613,1613,1613,1613,1613,1613
车身,車体,后轮距(mm),後トレッド(mm),1641,1641,1641,1641,1641,1641,1641
车身,車体,空载最小离地间隙(mm),無負荷時最低地上高(mm),200,200,200,210,210,200,200
车身,車体,接近角(°),アプローチアングル(°),42,42,32,43,32,39,39
车身,車体,离去角(°),デパーチャーアングル(°),40,40,34,41,35,35,35
车身,車体,最小转弯半径(m),最小回転半径(m),5.25,5.25,5.25,5.75,5.75,-,-
车身,車体,最大涉水深度(mm),最大渡河深度(mm),600,600,600,600,600,600,600
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）
车身,車体,座位数(个),乗車定員(名),● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）
车身,車体,后备厢容积(L),トランク容量(L),234-1366,234-1366,234-1366,234-1366,234-1366,234-744,234-744
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,-,-,-,青山（モデル名）,青山（モデル名）,-,-
电动机,モーター,后电动机品牌,後モーターブランド,匯川（モデル名）,匯川（モデル名）,匯川（モデル名）,匯川（モデル名）,匯川（モデル名）,匯川（モデル名）,匯川（モデル名）
电动机,モーター,前电动机型号,前モーター型式,-,-,-,112AD7（型式）,112AD7（型式）,-,-
电动机,モーター,后电动机型号,後モーター型式,112AD3（型式）,112AD3（型式）,112AD3（型式）,112AD3（型式）,112AD3（型式）,112AB9（型式）,112AB9（型式）
电动机,モーター,电机类型,モーター種類,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,前交流／非同期　後永久磁石／同期型,前交流／非同期　後永久磁石／同期型,永久磁石／同期型,永久磁石／同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),185,185,185,335,335,100,100
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),251,251,251,455,455,136,136
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),300,300,300,490,490,180,180
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,150,150,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,190,190,-,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),185,185,185,185,185,100,100
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),300,300,300,300,300,180,180
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,デュアルモーター,デュアルモーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,前置＋後置,前置＋後置,後置,後置
电动机,モーター,三电首任车主质保政策,三電システム初回オーナー保証内容,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),401,550,550,501,501,401,401
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),59.93,80.16,80.16,80.16,80.16,59.93,59.93
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),16,16.5,16.5,17.5,17.5,16.8,16.8
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),85,160,160,160,160,-,-
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.33,0.33,0.33,0.33,0.5,0.5
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),-,-,-,-,-,10.5,10.5
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(％),30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,3.3,3.3
变速箱,トランスミッション,简称,略称,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● 後置後輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● 電動四輪駆動,● 電動四輪駆動,-,-
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 255/55 R19タイヤ,● 255/55 R19タイヤ,● 265/45 R21タイヤ,● 265/45 R21タイヤ,● 265/45 R21タイヤ,● 255/55 R19タイヤ,● 255/55 R19タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 255/55 R19タイヤ,● 255/55 R19タイヤ,● 265/45 R21タイヤ,● 265/45 R21タイヤ,● 265/45 R21タイヤ,● 255/55 R19タイヤ,● 255/55 R19タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,-,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,-,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,-,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,-,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,-,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セキュリティモード/監視機能,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,-,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準／快適・スノー・カスタム／パーソナライズ,● スポーツ・エコノミー・標準／快適・スノー・カスタム／パーソナライズ,● スポーツ・エコノミー・標準／快適・スノー・カスタム／パーソナライズ,● スポーツ・エコノミー・標準／快適・オフロード・スノー・カスタム／パーソナライズ,● スポーツ・エコノミー・標準／快適・オフロード・スノー・カスタム／パーソナライズ,● スポーツ・エコノミー・標準／快適・スノー・カスタム／パーソナライズ,● スポーツ・エコノミー・標準／快適・スノー・カスタム／パーソナライズ
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● バックカメラ映像,● バックカメラ映像・360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,-,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● 地平線J3（モデル名）,● 地平線J3（モデル名）,● 地平線J3（モデル名）,● 地平線J3（モデル名）,● 地平線J3（モデル名）,-,● 地平線J3（モデル名）
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 5個,● 5個,● 5個,● 5個,● 5個,● 1個,● 5個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,-,● 800万画素
驾驶硬件,運転ハードウェア,环视摄像头像素,全周囲カメラ画素数,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,-,● 300万画素
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 12個,● 12個,● 12個,● 12個,● 12個,● 8個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 5個,● 5個,● 5個,● 5個,● 5個,-,● 5個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● ハヤブサ500,● ハヤブサ500,● ハヤブサ500,● ハヤブサ500,● ハヤブサ500,-,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L2,● L2,● L2,● L2,● L2,-,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,-,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● テンセント,● テンセント
驾驶功能,運転機能,高精地图,高精度地図,●,●,●,●,●,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,-,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,-,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,-,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,-,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●,●,-,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●,-,●
驾驶功能,運転機能,记忆泊车,メモリー駐車機能,-,-,-,-,-,-,●
驾驶功能,運転機能,循迹倒车,トレースバックリバース,●,●,●,●,●,-,●
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,●,●,●,●,●,-,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプウェイ自動進出支援,●,●,●,●,●,-,-
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●,●,-,-
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●,●,-,●
驾驶功能,運転機能,辅助驾驶路段,運転支援区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,-,● 高速道路区間
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,-,●,-,●,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー、Bluetoothキー、NFC/RFIDキー,● リモコンキー、Bluetoothキー、NFC/RFIDキー,● リモコンキー、Bluetoothキー、NFC/RFIDキー,● リモコンキー、Bluetoothキー、NFC/RFIDキー,● リモコンキー、Bluetoothキー、NFC/RFIDキー,● リモコンキー、Bluetoothキー、NFC/RFIDキー,● リモコンキー、Bluetoothキー、NFC/RFIDキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キー不要エントリー機能,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式,● 固定式
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,-,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降機能,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインド多層防音ガラス,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席 助手席,● 運転席 助手席
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整、電動格納、ドアミラー加熱、施錠時自動格納,● 電動調整、電動格納、ドアミラー加熱、施錠時自動格納,● 電動調整、電動格納、ドアミラー加熱、施錠時自動格納,● 電動調整、電動格納、ドアミラー加熱、施錠時自動格納,● 電動調整、電動格納、ドアミラー加熱、施錠時自動格納,● 電動調整、ドアミラー加熱,● 電動調整、ドアミラー加熱
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターディスプレイ解像度,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応、HUAWEI HiCar対応、Carlink対応,● CarPlay対応、HUAWEI HiCar対応、Carlink対応,● CarPlay対応、HUAWEI HiCar対応、Carlink対応,● CarPlay対応、HUAWEI HiCar対応、Carlink対応,● CarPlay対応、HUAWEI HiCar対応、Carlink対応,● CarPlay対応,● CarPlay対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム（ナビ、電話、エアコン、窓、シートヒーター、シートベンチレーション）,● マルチメディアシステム（ナビ、電話、エアコン、窓、シートヒーター、シートベンチレーション）,● マルチメディアシステム（ナビ、電話、エアコン、窓、シートヒーター、シートベンチレーション）,● マルチメディアシステム（ナビ、電話、エアコン、窓、シートヒーター、シートベンチレーション）,● マルチメディアシステム（ナビ、電話、エアコン、窓、シートヒーター、シートベンチレーション）,● マルチメディアシステム（ナビ、電話、エアコン、窓、シートヒーター）,● マルチメディアシステム（ナビ、電話、エアコン、窓、シートヒーター）
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、iCAR,● こんにちは、iCAR,● こんにちは、iCAR,● こんにちは、iCAR,● こんにちは、iCAR,● こんにちは、iCAR,● こんにちは、iCAR
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,-,-
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,-,-
