セクション,項目,零跑C11 2026款 增程 300激光雷达版,零跑C11 2026款 增程 300激光雷达智尊版,零跑C11 2026款 纯电 640智享版,零跑C11 2026款 纯电 640激光雷达版,零跑C11 2026款 纯电 640激光雷达智尊版,零跑C11 2024款 增程 200智享版,零跑C11 2024款 增程 300智享版,零跑C11 2024款 增程 300尊享版,零跑C11 2024款 增程 300激光雷达版,零跑C11 2024款 纯电 515智享版,零跑C11 2024款 纯电 580尊享版,零跑C11 2024款 纯电 580激光雷达版,零跑C11 2024款 纯电 515智行版,零跑C11 2024款 纯电 580四驱激光雷达版
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),47,47,-,-,-,47,47,47,47,-,-,-,-,-
车身,后备厢容积(L),410-974,410-974,410-974,410-974,410-974,375-840,375-840,375-840,375-840,375-840,375-840,375-840,375-840,375-840
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,0.282,0.282,0.282,0.282,0.282
发动机,发动机型号,H15R,H15R,-,-,-,H15R,H15R,H15R,H15R,-,-,-,-,-
发动机,排量(mL),1499,1499,-,-,-,1499,1499,1499,1499,-,-,-,-,-
发动机,排量(L),1.5,1.5,-,-,-,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0
发动机,进气形式,自然吸气,自然吸气,-,-,-,自然吸气,自然吸气,自然吸气,自然吸气,-,-,-,-,-
发动机,发动机布局,横置,横置,-,-,-,横置,横置,横置,横置,-,-,-,-,-
发动机,气缸排列形式,L,L,-,-,-,L,L,L,L,-,-,-,-,-
发动机,气缸数(个),4,4,-,-,-,4,4,4,4,-,-,-,-,-
发动机,每缸气门数(个),4,4,-,-,-,4,4,4,4,-,-,-,-,-
发动机,配气机构,-,-,-,-,-,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-
发动机,最大马力(Ps),95,95,-,-,-,95,95,95,95,-,-,-,-,-
发动机,最大功率(kW),70,70,-,-,-,70,70,70,70,-,-,-,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),68,68,-,-,-,68,68,68,68,-,-,-,-,-
发动机,能源类型,增程式,增程式,纯电动,纯电动,纯电动,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,-,-,-,-,-,92号,92号,92号,92号,-,-,-,-,-
发动机,供油方式,多点电喷,多点电喷,-,-,-,多点电喷,多点电喷,多点电喷,多点电喷,-,-,-,-,-
发动机,缸盖材料,铝合金,铝合金,-,-,-,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-
发动机,缸体材料,铝合金,铝合金,-,-,-,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-
发动机,环保标准,国VI,国VI,-,-,-,国VI,国VI,国VI,国VI,-,-,-,-,-
电动机,前电动机品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,金华零跑新能源
电动机,后电动机品牌,-,-,金华凌昇,金华凌昇,金华凌昇,金华零跑新能源,金华零跑新能源,金华零跑新能源,金华零跑新能源,金华零跑新能源,金华零跑新能源,金华零跑新能源,金华零跑新能源,金华零跑新能源
电动机,前电动机型号,-,-,-,-,-,-,-,-,-,-,-,-,-,TZ250XYLPPG2
电动机,后电动机型号,-,-,TZ220XY030,TZ220XY030,TZ220XY030,TZ250XYLPPG1,TZ250XYLPPG1,TZ250XYLPPG1,TZ250XYLPPG1,TZ250XYLPPG1,TZ250XYLPPG1,TZ250XYLPPG1,TZ250XYLPPG1,TZ250XYLPPG1
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),200,200,220,220,220,200,200,200,200,200,200,200,200,400
电动机,电动机总马力(Ps),272,272,299,299,299,272,272,272,272,272,272,272,272,544
电动机,电动机总扭矩(N·m),320,320,360,360,360,360,360,360,360,360,360,360,360,720
电动机,前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,200
电动机,前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,360
电动机,后电动机最大功率(kW),200,200,220,220,220,200,200,200,200,200,200,200,200,200
电动机,后电动机最大扭矩(N·m),320,320,360,360,360,360,360,360,360,360,360,360,360,360
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,双电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,前置+后置
电动机,三电系统质保,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 五年或50万公里,● 八年或15万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池
电池/充电,电芯品牌,"● 中创新航
● 国轩高科","● 中创新航
● 国轩高科","● 蜂巢能源
● 国轩高科","● 蜂巢能源
● 国轩高科","● 蜂巢能源
● 国轩高科","● 中创新航
● 国轩高科",● 中航锂电,● 中航锂电,● 中航锂电,"● 蜂巢能源
● 国轩高科
● 江苏正力","● 蜂巢能源
● 国轩高科
● 江苏正力","● 蜂巢能源
● 国轩高科
● 江苏正力","● 蜂巢能源
● 国轩高科
● 江苏正力",● 中航锂电
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,换电,-,-,-,-,-,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
电池/充电,WLTC纯电续航里程(km),210,210,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,CLTC纯电续航里程(km),300,300,640,640,640,200,300,300,300,515,580,580,515,580
电池/充电,WLTC综合续航(km),1010,1010,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,CLTC综合续航(km),1220,1220,-,-,-,1110,1210,1210,1210,-,-,-,-,-
电池/充电,电池能量(kWh),41.7,41.7,81.9,81.9,81.9,30.1,43.74,43.74,43.74,69.2,78.5,78.5,69.2,89.97
电池/充电,百公里耗电量(kWh/100km),19.1,19.1,14.4,14.4,14.4,18.5,19.5,19.5,19.5,16,-,-,16,17.6
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,高压快充,-,-,支持,支持,支持,-,-,-,-,-,-,-,-,-
电池/充电,高压平台（V）,-,-,800,800,800,-,-,-,-,-,-,-,-,-
电池/充电,电池快充时间(小时),0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.67,0.67,0.67,0.67,0.67
电池/充电,电池慢充时间(小时),4,4,7.5,7.5,7.5,2.6,3.8,3.8,3.8,6,7,7,6,7.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),-,-,-,-,-,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
电池/充电,对外放电最低允许值(%),-,-,-,-,-,20,20,20,20,20,20,20,20,20
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 双电机四驱
底盘转向,四驱形式,-,-,-,-,-,-,-,-,-,-,-,-,-,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 235/60 R18,● 235/60 R18,● 255/45 R20,● 255/45 R20,● 235/60 R18,● 255/45 R20,● 255/45 R20,● 235/60 R18,● 255/45 R20
车轮制动,后轮胎规格,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 255/45 R20,● 235/60 R18,● 235/60 R18,● 255/45 R20,● 255/45 R20,● 235/60 R18,● 255/45 R20,● 255/45 R20,● 235/60 R18,● 255/45 R20
车轮制动,备胎规格,-,-,-,-,-,● 无,● 无,● 无,● 无,● 无,● 无,● 无,-,● 无
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,-,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,-,-,●,●,-,●,●,-,●
主动安全,DOW开门预警,●,●,-,●,●,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,-,●,●,●,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,-,●,●,●,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化",● 经济,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,-,-,-,-,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像",● 360度全景影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像",● 360度全景影像,● 360度全景影像,● 360度全景影像,"● 360度全景影像
● 车侧盲区影像",● 360度全景影像,● 360度全景影像,"● 360度全景影像
● 车侧盲区影像",● 360度全景影像,"● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,-,-,-,-,-,-,-,-,-
驾驶硬件,辅助驾驶芯片,● 高通骁龙8650,● 高通骁龙8650,-,● 高通骁龙8650,● 高通骁龙8650,-,-,-,● 英伟达 Orin-X,-,-,● 英伟达 Orin-X,-,● 英伟达 Orin-X
驾驶硬件,芯片总算力,-,-,-,-,-,-,-,-,● 254 TOPS,-,-,● 254 TOPS,-,● 254 TOPS
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 单目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 11个,● 11个,● 5个,● 11个,● 11个,● 6个,● 6个,● 6个,● 11个,● 6个,● 6个,● 11个,● 6个,● 11个
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 200万,● 800万,● 800万,● 200万,● 200万,● 200万,● 800万,● 200万,● 200万,● 800万,● 200万,● 800万
驾驶硬件,环境感知摄像头像素,● 300万,● 300万,-,● 300万,● 300万,-,-,-,● 200万,-,-,● 200万,-,● 200万
驾驶硬件,环视摄像头像素,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,● 1个,● 1个,-,-,● 1个,● 1个,-,● 1个,● 1个,-,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,-,● 3个,● 3个,● 3个,● 3个,● 3个,● 5个,● 3个,● 3个,● 5个,● 3个,● 5个
驾驶硬件,激光雷达品牌,● HESAI禾赛科技,● HESAI禾赛科技,-,● HESAI禾赛科技,● HESAI禾赛科技,-,-,-,● HESAI禾赛科技,-,-,● HESAI禾赛科技,-,● HESAI禾赛科技
驾驶硬件,激光雷达型号,● AT128,● AT128,-,● AT128,● AT128,-,-,-,● AT128,-,-,● AT128,-,-
驾驶硬件,激光雷达数量,● 1个,● 1个,-,● 1个,● 1个,-,-,-,● 1个,-,-,● 1个,-,● 1个
驾驶硬件,激光雷达线数,● 128线,● 128线,-,● 128线,● 128线,-,-,-,● 128线,-,-,● 128线,-,● 128线
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot
