セクション,項目,阿维塔07 2026款 Elite 增程版,阿维塔07 2026款 Elite 增程版 52.01kWh,阿维塔07 2026款 Max+ 增程版,阿维塔07 2026款 Max+ 增程版 52.01kWh,阿维塔07 2026款 Ultra 增程版,阿维塔07 2026款 Ultra 增程版四驱,阿维塔07 2026款 Elite 纯电版,阿维塔07 2026款 Max+ 纯电版,阿维塔07 2026款 Ultra 纯电版四驱,阿维塔07 2024款 改款 Pro+纯电版,阿维塔07 2024款 Pro+纯电版,阿维塔07 2024款 Max纯电版,阿维塔07 2024款 Max纯电探索版,阿维塔07 2024款 改款 Pro+增程版,阿维塔07 2024款 Pro+增程版,阿维塔07 2024款 Max增程版,阿维塔07 2024款 Max增程版四驱,阿维塔07 2024款 Ultra增程版四驱,阿维塔07 2024款 Max增程探索版,阿维塔07 2024款 Max纯电版四驱,阿维塔07 2024款 Ultra纯电版四驱
发动机,发动机型号,JL469ZQ1,JL469ZQ1,JL469ZQ1,JL469ZQ1,JL469ZQ1,JL469ZQ1,-,-,-,-,-,-,-,JL469ZQ1,JL469ZQ1,JL469ZQ1,JL469ZQ1,JL469ZQ1,JL469ZQ1,-,-
发动机,排量(mL),1497,1497,1497,1497,1497,1497,-,-,-,-,-,-,-,1497,1497,1497,1497,1497,1497,-,-
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,-,-,-,-,-,-,-,1.5,1.5,1.5,1.5,1.5,1.5,-,-
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,-,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-
发动机,发动机布局,横置,横置,横置,横置,横置,横置,-,-,-,-,-,-,-,横置,横置,横置,横置,横置,横置,-,-
发动机,气缸排列形式,L,L,L,L,L,L,-,-,-,-,-,-,-,L,L,L,L,L,L,-,-
发动机,气缸数(个),4,4,4,4,4,4,-,-,-,-,-,-,-,4,4,4,4,4,4,-,-
发动机,每缸气门数(个),4,4,4,4,4,4,-,-,-,-,-,-,-,4,4,4,4,4,4,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-
发动机,最大马力(Ps),156,156,156,156,156,156,-,-,-,-,-,-,-,156,156,156,156,156,156,-,-
发动机,最大功率(kW),115,115,115,115,115,115,-,-,-,-,-,-,-,115,115,115,115,115,115,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),110,110,110,110,110,110,-,-,-,-,-,-,-,110,110,110,110,110,110,-,-
发动机,能源类型,增程式,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,增程式,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,92号,92号,92号,-,-,-,-,-,-,-,92号,92号,92号,92号,92号,92号,-,-
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,-,-,-,-,-,-,-,直喷,直喷,直喷,直喷,直喷,直喷,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-,国VI,国VI,国VI,国VI,国VI,国VI,-,-
电动机,前电动机型号,-,-,-,-,-,AYDM01,-,-,XYDM05,-,-,-,-,-,-,-,AYDM01,AYDM01,-,XYDM05,XYDM05
电动机,后电动机型号,ATDM01,ATDM01,ATDM01,ATDM01,ATDM01,ATDM01,XTDM39,XTDM39,XTDM39,XTDM39,XTDM39,XTDM39,XTDM39,ATDM01,ATDM01,ATDM01,ATDM01,ATDM01,ATDM01,XTDM39,XTDM39
电动机,电动机总功率(kW),231,231,231,231,231,362,252,252,440,252,252,252,252,231,231,231,362,362,231,440,440
电动机,电动机总马力(Ps),314,314,314,314,314,492,343,343,598,343,343,343,343,314,314,314,492,492,314,598,598
电动机,电动机总扭矩(N·m),333,333,333,333,333,-,365,365,645,365,365,365,365,333,367,367,629,629,367,645,645
电动机,前电动机最大功率(kW),-,-,-,-,-,131,-,-,188,-,-,-,-,-,-,-,131,131,-,188,188
电动机,前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,280,-,-,-,-,-,-,-,262,262,-,280,280
电动机,后电动机最大功率(kW),231,231,231,231,231,231,252,252,252,252,252,252,252,231,231,231,231,231,231,252,252
电动机,后电动机最大扭矩(N·m),333,333,333,333,333,333,365,365,365,365,365,365,365,333,367,367,367,367,367,365,365
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,双电机,单电机,单电机,双电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,双电机,双电机,单电机,双电机,双电机
电动机,电机布局,后置,后置,后置,后置,后置,前置+后置,后置,后置,前置+后置,后置,后置,后置,后置,后置,后置,后置,前置+后置,前置+后置,后置,前置+后置,前置+后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,"● 宁德时代(江苏时代)
● 宁德时代(四川时代)","● 宁德时代(江苏时代)
● 宁德时代(四川时代)","● 宁德时代(江苏时代)
● 宁德时代(四川时代)","● 宁德时代(江苏时代)
● 宁德时代(四川时代)","● 宁德时代(江苏时代)
● 宁德时代(四川时代)","● 宁德时代(江苏时代)
● 宁德时代(四川时代)",● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(四川时代),● 宁德时代(四川时代)
电池/充电,电池特有技术,骁遥超级增混电池,骁遥超级增混电池,骁遥超级增混电池,骁遥超级增混电池,骁遥超级增混电池,骁遥超级增混电池,神行超充电池,神行超充电池,神行超充电池,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),195,265,195,265,265,245,-,-,-,-,-,-,-,195,188,188,178,178,188,-,-
电池/充电,CLTC纯电续航里程(km),245,333,245,333,333,-,650,650,610,650,650,650,650,245,230,230,220,220,230,610,610
电池/充电,CLTC综合续航(km),1115,1200,1115,1200,1200,-,-,-,-,-,-,-,-,1115,1100,1100,1050,1050,1100,-,-
电池/充电,电池能量(kWh),39.05,52.01,39.05,52.01,52.01,52.01,82.16,82.16,82.16,82.16,82.16,82.16,82.16,39.05,39.05,39.05,39.05,39.05,39.05,82.16,82.16
电池/充电,百公里耗电量(kWh/100km),19.5,20.8,19.5,20.8,20.8,21.8,14.5,14.5,15.5,14.5,14.5,14.5,14.5,19.5,19.3,19.3,20,20,19.3,15.5,15.5
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),-,-,-,-,-,-,420,420,420,420,420,420,420,-,-,-,-,-,-,420,420
电池/充电,高压快充,-,-,-,-,-,-,支持,支持,支持,支持,支持,支持,支持,-,-,-,-,-,-,支持,支持
电池/充电,高压平台（V）,-,-,-,-,-,-,800,800,800,800,800,800,800,-,-,-,-,-,-,800,800
电池/充电,电池快充时间(小时),0.25,0.17,0.25,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.25,0.25,0.25,0.25,0.25,0.25,0.17,0.17
电池/充电,电池慢充时间(小时),7,9,7,9,9,9,14.2,14.2,14.2,14.2,14.5,14.5,14.5,7,7,7,7,7,7,14.5,14.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 双电机四驱,● 后置后驱,● 后置后驱,● 双电机四驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 双电机四驱,● 双电机四驱,● 后置后驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,-,-,-,-,-,● 电动四驱,-,-,● 电动四驱,-,-,-,-,-,-,-,● 电动四驱,● 电动四驱,-,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 255/50 R20
○ 265/45 R21 (8000元)","● 255/50 R20
○ 265/45 R21 (8000元)","● 255/50 R20
○ 265/45 R21 (8000元)","● 255/50 R20
○ 265/45 R21 (8000元)","● 255/50 R20
○ 265/45 R21 (8000元)","● 255/50 R20
○ 265/45 R21 (8000元)","● 255/50 R20
○ 265/45 R21 (8000元)","● 255/50 R20
○ 265/45 R21 (8000元)","● 255/50 R20
○ 265/45 R21 (8000元)","● 255/50 R20
○ 265/45 R21 (8000元)","● 255/50 R20
○ 265/45 R21 (8000元)","● 255/50 R20
○ 265/45 R21 (8000元)",● 265/45 R21,"● 255/50 R20
○ 265/45 R21 (8000元)","● 255/50 R20
○ 265/45 R21 (8000元)","● 255/50 R20
○ 265/45 R21 (8000元)","● 255/50 R20
○ 265/45 R21 (8000元)",● 265/45 R21,● 265/45 R21,"● 255/50 R20
○ 265/45 R21 (8000元)",● 265/45 R21
车轮制动,后轮胎规格,"● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21",● 265/45 R21,"● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21",● 265/45 R21,● 265/45 R21,"● 255/50 R20
○ 265/45 R21",● 265/45 R21
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
