セクション,セクション_ja,項目,項目_ja,2026年モデル Elite 増程版,2026年モデル Elite 増程版 52.01kWh,2026年モデル Max+ 増程版,2026年モデル Max+ 増程版 52.01kWh,2026年モデル Ultra 増程版,2026年モデル Ultra 増程版 4WD,2026年モデル Elite 純電版,2026年モデル Max+ 純電版,2026年モデル Ultra 純電版 4WD,2024年モデル 改良版 Pro+ 純電版,2024年モデル Pro+ 純電版,2024年モデル Max 純電版,2024年モデル Max 純電探索版,2024年モデル 改良版 Pro+ 増程版,2024年モデル Pro+ 増程版,2024年モデル Max 増程版,2024年モデル Max 増程版 4WD,2024年モデル Ultra 増程版 4WD,2024年モデル Max 増程探索版,2024年モデル Max 純電版 4WD,2024年モデル Ultra 純電版 4WD
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),7,9,7,9,9,9,14.2,14.2,14.2,14.2,14.5,14.5,14.5,7,7,7,7,7,7,14.5,14.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電量範囲(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),231,231,231,231,231,362,252,252,440,252,252,252,252,231,231,231,362,362,231,440,440
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),333,333,333,333,333,-,365,365,645,365,365,365,365,333,367,367,629,629,367,645,645
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,-,-,-,-,-,-,-,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,-,-
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),314,314,314,314,314,492,343,343,598,343,343,343,343,314,314,314,492,492,314,598,598
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4825×1980×1605,4825×1980×1605,4825×1980×1605,4825×1980×1605,4825×1980×1605,4825×1980×1605,4825×1980×1620,4825×1980×1610,4825×1980×1610,4825×1980×1620,4825×1980×1620,4825×1980×1620,4825×1980×1635,4825×1980×1620,4825×1980×1620,4825×1980×1620,4825×1980×1620,4825×1980×1610,4825×1980×1635,4825×1980×1620,4825×1980×1610
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.6,7,6.6,7,7,-,6.3,6.3,3.9,6.3,6.3,6.3,6.3,6.6,6.6,6.6,4.9,4.9,6.6,3.9,3.9
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),190,190,190,190,190,190,200,200,200,200,200,200,200,190,190,190,190,190,190,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.67,0.45,0.67,0.45,0.45,0.5,-,-,-,-,-,-,-,0.67,0.66,0.66,0.77,0.77,0.66,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,6.15,6.26,6.15,6.26,6.26,6.59,-,-,-,-,-,-,-,6.15,6.08,6.08,6.37,6.37,6.08,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,-,-,-,-,1.68,1.68,1.8,1.68,1.68,1.68,1.68,-,-,-,-,-,-,1.8,1.8
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ガソリン・電力複合燃料消費量(L/100km),2.93,2.86,2.93,2.86,2.86,3.03,-,-,-,-,-,-,-,2.93,2.9,2.9,3.09,3.09,2.9,-,-
基本参数,基本仕様,整车质保,車両保証,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2225,2285,2225,2285,2285,2378,2315,2315,2434,2315,2315,2315,2315,2225,2240,2240,2326,2326,2240,2434,2434
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2600,2660,2600,2660,2660,2753,2690,2690,2809,2690,2690,2690,2690,2600,2615,2615,2701,2701,2615,2809,2809
基本参数,基本仕様,准拖挂车总质量(kg),準牽引車総質量(kg),-,-,-,-,-,-,-,-,-,-,-,-,750,-,-,-,-,-,750,-,-
车身,車体,长度(mm),全長(mm),4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825
车身,車体,宽度(mm),全幅(mm),1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980
车身,車体,高度(mm),全高(mm),1605,1605,1605,1605,1605,1605,1620,1610,1610,1620,1620,1620,1635,1620,1620,1620,1620,1610,1635,1620,1610
车身,車体,轴距(mm),ホイールベース(mm),2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940
车身,車体,前轮距(mm),前トレッド(mm),1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680
车身,車体,后轮距(mm),後トレッド(mm),1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690
车身,車体,接近角(°),アプローチアングル(°),17,17,17,17,17,17,17,17,17,17,17,17,18,17,17,17,17,17,18,17,17
车身,車体,离去角(°),デパーチャーアングル(°),21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),45,45,45,45,45,45,-,-,-,-,-,-,-,45,45,45,45,45,45,-,-
车身,車体,前备厢容积(L),フロントトランク容量(L),-,-,-,-,-,-,90,90,90,90,90,90,90,-,-,-,-,-,-,90,90
车身,車体,后备厢容积(L),リアトランク容量(L),500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259
发动机,エンジン,发动机型号,エンジン型式,JL469ZQ1,JL469ZQ1,JL469ZQ1,JL469ZQ1,JL469ZQ1,JL469ZQ1,-,-,-,-,-,-,-,JL469ZQ1,JL469ZQ1,JL469ZQ1,JL469ZQ1,JL469ZQ1,JL469ZQ1,-,-
发动机,エンジン,排量(mL),排気量(mL),1497,1497,1497,1497,1497,1497,-,-,-,-,-,-,-,1497,1497,1497,1497,1497,1497,-,-
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,-,-,-,-,-,-,-,1.5,1.5,1.5,1.5,1.5,1.5,-,-
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,-,-,-,-,-,-,-,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,-,-
发动机,エンジン,发动机布局,エンジン配置,横置,横置,横置,横置,横置,横置,-,-,-,-,-,-,-,横置,横置,横置,横置,横置,横置,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,-,-,-,-,-,-,-,L,L,L,L,L,L,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,-,-,-,-,-,-,-,4,4,4,4,4,4,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,-,-,-,-,-,-,-,4,4,4,4,4,4,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),156,156,156,156,156,156,-,-,-,-,-,-,-,156,156,156,156,156,156,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),115,115,115,115,115,115,-,-,-,-,-,-,-,115,115,115,115,115,115,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大正味出力(kW),110,110,110,110,110,110,-,-,-,-,-,-,-,110,110,110,110,110,110,-,-
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,-,-,-,-,-,-,-,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,-,-
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,-,-,-,-,-,-,-,直噴,直噴,直噴,直噴,直噴,直噴,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-
发动机,エンジン,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,-,-,-,-,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-
电动机,モーター,前电动机型号,前モーター型式,-,-,-,-,-,AYDM01,-,-,XYDM05,-,-,-,-,-,-,-,AYDM01,AYDM01,-,XYDM05,XYDM05
电动机,モーター,后电动机型号,後モーター型式,ATDM01,ATDM01,ATDM01,ATDM01,ATDM01,ATDM01,XTDM39,XTDM39,XTDM39,XTDM39,XTDM39,XTDM39,XTDM39,ATDM01,ATDM01,ATDM01,ATDM01,ATDM01,ATDM01,XTDM39,XTDM39
电动机,モーター,电动机总功率(kW),モーター総出力(kW),231,231,231,231,231,362,252,252,440,252,252,252,252,231,231,231,362,362,231,440,440
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),314,314,314,314,314,492,343,343,598,343,343,343,343,314,314,314,492,492,314,598,598
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),333,333,333,333,333,-,365,365,645,365,365,365,365,333,367,367,629,629,367,645,645
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,-,-,131,-,-,188,-,-,-,-,-,-,-,131,131,-,188,188
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,-,-,-,-,-,280,-,-,-,-,-,-,-,262,262,-,280,280
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),231,231,231,231,231,231,252,252,252,252,252,252,252,231,231,231,231,231,231,252,252
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),333,333,333,333,333,333,365,365,365,365,365,365,365,333,367,367,367,367,367,365,365
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,デュアルモーター,単モーター,単モーター,デュアルモーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,デュアルモーター,デュアルモーター,単モーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置,後置,前後置,後置,後置,前後置,後置,後置,後置,後置,後置,後置,後置,前後置,前後置,後置,前後置,前後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,"● CATL（江蘇時代）
● CATL（四川時代）","● CATL（江蘇時代）
● CATL（四川時代）","● CATL（江蘇時代）
● CATL（四川時代）","● CATL（江蘇時代）
● CATL（四川時代）","● CATL（江蘇時代）
● CATL（四川時代）","● CATL（江蘇時代）
● CATL（四川時代）",● CATL,● CATL,● CATL,● CATL（四川時代）,● CATL（四川時代）,● CATL（四川時代）,● CATL（四川時代）,● CATL（江蘇時代）,● CATL（江蘇時代）,● CATL（江蘇時代）,● CATL（江蘇時代）,● CATL（江蘇時代）,● CATL（江蘇時代）,● CATL（四川時代）,● CATL（四川時代）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,シャオヤオスーパー増強ハイブリッド電池,シャオヤオスーパー増強ハイブリッド電池,シャオヤオスーパー増強ハイブリッド電池,シャオヤオスーパー増強ハイブリッド電池,シャオヤオスーパー増強ハイブリッド電池,シャオヤオスーパー増強ハイブリッド電池,シェンシン超急速充電池,シェンシン超急速充電池,シェンシン超急速充電池,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),195,265,195,265,265,245,-,-,-,-,-,-,-,195,188,188,178,178,188,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),245,333,245,333,333,-,650,650,610,650,650,650,650,245,230,230,220,220,230,610,610
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1115,1200,1115,1200,1200,-,-,-,-,-,-,-,-,1115,1100,1100,1050,1050,1100,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),39.05,52.01,39.05,52.01,52.01,52.01,82.16,82.16,82.16,82.16,82.16,82.16,82.16,39.05,39.05,39.05,39.05,39.05,39.05,82.16,82.16
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),19.5,20.8,19.5,20.8,20.8,21.8,14.5,14.5,15.5,14.5,14.5,14.5,14.5,19.5,19.3,19.3,20,20,19.3,15.5,15.5
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),-,-,-,-,-,-,420,420,420,420,420,420,420,-,-,-,-,-,-,420,420
电池/充电,バッテリー/充電,高压快充,高圧急速充電,-,-,-,-,-,-,対応,対応,対応,対応,対応,対応,対応,-,-,-,-,-,-,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,-,-,-,-,-,-,800,800,800,800,800,800,800,-,-,-,-,-,-,800,800
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.17,0.25,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.25,0.25,0.25,0.25,0.25,0.25,0.17,0.17
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),7,9,7,9,9,9,14.2,14.2,14.2,14.2,14.5,14.5,14.5,7,7,7,7,7,7,14.5,14.5
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電量範囲(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
