セクション,項目,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 两驱智尚版,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 两驱智享版,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 两驱智逸版,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 四驱智逸版,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 两驱智睿版,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 两驱智臻版,本田CR-V 2026款 全球30年荣耀款 240TURBO 两驱活力版,本田CR-V 2026款 全球30年荣耀款 240TURBO 两驱锋尚5座版,本田CR-V 2026款 全球30年荣耀款 240TURBO 两驱锋尚7座版,本田CR-V 2026款 全球30年荣耀款 240TURBO 两驱智领版,本田CR-V 2026款 全球30年荣耀款 240TURBO 四驱臻享版,本田CR-V 2024款 2.0L e:HEV 两驱智逸版,本田CR-V 2024款 2.0L e:HEV 两驱智睿版,本田CR-V 2024款 240TURBO 两驱活力版 5座,本田CR-V 2024款 240TURBO 两驱锋尚版 5座,本田CR-V 2024款 240TURBO 两驱锋尚版 7座,本田CR-V 2024款 240TURBO 两驱智领版 5座,本田CR-V 2024款 240TURBO 两驱臻享版 7座,本田CR-V 2024款 240TURBO 四驱臻享版 5座,本田CR-V 2024款 240TURBO 四驱尊耀版 5座,本田CR-V 2023款 2.0L e:HEV 两驱智尚版,本田CR-V 2023款 2.0L e:HEV 两驱智享版,本田CR-V 2023款 2.0L e:HEV 四驱智尊版
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4
基本参数,电动机(Ps),184,184,184,184,184,184,-,-,-,-,-,184,184,-,-,-,-,-,-,-,184,184,184
基本参数,长*宽*高(mm),4703*1866*1680,4703*1866*1680,4703*1866*1680,4703*1866*1690,4703*1866*1680,4703*1866*1683,4703*1866*1680,4703*1866*1680,4703*1866*1680,4703*1866*1680,4703*1866*1690,4703*1866*1680,4703*1866*1680,4703*1866*1680,4703*1866*1680,4703*1866*1680,4703*1866*1680,4703*1866*1680,4703*1866*1690,4703*1866*1690,4703*1866*1680,4703*1866*1680,4703*1866*1690
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),185,185,185,177,185,185,188,188,188,188,188,185,185,188,188,188,188,188,188,188,185,185,177
基本参数,WLTC综合油耗(L/100km),5.49,5.49,5.49,6.14,5.49,5.85,7.25,7.25,7.36,7.25,7.74,5.49,5.49,7.31,7.31,7.39,7.31,7.4,7.78,8.12,5.49,5.49,6.44
基本参数,实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.29,-,-,-,-,-
基本参数,实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.96,-,-,-,-,-
基本参数,实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.6,-,-,-,-,-
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1717,1722,1731,1784,1740,1762,1589,1607,1662,1608,1669,1729,1738,1606,1617,1672,1619,1684,1685,1704,1715,1720,1821
基本参数,最大满载质量(kg),2260,2260,2260,2350,2260,2260,2147,2147,2300,2147,2147,2260,2260,2147,2147,2300,2147,2300,2147,2147,2260,2260,2350
车身,长度(mm),4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703
车身,宽度(mm),1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866
车身,高度(mm),1680,1680,1680,1690,1680,1683,1680,1680,1680,1680,1690,1680,1680,1680,1680,1680,1680,1680,1690,1690,1680,1680,1690
车身,轴距(mm),2701,2701,2701,2700,2701,2701,2701,2701,2701,2701,2700,2701,2701,2701,2701,2701,2701,2701,2700,2700,2701,2701,2700
车身,前轮距(mm),1611,1611,1611,1608,1611,1611,1611,1611,1611,1611,1608,1611,1611,1611,1611,1611,1611,1611,1608,1608,1611,1611,1608
车身,后轮距(mm),1627,1627,1627,1623,1627,1627,1627,1627,1627,1627,1623,1627,1627,1627,1627,1627,1627,1627,1623,1623,1627,1627,1623
车身,接近角(°),16,16,16,17,16,16,16,16,16,16,17,16,16,16,16,16,16,16,17,17,16,16,17
车身,离去角(°),20,20,20,21,20,20,20,20,20,20,21,20,20,20,20,20,20,20,21,21,20,20,21
车身,最小转弯半径(m),5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 7,● 5,● 5,● 5,● 5,● 5,● 5,● 7,● 5,● 7,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,LFB22,LFB22,LFB22,LFB22,LFB22,LFB22,L15BZ,L15BZ,L15BZ,L15BZ,L15BZ,LFB22,LFB22,L15BZ,L15BZ,L15BZ,L15BZ,L15BZ,L15BZ,L15BZ,LFB22,LFB22,LFB22
发动机,排量(mL),1993,1993,1993,1993,1993,1993,1498,1498,1498,1498,1498,1993,1993,1498,1498,1498,1498,1498,1498,1498,1993,1993,1993
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,13.9,13.9,13.9,13.9,13.9,13.9,10.3,10.3,10.3,10.3,10.3,13.9,13.9,10.3,10.3,10.3,10.3,10.3,10.3,10.3,13.9,13.9,13.9
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),150,150,150,150,150,150,193,193,193,193,193,150,150,193,193,193,193,193,193,193,150,150,150
发动机,最大功率(kW),110,110,110,110,110,110,142,142,142,142,142,110,110,142,142,142,142,142,142,142,110,110,110
发动机,最大功率转速(rpm),6100,6100,6100,6100,6100,6100,6000,6000,6000,6000,6000,6100,6100,6000,6000,6000,6000,6000,6000,6000,6100,6100,6100
发动机,最大扭矩(N·m),183,183,183,183,183,183,243,243,243,243,243,183,183,243,243,243,243,243,243,243,183,183,183
发动机,最大扭矩转速(rpm),4500,4500,4500,4500,4500,4500,1800-5000,1800-5000,1800-5000,1800-5000,1800-5000,4500,4500,1800-5000,1800-5000,1800-5000,1800-5000,1800-5000,1800-5000,1800-5000,4500,4500,4500
发动机,最大净功率(kW),110,110,110,110,110,110,142,142,142,142,142,110,110,142,142,142,142,142,142,142,110,110,110
发动机,发动机特有技术,-,-,-,-,-,-,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,-,-,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,-,-,-
发动机,能源类型,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机,电动机总功率(kW),135,135,135,135,135,135,-,-,-,-,-,135,135,-,-,-,-,-,-,-,135,135,135
电动机,电动机总马力(Ps),184,184,184,184,184,184,-,-,-,-,-,184,184,-,-,-,-,-,-,-,184,184,184
电动机,电动机总扭矩(N·m),335,335,335,335,335,335,-,-,-,-,-,335,335,-,-,-,-,-,-,-,335,335,335
电动机,前电动机最大功率(kW),135,135,135,135,135,135,-,-,-,-,-,135,135,-,-,-,-,-,-,-,135,135,135
电动机,前电动机最大扭矩(N·m),335,335,335,335,335,335,-,-,-,-,-,335,335,-,-,-,-,-,-,-,335,335,335
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,-,-,-,-,-,单电机,单电机,-,-,-,-,-,-,-,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,-,-,-,-,-,前置,前置,-,-,-,-,-,-,-,前置,前置,前置
电池/充电,电池类型,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池,-,-,-,-,-,● 锂离子电池,● 锂离子电池,-,-,-,-,-,-,-,● 锂离子电池,● 锂离子电池,● 锂离子电池
电池/充电,电池组质保,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,-,-,-,-,-,● 十年或20万公里,● 十年或20万公里,-,-,-,-,-,-,-,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置四驱
底盘转向,四驱形式,-,-,-,● 适时四驱,-,-,-,-,-,-,● 适时四驱,-,-,-,-,-,-,-,● 适时四驱,● 适时四驱,-,-,● 适时四驱
底盘转向,中央差速器结构,-,-,-,● 多片离合器,-,-,-,-,-,-,● 多片离合器,-,-,-,-,-,-,-,● 多片离合器,● 多片离合器,-,-,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/65 R17,● 235/65 R17,● 235/65 R17,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/60 R18,● 235/60 R18,● 235/55 R19
车轮制动,后轮胎规格,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/65 R17,● 235/65 R17,● 235/65 R17,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/60 R18,● 235/60 R18,● 235/55 R19
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-,-,● 无,● 无,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,●,●,-,●,●,●,●,●,●,-,●,●,●,●,●,●,-,●,●
主动安全,主动刹车/主动安全系统,-,●,●,●,●,●,-,●,●,●,●,●,●,-,●,●,●,●,●,●,-,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
