セクション,セクション_ja,項目,項目_ja,2026年モデル グローバル30周年記念 2.0L e HEV 2WD 智尚版,2026年モデル グローバル30周年記念 2.0L e HEV 2WD 智享版,2026年モデル グローバル30周年記念 2.0L e HEV 2WD 智逸版,2026年モデル グローバル30周年記念 2.0L e HEV 4WD 智逸版,2026年モデル グローバル30周年記念 2.0L e HEV 2WD 智睿版,2026年モデル グローバル30周年記念 2.0L e HEV 2WD 智臻版,2026年モデル グローバル30周年記念 240TURBO 2WD 活力版,2026年モデル グローバル30周年記念 240TURBO 2WD 鋭尚 5人乗り,2026年モデル グローバル30周年記念 240TURBO 2WD 鋭尚 7人乗り,2026年モデル グローバル30周年記念 240TURBO 2WD 智領版,2026年モデル グローバル30周年記念 240TURBO 4WD 臻享版,2024年モデル 2.0L e HEV 2WD 智逸版,2024年モデル 2.0L e HEV 2WD 智睿版,2024年モデル 240TURBO 2WD 活力版 5人乗り,2024年モデル 240TURBO 2WD 鋭尚版 5人乗り,2024年モデル 240TURBO 2WD 鋭尚版 7人乗り,2024年モデル 240TURBO 2WD 智領版 5人乗り,2024年モデル 240TURBO 2WD 臻享版 7人乗り,2024年モデル 240TURBO 4WD 臻享版 5人乗り,2024年モデル 240TURBO 4WD 尊耀版 5人乗り,2023年モデル 2.0L e HEV 2WD 智尚版,2023年モデル 2.0L e HEV 2WD 智享版,2023年モデル 2.0L e HEV 4WD 智尊版
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0L 150馬力 L4,2.0L 150馬力 L4,2.0L 150馬力 L4,2.0L 150馬力 L4,2.0L 150馬力 L4,2.0L 150馬力 L4,1.5T 193馬力 L4,1.5T 193馬力 L4,1.5T 193馬力 L4,1.5T 193馬力 L4,1.5T 193馬力 L4,2.0L 150馬力 L4,2.0L 150馬力 L4,1.5T 193馬力 L4,1.5T 193馬力 L4,1.5T 193馬力 L4,1.5T 193馬力 L4,1.5T 193馬力 L4,1.5T 193馬力 L4,1.5T 193馬力 L4,2.0L 150馬力 L4,2.0L 150馬力 L4,2.0L 150馬力 L4
基本参数,基本仕様,电动机(Ps),モーター（Ps）,184,184,184,184,184,184,-,-,-,-,-,184,184,-,-,-,-,-,-,-,184,184,184
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4703×1866×1680,4703×1866×1680,4703×1866×1680,4703×1866×1690,4703×1866×1680,4703×1866×1683,4703×1866×1680,4703×1866×1680,4703×1866×1680,4703×1866×1680,4703×1866×1690,4703×1866×1680,4703×1866×1680,4703×1866×1680,4703×1866×1680,4703×1866×1680,4703×1866×1680,4703×1866×1680,4703×1866×1690,4703×1866×1690,4703×1866×1680,4703×1866×1680,4703×1866×1690
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),185,185,185,177,185,185,188,188,188,188,188,185,185,188,188,188,188,188,188,188,185,185,177
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),5.49,5.49,5.49,6.14,5.49,5.85,7.25,7.25,7.36,7.25,7.74,5.49,5.49,7.31,7.31,7.39,7.31,7.4,7.78,8.12,5.49,5.49,6.44
基本参数,基本仕様,实测0-100km/h加速(s),実測0-100km/h加速（秒）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.29,-,-,-,-,-
基本参数,基本仕様,实测100-0km/h制动(m),実測100-0km/h制動（m）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.96,-,-,-,-,-
基本参数,基本仕様,实测油耗(L/100km),実測燃費（L/100km）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.6,-,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1717,1722,1731,1784,1740,1762,1589,1607,1662,1608,1669,1729,1738,1606,1617,1672,1619,1684,1685,1704,1715,1720,1821
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2260,2260,2260,2350,2260,2260,2147,2147,2300,2147,2147,2260,2260,2147,2147,2300,2147,2300,2147,2147,2260,2260,2350
车身,車体,长度(mm),全長(mm),4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703,4703
车身,車体,宽度(mm),全幅(mm),1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866
车身,車体,高度(mm),全高(mm),1680,1680,1680,1690,1680,1683,1680,1680,1680,1680,1690,1680,1680,1680,1680,1680,1680,1680,1690,1690,1680,1680,1690
车身,車体,轴距(mm),ホイールベース(mm),2701,2701,2701,2700,2701,2701,2701,2701,2701,2701,2700,2701,2701,2701,2701,2701,2701,2701,2700,2700,2701,2701,2700
车身,車体,前轮距(mm),前トレッド(mm),1611,1611,1611,1608,1611,1611,1611,1611,1611,1611,1608,1611,1611,1611,1611,1611,1611,1611,1608,1608,1611,1611,1608
车身,車体,后轮距(mm),後トレッド(mm),1627,1627,1627,1623,1627,1627,1627,1627,1627,1627,1623,1627,1627,1627,1627,1627,1627,1627,1623,1623,1627,1627,1623
车身,車体,接近角(°),アプローチアングル（°）,16,16,16,17,16,16,16,16,16,16,17,16,16,16,16,16,16,16,17,17,16,16,17
车身,車体,离去角(°),デパーチャーアングル（°）,20,20,20,21,20,20,20,20,20,20,21,20,20,20,20,20,20,20,21,21,20,20,21
车身,車体,最小转弯半径(m),最小回転半径(m),5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
车身,車体,后备厢容积(L),トランク容量（L）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,LFB22,LFB22,LFB22,LFB22,LFB22,LFB22,L15BZ,L15BZ,L15BZ,L15BZ,L15BZ,LFB22,LFB22,L15BZ,L15BZ,L15BZ,L15BZ,L15BZ,L15BZ,L15BZ,LFB22,LFB22,LFB22
发动机,エンジン,排量(mL),排気量(mL),1993,1993,1993,1993,1993,1993,1498,1498,1498,1498,1498,1993,1993,1498,1498,1498,1498,1498,1498,1498,1993,1993,1993
发动机,エンジン,排量(L),排気量（L）,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,自然吸気,自然吸気,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,13.9,13.9,13.9,13.9,13.9,13.9,10.3,10.3,10.3,10.3,10.3,13.9,13.9,10.3,10.3,10.3,10.3,10.3,10.3,10.3,13.9,13.9,13.9
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),150,150,150,150,150,150,193,193,193,193,193,150,150,193,193,193,193,193,193,193,150,150,150
发动机,エンジン,最大功率(kW),最大出力(kW),110,110,110,110,110,110,142,142,142,142,142,110,110,142,142,142,142,142,142,142,110,110,110
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6100,6100,6100,6100,6100,6100,6000,6000,6000,6000,6000,6100,6100,6000,6000,6000,6000,6000,6000,6000,6100,6100,6100
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),183,183,183,183,183,183,243,243,243,243,243,183,183,243,243,243,243,243,243,243,183,183,183
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4500,4500,4500,4500,4500,4500,1800-5000,1800-5000,1800-5000,1800-5000,1800-5000,4500,4500,1800-5000,1800-5000,1800-5000,1800-5000,1800-5000,1800-5000,1800-5000,4500,4500,4500
发动机,エンジン,最大净功率(kW),最大出力（kW）,110,110,110,110,110,110,142,142,142,142,142,110,110,142,142,142,142,142,142,142,110,110,110
发动机,エンジン,发动机特有技术,エンジン独自技術,-,-,-,-,-,-,VTECターボ,VTECターボ,VTECターボ,VTECターボ,VTECターボ,-,-,VTECターボ,VTECターボ,VTECターボ,VTECターボ,VTECターボ,VTECターボ,VTECターボ,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6
电动机,モーター,电机类型,モーター種類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,电动机总功率(kW),モーター総出力(kW),135,135,135,135,135,135,-,-,-,-,-,135,135,-,-,-,-,-,-,-,135,135,135
电动机,モーター,电动机总马力(Ps),モーター総馬力（Ps）,184,184,184,184,184,184,-,-,-,-,-,184,184,-,-,-,-,-,-,-,184,184,184
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),335,335,335,335,335,335,-,-,-,-,-,335,335,-,-,-,-,-,-,-,335,335,335
电动机,モーター,前电动机最大功率(kW),前モーター最大出力（kW）,135,135,135,135,135,135,-,-,-,-,-,135,135,-,-,-,-,-,-,-,135,135,135
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク（N·m）,335,335,335,335,335,335,-,-,-,-,-,335,335,-,-,-,-,-,-,-,335,335,335
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,-,-,-,-,-,単一モーター,単一モーター,-,-,-,-,-,-,-,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,前置,前置,前置,前置,前置,前置,-,-,-,-,-,前置,前置,-,-,-,-,-,-,-,前置,前置,前置
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,-,-,-,-,-,● リチウムイオンバッテリー,● リチウムイオンバッテリー,-,-,-,-,-,-,-,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー
电池/充电,バッテリー/充電,电池组质保,バッテリー保証期間,● 10年または20万km,● 10年または20万km,● 10年または20万km,● 10年または20万km,● 10年または20万km,● 10年または20万km,-,-,-,-,-,● 10年または20万km,● 10年または20万km,-,-,-,-,-,-,-,● 10年または20万km,● 10年または20万km,● 10年または20万km
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置4WD,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置4WD,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置4WD,● 前置4WD,● 前置前輪駆動,● 前置前輪駆動,● 前置4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● パートタイム4WD,-,-,-,-,-,-,● パートタイム4WD,-,-,-,-,-,-,-,● パートタイム4WD,● パートタイム4WD,-,-,● パートタイム4WD
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,-,● 多板クラッチ,-,-,-,-,-,-,● 多板クラッチ,-,-,-,-,-,-,-,● 多板クラッチ,● 多板クラッチ,-,-,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
