セクション,項目,锐界 2026款 锐界L 2.0T EcoBoost 两驱七座时尚型,锐界 2026款 锐界L 2.0T EcoBoost 四驱七座时尚型,锐界 2026款 锐界L 2.0T EcoBoost 两驱七座豪华型,锐界 2026款 锐界L 2.0T EcoBoost 四驱七座至尊型,锐界 2026款 锐界L 2.0T EcoBoost E混动两驱七座豪华型,锐界 2026款 锐界L 2.0T EcoBoost E混动四驱七座至尊型,锐界 2026款 锐界L 2.0T EcoBoost E混动四驱七座旗舰型,锐界 2025款 锐界L 2.0T EcoBoost 两驱七座时尚型,锐界 2025款 锐界L 2.0T EcoBoost 四驱七座时尚型,锐界 2025款 锐界L 2.0T EcoBoost 两驱七座豪华型,锐界 2025款 锐界L 2.0T EcoBoost 四驱七座至尊型,锐界 2025款 锐界L 2.0T EcoBoost E混动两驱七座时尚型,锐界 2025款 锐界L 2.0T EcoBoost E混动两驱七座豪华型,锐界 2025款 锐界L 2.0T EcoBoost E混动四驱七座至尊型,锐界 2025款 锐界L 2.0T EcoBoost E混动四驱七座 STLine,锐界 2024款 锐界L 2.0T EcoBoost 两驱七座时尚型,锐界 2024款 锐界L 2.0T EcoBoost 四驱七座时尚型
发动机,能源类型,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,-,-,-,-,永磁/同步,永磁/同步,永磁/同步,-,-,-,-,永磁/同步,永磁/同步,永磁/同步,永磁/同步,-,-
电动机,电动机总功率(kW),-,-,-,-,140,140,140,-,-,-,-,140,140,140,140,-,-
电动机,电动机总马力(Ps),-,-,-,-,190,190,190,-,-,-,-,190,190,190,190,-,-
电动机,电动机总扭矩(N·m),-,-,-,-,320,320,320,-,-,-,-,320,320,320,320,-,-
电动机,前电动机最大功率(kW),-,-,-,-,140,140,140,-,-,-,-,140,140,140,140,-,-
电动机,前电动机最大扭矩(N·m),-,-,-,-,320,320,320,-,-,-,-,320,320,320,320,-,-
电动机,驱动电机数,-,-,-,-,单电机,单电机,单电机,-,-,-,-,单电机,单电机,单电机,单电机,-,-
电动机,电机布局,-,-,-,-,前置,前置,前置,-,-,-,-,前置,前置,前置,前置,-,-
电动机,三电首任车主质保政策,-,-,-,-,● 八年或16万公里（责任免除条款以官方为准）,● 八年或16万公里（责任免除条款以官方为准）,● 八年或16万公里（责任免除条款以官方为准）,-,-,-,-,● 八年或16万公里（责任免除条款以官方为准）,● 八年或16万公里（责任免除条款以官方为准）,● 八年或16万公里（责任免除条款以官方为准）,● 八年或16万公里（责任免除条款以官方为准）,-,-
电池/充电,电池类型,-,-,-,-,● 三元锂电池,● 三元锂电池,● 三元锂电池,-,-,-,-,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,-,-
电池/充电,电芯品牌,-,-,-,-,● 比亚迪,● 比亚迪,● 比亚迪,-,-,-,-,● 比亚迪,● 比亚迪,● 比亚迪,● 比亚迪,-,-
电池/充电,电池冷却方式,-,-,-,-,液冷,液冷,液冷,-,-,-,-,液冷,液冷,液冷,液冷,-,-
变速箱,简称,8挡自动,8挡自动,8挡自动,8挡自动,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,8挡自动,8挡自动,8挡自动,8挡自动,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,8挡自动,8挡自动
变速箱,挡位个数,8,8,8,8,无级变速,无级变速,无级变速,8,8,8,8,无级变速,无级变速,无级变速,无级变速,8,8
变速箱,变速箱类型,自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),自动变速箱(AT),自动变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置四驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置前驱,● 前置四驱
底盘转向,四驱形式,-,● 适时四驱,-,● 适时四驱,-,● 适时四驱,● 适时四驱,-,● 适时四驱,-,● 适时四驱,-,-,● 适时四驱,● 适时四驱,-,● 适时四驱
底盘转向,中央差速器结构,-,● 多片离合器,-,● 多片离合器,-,● 多片离合器,● 多片离合器,-,● 多片离合器,-,● 多片离合器,-,-,● 多片离合器,● 多片离合器,-,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 255/60 R19,● 255/60 R19,● 255/60 R19,● 255/55 R20,● 255/60 R19,● 255/55 R20,● 255/50 R21,● 255/60 R19,● 255/60 R19,● 255/60 R19,● 255/55 R20,● 255/60 R19,● 255/60 R19,● 255/55 R20,● 255/50 R21,● 255/60 R19,● 255/60 R19
车轮制动,后轮胎规格,● 255/60 R19,● 255/60 R19,● 255/60 R19,● 255/55 R20,● 255/60 R19,● 255/55 R20,● 255/50 R21,● 255/60 R19,● 255/60 R19,● 255/60 R19,● 255/55 R20,● 255/60 R19,● 255/60 R19,● 255/55 R20,● 255/50 R21,● 255/60 R19,● 255/60 R19
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 非全尺寸,● 非全尺寸
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
主动安全,后方碰撞预警,-,-,-,●,-,●,●,-,-,-,●,-,-,●,●,-,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地"
驾驶操控,发动机启停技术,●,●,●,●,-,-,-,●,●,●,●,-,-,-,-,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像
驾驶硬件,透明底盘/540度影像,-,-,●,●,●,●,●,-,-,●,●,-,●,●,●,-,-
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,-,● 单目,● 单目,● 单目,-,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 2个,● 2个,● 5个,● 5个,● 5个,● 5个,● 5个,● 1个,● 2个,● 5个,● 5个,● 1个,● 5个,● 5个,● 5个,● 2个,● 2个
驾驶硬件,超声波雷达数量,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,-,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,-,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,-,● L2,● L2,● L2,-,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,-,●,-,●,●,-,-,-,●,-,-,●,●,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度
驾驶功能,并线辅助,-,-,-,●,-,●,●,-,-,-,●,-,-,●,●,-,-
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,起步提醒,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 运动风格,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,-,●,●,●,●,●,-,-,●,●,-,●,●,●,-,-
外观/防盗,感应后备厢,-,-,-,●,-,●,●,-,-,-,●,-,-,●,●,-,-
外观/防盗,电动后备厢位置记忆,-,-,●,●,●,●,●,-,-,●,●,-,●,●,●,-,-
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
