セクション,セクション_ja,項目,項目_ja,2026年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り スタイリッシュ,2026年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り スタイリッシュ,2026年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り ラグジュアリー,2026年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り プレミアム,2026年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 2WD 7人乗り ラグジュアリー,2026年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り プレミアム,2026年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り フラッグシップ,2025年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り スタイリッシュ,2025年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り スタイリッシュ,2025年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り ラグジュアリー,2025年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り プレミアム,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 2WD 7人乗り スタイリッシュ,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 2WD 7人乗り ラグジュアリー,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り プレミアム,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り STライン,2024年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り スタイリッシュ,2024年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り スタイリッシュ
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0T 252馬力 L4,2.0T 252馬力 L4,2.0T 252馬力 L4,2.0T 252馬力 L4,2.0T 275馬力 L4,2.0T 275馬力 L4,2.0T 275馬力 L4,2.0T 252馬力 L4,2.0T 252馬力 L4,2.0T 252馬力 L4,2.0T 252馬力 L4,2.0T 275馬力 L4,2.0T 275馬力 L4,2.0T 275馬力 L4,2.0T 275馬力 L4,2.0T 252馬力 L4,2.0T 252馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),-,-,-,-,190,190,190,-,-,-,-,190,190,190,190,-,-
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5000×1961×1773,5000×1961×1773,5000×1961×1773,5000×1961×1773,5000×1961×1773,5000×1961×1773,5000×1961×1773,5000×1961×1773,5000×1961×1773,5000×1961×1773,5000×1961×1773,5000×1961×1773,5000×1961×1773,5000×1961×1773,5000×1961×1773,5000×1961×1773,5000×1961×1773
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),8.44,8.91,8.44,8.91,6.43,6.82,6.82,8.44,8.91,8.44,8.91,6.31,6.43,6.82,6.82,8.44,8.91
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1949,2003,1949,2036,2011,2113,2113,1949,2003,1949,2036,2010,2011,2113,2113,1990,2030
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2530,2675,2530,2675,2660,2750,2750,2530,2675,2530,2675,2660,2660,2750,2750,2530,2675
车身,車体,长度(mm),全長(mm),5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
车身,車体,宽度(mm),全幅(mm),1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961
车身,車体,高度(mm),全高(mm),1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773
车身,車体,轴距(mm),ホイールベース(mm),2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950
车身,車体,前轮距(mm),前トレッド(mm),1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668
车身,車体,后轮距(mm),後トレッド(mm),1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668
车身,車体,接近角(°),アプローチアングル(°),21,21,21,21,19,19,19,21,21,21,21,19,19,19,19,21,21
车身,車体,离去角(°),デパーチャーアングル(°),22,22,22,22,21,21,21,22,22,22,22,21,21,21,21,22,22
车身,車体,最小转弯半径(m),最小回転半径(m),5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7
车身,車体,油箱容积(L),燃料タンク容量(L),75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
车身,車体,后备厢容积(L),トランク容量(L),309-2876,309-2876,309-2876,309-2876,309-2876,309-2876,309-969,309-2876,309-2876,309-2876,309-2876,309-2876,309-2876,309-2876,309-969,309-2876,309-2876
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQH0,CAF484WQH0,CAF484WQH0,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQH0,CAF484WQH0,CAF484WQH0,CAF484WQH0,CAF484WQC4,CAF484WQC4
发动机,エンジン,排量(mL),排気量(mL),1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,10.8,10.8,10.8,10.8,9.5,9.5,9.5,10.8,10.8,10.8,10.8,9.5,9.5,9.5,9.5,10.8,10.8
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),252,252,252,252,275,275,275,252,252,252,252,275,275,275,275,252,252
发动机,エンジン,最大功率(kW),最大出力(kW),185,185,185,185,202,202,202,185,185,185,185,202,202,202,202,185,185
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),378,378,378,378,405,405,405,378,378,378,378,405,405,405,405,378,378
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2000-4500,2000-4500,2000-4500,2000-4500,3000-4000,3000-4000,3000-4000,2000-4500,2000-4500,2000-4500,2000-4500,3000-4000,3000-4000,3000-4000,3000-4000,2000-4500,2000-4500
发动机,エンジン,最大净功率(kW),最大出力(kW),183,183,183,183,200,200,200,183,183,183,183,200,200,200,200,183,183
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电机类型,モーター種類,-,-,-,-,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,-,-,-,-,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,-,-
电动机,モーター,电动机总功率(kW),モーター総出力(kW),-,-,-,-,140,140,140,-,-,-,-,140,140,140,140,-,-
电动机,モーター,电动机总马力(Ps),モーター総出力(Ps),-,-,-,-,190,190,190,-,-,-,-,190,190,190,190,-,-
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),-,-,-,-,320,320,320,-,-,-,-,320,320,320,320,-,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,-,140,140,140,-,-,-,-,140,140,140,140,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,-,320,320,320,-,-,-,-,320,320,320,320,-,-
电动机,モーター,驱动电机数,駆動モーター数,-,-,-,-,単モーター,単モーター,単モーター,-,-,-,-,単モーター,単モーター,単モーター,単モーター,-,-
电动机,モーター,电机布局,モーター配置,-,-,-,-,前置,前置,前置,-,-,-,-,前置,前置,前置,前置,-,-
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証政策,-,-,-,-,● 8年または16万km（免責条項は公式に準ずる）,● 8年または16万km（免責条項は公式に準ずる）,● 8年または16万km（免責条項は公式に準ずる）,-,-,-,-,● 8年または16万km（免責条項は公式に準ずる）,● 8年または16万km（免責条項は公式に準ずる）,● 8年または16万km（免責条項は公式に準ずる）,● 8年または16万km（免責条項は公式に準ずる）,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,-,-,-,-,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,-,-,-,-,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,-,-
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,-,-,-,-,● BYD製,● BYD製,● BYD製,-,-,-,-,● BYD製,● BYD製,● BYD製,● BYD製,-,-
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,-,-,-,-,液冷式,液冷式,液冷式,-,-,-,-,液冷式,液冷式,液冷式,液冷式,-,-
变速箱,トランスミッション,简称,略称,8速AT,8速AT,8速AT,8速AT,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,8速AT,8速AT,8速AT,8速AT,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,8速AT,8速AT
变速箱,トランスミッション,挡位个数,段数,8,8,8,8,無段変速,無段変速,無段変速,8,8,8,8,無段変速,無段変速,無段変速,無段変速,8,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,自動変速機(AT),自動変速機(AT),自動変速機(AT),自動変速機(AT),電子制御無段変速機(E-CVT),電子制御無段変速機(E-CVT),電子制御無段変速機(E-CVT),自動変速機(AT),自動変速機(AT),自動変速機(AT),自動変速機(AT),電子制御無段変速機(E-CVT),電子制御無段変速機(E-CVT),電子制御無段変速機(E-CVT),電子制御無段変速機(E-CVT),自動変速機(AT),自動変速機(AT)
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置四輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置前輪駆動,● 前置四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,● 走行状況連動式四輪駆動,-,● 走行状況連動式四輪駆動,-,● 走行状況連動式四輪駆動,● 走行状況連動式四輪駆動,-,● 走行状況連動式四輪駆動,-,● 走行状況連動式四輪駆動,-,-,● 走行状況連動式四輪駆動,● 走行状況連動式四輪駆動,-,● 走行状況連動式四輪駆動
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,● 多板クラッチ,-,● 多板クラッチ,-,● 多板クラッチ,● 多板クラッチ,-,● 多板クラッチ,-,● 多板クラッチ,-,-,● 多板クラッチ,● 多板クラッチ,-,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ,● 255/50 R21タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ,● 255/50 R21タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ,● 255/50 R21タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ,● 255/50 R21タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● フルサイズではない,● フルサイズではない
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
