セクション,項目,钛3 2025款 501KM 后驱Pro版,钛3 2025款 501KM 后驱Max版,钛3 2025款 501KM 后驱Ultra版,钛3 2025款 501KM 四驱Max版,钛3 2025款 501KM 四驱Ultra版,钛3 2025款 改款 501KM 四驱无人机版
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步
电动机,电动机总功率(kW),160,160,160,310,310,310
电动机,电动机总马力(Ps),218,218,218,422,422,422
电动机,电动机总扭矩(N·m),310,310,310,510,510,510
电动机,前电动机最大功率(kW),-,-,-,110,110,110
电动机,前电动机最大扭矩(N·m),-,-,-,200,200,200
电动机,后电动机最大功率(kW),160,160,160,200,200,200
电动机,后电动机最大扭矩(N·m),310,310,310,310,310,310
电动机,驱动电机数,单电机,单电机,单电机,双电机,双电机,双电机
电动机,电机布局,后置,后置,后置,前置+后置,前置+后置,前置+后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,CLTC纯电续航里程(km),501,501,501,501,501,501
电池/充电,电池能量(kWh),65.28,65.28,65.28,72.96,72.96,72.96
电池/充电,百公里耗电量(kWh/100km),14.2,14.2,14.2,16.5,16.5,17.9
电池/充电,快充功能,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),195,195,195,215,215,215
电池/充电,高压快充,-,-,-,支持,支持,支持
电池/充电,高压平台（V）,400,400,400,800,800,800
电池/充电,电池快充时间(小时),0.3,0.3,0.3,0.3,0.3,0.3
电池/充电,电池慢充时间(小时),9.3,9.3,9.3,10.4,10.4,11.2
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 双电机四驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,-,-,-,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 245/50 R19,● 245/50 R19,● 245/50 R19
车轮制动,后轮胎规格,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 245/50 R19,● 245/50 R19,● 245/50 R19
车轮制动,备胎规格,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前排中间气囊,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,●,-,-,●
主动安全,DOW开门预警,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 越野 雪地
驾驶操控,能量回收系统,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
四驱/越野,蠕行模式,-,-,-,●,●,●
四驱/越野,坦克转弯,-,-,-,●,●,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 三目,● 三目,● 三目,● 三目,● 三目,● 三目
驾驶硬件,摄像头数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,车内摄像头数量,-,-,● 1个,-,-,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●
驾驶功能,地图品牌,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度
驾驶功能,并线辅助,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●,●
驾驶功能,辅助变道,●,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动前备厢,-,-,●,-,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,隐藏电动门把手,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,可开启全景天窗 不可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,后排侧隐私玻璃,-,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 12.8英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 天窗 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 天窗 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 天窗 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 座椅加热 座椅通风
屏幕/系统,语音助手唤醒词,● 你好，小方,● 你好，小方,● 你好，小方,● 你好，小方,● 你好，小方,● 你好，小方
屏幕/系统,语音免唤醒词,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●
屏幕/系统,DeepSeek应用,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入
屏幕/系统,应用商店,●,●,●,●,●,●
屏幕/系统,车载智能系统,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink
屏幕/系统,车机系统内存(GB),● 12,● 12,● 12,● 12,● 12,● 12
屏幕/系统,车机系统存储(GB),● 256,● 256,● 256,● 256,● 256,● 256
智能化配置,车联网,●,●,●,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车
智能化配置,车载KTV,-,-,●,-,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,-,●
方向盘/内后视镜,HUD抬头尺寸,-,-,-,-,-,● 12英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,●,●,●,●,●,●
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,220V/230V电源,-,-,-,-,-,●
车内充电,手机无线充电功能,-,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,-,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风 头枕扬声器(仅驾驶位)
座椅配置,电动座椅记忆功能,-,-,-,-,-,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,● DEVIALET帝瓦雷,-,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷
音响/车内灯光,扬声器数量,● 8喇叭,● 8喇叭,● 14喇叭,● 8喇叭,● 14喇叭,● 16喇叭
音响/车内灯光,车内环境氛围灯,-,● 多色,● 多色,● 多色,● 多色,● 多色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,●,●,●,●,●,●
空调/冰箱,后排独立空调,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,○
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,-,-,-,○
空调/冰箱,空气质量监测,-,-,-,-,-,●
空调/冰箱,车载冰箱,-,-,●,-,●,●
颜色,外观颜色,星月银 元素白 矿石绿 曜石黑 冰晶蓝 微光粉 ￥3000,星月银 元素白 矿石绿 曜石黑 冰晶蓝 微光粉 ￥3000,星月银 元素白 矿石绿 曜石黑 冰晶蓝 微光粉 ￥3000,星月银 元素白 矿石绿 曜石黑 冰晶蓝 微光粉 ￥3000,星月银 元素白 矿石绿 曜石黑 冰晶蓝 微光粉 ￥3000,星月银 元素白 矿石绿 曜石黑 冰晶蓝 微光粉 ￥3000
颜色,内饰颜色,深空黑 星云灰,深空黑 星云灰,深空黑 星云灰,深空黑 星云灰,深空黑 星云灰,深空黑 星云灰
选装包,无人机套装,-,-,-,-,-,○ 包含：1、灵鸢 比亚迪智能车载无人机系统包含一年大疆“DJI Care 随心换 车载无人机版”（968元）、智能机库(含4K高清超广角车顶摄像头)*1、DJI AIR 3S 定制车载无人机*1、定制双模式手柄*1；无人机套装选择后，后续用车无法拆除，可开全景天窗变为不可开天幕（带遮阳帘）；买车时不选择无人机套装则后续无法加装。 2、直流充电最大功率237kW包括：智能升流快充技术、全场景智能脉冲自加热、智能末端快充技术以及最大直流充电功率237kW。 选配 (16968元)
