セクション,項目,捷豹XEL 2025款 2.0T 250PS R-DYNAMIC 90周年典藏版,捷豹XEL 2024款 2.0T 250PS R-DYNAMIC S进取运动版,捷豹XEL 2024款 2.0T 250PS R-DYNAMIC S耀黑运动版
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车
外观/防盗,主动闭合式进气格栅,●,●,●
外观/防盗,远程启动功能,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED
车外灯光,灯光特色功能,-,○ 矩阵式 (7200元),○ 矩阵式 (7200元)
车外灯光,LED日间行车灯,●,●,●
车外灯光,自适应远近光,●,●,●
车外灯光,自动头灯,●,●,●
车外灯光,车前雾灯,-,-,-
车外灯光,大灯高度可调,●,●,●
车外灯光,大灯延时关闭,●,●,●
天窗/玻璃,天窗类型,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10.2英寸,● 10.2英寸,● 10.2英寸
屏幕/系统,中控下屏幕尺寸,● 5.5英寸,● 5.5英寸,● 5.5英寸
屏幕/系统,蓝牙/车载电话,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话
屏幕/系统,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域
屏幕/系统,车载智能系统,● InControl智能驭领,● InControl智能驭领,● InControl智能驭领
智能化配置,车联网,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G
智能化配置,OTA升级,-,-,-
智能化配置,Wi-Fi热点,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●
方向盘/内后视镜,方向盘加热,-,○,-
方向盘/内后视镜,方向盘记忆,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,-,○,-
方向盘/内后视镜,内后视镜功能,● 自动防眩目,自动防眩目 流媒体,● 自动防眩目
方向盘/内后视镜,ETC装置,○,○,○
车内充电,多媒体/充电接口,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排2个,● 前排2个,● 前排2个
车内充电,手机无线充电功能,● 前排,● 前排,● 前排
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮
座椅配置,运动风格座椅,●,●,●
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,○ 加热,-
座椅配置,电动座椅记忆功能,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-
座椅配置,第二排座椅调节,-,-,-
座椅配置,第二排座椅功能,-,○ 加热,-
座椅配置,后排座椅放倒形式,-,-,-
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●
音响/车内灯光,扬声器品牌名称,● Meridian英国之宝,○ Meridian英国之宝,● Meridian英国之宝
音响/车内灯光,扬声器数量,● 12喇叭,6喇叭 12喇叭 17喇叭,12喇叭 17喇叭
音响/车内灯光,触摸式阅读灯,●,●,●
音响/车内灯光,车内环境氛围灯,● 10色,● 10色,● 10色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-
空调/冰箱,后座出风口,●,●,●
空调/冰箱,温度分区控制,●,●,●
空调/冰箱,车载空气净化器,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●
空调/冰箱,负离子发生器,●,●,●
颜色,外观颜色,富士白 圣托里尼黑 英国赛车绿 首尔珍珠银,富士白 圣托里尼黑 火焰蓝 英国赛车绿 首尔珍珠银,富士白 圣托里尼黑 英国赛车绿 首尔珍珠银
颜色,内饰颜色,黑檀木 黑色/火星红 黑色/锡耶纳棕,黑檀木 黑色/火星红 黑色/锡耶纳棕,黑檀木 黑色/火星红 黑色/锡耶纳棕
选装包,冬季加热包,-,○ 包含：前排座椅加热功能、后排座椅加热功能、方向盘加热功能 选配 (暂无价格),-
选装包,智能科技包,-,○ 包含：高清超广角流媒体后视镜、高清全彩抬头显示系统 选配 (暂无价格),-
