セクション,項目,捷达VA3 2025款 改款 1.5L 手动全过版,捷达VA3 2025款 改款 1.5L 自动全过版,捷达VA3 2025款 改款 1.5L 手动进取版,捷达VA3 2025款 改款 1.5L 自动进取版,捷达VA3 2025款 改款 1.5L 手动悦享版,捷达VA3 2025款 改款 1.5L 自动悦享版,捷达VA3 2025款 改款 1.5L 自动荣耀版,捷达VA3 2025款 1.5L 手动全过版,捷达VA3 2025款 1.5L 自动全过版,捷达VA3 2025款 1.5L 手动进取版,捷达VA3 2025款 1.5L 自动进取版,捷达VA3 2025款 1.5L 手动悦享版,捷达VA3 2025款 1.5L 自动悦享版,捷达VA3 2025款 1.5L 自动荣耀版
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),112,112,112,112,112,112,112,112,112,112,112,112,112,112
发动机,最大功率(kW),82,82,82,82,82,82,82,82,82,82,82,82,82,82
发动机,最大功率转速(rpm),6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100
发动机,最大扭矩(N·m),145,145,145,145,145,145,145,145,145,145,145,145,145,145
发动机,最大扭矩转速(rpm),4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
发动机,最大净功率(kW),82,82,82,82,82,82,82,82,82,82,82,82,82,82
发动机,发动机特有技术,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,5挡手动,6挡自动,5挡手动,6挡自动,5挡手动,6挡自动,6挡自动,5挡手动,6挡自动,5挡手动,6挡自动,5挡手动,6挡自动,6挡自动
变速箱,挡位个数,5,6,5,6,5,6,6,5,6,5,6,5,6,6
变速箱,变速箱类型,手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 盘式,● 盘式,● 盘式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹
车轮制动,前轮胎规格,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 185/60 R15,● 185/60 R15,● 185/60 R15,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 185/60 R15,● 185/60 R15,● 185/60 R15
车轮制动,后轮胎规格,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 185/60 R15,● 185/60 R15,● 185/60 R15,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 175/70 R14,● 185/60 R15,● 185/60 R15,● 185/60 R15
车轮制动,备胎规格,-,-,"● 补胎工具
○ 非全尺寸 (200元)","● 补胎工具
○ 非全尺寸 (200元)","● 补胎工具
○ 非全尺寸 (200元)","● 补胎工具
○ 非全尺寸 (200元)","● 补胎工具
○ 非全尺寸 (200元)",-,-,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,-,-,-,-,前 ● / 后-,前 ● / 后-,前 ● / 后-,-,-,-,-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),-,-,-,-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-,-,-,-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,驾驶模式切换,-,-,-,-,-,● 运动,● 运动,-,-,-,-,-,● 运动,● 运动
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,-,-,-,-,前- / 后 ●,前- / 后 ●,前- / 后 ●,-,-,-,-,前- / 后 ●,前- / 后 ●,前- / 后 ●
驾驶硬件,驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,超声波雷达数量,-,-,-,-,● 3个,● 3个,● 3个,-,-,-,-,● 3个,● 3个,● 3个
驾驶功能,巡航系统,-,-,-,-,● 定速巡航,● 定速巡航,● 定速巡航,-,-,-,-,● 定速巡航,● 定速巡航,● 定速巡航
驾驶功能,卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 钢,● 钢,● 钢,● 钢,● 铝合金,● 铝合金,● 铝合金,● 钢,● 钢,● 钢,● 钢,● 铝合金,● 铝合金,● 铝合金
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,近光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,远光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,LED日间行车灯,-,-,-,-,-,-,●,-,-,-,-,-,-,●
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,-,-,-,-,-,-,●,-,-,-,-,-,-,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,-,-,-,-,-,-,●,-,-,-,-,-,-,●
天窗/玻璃,天窗类型,-,-,-,-,● 电动天窗,● 电动天窗,● 电动天窗,-,-,-,-,● 电动天窗,● 电动天窗,● 电动天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,● 雨量感应式,-,-,-,-,-,-,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热"
屏幕/系统,中控彩色屏幕,-,-,-,-,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,-,-,-,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,-,-,-,-,● 8英寸,● 8英寸,● 8英寸,-,-,-,-,● 8英寸,● 8英寸,● 8英寸
屏幕/系统,蓝牙/车载电话,-,-,-,-,●,●,●,-,-,-,-,●,●,●
屏幕/系统,手机互联/映射,-,-,-,-,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,-,-,-,-,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
屏幕/系统,语音识别控制系统,-,-,-,-,●,●,●,-,-,-,-,●,●,●
屏幕/系统,语音分区域唤醒识别,-,-,-,-,● 单区域,● 单区域,● 单区域,-,-,-,-,● 单区域,● 单区域,● 单区域
智能化配置,车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 皮质,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,-,-,-,-,-,-,●,-,-,-,-,-,-,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,-,-,-,-,● 单色,● 单色,● 单色,-,-,-,-,● 单色,● 单色,● 单色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○,○,○,○,○,○,○
车内充电,多媒体/充电接口,-,-,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,-,-,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 织物,● 织物,● 织物,● 织物,● 皮/织物混搭,● 皮/织物混搭,● 仿皮,● 织物,● 织物,● 织物,● 织物,● 皮/织物混搭,● 皮/织物混搭,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,前排座椅功能,-,-,-,-,-,-,● 加热,-,-,-,-,-,-,● 加热
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,前/后中央扶手,-,-,-,-,前 ● / 后-,前 ● / 后-,前 ● / 后 ●,-,-,-,-,前 ● / 后-,前 ● / 后-,前 ● / 后 ●
座椅配置,后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,-,-,● 2喇叭,● 2喇叭,● 4喇叭,● 4喇叭,● 4喇叭,-,-,● 2喇叭,● 2喇叭,● 4喇叭,● 4喇叭,● 4喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 自动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–
