セクション,項目,奥迪A3 2026款 Sportback 35TFSI 飞驰悦享型,奥迪A3 2026款 Sportback 35TFSI 飞驰尊享型,奥迪A3 2026款 Sportback 35TFSI 飞驰尊享型 +豪华臻选包,奥迪A3 2026款 Sportback 35TFSI 飞驰尊享型 +豪华臻选包(南方版),奥迪A3 2026款 A3L Limousine 35TFSI 飞驰悦享型,奥迪A3 2026款 A3L Limousine 35TFSI 飞驰尊享型,奥迪A3 2026款 A3L Limousine 35TFSI 飞驰尊享型 +豪华臻选包,奥迪A3 2026款 A3L Limousine 35TFSI 飞驰尊享型 +豪华臻选包(南方版),奥迪A3 2025款 Sportback 35TFSI 飞驰悦享型,奥迪A3 2025款 Sportback 35TFSI 飞驰尊享型,奥迪A3 2025款 Sportback 35TFSI 飞驰尊享型 +豪华臻选包,奥迪A3 2025款 A3L Limousine 35TFSI 飞驰悦享型,奥迪A3 2025款 A3L Limousine 35TFSI 飞驰尊享型,奥迪A3 2025款 A3L Limousine 35TFSI 飞驰尊享型 +豪华臻选包
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,225/45 R17 225/40 R18 (2000元),● 225/40 R18,● 225/40 R18,● 225/40 R18,225/45 R17 225/40 R18 (2000元),● 225/40 R18,● 225/40 R18,● 225/40 R18,225/45 R17 225/40 R18 (2000元),● 225/40 R18,● 225/40 R18,225/45 R17 225/40 R18 (2000元),● 225/40 R18,● 225/40 R18
车轮制动,后轮胎规格,225/45 R17 225/40 R18,● 225/40 R18,● 225/40 R18,● 225/40 R18,225/45 R17 225/40 R18,● 225/40 R18,● 225/40 R18,● 225/40 R18,225/45 R17 225/40 R18,● 225/40 R18,● 225/40 R18,225/45 R17 225/40 R18,● 225/40 R18,● 225/40 R18
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前排中间气囊,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,-,●,●,●,-,●,●,-,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,-,-,-,-,-,-,-,-,○,●,●,-,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,运动 经济 标准/舒适 自定义/个性化,运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,运动 经济 标准/舒适 自定义/个性化,运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,运动 经济 标准/舒适 自定义/个性化,运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,运动 经济 标准/舒适 自定义/个性化,运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 / 后 (1500元),● 前 / 后,● 前 / 后,● 前 / 后,前 / 后 (1500元),● 前 / 后,● 前 / 后,● 前 / 后,前 / 后,● 前 / 后,● 前 / 后,前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,倒车影像 360度全景影像 (6000元),倒车影像 360度全景影像 (6000元),倒车影像 360度全景影像 (6000元),倒车影像 360度全景影像 (6000元),倒车影像 360度全景影像 (6000元),倒车影像 360度全景影像 (6000元),倒车影像 360度全景影像 (6000元),倒车影像 360度全景影像 (6000元),○ 倒车影像 (2500元),● 倒车影像,倒车影像 360度全景影像,○ 倒车影像 (2500元),● 倒车影像,倒车影像 360度全景影像
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,● 单目,-,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,1个 4个,2个 5个,2个 5个,2个 5个,1个 4个,2个 5个,2个 5个,2个 5个,1个 2个,● 2个,2个 5个,1个 2个,● 2个,2个 5个
驾驶硬件,超声波雷达数量,4个 12个,8个 12个,● 12个,● 12个,4个 12个,8个 12个,● 12个,● 12个,4个 12个,8个 12个,● 12个,4个 12个,8个 12个,● 12个
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,倒车车侧预警系统,○,○,●,●,○,○,●,●,○,○,●,-,○,●
驾驶功能,卫星导航系统,○ (6500元),○ (6500元),○ (6500元),○ (6500元),○ (6500元),○ (6500元),○ (6500元),○ (6500元),○ (6500元),○ (6500元),○ (6500元),○ (6500元),○ (6500元),○ (6500元)
驾驶功能,导航路况信息显示,○,○,○,○,○,○,○,○,○,○,○,○,○,○
驾驶功能,并线辅助,○ (1600元),○ (1600元),●,●,○ (1600元),○ (1600元),●,●,○ (1600元),●,●,-,●,●
驾驶功能,车道保持辅助系统,-,●,●,●,-,●,●,●,-,-,-,-,-,-
驾驶功能,辅助泊车入位,○ (4500元),○ (3000元),●,●,○ (4500元),○ (3000元),●,●,○ (4500元),○ (3000元),●,○ (4500元),○ (3000元),●
驾驶功能,遥控泊车,○ (5300元),○ (3800元),○ (800元),○ (800元),○ (5300元),○ (3800元),○ (800元),○ (800元),-,-,-,-,-,-
外观/防盗,外观套件,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,-,-,-,-,●,●,●,-,-,-
外观/防盗,感应后备厢,○ (2000元),○ (2000元),●,●,○ (2000元),○ (2000元),●,●,○ (2000元),○ (2000元),●,○ (2000元),○ (2000元),●
外观/防盗,电动后备厢位置记忆,●,●,●,●,-,-,-,-,●,●,●,-,-,-
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,○ 全车 (2000元),● 全车,● 全车,● 全车,○ 全车 (2000元),● 全车,● 全车,● 全车,○ 全车 (2000元),○ 全车 (2000元),● 全车,○ 全车 (2000元),○ 全车 (2000元),● 全车
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 电动天窗,● 电动天窗,● 电动天窗,-,● 电动天窗,● 电动天窗,● 电动天窗,-,● 电动天窗,● 电动天窗,-,● 电动天窗,● 电动天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,-,-,-,-,●,●,●,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 (500元) 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 (500元) 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 (500元) 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 (500元) 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 (500元) 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 (500元) 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
屏幕/系统,语音识别控制系统,多媒体系统 导航 电话 空调,多媒体系统 导航 电话 空调,多媒体系统 导航 电话 空调,多媒体系统 导航 电话 空调,多媒体系统 导航 电话 空调,多媒体系统 导航 电话 空调,多媒体系统 导航 电话 空调,多媒体系统 导航 电话 空调,多媒体系统 导航 电话 空调,多媒体系统 导航 电话 空调,多媒体系统 导航 电话 空调,多媒体系统 导航 电话 空调,多媒体系统 导航 电话 空调,多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,● 嘿，奥迪,● 嘿，奥迪,● 嘿，奥迪,● 嘿，奥迪,● 嘿，奥迪,● 嘿，奥迪,● 嘿，奥迪,● 嘿，奥迪,● 嘿，奥迪,● 嘿，奥迪,● 嘿，奥迪,● 嘿，奥迪,● 嘿，奥迪,● 嘿，奥迪
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●,●,●,●,●,●
