セクション,項目,伊兰特 2023款 1.5L CVT GLS领先版,伊兰特 2023款 1.5L CVT GLX精英版,伊兰特 2023款 1.5L CVT LUX尊贵版,伊兰特 2023款 1.5L CVT TOP旗舰版,伊兰特 2023款 240TGDi DCT N Line GLX精英版,伊兰特 2023款 240TGDi DCT N Line LUX尊贵版,伊兰特 2023款 240TGDi DCT N Line TOP旗舰版
发动机,最大马力(Ps),115,115,115,115,140,140,140
发动机,最大功率(kW),84.5,84.5,84.5,84.5,103,103,103
发动机,最大功率转速(rpm),6300,6300,6300,6300,6000,6000,6000
发动机,最大扭矩(N·m),143.9,143.9,143.9,143.9,211,211,211
发动机,最大扭矩转速(rpm),4500,4500,4500,4500,1400-4300,1400-4300,1400-4300
发动机,最大净功率(kW),84.5,84.5,84.5,84.5,103,103,103
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,7挡干式双离合,7挡干式双离合,7挡干式双离合
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,7,7,7
变速箱,变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 205/55 R16,● 225/45 R17,● 225/45 R17,● 225/45 R17,● 225/45 R17,● 225/40 R18,● 225/40 R18
车轮制动,后轮胎规格,● 205/55 R16,● 225/45 R17,● 225/45 R17,● 225/45 R17,● 225/45 R17,● 225/40 R18,● 225/40 R18
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
主动安全,ABS防抱死,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,●,●,●,●,●
主动安全,主动刹车/主动安全系统,-,-,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,●,●,●,●,●
主动安全,DOW开门预警,-,-,-,●,-,-,●
主动安全,前方碰撞预警,-,-,●,●,●,●,●
主动安全,后方碰撞预警,-,-,-,●,-,-,●
主动安全,道路救援呼叫,-,○,●,●,○,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适
驾驶操控,发动机启停技术,○ (1500元),○ (1500元),○ (1500元),○ (1500元),●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,-,● 前 / 后,● 前 / 后,● 前 / 后,-,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像 车侧盲区影像,● 倒车影像,● 倒车影像,● 360度全景影像 车侧盲区影像
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,-,● Hyundai Smart Sense,● Hyundai Smart Sense,-,● Hyundai Smart Sense,● Hyundai Smart Sense
驾驶功能,辅助驾驶等级,-,-,● L2,● L2,-,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,-,●,-,-,●
驾驶功能,卫星导航系统,-,○,●,●,○,●,●
驾驶功能,导航路况信息显示,-,○,●,●,○,●,●
驾驶功能,地图品牌,-,○ 百度,● 百度,● 百度,○ 百度,● 百度,● 百度
驾驶功能,并线辅助,-,-,-,●,-,-,●
驾驶功能,车道保持辅助系统,-,-,●,●,●,●,●
驾驶功能,车道居中保持,-,-,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-
驾驶功能,起步提醒,-,-,●,●,●,●,●
外观/防盗,外观套件,-,-,-,-,● 运动风格,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,感应后备厢,-,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,-,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
外观/防盗,远程启动功能,-,○,●,●,○,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 驾驶位,● 驾驶位,● 全车,● 全车,● 驾驶位,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶
天窗/玻璃,后雨刷,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 8英寸,8英寸 10.25英寸,● 10.25英寸,● 10.25英寸,8英寸 10.25英寸,● 10.25英寸,● 10.25英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife
屏幕/系统,语音识别控制系统,-,○ 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,○ 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音分区域唤醒识别,-,○ 单区域,● 单区域,● 单区域,○ 单区域,● 单区域,● 单区域
屏幕/系统,语音连续识别,-,○,●,●,○,●,●
屏幕/系统,车载智能系统,-,○ Bluelink,● Bluelink,● Bluelink,○ Bluelink,● Bluelink,● Bluelink
智能化配置,车联网,-,○,●,●,○,●,●
智能化配置,4G/5G网络,-,○ 4G,● 4G,● 4G,○ 4G,● 4G,● 4G
智能化配置,OTA升级,-,○,●,●,○,●,●
智能化配置,手机APP远程功能,-,○ 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断,○ 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断
方向盘/内后视镜,方向盘材质,● 塑料,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,-,-,●,●,●
方向盘/内后视镜,方向盘加热,-,○,●,●,○,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 单色,● 单色,● 单色,● 彩色,● 单色,● 单色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,●,-,-,●
方向盘/内后视镜,液晶仪表尺寸,● 4.2英寸,4.2英寸 10.25英寸,● 10.25英寸,● 10.25英寸,4.2英寸 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元)
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排1个/后排1个,前排1个/后排1个 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,前排1个/后排1个 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个
车内充电,手机无线充电功能,-,-,● 前排,● 前排,-,● 前排,● 前排
座椅配置,座椅材质,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,-,● 主 / 副-,● 主 / 副-,-,● 主 / 副-,● 主 / 副-
座椅配置,前排座椅功能,-,○ 加热,● 加热,● 加热,○ 加热,● 加热,● 加热
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-
座椅配置,第二排座椅功能,-,-,-,● 加热,-,-,● 加热
座椅配置,后排座椅放倒形式,-,-,-,● 比例放倒,-,-,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后-,● 前 / 后-,● 前 / 后
座椅配置,后排杯架,-,-,-,●,-,-,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,● 64色,-,-,● 64色
空调/冰箱,空调温度控制方式,● 手动空调,手动空调 自动空调,● 自动空调,● 自动空调,手动空调 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,○,●,●,○,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●
颜色,外观颜色,极地白 幻影黑 烈焰红 冰海蓝 镭射蓝 亚马逊灰,极地白 幻影黑 烈焰红 冰海蓝 镭射蓝 亚马逊灰,极地白 幻影黑 烈焰红 冰海蓝 黑色/烈焰红 黑色/极地白 黑色/冰海蓝 镭射蓝 亚马逊灰 黑色/镭射蓝 黑色/亚马逊灰,极地白 幻影黑 烈焰红 冰海蓝 黑色/烈焰红 黑色/极地白 黑色/冰海蓝 镭射蓝 亚马逊灰 黑色/镭射蓝 黑色/亚马逊灰,极地白 幻影黑 钛金灰 ￥2000 烈焰红 冰海蓝 镭射蓝 亚马逊灰,极地白 幻影黑 钛金灰 ￥2000 烈焰红 冰海蓝 黑色/烈焰红 黑色/极地白 黑色/冰海蓝 镭射蓝 亚马逊灰 黑色/镭射蓝 黑色/亚马逊灰,极地白 幻影黑 钛金灰 ￥2000 烈焰红 冰海蓝 黑色/烈焰红 黑色/极地白 黑色/冰海蓝 镭射蓝 亚马逊灰 黑色/镭射蓝 黑色/亚马逊灰
颜色,内饰颜色,黑色/灰色 黑色 灰绿色,黑色/灰色 黑色,黑色/灰色 黑色 灰绿色,黑色/灰色 黑色 灰绿色,黑色,黑色,黑色
