セクション,セクション_ja,項目,項目_ja,2025年モデル 超長距離後輪駆動版,2025年モデル 超長距離4WD Pro版,2025年モデル 超長距離高性能4WD Max版
驾驶硬件,運転ハードウェア,激光雷达品牌,LiDARブランド,● HESAI禾赛テクノロジー,● HESAI禾赛テクノロジー,● HESAI禾赛テクノロジー
驾驶硬件,運転ハードウェア,激光雷达型号,LiDAR型式,● AT128,● AT128,● AT128
驾驶硬件,運転ハードウェア,激光雷达数量,LiDAR台数,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,激光雷达线数,LiDARレーザーライン数,● 128ライン,● 128ライン,● 128ライン
驾驶硬件,運転ハードウェア,激光雷达10%反射率探测距离,LiDAR10%反射率検出距離,● 200メートル,● 200メートル,● 200メートル
驾驶硬件,運転ハードウェア,激光雷达点云数量,LiDAR点群数,● 153万/秒,● 153万/秒,● 153万/秒
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Xiaomi HAD,● Xiaomi HAD,● Xiaomi HAD
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L2,● L2,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ路況情報表示,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,高精定位,高精度位置測定,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,○,○,○
驾驶功能,運転機能,循迹倒车,トレースバック駐車,○,○,○
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,○,○,○
驾驶功能,運転機能,信号灯识别,信号機認識,○,○,○
驾驶功能,運転機能,远程召唤,リモート呼び出し,○,○,○
驾驶功能,運転機能,方向盘离手检测,ハンドル離脱検知,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援区間,"○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間"
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,○ スポーツスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,-,-,● 全車
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドアデザイン,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●
外观/防盗,エクステリア・盗難防止,电动前备厢,電動フロントトランク,○ （2000元）,○ （2000元）,○ （2000元）
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"○ リモコンキー
● Bluetoothキー
● NFC/RFIDキー
● UWBデジタルキー
● スマートウォッチ/リストバンドキー","○ リモコンキー
● Bluetoothキー
● NFC/RFIDキー
● UWBデジタルキー
● スマートウォッチ/リストバンドキー","○ リモコンキー
● Bluetoothキー
● NFC/RFIDキー
● UWBデジタルキー
● スマートウォッチ/リストバンドキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,● マトリクス式,● マトリクス式,● マトリクス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,光感天幕,光感サンルーフ,-,-,●
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップ／ダウン機能,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席"
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 16.1インチ,● 16.1インチ,● 16.1インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 3K解像度,● 3K解像度,● 3K解像度
屏幕/系统,ディスプレイ・システム,中控屏幕像素密度,センターコンソール画面ピクセル密度,● 225PPI,● 225PPI,● 225PPI
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● 純正連携/ミラーリング
● Carlink対応","● CarPlay対応
● 純正連携/ミラーリング
● Carlink対応","● CarPlay対応
● 純正連携/ミラーリング
● Carlink対応"
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● Xiao Ai（シャオアイ）,● Xiao Ai（シャオアイ）,● Xiao Ai（シャオアイ）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 5ゾーン,● 5ゾーン,● 5ゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●
屏幕/系统,ディスプレイ・システム,手势控制,ジェスチャー操作,○,○,○
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,●,●,●
屏幕/系统,ディスプレイ・システム,声纹识别,声紋認証,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● 澎湃OS,● 澎湃OS,● 澎湃OS
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8 Gen3,● Qualcomm Snapdragon 8 Gen3,● Qualcomm Snapdragon 8 Gen3
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後席液晶画面,●,●,●
屏幕/系统,ディスプレイ・システム,后排液晶屏幕尺寸,後席液晶画面サイズ,● 6.68インチ,● 6.68インチ,● 6.68インチ
屏幕/系统,ディスプレイ・システム,后排多媒体屏幕数量,後席マルチメディア画面数,● 1個,● 1個,● 1個
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後席マルチメディア操作,●,●,●
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 5G対応,● 5G対応,● 5G対応
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）"
智能化配置,スマート機能装備,主动降噪,アクティブノイズキャンセリング,○,○,●
智能化配置,スマート機能装備,模拟声浪,エンジンサウンドシミュレーション,○,○,●
智能化配置,スマート機能装備,车载KTV,車載カラオケ機能,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,"● 本革
○ カーボンファイバー/スエード（6000元）"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,全景平视显示系统,パノラマヘッドアップディスプレイシステム,● 標準装備,● 標準装備,● 標準装備
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 67W,● 67W,● 67W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 80W,● 80W,● 80W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ポート,●,●,●
座椅配置,シート装備,座椅材质,シート素材,"○ 本革（8000元）
● 合成皮革","○ 本革（8000元）
● 合成皮革","○ 本革（8000元）
● 合成皮革"
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ 高さ調整（4方向）
○ レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ 高さ調整（4方向）
○ レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ 高さ調整（4方向）
○ レッグレスト調整"
