セクション,項目,小米YU7 2025款 超长续航后驱版,小米YU7 2025款 超长续航四驱Pro版,小米YU7 2025款 超长续航高性能四驱Max版
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,245/55 R19 245/45 R21 (1.20万元) 245/50 R20 (6000元),245/55 R19 245/45 R21 (1.20万元) 245/50 R20 (6000元),245/55 R19 245/45 R21 (1.20万元) 245/50 R20 (6000元)
车轮制动,后轮胎规格,245/55 R19 245/50 R20 275/40 R21,245/55 R19 245/50 R20 275/40 R21,245/55 R19 245/50 R20 275/40 R21
车轮制动,备胎规格,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前排中间气囊,●,●,●
主动安全,ABS防抱死,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●
主动安全,车道偏离预警系统,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●
主动安全,疲劳驾驶提示,●,●,●
主动安全,DOW开门预警,●,●,●
主动安全,前方碰撞预警,●,●,●
主动安全,后方碰撞预警,●,●,●
主动安全,哨兵模式/千里眼,●,●,●
主动安全,低速行车警告,●,●,●
主动安全,内置行车记录仪,●,●,●
主动安全,道路救援呼叫,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 越野 雪地
驾驶操控,能量回收系统,●,●,●
驾驶操控,自动驻车,●,●,●
驾驶操控,上坡辅助,●,●,●
驾驶操控,陡坡缓降,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节 悬架高低调节,● 悬架软硬调节 悬架高低调节
驾驶操控,空气悬架,-,●,●
驾驶操控,魔毯智能悬架,●,●,●
驾驶操控,可变转向比,●,●,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像 车侧盲区影像,● 360度全景影像 车侧盲区影像,● 360度全景影像 车侧盲区影像
驾驶硬件,透明底盘/540度影像,●,●,●
驾驶硬件,辅助驾驶芯片,● 英伟达 Drive AGX Thor,● 英伟达 Drive AGX Thor,● 英伟达 Drive AGX Thor
驾驶硬件,芯片总算力,● 700 TOPS,● 700 TOPS,● 700 TOPS
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 11个,● 11个,● 11个
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万
驾驶硬件,环境感知摄像头像素,● 300万,● 300万,● 300万
驾驶硬件,环视摄像头像素,● 300万,● 300万,● 300万
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 1个,● 1个,● 1个
驾驶硬件,激光雷达品牌,● HESAI禾赛科技,● HESAI禾赛科技,● HESAI禾赛科技
驾驶硬件,激光雷达型号,● AT128,● AT128,● AT128
驾驶硬件,激光雷达数量,● 1个,● 1个,● 1个
驾驶硬件,激光雷达线数,● 128线,● 128线,● 128线
驾驶硬件,激光雷达10%反射率探测距离,● 200米,● 200米,● 200米
驾驶硬件,激光雷达点云数量,● 153万/秒,● 153万/秒,● 153万/秒
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Xiaomi HAD,● Xiaomi HAD,● Xiaomi HAD
驾驶功能,辅助驾驶等级,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●
驾驶功能,卫星导航系统,●,●,●
驾驶功能,导航路况信息显示,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德
驾驶功能,高精定位,●,●,●
驾驶功能,并线辅助,●,●,●
驾驶功能,车道保持辅助系统,●,●,●
驾驶功能,车道居中保持,●,●,●
驾驶功能,道路交通标识识别,●,●,●
驾驶功能,辅助泊车入位,●,●,●
驾驶功能,遥控泊车,●,●,●
驾驶功能,记忆泊车,○,○,○
驾驶功能,循迹倒车,○,○,○
驾驶功能,辅助变道,●,●,●
驾驶功能,辅助匝道自动驶出(入),○,○,○
驾驶功能,信号灯识别,○,○,○
驾驶功能,远程召唤,○,○,○
驾驶功能,方向盘离手检测,●,●,●
驾驶功能,起步提醒,●,●,●
驾驶功能,辅助驾驶路段,○ 城市路段 高速路段,○ 城市路段 高速路段,○ 城市路段 高速路段
外观/防盗,外观套件,-,-,○ 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,-,-,● 全车
外观/防盗,无框设计车门,●,●,●
外观/防盗,电动后备厢,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●
外观/防盗,电动前备厢,○ (2000元),○ (2000元),○ (2000元)
外观/防盗,车内中控锁,●,●,●
外观/防盗,钥匙类型,遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙 智能手表/手环钥匙,遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙 智能手表/手环钥匙,遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙 智能手表/手环钥匙
外观/防盗,无钥匙启动系统,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车
外观/防盗,隐藏电动门把手,●,●,●
外观/防盗,主动闭合式进气格栅,●,●,●
外观/防盗,远程启动功能,●,●,●
外观/防盗,电池预加热,●,●,●
外观/防盗,对外放电,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED
车外灯光,灯光特色功能,● 矩阵式,● 矩阵式,● 矩阵式
车外灯光,LED日间行车灯,●,●,●
车外灯光,自适应远近光,●,●,●
车外灯光,自动头灯,●,●,●
车外灯光,车前雾灯,-,-,-
车外灯光,大灯高度可调,●,●,●
车外灯光,大灯延时关闭,●,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,光感天幕,-,-,●
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排 后排,● 前排 后排,● 前排 后排
天窗/玻璃,后排侧隐私玻璃,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 16.1英寸,● 16.1英寸,● 16.1英寸
屏幕/系统,中控屏幕分辨率,● 3K,● 3K,● 3K
屏幕/系统,中控屏幕像素密度,● 225PPI,● 225PPI,● 225PPI
屏幕/系统,蓝牙/车载电话,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 原厂互联/映射 支持Carlink,● 支持CarPlay 原厂互联/映射 支持Carlink,● 支持CarPlay 原厂互联/映射 支持Carlink
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风
屏幕/系统,语音助手唤醒词,● 小爱同学,● 小爱同学,● 小爱同学
屏幕/系统,语音免唤醒词,●,●,●
屏幕/系统,语音分区域唤醒识别,● 五区域,● 五区域,● 五区域
屏幕/系统,语音连续识别,●,●,●
屏幕/系统,可见即可说,●,●,●
屏幕/系统,手势控制,○,○,○
屏幕/系统,面部识别,●,●,●
屏幕/系统,声纹识别,●,●,●
屏幕/系统,应用商店,●,●,●
屏幕/系统,车载智能系统,● 澎湃OS,● 澎湃OS,● 澎湃OS
屏幕/系统,车机智能芯片,● 高通骁龙8 Gen3,● 高通骁龙8 Gen3,● 高通骁龙8 Gen3
屏幕/系统,后排液晶屏幕,●,●,●
屏幕/系统,后排液晶屏幕尺寸,● 6.68英寸,● 6.68英寸,● 6.68英寸
屏幕/系统,后排多媒体屏幕数量,● 1个,● 1个,● 1个
屏幕/系统,后排控制多媒体,●,●,●
智能化配置,车联网,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●
智能化配置,Wi-Fi热点,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）
智能化配置,主动降噪,○,○,●
智能化配置,模拟声浪,○,○,●
智能化配置,车载KTV,●,●,●
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,真皮 碳纤维/翻毛皮 (6000元)
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-
方向盘/内后视镜,全景平视显示系统,● 标配,● 标配,● 标配
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,●,●,●
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个
车内充电,USB/Type-C最大充电功率,● 67W,● 67W,● 67W
车内充电,手机无线充电功能,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 80W,● 80W,● 80W
车内充电,行李厢12V电源接口,●,●,●
座椅配置,座椅材质,真皮 (8000元) 仿皮,真皮 (8000元) 仿皮,真皮 (8000元) 仿皮
座椅配置,运动风格座椅,●,●,●
座椅配置,主座椅调节方式,前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向)
座椅配置,副座椅调节方式,前后调节 靠背调节 高低调节(2向) 高低调节(4向) 腿托调节,前后调节 靠背调节 高低调节(2向) 高低调节(4向) 腿托调节,前后调节 靠背调节 高低调节(2向) 高低调节(4向) 腿托调节
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,加热 通风 按摩 头枕扬声器(仅驾驶位),加热 通风 按摩 头枕扬声器(仅驾驶位),加热 通风 按摩 头枕扬声器(仅驾驶位)
座椅配置,电动座椅记忆功能,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,第二排座椅电动调节,●,●,●
座椅配置,第二排座椅功能,● 加热,● 加热,● 加热
座椅配置,零重力座椅,○ 主驾驶 (9000元) 副驾驶 (9000元),○ 主驾驶 (9000元) 副驾驶 (9000元),○ 主驾驶 (9000元) 副驾驶 (9000元)
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-
音响/车内灯光,扬声器数量,14喇叭 25喇叭 (6000元),14喇叭 25喇叭 (6000元),● 25喇叭
音响/车内灯光,车外扬声器数量,● 1喇叭,● 1喇叭,● 1喇叭
音响/车内灯光,杜比全景声(Dolby Atmos),○,○,●
音响/车内灯光,车内环境氛围灯,● 256色,● 256色,● 256色
音响/车内灯光,主动式环境氛围灯,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,●,●,●
空调/冰箱,后排独立空调,●,●,●
空调/冰箱,后座出风口,●,●,●
空调/冰箱,温度分区控制,●,●,●
空调/冰箱,车载空气净化器,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●
空调/冰箱,车内香氛装置,○,○,○
空调/冰箱,空气质量监测,●,●,●
空调/冰箱,车载冰箱,○ (2000元),○ (2000元),○ (2000元)
特色配置,人车家生态空间,●,●,●
特色配置,生态拓展空间,●,●,●
颜色,外观颜色,熔岩橙 寒武岩灰 ￥7000 珍珠白 ￥7000 流金粉 ￥7000 影青色 ￥7000 深海蓝 ￥7000 丹霞紫 ￥9000 钛金属 宝石绿,熔岩橙 寒武岩灰 ￥7000 珍珠白 ￥7000 流金粉 ￥7000 影青色 ￥7000 深海蓝 ￥7000 丹霞紫 ￥9000 钛金属 宝石绿,熔岩橙 寒武岩灰 ￥7000 珍珠白 ￥7000 流金粉 ￥7000 影青色 ￥7000 深海蓝 ￥7000 丹霞紫 ￥9000 钛金属 宝石绿 紫水晶 ￥28000 流金粉 哑光 ￥20000 竟速红 ￥14000 暮光玫瑰 ￥11000 嫩芽黄 ￥11000
颜色,内饰颜色,珊瑚橙 ￥3000 绿色/松石灰 暮影蓝 鸢尾紫/灰色,珊瑚橙 ￥3000 绿色/松石灰 暮影蓝 鸢尾紫/灰色,珊瑚橙 ￥3000 绿色/松石灰 暮影蓝 鸢尾紫/灰色 极夜黑/荧光黄 ￥15000 龙胆蓝/黑色 ￥15000
选装包,HEPA高效空气净化系统,○ 包含：超大尺寸HEPA滤芯，获SGS金标认证的H13级滤网，对0.05-0.3μm颗粒物过滤效率>99.95%深度净化模式下35秒即可焕新座舱空气，守护呼吸健康。 选配 (1000元),○ 包含：超大尺寸HEPA滤芯，获SGS金标认证的H13级滤网，对0.05-0.3μm颗粒物过滤效率>99.95%深度净化模式下35秒即可焕新座舱空气，守护呼吸健康。 选配 (1000元),○ 包含：超大尺寸HEPA滤芯，获SGS金标认证的H13级滤网，对0.05-0.3μm颗粒物过滤效率>99.95%深度净化模式下35秒即可焕新座舱空气，守护呼吸健康。 选配 (1000元)
选装包,Xiaomi HAD,○ 包含：高速领航辅助：加减速变道、出入匝道、自动控速、自动超车、弯道自适应、施工避让、大车两级避让、拥堵防加塞、汇流口避让；城市领航辅助：红绿灯通行、加减速变道、绕行避让、路口左右转、礼让行人、拥堵防加塞、两轮车避让、 施工避让、特殊车辆识别；端到端辅助驾驶 选配 (26000元),○ 包含：高速领航辅助：加减速变道、出入匝道、自动控速、自动超车、弯道自适应、施工避让、大车两级避让、拥堵防加塞、汇流口避让；城市领航辅助：红绿灯通行、加减速变道、绕行避让、路口左右转、礼让行人、拥堵防加塞、两轮车避让、 施工避让、特殊车辆识别；端到端辅助驾驶 选配 (26000元),○ 包含：高速领航辅助：加减速变道、出入匝道、自动控速、自动超车、弯道自适应、施工避让、大车两级避让、拥堵防加塞、汇流口避让；城市领航辅助：红绿灯通行、加减速变道、绕行避让、路口左右转、礼让行人、拥堵防加塞、两轮车避让、 施工避让、特殊车辆识别；端到端辅助驾驶 选配 (26000元)
选装包,Brembo四活塞固定卡钳红色,-,-,○ 包含：Brembo四活塞固定卡钳红色 选配 (1500元)
选装包,碳纤维迎宾踏板,-,-,○ 包含：2个碳纤维迎宾踏板 选配 (3000元)
选装包,碳纤维仪表台饰板,-,-,○ 包含：碳纤维仪表台饰板 选配 (5000元)
选装包,碳纤维后视镜,-,-,○ 包含：2个碳纤维后视镜 选配 (8000元)
选装包,碳纤维外饰套装,-,-,○ 包含：碳纤维鸭尾、碳纤维镂空扰流板、碳纤维前大灯饰板、碳纤维风道口 选配 (27000元)
