セクション,セクション_ja,項目,項目_ja,2026年モデル PRO 380TSI 2WD 智行版,2026年モデル PRO 380TSI 2WD R Line 智領版,2026年モデル PRO 380TSI 4WD R Line 智尊版,2025年モデル 出众款 300TSI 自動2WD 龍騰版,2025年モデル 出众款 330TSI 自動2WD 龍騰版,2025年モデル 出众款 330TSI 自動2WD R Line 龍耀版,2025年モデル PRO 380TSI 2WD 智行版,2025年モデル PRO 380TSI 2WD R Line 智領版,2025年モデル PRO 380TSI 4WD R Line 智尊版,2024年モデル PRO 380TSI 4WD R Line 智領版
车身,車体,油箱容积(L),燃料タンク容量(L),62.5,62.5,62.5,60,60,60,62.5,62.5,62.5,62.5
车身,車体,后备厢容积(L),トランク容量(L),471-1696,471-1696,471-1696,495-1780,495-1780,495-1780,471-1696,471-1696,471-1696,471-1696
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA211-DSV,EA888-DTH,EA888-DTH,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ
发动机,エンジン,排量(mL),排気量(mL),1984,1984,1984,1498,1984,1984,1984,1984,1984,1984
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,1.5,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),220,220,220,160,186,186,220,220,220,220
发动机,エンジン,最大功率(kW),最大出力(kW),162,162,162,118,137,137,162,162,162,162
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),4900-6700,4900-6700,4900-6700,5500,4150-6000,4150-6000,4900-6700,4900-6700,4900-6700,4900-6700
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),350,350,350,250,320,320,350,350,350,350
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1600-4300,1600-4300,1600-4300,1750-4000,1500-4050,1500-4050,1600-4300,1600-4300,1600-4300,1600-4300
发动机,エンジン,最大净功率(kW),最大出力(kW),162,162,162,118,137,137,162,162,162,162
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,鋳鉄,鋳鉄,アルミ合金,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,7,7,7,7,7,7,7,7,7,7
变速箱,トランスミッション,变速箱类型,トランスミッション形式,湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT)
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,● 走行状況に応じた四輪駆動,-,-,-,-,-,● 走行状況に応じた四輪駆動,● 走行状況に応じた四輪駆動
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,● 多板クラッチ,-,-,-,-,-,● 多板クラッチ,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/55 R18,255/45 R19 255/40 R20（2000元）,● 255/40 R20,● 235/55 R18,● 235/55 R18,● 235/50 R19,● 235/55 R18,255/45 R19 255/40 R20（2000元）,● 255/40 R20,255/45 R19 255/40 R20（2000元）
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/55 R18,255/45 R19 255/40 R20,● 255/40 R20,● 235/55 R18,● 235/55 R18,● 235/50 R19,● 235/55 R18,255/45 R19 255/40 R20,● 255/40 R20,255/45 R19 255/40 R20
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ収納方式,● トランク内,● トランク内,● トランク内,-,-,-,● トランク内,● トランク内,● トランク内,● トランク内
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,-,-,-,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 車両全体,● 車両全体,● 車両全体,● 前席,● 前席,● 前席,● 車両全体,● 車両全体,● 車両全体,● 車両全体
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,-,-,-,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,-,-,-,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,-,-,-,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,○,●,-,-,-,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,-,-,-,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 オフロード 雪道 カスタム/パーソナライズ,● スポーツ,● スポーツ,● スポーツ,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 オフロード 雪道 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 オフロード 雪道 カスタム/パーソナライズ
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,-,-,●,-,-,-,-,-,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前 / 後,● 前 / 後,● 前 / 後,● 前- / 後,● 前- / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● 360度パノラマビュー,● 360度パノラマビュー,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビュー,● リアビューカメラ,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,単眼 三眼,● 三眼,-,-,-,● 単眼カメラ,単眼・双眼,● 双眼,単眼・双眼
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 2個,5個・7個,● 7個,● 1個,● 1個,● 4個,● 2個,5個・7個,● 7個,5個・7個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 1個,● 1個,● 1個,-,-,-,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 8個,● 12個,● 12個,● 4個,● 4個,● 12個,● 8個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 5個,● 5個,● 5個,-,-,-,● 5個,● 5個,● 5個,● 5個
驾驶功能,運転機能,巡航系统,クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● IQ.ドライブ,IQ.ドライブ IQ.パイロット 強化運転支援2.0（5000元）,● IQ.パイロット 強化運転支援2.0,-,-,-,● IQ.ドライブ,IQ.ドライブ IQ.パイロット,● IQ.パイロット,IQ.ドライブ IQ.パイロット
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,-,-,-,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● テンセント,● テンセント,● テンセント,● バイドゥ,● バイドゥ,● バイドゥ,● テンセント,● テンセント,● テンセント,● テンセント
驾驶功能,運転機能,AR实景导航,ARナビゲーション,-,○,●,-,-,-,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,-,-,-,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,-,-,-,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,●,●,●,-,-,-,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,-,-,-,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,●,●,-,-,●,-,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,●,●,-,-,-,-,●,●,○
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,-,○,●,-,-,-,-,○,●,○
驾驶功能,運転機能,辅助变道,レーンチェンジアシスト,-,○,●,-,-,-,-,○,●,○
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,○,●,-,-,-,-,-,-,-
驾驶功能,運転機能,方向盘离手检测,ハンドル離脱検知,●,●,●,-,-,-,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,○ 高速道路区間,● 高速道路区間,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,● スポーティスタイル,● スポーティスタイル,-,-,● スポーティスタイル,-,● スポーティスタイル,● スポーティスタイル,● スポーティスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,●,-,-,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,リモコンキー・Bluetoothキー,リモコンキー・Bluetoothキー,リモコンキー・Bluetoothキー,リモコンキー・Bluetoothキー,リモコンキー・Bluetoothキー,リモコンキー・Bluetoothキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,-,-,● ピクセル式,-,-,-,-,-,● ピクセル式,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,-,-,-,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,-,-,●,-,-,-,-,-,●,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライト雨霧モード,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
