セクション,項目,狮铂拓界 2025款 2.0L HEV 两驱豪华版,狮铂拓界 2025款 2.0L HEV 两驱尊贵版,狮铂拓界 2025款 2.0L HEV 两驱旗舰版,狮铂拓界 2025款 1.5T 两驱豪华版,狮铂拓界 2025款 1.5T 两驱豪华舒享版,狮铂拓界 2025款 1.5T 两驱尊贵智享版,狮铂拓界 2025款 1.5T 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱豪华版,狮铂拓界 2025款 2.0T 两驱豪华舒享版,狮铂拓界 2025款 2.0T 两驱尊贵智享版,狮铂拓界 2025款 2.0T 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱旗舰版,狮铂拓界 2025款 2.0T 四驱豪华版,狮铂拓界 2025款 2.0T 四驱豪华舒享版,狮铂拓界 2025款 2.0T 四驱尊贵智享版,狮铂拓界 2025款 2.0T 四驱尊贵版,狮铂拓界 2025款 2.0T 四驱旗舰版,狮铂拓界 2023款 2.0L HEV 两驱豪华版,狮铂拓界 2023款 2.0L HEV 两驱尊贵版,狮铂拓界 2023款 2.0L HEV 两驱旗舰版,狮铂拓界 2023款 1.5T 两驱豪华版,狮铂拓界 2023款 1.5T 两驱尊贵版,狮铂拓界 2023款 2.0T 两驱豪华版,狮铂拓界 2023款 2.0T 两驱尊贵版,狮铂拓界 2023款 2.0T 两驱旗舰版,狮铂拓界 2023款 2.0T 四驱豪华版,狮铂拓界 2023款 2.0T 四驱尊贵版,狮铂拓界 2023款 2.0T 四驱旗舰版
发动机,能源类型,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,-,-,-,-,-,-,-,-,-,-,-,-,-,-,永磁/同步,永磁/同步,永磁/同步,-,-,-,-,-,-,-,-
电动机,电动机总功率(kW),44.2,44.2,44.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.2,44.2,44.2,-,-,-,-,-,-,-,-
电动机,电动机总马力(Ps),60.1,60.1,60.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.1,60.1,60.1,-,-,-,-,-,-,-,-
电动机,电动机总扭矩(N·m),264,264,264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,264,264,264,-,-,-,-,-,-,-,-
电动机,前电动机最大功率(kW),44.2,44.2,44.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.2,44.2,44.2,-,-,-,-,-,-,-,-
电动机,前电动机最大扭矩(N·m),264,264,264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,264,264,264,-,-,-,-,-,-,-,-
电动机,系统综合功率(kW),147,147,147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,147,147,-,-,-,-,-,-,-,-
电动机,系统综合功率(Ps),200,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,200,200,-,-,-,-,-,-,-,-
电动机,系统综合扭矩(N·m),350,350,350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350,350,350,-,-,-,-,-,-,-,-
电动机,驱动电机数,单电机,单电机,单电机,-,-,-,-,-,-,-,-,-,-,-,-,-,-,单电机,单电机,单电机,-,-,-,-,-,-,-,-
电动机,电机布局,前置,前置,前置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,前置,前置,前置,-,-,-,-,-,-,-,-
电动机,三电系统质保,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,-,-,-,-,-,-,-,-
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 三元锂电池,● 三元锂电池,● 三元锂电池,-,-,-,-,-,-,-,-
电池/充电,电芯品牌,● 捷威,● 捷威,● 捷威,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 捷威,● 捷威,● 捷威,-,-,-,-,-,-,-,-
变速箱,简称,6挡手自一体,6挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
变速箱,挡位个数,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,8,8,8,8,8,8,8,8
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,-,-,-,-,-,-,-,-,-,-,-,-,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,-,-,-,-,-,-,-,-,● 适时四驱,● 适时四驱,● 适时四驱
底盘转向,中央差速器结构,-,-,-,-,-,-,-,-,-,-,-,-,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,-,-,-,-,-,-,-,-,● 多片离合器,● 多片离合器,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/55 R19,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/55 R19,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/55 R19,● 235/60 R18,● 235/55 R19,● 235/55 R19
车轮制动,后轮胎规格,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/55 R19,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/55 R19,● 235/65 R17,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/55 R19,● 235/55 R19,● 235/60 R18,● 235/55 R19,● 235/55 R19
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 无,● 无,● 无,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,-,-,-,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,-,-,-,-,-,-,-,-,-,-,-
