セクション,項目,长安启源Q07 2025款 145尊耀型,长安启源Q07 2025款 145尊荣型,长安启源Q07 2025款 215尊贵型,长安启源Q07 2025款 215尊荣型,长安启源Q07 2025款 215激光尊荣型,长安启源Q07 2025款 215旗舰型,长安启源Q07 2025款 215激光旗舰型,长安启源Q07 2025款 215旗舰PLUS,长安启源Q07 2025款 215激光旗舰PLUS
基本参数,官方0-100km/h加速(s),7.36,7.36,7.58,7.58,7.58,7.57,7.57,7.57,7.57
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),1.1,1.1,0.75,0.75,0.75,0.75,0.75,0.75,0.75
基本参数,最低荷电状态油耗(L/100km)WLTC,4.95,4.95,4.98,4.98,4.98,4.99,4.99,4.99,4.99
基本参数,最低荷电状态油耗(L/100km)NEDC,3.90,3.90,3.93,3.93,3.93,3.94,3.94,3.94,3.94
基本参数,电能当量燃料消耗量(L/100km),1.83,1.83,1.94,1.94,1.94,1.95,1.95,1.95,1.95
基本参数,油电综合燃料消耗量(L/100km),2.93,2.93,2.69,2.69,2.69,2.7,2.7,2.7,2.7
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1785,1785,1875,1875,1875,1935,1935,1935,1935
基本参数,最大满载质量(kg),2160,2160,2250,2250,2250,2310,2310,2310,2310
车身,长度(mm),4837,4837,4837,4837,4837,4837,4837,4837,4837
车身,宽度(mm),1920,1920,1920,1920,1920,1920,1920,1920,1920
车身,高度(mm),1690,1690,1690,1690,1690,1690,1690,1690,1690
车身,轴距(mm),2905,2905,2905,2905,2905,2905,2905,2905,2905
车身,前轮距(mm),1620,1620,1620,1620,1620,1620,1620,1620,1620
车身,后轮距(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630
车身,最小离地间隙(mm),185,185,185,185,185,185,185,185,185
车身,接近角(°),18,18,18,18,18,18,18,18,18
车身,离去角(°),23,23,23,23,23,23,23,23,23
车身,最小转弯半径(m),5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),51,51,51,51,51,51,51,51,51
车身,后备厢容积(L),763-1759,763-1759,763-1759,763-1759,763-1759,763-1759,763-1759,763-1759,763-1759
车身,风阻系数(Cd),0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
发动机,发动机型号,JL469Q1,JL469Q1,JL469Q1,JL469Q1,JL469Q1,JL469ZQ1,JL469ZQ1,JL469ZQ1,JL469ZQ1
发动机,排量(mL),1497,1497,1497,1497,1497,1497,1497,1497,1497
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4
发动机,压缩比,16,16,16,16,16,16,16,16,16
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),98,98,98,98,98,150,150,150,150
发动机,最大功率(kW),72,72,72,72,72,110,110,110,110
发动机,最大功率转速(rpm),5600,5600,5600,5600,5600,5000,5000,5000,5000
发动机,最大扭矩(N·m),125,125,125,125,125,220,220,220,220
发动机,最大扭矩转速(rpm),3000,3000,3000,3000,3000,3200-4200,3200-4200,3200-4200,3200-4200
发动机,最大净功率(kW),70,70,70,70,70,105,105,105,105
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,前电动机品牌,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源
电动机,前电动机型号,TZ270XY552,TZ270XY552,TZ270XY552,TZ270XY552,TZ270XY552,TZ270XY552,TZ270XY552,TZ270XY552,TZ270XY552
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),165,165,165,165,165,165,165,165,165
电动机,电动机总马力(Ps),224,224,224,224,224,224,224,224,224
电动机,电动机总扭矩(N·m),330,330,330,330,330,330,330,330,330
电动机,前电动机最大功率(kW),165,165,165,165,165,165,165,165,165
电动机,前电动机最大扭矩(N·m),330,330,330,330,330,330,330,330,330
电动机,系统综合功率(kW),237,237,237,237,237,275,275,275,275
电动机,系统综合功率(Ps),322,322,322,322,322,374,374,374,374
电动机,系统综合扭矩(N·m),455,455,455,455,455,550,550,550,550
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,"● 宁德时代
● 中创新航","● 宁德时代
● 中创新航","● 宁德时代
● 中创新航","● 宁德时代
● 中创新航","● 宁德时代
● 中创新航","● 宁德时代
● 中创新航","● 宁德时代
● 中创新航","● 宁德时代
● 中创新航","● 宁德时代
● 中创新航"
电池/充电,电池特有技术,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,WLTC纯电续航里程(km),111,111,166,166,166,163,163,163,163
电池/充电,CLTC纯电续航里程(km),145,145,215,215,215,215,215,215,215
电池/充电,CLTC综合续航(km),1345,1345,1400,1400,1400,1400,1400,1400,1400
电池/充电,电池能量(kWh),21.5,21.5,31.7,31.7,31.7,31.7,31.7,31.7,31.7
电池/充电,电池能量密度(Wh/kg),109,109,120,120,120,120,120,120,120
电池/充电,百公里耗电量(kWh/100km),15.8,15.8,16.7,16.7,16.7,16.8,16.8,16.8,16.8
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),70,70,97,97,97,97,97,97,97
电池/充电,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
电池/充电,电池慢充时间(小时),2.98,2.98,4.5,4.5,4.5,4.5,4.5,4.5,4.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,6,6,6
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 245/55 R19,● 245/55 R19,● 245/55 R19,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20
车轮制动,后轮胎规格,● 245/55 R19,● 245/55 R19,● 245/55 R19,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
驾驶操控,魔毯智能悬架,-,-,-,-,-,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,-,-,-,-,● 地平线征程J6M,-,● 地平线征程J6M,-,● 地平线征程J6M
驾驶硬件,芯片总算力,-,-,-,-,● 128 TOPS,-,● 128 TOPS,-,● 128 TOPS
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 双目,● 单目,● 双目,● 单目,● 双目
驾驶硬件,摄像头数量,● 5个,● 5个,● 5个,● 5个,● 11个,● 5个,● 11个,● 5个,● 11个
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万
驾驶硬件,环视摄像头像素,-,-,-,-,● 300万,-,● 300万,-,● 300万
驾驶硬件,车内摄像头数量,-,● 1个,● 1个,● 1个,● 2个,● 1个,● 2个,● 1个,● 2个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,● 5个,● 3个,● 5个,● 3个,● 5个,● 3个
驾驶硬件,激光雷达数量,-,-,-,-,● 1个,-,● 1个,-,● 1个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● 天枢智能驾驶辅助视觉版,● 天枢智能驾驶辅助视觉版,● 天枢智能驾驶辅助视觉版,● 天枢智能驾驶辅助视觉版,● 天枢智能驾驶辅助激光版,● 天枢智能驾驶辅助视觉版,● 天枢智能驾驶辅助激光版,● 天枢智能驾驶辅助视觉版,● 天枢智能驾驶辅助激光版
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●,●,●,●,●
驾驶功能,记忆泊车,-,-,-,-,●,-,●,-,●
驾驶功能,循迹倒车,●,●,●,●,●,●,●,●,●
驾驶功能,辅助变道,●,●,●,●,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,-,-,-,●,-,●,-,●
驾驶功能,信号灯识别,●,●,●,●,●,●,●,●,●
驾驶功能,方向盘离手检测,-,-,-,-,●,-,●,-,●
驾驶功能,起步提醒,●,●,●,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段,"● 城市路段
● 高速路段",● 高速路段,"● 城市路段
● 高速路段",● 高速路段,"● 城市路段
● 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,无框设计车门,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,隐藏电动门把手,●,●,●,●,●,●,●,●,●
外观/防盗,主动闭合式进气格栅,-,●,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●
车外灯光,场景灯语,-,-,-,-,-,-,-,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,后排侧隐私玻璃,-,-,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸
屏幕/系统,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,中控屏幕分辨率,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
屏幕/系统,中控屏幕像素密度,● 196PPI,● 196PPI,● 196PPI,● 196PPI,● 196PPI,● 196PPI,● 196PPI,● 196PPI,● 196PPI
屏幕/系统,副驾娱乐屏尺寸,-,-,-,-,-,-,-,● 12.8英寸,● 12.8英寸
屏幕/系统,副驾屏幕像素密度,-,-,-,-,-,-,-,● 172PPI,● 172PPI
屏幕/系统,向日葵旋转屏,-,●,●,●,●,●,●,●,●
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,-,● 支持HUAWEI HiCar,-,● 支持HUAWEI HiCar,-
